Data Table for Daily Case Trends - Alabama
Date generated: Mon Jul 25 2022 09:34:44 GMT-0400 (Eastern Daylight Time)
State,Date,New Cases,7-Day Moving Avg
Alabama,Jul 21 2022,2889,2432
Alabama,Jul 20 2022,2497,2396
Alabama,Jul 19 2022,2907,2454
Alabama,Jul 18 2022,2922,2422
Alabama,Jul 17 2022,1444,2623
Alabama,Jul 16 2022,1664,2419
Alabama,Jul 15 2022,2704,2411
Alabama,Jul 14 2022,2635,2392
Alabama,Jul 13 2022,2904,2436
Alabama,Jul 12 2022,2687,2414
Alabama,Jul 11 2022,4329,2785
Alabama,Jul 10 2022,11,2199
Alabama,Jul  9 2022,1607,2323
Alabama,Jul  8 2022,2575,2226
Alabama,Jul  7 2022,2945,2126
Alabama,Jul  6 2022,2750,1963
Alabama,Jul  5 2022,5284,1843
Alabama,Jul  4 2022,225,1436
Alabama,Jul  3 2022,877,1726
Alabama,Jul  2 2022,929,1764
Alabama,Jul  1 2022,1873,1801
Alabama,Jun 30 2022,1803,1833
Alabama,Jun 29 2022,1916,1867
Alabama,Jun 28 2022,2431,1894
Alabama,Jun 27 2022,2257,1839
Alabama,Jun 26 2022,1142,1765
Alabama,Jun 25 2022,1186,1710
Alabama,Jun 24 2022,2100,1678
Alabama,Jun 23 2022,2037,1616
Alabama,Jun 22 2022,2105,1586
Alabama,Jun 21 2022,2046,1533
Alabama,Jun 20 2022,1740,1475
Alabama,Jun 19 2022,757,1449
Alabama,Jun 18 2022,961,1448
Alabama,Jun 17 2022,1669,1428
Alabama,Jun 16 2022,1829,1389
Alabama,Jun 15 2022,1729,1298
Alabama,Jun 14 2022,1645,1221
Alabama,Jun 13 2022,1555,1140
Alabama,Jun 12 2022,754,1102
Alabama,Jun 11 2022,818,1077
Alabama,Jun 10 2022,1398,1062
Alabama,Jun  9 2022,1192,1032
Alabama,Jun  8 2022,1187,1024
Alabama,Jun  7 2022,1080,1017
Alabama,Jun  6 2022,1287,1009
Alabama,Jun  5 2022,579,907
Alabama,Jun  4 2022,712,896
Alabama,Jun  3 2022,1188,863
Alabama,Jun  2 2022,1140,832
Alabama,Jun  1 2022,1134,826
Alabama,May 31 2022,1025,787
Alabama,May 30 2022,573,759
Alabama,May 29 2022,506,770
Alabama,May 28 2022,478,745
Alabama,May 27 2022,974,736
Alabama,May 26 2022,1097,675
Alabama,May 25 2022,862,601
Alabama,May 24 2022,823,571
Alabama,May 23 2022,650,532
Alabama,May 22 2022,336,509
Alabama,May 21 2022,413,501
Alabama,May 20 2022,545,480
Alabama,May 19 2022,581,459
Alabama,May 18 2022,652,437
Alabama,May 17 2022,548,410
Alabama,May 16 2022,490,391
Alabama,May 15 2022,279,399
Alabama,May 14 2022,266,372
Alabama,May 13 2022,401,356
Alabama,May 12 2022,425,339
Alabama,May 11 2022,466,317
Alabama,May 10 2022,416,301
Alabama,May  9 2022,546,290
Alabama,May  8 2022,90,258
Alabama,May  7 2022,150,258
Alabama,May  6 2022,285,254
Alabama,May  5 2022,268,247
Alabama,May  4 2022,355,239
Alabama,May  3 2022,339,230
Alabama,May  2 2022,324,216
Alabama,May  1 2022,87,207
Alabama,Apr 30 2022,124,206
Alabama,Apr 29 2022,234,203
Alabama,Apr 28 2022,212,244
Alabama,Apr 27 2022,292,249
Alabama,Apr 26 2022,242,246
Alabama,Apr 25 2022,264,241
Alabama,Apr 24 2022,77,246
Alabama,Apr 23 2022,106,245
Alabama,Apr 22 2022,515,242
Alabama,Apr 21 2022,253,195
Alabama,Apr 20 2022,267,192
Alabama,Apr 19 2022,211,185
Alabama,Apr 18 2022,296,183
Alabama,Apr 17 2022,70,175
Alabama,Apr 16 2022,84,174
Alabama,Apr 15 2022,187,173
Alabama,Apr 14 2022,235,179
Alabama,Apr 13 2022,213,173
Alabama,Apr 12 2022,200,173
Alabama,Apr 11 2022,242,179
Alabama,Apr 10 2022,63,181
Alabama,Apr  9 2022,77,180
Alabama,Apr  8 2022,228,179
Alabama,Apr  7 2022,188,186
Alabama,Apr  6 2022,214,185
Alabama,Apr  5 2022,244,195
Alabama,Apr  4 2022,255,196
Alabama,Apr  3 2022,59,203
Alabama,Apr  2 2022,68,201
Alabama,Apr  1 2022,275,205
Alabama,Mar 31 2022,186,435
Alabama,Mar 30 2022,278,435
Alabama,Mar 29 2022,253,453
Alabama,Mar 28 2022,306,446
Alabama,Mar 27 2022,47,430
Alabama,Mar 26 2022,90,433
Alabama,Mar 25 2022,1888,433
Alabama,Mar 24 2022,186,197
Alabama,Mar 23 2022,405,242
Alabama,Mar 22 2022,205,255
Alabama,Mar 21 2022,195,288
Alabama,Mar 20 2022,66,288
Alabama,Mar 19 2022,92,286
Alabama,Mar 18 2022,234,285
Alabama,Mar 17 2022,497,296
Alabama,Mar 16 2022,499,287
Alabama,Mar 15 2022,437,295
Alabama,Mar 14 2022,197,299
Alabama,Mar 13 2022,51,374
Alabama,Mar 12 2022,84,381
Alabama,Mar 11 2022,309,396
Alabama,Mar 10 2022,432,828
Alabama,Mar  9 2022,555,848
