Data Table for Daily Case Trends - Alaska
Date generated: Mon Jul 25 2022 09:34:55 GMT-0400 (Eastern Daylight Time)
State,Date,New Cases,7-Day Moving Avg
Alaska,Jul 21 2022,0,338
Alaska,Jul 20 2022,2369,338
Alaska,Jul 19 2022,0,351
Alaska,Jul 18 2022,0,351
Alaska,Jul 17 2022,0,351
Alaska,Jul 16 2022,0,351
Alaska,Jul 15 2022,0,351
Alaska,Jul 14 2022,0,351
Alaska,Jul 13 2022,2462,351
Alaska,Jul 12 2022,0,321
Alaska,Jul 11 2022,0,321
Alaska,Jul 10 2022,0,321
Alaska,Jul  9 2022,0,321
Alaska,Jul  8 2022,0,321
Alaska,Jul  7 2022,0,321
Alaska,Jul  6 2022,2250,321
Alaska,Jul  5 2022,0,371
Alaska,Jul  4 2022,0,371
Alaska,Jul  3 2022,0,371
Alaska,Jul  2 2022,0,371
Alaska,Jul  1 2022,0,371
Alaska,Jun 30 2022,0,371
Alaska,Jun 29 2022,2597,371
Alaska,Jun 28 2022,0,303
Alaska,Jun 27 2022,0,303
Alaska,Jun 26 2022,0,303
Alaska,Jun 25 2022,0,303
Alaska,Jun 24 2022,0,303
Alaska,Jun 23 2022,0,303
Alaska,Jun 22 2022,2127,303
Alaska,Jun 21 2022,0,262
Alaska,Jun 20 2022,0,262
Alaska,Jun 19 2022,0,262
Alaska,Jun 18 2022,0,262
Alaska,Jun 17 2022,0,262
Alaska,Jun 16 2022,0,262
Alaska,Jun 15 2022,1838,262
Alaska,Jun 14 2022,0,320
Alaska,Jun 13 2022,0,320
Alaska,Jun 12 2022,0,320
Alaska,Jun 11 2022,0,320
Alaska,Jun 10 2022,0,320
Alaska,Jun  9 2022,0,320
Alaska,Jun  8 2022,2241,320
Alaska,Jun  7 2022,0,251
Alaska,Jun  6 2022,0,251
Alaska,Jun  5 2022,0,251
Alaska,Jun  4 2022,0,251
Alaska,Jun  3 2022,0,251
Alaska,Jun  2 2022,0,251
Alaska,Jun  1 2022,1759,251
Alaska,May 31 2022,0,271
Alaska,May 30 2022,0,271
Alaska,May 29 2022,0,271
Alaska,May 28 2022,0,271
Alaska,May 27 2022,0,271
Alaska,May 26 2022,0,271
Alaska,May 25 2022,1903,271
Alaska,May 24 2022,0,236
Alaska,May 23 2022,0,236
Alaska,May 22 2022,0,236
Alaska,May 21 2022,0,236
Alaska,May 20 2022,0,236
Alaska,May 19 2022,0,236
Alaska,May 18 2022,1657,236
Alaska,May 17 2022,0,217
Alaska,May 16 2022,0,217
Alaska,May 15 2022,0,217
Alaska,May 14 2022,0,217
Alaska,May 13 2022,0,217
Alaska,May 12 2022,0,217
Alaska,May 11 2022,1520,217
Alaska,May 10 2022,0,204
Alaska,May  9 2022,0,204
Alaska,May  8 2022,0,204
Alaska,May  7 2022,0,204
Alaska,May  6 2022,0,204
Alaska,May  5 2022,0,204
Alaska,May  4 2022,1431,204
Alaska,May  3 2022,0,206
Alaska,May  2 2022,0,206
Alaska,May  1 2022,0,206
Alaska,Apr 30 2022,0,206
Alaska,Apr 29 2022,0,206
Alaska,Apr 28 2022,0,206
Alaska,Apr 27 2022,1448,206
Alaska,Apr 26 2022,0,215
Alaska,Apr 25 2022,0,215
Alaska,Apr 24 2022,0,215
Alaska,Apr 23 2022,0,215
Alaska,Apr 22 2022,0,215
Alaska,Apr 21 2022,0,215
Alaska,Apr 20 2022,1507,215
