Data Table for Daily Case Trends - Arizona
Date generated: Mon Jul 25 2022 09:35:06 GMT-0400 (Eastern Daylight Time)
State,Date,New Cases,7-Day Moving Avg
Arizona,Jul 21 2022,0,2590
Arizona,Jul 20 2022,18135,2590
Arizona,Jul 19 2022,0,2182
Arizona,Jul 18 2022,0,2182
Arizona,Jul 17 2022,0,2182
Arizona,Jul 16 2022,0,2182
Arizona,Jul 15 2022,0,2182
Arizona,Jul 14 2022,0,2182
Arizona,Jul 13 2022,15280,2182
Arizona,Jul 12 2022,0,2885
Arizona,Jul 11 2022,0,2885
Arizona,Jul 10 2022,0,2885
Arizona,Jul  9 2022,0,2885
Arizona,Jul  8 2022,0,2885
Arizona,Jul  7 2022,0,2885
Arizona,Jul  6 2022,20198,2885
Arizona,Jul  5 2022,0,2359
Arizona,Jul  4 2022,0,2359
Arizona,Jul  3 2022,0,2359
Arizona,Jul  2 2022,0,2359
Arizona,Jul  1 2022,0,2359
Arizona,Jun 30 2022,0,2359
Arizona,Jun 29 2022,16514,2359
Arizona,Jun 28 2022,0,2196
Arizona,Jun 27 2022,0,2196
Arizona,Jun 26 2022,0,2196
Arizona,Jun 25 2022,0,2196
Arizona,Jun 24 2022,0,2196
Arizona,Jun 23 2022,0,2196
Arizona,Jun 22 2022,15373,2196
Arizona,Jun 21 2022,0,2333
Arizona,Jun 20 2022,0,2333
Arizona,Jun 19 2022,0,2333
Arizona,Jun 18 2022,0,2333
Arizona,Jun 17 2022,0,2333
Arizona,Jun 16 2022,0,2333
Arizona,Jun 15 2022,16334,2333
Arizona,Jun 14 2022,0,2096
Arizona,Jun 13 2022,0,2096
Arizona,Jun 12 2022,0,2096
Arizona,Jun 11 2022,0,2096
Arizona,Jun 10 2022,0,2096
Arizona,Jun  9 2022,0,2096
Arizona,Jun  8 2022,14677,2096
Arizona,Jun  7 2022,0,1863
Arizona,Jun  6 2022,0,1863
Arizona,Jun  5 2022,0,1863
Arizona,Jun  4 2022,0,1863
Arizona,Jun  3 2022,0,1863
Arizona,Jun  2 2022,0,1863
Arizona,Jun  1 2022,13042,1863
Arizona,May 31 2022,0,1642
Arizona,May 30 2022,0,1642
Arizona,May 29 2022,0,1642
Arizona,May 28 2022,0,1642
Arizona,May 27 2022,0,1642
Arizona,May 26 2022,0,1642
Arizona,May 25 2022,11498,1642
Arizona,May 24 2022,0,1029
Arizona,May 23 2022,0,1029
Arizona,May 22 2022,0,1029
Arizona,May 21 2022,0,1029
Arizona,May 20 2022,0,1029
Arizona,May 19 2022,0,1029
Arizona,May 18 2022,7204,1029
Arizona,May 17 2022,0,784
Arizona,May 16 2022,0,784
Arizona,May 15 2022,0,784
Arizona,May 14 2022,0,784
Arizona,May 13 2022,0,784
Arizona,May 12 2022,0,784
Arizona,May 11 2022,5490,784
Arizona,May 10 2022,0,558
Arizona,May  9 2022,0,558
Arizona,May  8 2022,0,558
Arizona,May  7 2022,0,558
Arizona,May  6 2022,0,558
Arizona,May  5 2022,0,558
Arizona,May  4 2022,3911,558
Arizona,May  3 2022,0,335
Arizona,May  2 2022,0,335
Arizona,May  1 2022,0,335
Arizona,Apr 30 2022,0,335
Arizona,Apr 29 2022,0,335
Arizona,Apr 28 2022,0,335
Arizona,Apr 27 2022,2350,335
Arizona,Apr 26 2022,0,339
Arizona,Apr 25 2022,0,339
Arizona,Apr 24 2022,0,339
Arizona,Apr 23 2022,0,339
Arizona,Apr 22 2022,0,339
Arizona,Apr 21 2022,0,339
Arizona,Apr 20 2022,2377,339
Arizona,Apr 19 2022,0,396
Arizona,Apr 18 2022,0,396
Arizona,Apr 17 2022,0,396
Arizona,Apr 16 2022,0,396
Arizona,Apr 15 2022,0,396
Arizona,Apr 14 2022,0,396
Arizona,Apr 13 2022,2777,396
Arizona,Apr 12 2022,0,977
Arizona,Apr 11 2022,0,977
Arizona,Apr 10 2022,0,977
Arizona,Apr  9 2022,0,977
Arizona,Apr  8 2022,0,977
Arizona,Apr  7 2022,0,977
Arizona,Apr  6 2022,6840,977
Arizona,Apr  5 2022,0,1449
Arizona,Apr  4 2022,0,1449
Arizona,Apr  3 2022,0,1449
Arizona,Apr  2 2022,0,1449
Arizona,Apr  1 2022,0,1449
Arizona,Mar 31 2022,0,1449
Arizona,Mar 30 2022,10143,1449
Arizona,Mar 29 2022,0,652
Arizona,Mar 28 2022,0,652
Arizona,Mar 27 2022,0,652
Arizona,Mar 26 2022,0,652
Arizona,Mar 25 2022,0,652
Arizona,Mar 24 2022,0,652
Arizona,Mar 23 2022,4566,652
Arizona,Mar 22 2022,0,736
Arizona,Mar 21 2022,0,736
Arizona,Mar 20 2022,0,736
Arizona,Mar 19 2022,0,736
Arizona,Mar 18 2022,0,736
Arizona,Mar 17 2022,0,736
Arizona,Mar 16 2022,5153,736
Arizona,Mar 15 2022,0,935
Arizona,Mar 14 2022,0,935
Arizona,Mar 13 2022,0,935
Arizona,Mar 12 2022,0,935
Arizona,Mar 11 2022,0,935
Arizona,Mar 10 2022,0,935
Arizona,Mar  9 2022,6549,935
Arizona,Mar  8 2022,0,554
Arizona,Mar  7 2022,0,554
Arizona,Mar  6 2022,0,554
Arizona,Mar  5 2022,0,554
Arizona,Mar  4 2022,0,788
Arizona,Mar  3 2022,0,1041
Arizona,Mar  2 2022,3879,1298
Arizona,Mar  1 2022,0,921
Arizona,Feb 28 2022,0,1312
Arizona,Feb 27 2022,0,1312
Arizona,Feb 26 2022,1638,1604
Arizona,Feb 25 2022,1773,1761
Arizona,Feb 24 2022,1801,1944
Arizona,Feb 23 2022,1236,2084
Arizona,Feb 22 2022,2738,2219
Arizona,Feb 21 2022,2,2076
Arizona,Feb 20 2022,2043,2459
Arizona,Feb 19 2022,2739,2796
Arizona,Feb 18 2022,3054,3016
Arizona,Feb 17 2022,2781,2977
Arizona,Feb 16 2022,2177,3634
Arizona,Feb 15 2022,1740,4095
Arizona,Feb 14 2022,2685,4388
Arizona,Feb 13 2022,4397,4635
Arizona,Feb 12 2022,4284,4918
Arizona,Feb 11 2022,2781,5484
Arizona,Feb 10 2022,7379,6383
Arizona,Feb  9 2022,5402,6443
Arizona,Feb  8 2022,3790,6861
Arizona,Feb  7 2022,4416,7400
Arizona,Feb  6 2022,6379,8521
Arizona,Feb  5 2022,8243,9534
Arizona,Feb  4 2022,9077,10572
Arizona,Feb  3 2022,7794,11505
Arizona,Feb  2 2022,8330,12434
Arizona,Feb  1 2022,7567,13848
Arizona,Jan 31 2022,12259,14763
Arizona,Jan 30 2022,13473,15119
Arizona,Jan 29 2022,15506,16468
Arizona,Jan 28 2022,15610,18208
Arizona,Jan 27 2022,14293,18554
Arizona,Jan 26 2022,18229,19044
Arizona,Jan 25 2022,13972,19368
Arizona,Jan 24 2022,14750,20777
Arizona,Jan 23 2022,22922,20394
Arizona,Jan 22 2022,27681,20210
Arizona,Jan 21 2022,18034,19822
Arizona,Jan 20 2022,17724,20139
Arizona,Jan 19 2022,20497,20261
Arizona,Jan 18 2022,23836,20016
Arizona,Jan 17 2022,12066,18634
Arizona,Jan 16 2022,21637,18901
Arizona,Jan 15 2022,24962,18074
Arizona,Jan 14 2022,20257,16866
Arizona,Jan 13 2022,18573,16099
Arizona,Jan 12 2022,18783,14971
Arizona,Jan 11 2022,14160,13395
Arizona,Jan 10 2022,13937,12402
Arizona,Jan  9 2022,15850,12439
Arizona,Jan  8 2022,16504,10275
Arizona,Jan  7 2022,14888,9091
Arizona,Jan  6 2022,10679,8067
Arizona,Jan  5 2022,7749,7354
Arizona,Jan  4 2022,7212,6734
Arizona,Jan  3 2022,14192,5986
Arizona,Jan  2 2022,701,5051
Arizona,Jan  1 2022,8220,5000
Arizona,Dec 31 2021,7721,4325
Arizona,Dec 30 2021,5687,3766
Arizona,Dec 29 2021,3411,3413
Arizona,Dec 28 2021,1976,3327
Arizona,Dec 27 2021,7641,3387
Arizona,Dec 26 2021,344,2606
Arizona,Dec 25 2021,3495,2949
Arizona,Dec 24 2021,3808,2945
Arizona,Dec 23 2021,3222,2928
Arizona,Dec 22 2021,2806,2883
Arizona,Dec 21 2021,2395,2947
Arizona,Dec 20 2021,2176,2914
Arizona,Dec 19 2021,2745,2945
Arizona,Dec 18 2021,3467,3014
Arizona,Dec 17 2021,3686,3058
Arizona,Dec 16 2021,2911,3092
Arizona,Dec 15 2021,3249,3200
Arizona,Dec 14 2021,2168,3236
Arizona,Dec 13 2021,2391,3357
Arizona,Dec 12 2021,3231,3447
Arizona,Dec 11 2021,3774,3532
Arizona,Dec 10 2021,3924,3856
Arizona,Dec  9 2021,3663,4043
Arizona,Dec  8 2021,3506,4093
Arizona,Dec  7 2021,3015,4044
Arizona,Dec  6 2021,3022,4038
Arizona,Dec  5 2021,3820,3886
Arizona,Dec  4 2021,6043,3665
Arizona,Dec  3 2021,5236,3324
