Data Table for Daily Case Trends - Arkansas
Date generated: Mon Jul 25 2022 09:35:18 GMT-0400 (Eastern Daylight Time)
State,Date,New Cases,7-Day Moving Avg
Arkansas,Jul 21 2022,1526,1305
Arkansas,Jul 20 2022,1835,1359
Arkansas,Jul 19 2022,1735,1356
Arkansas,Jul 18 2022,637,1330
Arkansas,Jul 17 2022,749,1336
Arkansas,Jul 16 2022,1172,1333
Arkansas,Jul 15 2022,1484,1373
Arkansas,Jul 14 2022,1907,1438
Arkansas,Jul 13 2022,1810,1422
Arkansas,Jul 12 2022,1556,1506
Arkansas,Jul 11 2022,678,1326
Arkansas,Jul 10 2022,730,1285
Arkansas,Jul  9 2022,1450,1204
Arkansas,Jul  8 2022,1939,1197
Arkansas,Jul  7 2022,1794,1095
Arkansas,Jul  6 2022,2395,1044
Arkansas,Jul  5 2022,302,892
Arkansas,Jul  4 2022,386,1052
Arkansas,Jul  3 2022,165,1053
Arkansas,Jul  2 2022,1403,1102
Arkansas,Jul  1 2022,1224,1028
Arkansas,Jun 30 2022,1437,1005
Arkansas,Jun 29 2022,1332,1005
Arkansas,Jun 28 2022,1420,930
Arkansas,Jun 27 2022,393,837
Arkansas,Jun 26 2022,507,816
Arkansas,Jun 25 2022,888,826
Arkansas,Jun 24 2022,1062,800
Arkansas,Jun 23 2022,1434,760
Arkansas,Jun 22 2022,812,698
Arkansas,Jun 21 2022,764,718
Arkansas,Jun 20 2022,251,715
Arkansas,Jun 19 2022,575,727
Arkansas,Jun 18 2022,708,709
Arkansas,Jun 17 2022,780,695
Arkansas,Jun 16 2022,1000,679
Arkansas,Jun 15 2022,954,631
Arkansas,Jun 14 2022,740,621
Arkansas,Jun 13 2022,332,630
Arkansas,Jun 12 2022,449,608
Arkansas,Jun 11 2022,610,586
Arkansas,Jun 10 2022,670,567
Arkansas,Jun  9 2022,663,573
Arkansas,Jun  8 2022,887,569
Arkansas,Jun  7 2022,805,508
Arkansas,Jun  6 2022,173,419
Arkansas,Jun  5 2022,299,411
Arkansas,Jun  4 2022,472,404
Arkansas,Jun  3 2022,712,390
