Data Table for Daily Case Trends - Colorado
Date generated: Mon Jul 25 2022 09:35:42 GMT-0400 (Eastern Daylight Time)
State,Date,New Cases,7-Day Moving Avg
Colorado,Jul 21 2022,1968,1686
Colorado,Jul 20 2022,1650,1712
Colorado,Jul 19 2022,1656,1736
Colorado,Jul 18 2022,1366,1777
Colorado,Jul 17 2022,1369,1764
Colorado,Jul 16 2022,1656,1798
Colorado,Jul 15 2022,2143,1874
Colorado,Jul 14 2022,2149,1977
Colorado,Jul 13 2022,1817,1983
Colorado,Jul 12 2022,1940,1975
Colorado,Jul 11 2022,1274,1856
Colorado,Jul 10 2022,1610,1868
Colorado,Jul  9 2022,2188,1878
Colorado,Jul  8 2022,2865,1896
Colorado,Jul  7 2022,2192,1821
Colorado,Jul  6 2022,1762,1878
Colorado,Jul  5 2022,1106,1986
Colorado,Jul  4 2022,1359,2089
Colorado,Jul  3 2022,1678,2094
Colorado,Jul  2 2022,2310,2091
Colorado,Jul  1 2022,2344,2241
Colorado,Jun 30 2022,2591,2232
Colorado,Jun 29 2022,2515,2288
Colorado,Jun 28 2022,1830,2229
Colorado,Jun 27 2022,1396,2222
Colorado,Jun 26 2022,1653,2211
Colorado,Jun 25 2022,3363,2172
Colorado,Jun 24 2022,2280,1946
Colorado,Jun 23 2022,2980,1969
Colorado,Jun 22 2022,2102,1904
Colorado,Jun 21 2022,1785,1886
Colorado,Jun 20 2022,1319,1894
Colorado,Jun 19 2022,1378,1927
Colorado,Jun 18 2022,1778,1986
Colorado,Jun 17 2022,2447,2028
Colorado,Jun 16 2022,2522,2188
Colorado,Jun 15 2022,1979,2236
Colorado,Jun 14 2022,1841,2341
Colorado,Jun 13 2022,1544,2400
Colorado,Jun 12 2022,1792,2403
Colorado,Jun 11 2022,2074,2423
Colorado,Jun 10 2022,3568,2483
Colorado,Jun  9 2022,2856,2425
Colorado,Jun  8 2022,2715,2435
Colorado,Jun  7 2022,2254,2249
Colorado,Jun  6 2022,1564,2086
Colorado,Jun  5 2022,1933,2103
Colorado,Jun  4 2022,2497,2067
Colorado,Jun  3 2022,3157,1984
Colorado,Jun  2 2022,2926,1907
Colorado,Jun  1 2022,1412,1844
Colorado,May 31 2022,1113,1886
Colorado,May 30 2022,1687,1982
Colorado,May 29 2022,1683,1922
Colorado,May 28 2022,1912,1849
Colorado,May 27 2022,2619,1816
Colorado,May 26 2022,2487,1775
Colorado,May 25 2022,1706,1690
Colorado,May 24 2022,1786,1709
Colorado,May 23 2022,1266,1664
Colorado,May 22 2022,1172,1648
Colorado,May 21 2022,1677,1654
Colorado,May 20 2022,2331,1659
Colorado,May 19 2022,1898,1560
Colorado,May 18 2022,1838,1627
Colorado,May 17 2022,1469,1502
Colorado,May 16 2022,1151,1476
Colorado,May 15 2022,1216,1479
Colorado,May 14 2022,1711,1398
Colorado,May 13 2022,1637,1326
Colorado,May 12 2022,2373,1255
Colorado,May 11 2022,959,1113
Colorado,May 10 2022,1287,1119
Colorado,May  9 2022,1173,1092
Colorado,May  8 2022,652,1002
Colorado,May  7 2022,1206,1011
Colorado,May  6 2022,1135,967
Colorado,May  5 2022,1383,951
Colorado,May  4 2022,1001,914
Colorado,May  3 2022,1096,881
Colorado,May  2 2022,547,818
Colorado,May  1 2022,709,810
Colorado,Apr 30 2022,898,781
Colorado,Apr 29 2022,1027,762
Colorado,Apr 28 2022,1124,727
Colorado,Apr 27 2022,770,692
Colorado,Apr 26 2022,654,691
Colorado,Apr 25 2022,493,679
Colorado,Apr 24 2022,505,658
Colorado,Apr 23 2022,764,662
Colorado,Apr 22 2022,783,638
Colorado,Apr 21 2022,878,622
Colorado,Apr 20 2022,766,592
Colorado,Apr 19 2022,567,557
Colorado,Apr 18 2022,345,529
Colorado,Apr 17 2022,537,525
Colorado,Apr 16 2022,595,490
Colorado,Apr 15 2022,667,471
Colorado,Apr 14 2022,669,434
Colorado,Apr 13 2022,524,408
Colorado,Apr 12 2022,366,390
Colorado,Apr 11 2022,321,389
Colorado,Apr 10 2022,292,369
Colorado,Apr  9 2022,460,368
Colorado,Apr  8 2022,406,363
Colorado,Apr  7 2022,489,367
Colorado,Apr  6 2022,398,360
Colorado,Apr  5 2022,361,350
Colorado,Apr  4 2022,177,340
Colorado,Apr  3 2022,285,346
Colorado,Apr  2 2022,426,341
Colorado,Apr  1 2022,438,332
Colorado,Mar 31 2022,436,327
Colorado,Mar 30 2022,330,307
Colorado,Mar 29 2022,289,317
Colorado,Mar 28 2022,219,317
Colorado,Mar 27 2022,251,308
Colorado,Mar 26 2022,364,313
Colorado,Mar 25 2022,404,328
Colorado,Mar 24 2022,298,333
Colorado,Mar 23 2022,398,350
Colorado,Mar 22 2022,285,360
Colorado,Mar 21 2022,158,384
Colorado,Mar 20 2022,285,381
Colorado,Mar 19 2022,472,375
Colorado,Mar 18 2022,439,375
Colorado,Mar 17 2022,416,402
Colorado,Mar 16 2022,466,415
Colorado,Mar 15 2022,454,436
Colorado,Mar 14 2022,139,426
Colorado,Mar 13 2022,245,438
Colorado,Mar 12 2022,467,453
Colorado,Mar 11 2022,627,459
Colorado,Mar 10 2022,511,464
Colorado,Mar  9 2022,615,499
Colorado,Mar  8 2022,381,515
Colorado,Mar  7 2022,226,539
Colorado,Mar  6 2022,348,556
Colorado,Mar  5 2022,506,584
Colorado,Mar  4 2022,667,638
Colorado,Mar  3 2022,752,653
Colorado,Mar  2 2022,730,671
Colorado,Mar  1 2022,547,705
Colorado,Feb 28 2022,347,717
Colorado,Feb 27 2022,541,737
Colorado,Feb 26 2022,884,767
Colorado,Feb 25 2022,770,791
Colorado,Feb 24 2022,881,862
Colorado,Feb 23 2022,970,946
Colorado,Feb 22 2022,632,1079
Colorado,Feb 21 2022,482,1141
Colorado,Feb 20 2022,753,1172
Colorado,Feb 19 2022,1051,1227
Colorado,Feb 18 2022,1266,1374
Colorado,Feb 17 2022,1473,1509
Colorado,Feb 16 2022,1899,1674
Colorado,Feb 15 2022,1063,1852
Colorado,Feb 14 2022,702,2016
Colorado,Feb 13 2022,1138,2174
Colorado,Feb 12 2022,2081,2414
Colorado,Feb 11 2022,2213,2619
Colorado,Feb 10 2022,2624,2701
Colorado,Feb  9 2022,3148,3080
Colorado,Feb  8 2022,2210,3349
Colorado,Feb  7 2022,1809,3576
Colorado,Feb  6 2022,2819,3878
Colorado,Feb  5 2022,3511,4159
Colorado,Feb  4 2022,2791,4590
Colorado,Feb  3 2022,5278,5400
Colorado,Feb  2 2022,5028,6127
Colorado,Feb  1 2022,3801,6646
Colorado,Jan 31 2022,3922,7260
Colorado,Jan 30 2022,4786,7870
Colorado,Jan 29 2022,6524,8420
Colorado,Jan 28 2022,8461,9219
Colorado,Jan 27 2022,10372,10051
Colorado,Jan 26 2022,8656,11031
Colorado,Jan 25 2022,8100,11596
Colorado,Jan 24 2022,8195,12301
Colorado,Jan 23 2022,8635,12483
Colorado,Jan 22 2022,12118,13022
Colorado,Jan 21 2022,14281,14145
Colorado,Jan 20 2022,17238,14747
Colorado,Jan 19 2022,12608,14862
Colorado,Jan 18 2022,13032,15209
Colorado,Jan 17 2022,9474,16045
Colorado,Jan 16 2022,12409,16306
Colorado,Jan 15 2022,19979,16695
Colorado,Jan 14 2022,18495,16126
Colorado,Jan 13 2022,18038,16986
Colorado,Jan 12 2022,15040,17472
Colorado,Jan 11 2022,18885,17662
Colorado,Jan 10 2022,11296,16183
Colorado,Jan  9 2022,15137,15749
Colorado,Jan  8 2022,15995,14621
Colorado,Jan  7 2022,24513,14200
Colorado,Jan  6 2022,21440,12469
Colorado,Jan  5 2022,16368,11236
Colorado,Jan  4 2022,8537,10200
Colorado,Jan  3 2022,8254,9818
Colorado,Jan  2 2022,7241,9100
Colorado,Jan  1 2022,13050,8758
Colorado,Dec 31 2021,12395,7837
Colorado,Dec 30 2021,12811,6928
Colorado,Dec 29 2021,9116,5755
Colorado,Dec 28 2021,5863,5114
Colorado,Dec 27 2021,3227,4608
Colorado,Dec 26 2021,4846,4367
Colorado,Dec 25 2021,6607,3948
Colorado,Dec 24 2021,6027,3335
Colorado,Dec 23 2021,4599,2753
Colorado,Dec 22 2021,4634,2443
Colorado,Dec 21 2021,2319,2040
Colorado,Dec 20 2021,1543,1935
Colorado,Dec 19 2021,1907,1841
Colorado,Dec 18 2021,2319,1761
Colorado,Dec 17 2021,1952,1707
Colorado,Dec 16 2021,2428,1726
Colorado,Dec 15 2021,1818,1744
Colorado,Dec 14 2021,1583,1832
