Data Table for Daily Case Trends - Delaware
Date generated: Mon Jul 25 2022 09:36:04 GMT-0400 (Eastern Daylight Time)
State,Date,New Cases,7-Day Moving Avg
Delaware,Jul 21 2022,811,375
Delaware,Jul 20 2022,0,259
Delaware,Jul 19 2022,291,303
Delaware,Jul 18 2022,844,288
Delaware,Jul 17 2022,0,312
Delaware,Jul 16 2022,0,312
Delaware,Jul 15 2022,683,312
Delaware,Jul 14 2022,0,263
Delaware,Jul 13 2022,304,310
Delaware,Jul 12 2022,187,293
Delaware,Jul 11 2022,1014,286
Delaware,Jul 10 2022,0,239
Delaware,Jul  9 2022,0,239
Delaware,Jul  8 2022,341,239
Delaware,Jul  7 2022,325,241
Delaware,Jul  6 2022,185,239
Delaware,Jul  5 2022,138,252
Delaware,Jul  4 2022,686,250
Delaware,Jul  3 2022,0,253
Delaware,Jul  2 2022,0,253
Delaware,Jul  1 2022,357,253
Delaware,Jun 30 2022,313,239
Delaware,Jun 29 2022,272,245
Delaware,Jun 28 2022,127,225
Delaware,Jun 27 2022,702,231
Delaware,Jun 26 2022,0,155
Delaware,Jun 25 2022,0,187
Delaware,Jun 24 2022,262,243
Delaware,Jun 23 2022,352,250
Delaware,Jun 22 2022,134,237
Delaware,Jun 21 2022,167,254
Delaware,Jun 20 2022,175,251
Delaware,Jun 19 2022,222,245
Delaware,Jun 18 2022,393,255
Delaware,Jun 17 2022,311,242
Delaware,Jun 16 2022,262,256
Delaware,Jun 15 2022,252,266
Delaware,Jun 14 2022,146,318
Delaware,Jun 13 2022,132,320
Delaware,Jun 12 2022,290,325
Delaware,Jun 11 2022,303,339
Delaware,Jun 10 2022,410,346
Delaware,Jun  9 2022,332,346
Delaware,Jun  8 2022,614,361
Delaware,Jun  7 2022,164,297
Delaware,Jun  6 2022,168,303
Delaware,Jun  5 2022,382,329
Delaware,Jun  4 2022,354,365
Delaware,Jun  3 2022,413,391
Delaware,Jun  2 2022,434,436
Delaware,Jun  1 2022,168,456
Delaware,May 31 2022,205,504
Delaware,May 30 2022,348,521
Delaware,May 29 2022,636,518
Delaware,May 28 2022,536,520
Delaware,May 27 2022,729,546
Delaware,May 26 2022,574,561
Delaware,May 25 2022,505,581
Delaware,May 24 2022,323,601
Delaware,May 23 2022,323,598
Delaware,May 22 2022,653,615
Delaware,May 21 2022,721,608
Delaware,May 20 2022,831,599
Delaware,May 19 2022,713,566
Delaware,May 18 2022,646,548
Delaware,May 17 2022,301,513
Delaware,May 16 2022,446,508
Delaware,May 15 2022,599,481
Delaware,May 14 2022,660,453
Delaware,May 13 2022,603,426
Delaware,May 12 2022,582,400
Delaware,May 11 2022,401,384
Delaware,May 10 2022,271,360
Delaware,May  9 2022,256,337
Delaware,May  8 2022,400,324
Delaware,May  7 2022,472,305
Delaware,May  6 2022,418,281
Delaware,May  5 2022,473,258
Delaware,May  4 2022,230,227
Delaware,May  3 2022,114,223
Delaware,May  2 2022,166,222
Delaware,May  1 2022,264,211
Delaware,Apr 30 2022,308,200
Delaware,Apr 29 2022,251,196
Delaware,Apr 28 2022,258,191
Delaware,Apr 27 2022,205,180
Delaware,Apr 26 2022,106,175
Delaware,Apr 25 2022,91,166
Delaware,Apr 24 2022,185,169
Delaware,Apr 23 2022,281,169
Delaware,Apr 22 2022,211,155
Delaware,Apr 21 2022,186,160
Delaware,Apr 20 2022,165,164
Delaware,Apr 19 2022,48,161
Delaware,Apr 18 2022,113,167
Delaware,Apr 17 2022,179,165
Delaware,Apr 16 2022,188,160
Delaware,Apr 15 2022,247,149
Delaware,Apr 14 2022,212,136
Delaware,Apr 13 2022,144,129
Delaware,Apr 12 2022,86,122
Delaware,Apr 11 2022,100,117
Delaware,Apr 10 2022,145,110
Delaware,Apr  9 2022,111,100
Delaware,Apr  8 2022,156,98
Delaware,Apr  7 2022,167,90
Delaware,Apr  6 2022,92,81
Delaware,Apr  5 2022,49,78
Delaware,Apr  4 2022,53,78
Delaware,Apr  3 2022,78,75
Delaware,Apr  2 2022,96,77
Delaware,Apr  1 2022,95,74
Delaware,Mar 31 2022,105,71
Delaware,Mar 30 2022,75,66
Delaware,Mar 29 2022,50,64
Delaware,Mar 28 2022,32,62
Delaware,Mar 27 2022,86,63
Delaware,Mar 26 2022,78,61
Delaware,Mar 25 2022,75,61
Delaware,Mar 24 2022,69,60
Delaware,Mar 23 2022,60,62
Delaware,Mar 22 2022,40,59
Delaware,Mar 21 2022,36,60
Delaware,Mar 20 2022,69,61
Delaware,Mar 19 2022,82,62
Delaware,Mar 18 2022,70,63
Delaware,Mar 17 2022,79,66
Delaware,Mar 16 2022,39,68
Delaware,Mar 15 2022,46,75
Delaware,Mar 14 2022,42,74
Delaware,Mar 13 2022,78,77
Delaware,Mar 12 2022,91,78
Delaware,Mar 11 2022,87,81
