Data Table for Daily Case Trends - District of Columbia
Date generated: Mon Jul 25 2022 09:36:18 GMT-0400 (Eastern Daylight Time)
State,Date,New Cases,7-Day Moving Avg
District of Columbia,Jul 21 2022,217,205
District of Columbia,Jul 20 2022,229,208
District of Columbia,Jul 19 2022,190,204
District of Columbia,Jul 18 2022,804,211
District of Columbia,Jul 17 2022,0,168
District of Columbia,Jul 16 2022,0,168
District of Columbia,Jul 15 2022,0,168
District of Columbia,Jul 14 2022,235,206
District of Columbia,Jul 13 2022,205,203
District of Columbia,Jul 12 2022,234,283
District of Columbia,Jul 11 2022,507,250
District of Columbia,Jul 10 2022,0,177
District of Columbia,Jul  9 2022,0,177
District of Columbia,Jul  8 2022,267,177
District of Columbia,Jul  7 2022,208,177
District of Columbia,Jul  6 2022,770,181
District of Columbia,Jul  5 2022,0,106
District of Columbia,Jul  4 2022,0,128
District of Columbia,Jul  3 2022,0,212
District of Columbia,Jul  2 2022,0,212
District of Columbia,Jul  1 2022,262,212
District of Columbia,Jun 30 2022,239,253
District of Columbia,Jun 29 2022,245,219
District of Columbia,Jun 28 2022,156,218
District of Columbia,Jun 27 2022,584,319
District of Columbia,Jun 26 2022,0,236
District of Columbia,Jun 25 2022,0,236
District of Columbia,Jun 24 2022,549,236
District of Columbia,Jun 23 2022,0,195
District of Columbia,Jun 22 2022,242,229
District of Columbia,Jun 21 2022,861,227
District of Columbia,Jun 20 2022,0,131
District of Columbia,Jun 19 2022,0,195
District of Columbia,Jun 18 2022,0,195
District of Columbia,Jun 17 2022,262,195
District of Columbia,Jun 16 2022,242,192
District of Columbia,Jun 15 2022,225,201
District of Columbia,Jun 14 2022,192,208
District of Columbia,Jun 13 2022,445,227
District of Columbia,Jun 12 2022,0,256
District of Columbia,Jun 11 2022,0,256
District of Columbia,Jun 10 2022,246,256
District of Columbia,Jun  9 2022,301,252
District of Columbia,Jun  8 2022,274,251
District of Columbia,Jun  7 2022,326,239
District of Columbia,Jun  6 2022,647,287
District of Columbia,Jun  5 2022,0,195
District of Columbia,Jun  4 2022,0,195
District of Columbia,Jun  3 2022,222,195
District of Columbia,Jun  2 2022,288,216
District of Columbia,Jun  1 2022,192,236
District of Columbia,May 31 2022,665,290
District of Columbia,May 30 2022,0,259
District of Columbia,May 29 2022,0,346
District of Columbia,May 28 2022,0,346
District of Columbia,May 27 2022,367,346
District of Columbia,May 26 2022,428,338
District of Columbia,May 25 2022,573,331
District of Columbia,May 24 2022,451,301
District of Columbia,May 23 2022,609,281
District of Columbia,May 22 2022,0,289
District of Columbia,May 21 2022,0,289
District of Columbia,May 20 2022,306,289
District of Columbia,May 19 2022,384,318
District of Columbia,May 18 2022,357,368
District of Columbia,May 17 2022,317,451
District of Columbia,May 16 2022,659,405
District of Columbia,May 15 2022,0,463
District of Columbia,May 14 2022,0,463
District of Columbia,May 13 2022,512,463
District of Columbia,May 12 2022,732,390
District of Columbia,May 11 2022,938,285
District of Columbia,May 10 2022,0,151
District of Columbia,May  9 2022,1062,151
District of Columbia,May  8 2022,0,0
District of Columbia,May  7 2022,0,0
District of Columbia,May  6 2022,0,0
District of Columbia,May  5 2022,0,0
District of Columbia,May  4 2022,0,0
District of Columbia,May  3 2022,0,0
District of Columbia,May  2 2022,0,84
District of Columbia,May  1 2022,0,84
District of Columbia,Apr 30 2022,0,84
District of Columbia,Apr 29 2022,0,84
District of Columbia,Apr 28 2022,0,156
District of Columbia,Apr 27 2022,0,156
District of Columbia,Apr 26 2022,588,181
District of Columbia,Apr 25 2022,0,226
District of Columbia,Apr 24 2022,0,226
District of Columbia,Apr 23 2022,0,226
District of Columbia,Apr 22 2022,510,226
District of Columbia,Apr 21 2022,0,153
District of Columbia,Apr 20 2022,171,240
District of Columbia,Apr 19 2022,902,216
District of Columbia,Apr 18 2022,0,119
District of Columbia,Apr 17 2022,0,309
District of Columbia,Apr 16 2022,0,309
District of Columbia,Apr 15 2022,0,309
District of Columbia,Apr 14 2022,612,309
District of Columbia,Apr 13 2022,0,222
District of Columbia,Apr 12 2022,221,222
District of Columbia,Apr 11 2022,1336,293
District of Columbia,Apr 10 2022,0,102
District of Columbia,Apr  9 2022,0,102
District of Columbia,Apr  8 2022,0,102
District of Columbia,Apr  7 2022,0,102
District of Columbia,Apr  6 2022,0,143
District of Columbia,Apr  5 2022,717,143
District of Columbia,Apr  4 2022,0,54
District of Columbia,Apr  3 2022,0,80
District of Columbia,Apr  2 2022,0,80
District of Columbia,Apr  1 2022,0,80
District of Columbia,Mar 31 2022,288,96
District of Columbia,Mar 30 2022,0,76
District of Columbia,Mar 29 2022,92,91
District of Columbia,Mar 28 2022,184,88
District of Columbia,Mar 27 2022,0,81
District of Columbia,Mar 26 2022,0,81
District of Columbia,Mar 25 2022,109,81
District of Columbia,Mar 24 2022,151,76
District of Columbia,Mar 23 2022,107,69
District of Columbia,Mar 22 2022,71,104
District of Columbia,Mar 21 2022,132,94
District of Columbia,Mar 20 2022,0,75
District of Columbia,Mar 19 2022,0,75
District of Columbia,Mar 18 2022,71,75
District of Columbia,Mar 17 2022,106,65
District of Columbia,Mar 16 2022,352,69
District of Columbia,Mar 15 2022,0,19
District of Columbia,Mar 14 2022,0,77
District of Columbia,Mar 13 2022,0,77
District of Columbia,Mar 12 2022,0,77
District of Columbia,Mar 11 2022,0,77
District of Columbia,Mar 10 2022,137,77
District of Columbia,Mar  9 2022,0,58
District of Columbia,Mar  8 2022,408,58
District of Columbia,Mar  7 2022,0,16
District of Columbia,Mar  6 2022,0,50
District of Columbia,Mar  5 2022,0,50
District of Columbia,Mar  4 2022,0,50
District of Columbia,Mar  3 2022,0,50
District of Columbia,Mar  2 2022,0,80
District of Columbia,Mar  1 2022,114,87
District of Columbia,Feb 28 2022,238,123
District of Columbia,Feb 27 2022,0,89
District of Columbia,Feb 26 2022,0,89
District of Columbia,Feb 25 2022,0,89
District of Columbia,Feb 24 2022,212,105
District of Columbia,Feb 23 2022,48,93
District of Columbia,Feb 22 2022,369,103
District of Columbia,Feb 21 2022,0,57
District of Columbia,Feb 20 2022,0,125
District of Columbia,Feb 19 2022,0,125
District of Columbia,Feb 18 2022,110,125
District of Columbia,Feb 17 2022,128,137
District of Columbia,Feb 16 2022,120,118
District of Columbia,Feb 15 2022,44,136
District of Columbia,Feb 14 2022,475,148
District of Columbia,Feb 13 2022,0,182
District of Columbia,Feb 12 2022,0,182
District of Columbia,Feb 11 2022,192,182
District of Columbia,Feb 10 2022,0,155
District of Columbia,Feb  9 2022,244,219
District of Columbia,Feb  8 2022,127,184
District of Columbia,Feb  7 2022,714,195
District of Columbia,Feb  6 2022,0,246
District of Columbia,Feb  5 2022,0,246
District of Columbia,Feb  4 2022,0,246
District of Columbia,Feb  3 2022,450,246
District of Columbia,Feb  2 2022,0,230
District of Columbia,Feb  1 2022,205,336
District of Columbia,Jan 31 2022,1071,334
District of Columbia,Jan 30 2022,0,373
District of Columbia,Jan 29 2022,0,373
District of Columbia,Jan 28 2022,0,373
District of Columbia,Jan 27 2022,338,448
District of Columbia,Jan 26 2022,740,470
District of Columbia,Jan 25 2022,189,433
District of Columbia,Jan 24 2022,1350,954
District of Columbia,Jan 23 2022,0,761
District of Columbia,Jan 22 2022,0,761
District of Columbia,Jan 21 2022,525,761
District of Columbia,Jan 20 2022,488,906
District of Columbia,Jan 19 2022,480,1055
District of Columbia,Jan 18 2022,3836,1160
District of Columbia,Jan 17 2022,0,799
District of Columbia,Jan 16 2022,0,1690
District of Columbia,Jan 15 2022,0,1690
District of Columbia,Jan 14 2022,1544,1690
District of Columbia,Jan 13 2022,1525,1745
District of Columbia,Jan 12 2022,1216,1711
District of Columbia,Jan 11 2022,1308,1727
District of Columbia,Jan 10 2022,6238,1827
District of Columbia,Jan  9 2022,0,2250
District of Columbia,Jan  8 2022,0,2250
District of Columbia,Jan  7 2022,1928,2250
District of Columbia,Jan  6 2022,1293,1975
District of Columbia,Jan  5 2022,1326,2110
District of Columbia,Jan  4 2022,2006,2122
District of Columbia,Jan  3 2022,9201,2103
District of Columbia,Jan  2 2022,0,2103
District of Columbia,Jan  1 2022,0,2103
District of Columbia,Dec 31 2021,0,2103
District of Columbia,Dec 30 2021,2241,2103
District of Columbia,Dec 29 2021,1412,2054
District of Columbia,Dec 28 2021,1868,2070
District of Columbia,Dec 27 2021,9200,1969
District of Columbia,Dec 26 2021,0,1192
District of Columbia,Dec 25 2021,0,1192
District of Columbia,Dec 24 2021,0,1192
District of Columbia,Dec 23 2021,1904,1312
District of Columbia,Dec 22 2021,1524,1113
District of Columbia,Dec 21 2021,1155,942
District of Columbia,Dec 20 2021,3763,798
District of Columbia,Dec 19 2021,0,359
District of Columbia,Dec 18 2021,0,359
District of Columbia,Dec 17 2021,844,359
District of Columbia,Dec 16 2021,508,273
District of Columbia,Dec 15 2021,327,229
District of Columbia,Dec 14 2021,148,200
District of Columbia,Dec 13 2021,690,199
District of Columbia,Dec 12 2021,0,181
District of Columbia,Dec 11 2021,0,181
District of Columbia,Dec 10 2021,242,181
District of Columbia,Dec  9 2021,198,183
District of Columbia,Dec  8 2021,128,173
District of Columbia,Dec  7 2021,136,174
District of Columbia,Dec  6 2021,568,163
District of Columbia,Dec  5 2021,0,131
District of Columbia,Dec  4 2021,0,131
District of Columbia,Dec  3 2021,257,131
District of Columbia,Dec  2 2021,126,94
District of Columbia,Dec  1 2021,135,76
District of Columbia,Nov 30 2021,55,68
District of Columbia,Nov 29 2021,347,72
District of Columbia,Nov 28 2021,0,68
