Data Table for Daily Case Trends - Florida
Date generated: Mon Jul 25 2022 09:36:29 GMT-0400 (Eastern Daylight Time)
State,Date,New Cases,7-Day Moving Avg
Florida,Jul 21 2022,12106,10862
Florida,Jul 20 2022,12545,10805
Florida,Jul 19 2022,12168,10935
Florida,Jul 18 2022,11765,10993
Florida,Jul 17 2022,7619,10952
Florida,Jul 16 2022,8638,11059
Florida,Jul 15 2022,11195,11063
Florida,Jul 14 2022,11706,11180
Florida,Jul 13 2022,13459,11536
Florida,Jul 12 2022,12573,11512
Florida,Jul 11 2022,11478,10872
Florida,Jul 10 2022,8369,10280
Florida,Jul  9 2022,8661,10044
Florida,Jul  8 2022,12017,9920
Florida,Jul  7 2022,14198,9685
Florida,Jul  6 2022,13288,9325
Florida,Jul  5 2022,8099,9249
Florida,Jul  4 2022,7332,9669
Florida,Jul  3 2022,6717,10254
Florida,Jul  2 2022,7795,10397
Florida,Jul  1 2022,10370,10540
Florida,Jun 30 2022,11676,10644
Florida,Jun 29 2022,12758,10667
Florida,Jun 28 2022,11041,10635
Florida,Jun 27 2022,11423,10787
Florida,Jun 26 2022,7720,10720
Florida,Jun 25 2022,8792,10587
Florida,Jun 24 2022,11104,10574
Florida,Jun 23 2022,11833,10542
Florida,Jun 22 2022,12538,10572
Florida,Jun 21 2022,12104,10599
Florida,Jun 20 2022,10949,10785
Florida,Jun 19 2022,6789,10609
Florida,Jun 18 2022,8707,10669
Florida,Jun 17 2022,10880,10640
Florida,Jun 16 2022,12042,10614
Florida,Jun 15 2022,12726,10599
Florida,Jun 14 2022,13405,10518
Florida,Jun 13 2022,9719,10304
Florida,Jun 12 2022,7208,10594
Florida,Jun 11 2022,8500,10701
Florida,Jun 10 2022,10701,10561
Florida,Jun  9 2022,11936,10626
Florida,Jun  8 2022,12163,10924
Florida,Jun  7 2022,11903,11066
Florida,Jun  6 2022,11751,10795
Florida,Jun  5 2022,7958,10224
Florida,Jun  4 2022,7520,10080
Florida,Jun  3 2022,11152,10228
Florida,Jun  2 2022,14021,10245
Florida,Jun  1 2022,13159,9829
Florida,May 31 2022,10007,9578
Florida,May 30 2022,7753,9872
Florida,May 29 2022,6949,10127
Florida,May 28 2022,8559,10056
Florida,May 27 2022,11269,9828
Florida,May 26 2022,11110,9550
Florida,May 25 2022,11400,9167
Florida,May 24 2022,12066,9004
Florida,May 23 2022,9538,8618
Florida,May 22 2022,6455,8469
Florida,May 21 2022,6960,8311
Florida,May 20 2022,9324,8165
Florida,May 19 2022,8429,8597
Florida,May 18 2022,10262,7913
Florida,May 17 2022,9360,7568
Florida,May 16 2022,8499,7334
Florida,May 15 2022,5343,8038
Florida,May 14 2022,5940,7290
Florida,May 13 2022,12349,6604
Florida,May 12 2022,3644,5630
Florida,May 11 2022,7843,5965
Florida,May 10 2022,7726,5769
Florida,May  9 2022,13426,5298
Florida,May  8 2022,107,4101
Florida,May  7 2022,1138,4503
Florida,May  6 2022,5527,4814
Florida,May  5 2022,5988,4707
Florida,May  4 2022,6472,4519
Florida,May  3 2022,4429,4260
Florida,May  2 2022,5046,4281
Florida,May  1 2022,2922,4087
Florida,Apr 30 2022,3319,4030
Florida,Apr 29 2022,4776,3965
Florida,Apr 28 2022,4669,3787
Florida,Apr 27 2022,4659,3635
Florida,Apr 26 2022,4577,3515
Florida,Apr 25 2022,3688,3364
Florida,Apr 24 2022,2525,3273
Florida,Apr 23 2022,2861,3172
Florida,Apr 22 2022,3534,3080
Florida,Apr 21 2022,3606,2970
Florida,Apr 20 2022,3819,2868
Florida,Apr 19 2022,3519,2739
Florida,Apr 18 2022,3053,2599
Florida,Apr 17 2022,1814,2471
Florida,Apr 16 2022,2221,2424
Florida,Apr 15 2022,2761,2324
Florida,Apr 14 2022,2891,2228
Florida,Apr 13 2022,2915,2119
Florida,Apr 12 2022,2544,1949
Florida,Apr 11 2022,2153,1900
Florida,Apr 10 2022,1484,1802
Florida,Apr  9 2022,1523,1732
Florida,Apr  8 2022,2092,1676
Florida,Apr  7 2022,2123,1611
Florida,Apr  6 2022,1729,1531
Florida,Apr  5 2022,2196,1624
Florida,Apr  4 2022,1472,1504
Florida,Apr  3 2022,990,1507
Florida,Apr  2 2022,1132,1487
Florida,Apr  1 2022,1641,1479
Florida,Mar 31 2022,1559,1451
Florida,Mar 30 2022,2384,1434
Florida,Mar 29 2022,1354,1329
Florida,Mar 28 2022,1493,1418
Florida,Mar 27 2022,849,1328
Florida,Mar 26 2022,1073,1304
Florida,Mar 25 2022,1448,1287
Florida,Mar 24 2022,1442,1260
Florida,Mar 23 2022,1648,1252
Florida,Mar 22 2022,1978,1235
Florida,Mar 21 2022,863,1133
Florida,Mar 20 2022,677,1183
Florida,Mar 19 2022,958,1181
Florida,Mar 18 2022,1258,1148
Florida,Mar 17 2022,1388,1147
Florida,Mar 16 2022,1525,1138
Florida,Mar 15 2022,1265,1141
Florida,Mar 14 2022,1211,1198
Florida,Mar 13 2022,666,1253
Florida,Mar 12 2022,725,1277
Florida,Mar 11 2022,1249,1392
Florida,Mar 10 2022,1329,1462
Florida,Mar  9 2022,1542,1553
Florida,Mar  8 2022,1664,1666
Florida,Mar  7 2022,1601,1678
Florida,Mar  6 2022,829,1757
Florida,Mar  5 2022,1531,1902
Florida,Mar  4 2022,1739,1877
Florida,Mar  3 2022,1966,2016
Florida,Mar  2 2022,2333,2148
Florida,Mar  1 2022,1747,2318
Florida,Feb 28 2022,2155,2625
Florida,Feb 27 2022,1845,2848
Florida,Feb 26 2022,1359,3034
Florida,Feb 25 2022,2713,3266
Florida,Feb 24 2022,2887,3653
Florida,Feb 23 2022,3526,4002
Florida,Feb 22 2022,3892,4418
Florida,Feb 21 2022,3715,4771
Florida,Feb 20 2022,3150,5094
Florida,Feb 19 2022,2981,5244
Florida,Feb 18 2022,5423,5558
Florida,Feb 17 2022,5330,6053
Florida,Feb 16 2022,6437,6690
Florida,Feb 15 2022,6366,7218
Florida,Feb 14 2022,5977,8148
Florida,Feb 13 2022,4197,10042
Florida,Feb 12 2022,5176,12358
Florida,Feb 11 2022,8888,13254
Florida,Feb 10 2022,9792,14692
Florida,Feb  9 2022,10135,15982
Florida,Feb  8 2022,12872,17072
Florida,Feb  7 2022,19236,17636
Florida,Feb  6 2022,20412,17737
Florida,Feb  5 2022,11443,17004
Florida,Feb  4 2022,18955,18174
Florida,Feb  3 2022,18826,18691
Florida,Feb  2 2022,17766,20346
Florida,Feb  1 2022,16814,21790
Florida,Jan 31 2022,19947,24707
Florida,Jan 30 2022,15283,26848
Florida,Jan 29 2022,19631,29763
Florida,Jan 28 2022,22574,28133
Florida,Jan 27 2022,30411,28143
Florida,Jan 26 2022,27876,29264
Florida,Jan 25 2022,37227,31806
Florida,Jan 24 2022,34935,32599
Florida,Jan 23 2022,35692,32273
Florida,Jan 22 2022,8220,31690
Florida,Jan 21 2022,22646,37167
Florida,Jan 20 2022,38255,40952
Florida,Jan 19 2022,45673,43871
Florida,Jan 18 2022,42774,45225
Florida,Jan 17 2022,32651,49305
Florida,Jan 16 2022,31617,51400
Florida,Jan 15 2022,46559,53916
Florida,Jan 14 2022,49141,58217
Florida,Jan 13 2022,58683,61125
Florida,Jan 12 2022,55150,63674
Florida,Jan 11 2022,71335,65245
Florida,Jan 10 2022,47315,63471
Florida,Jan  9 2022,49233,64026
Florida,Jan  8 2022,76662,62631
Florida,Jan  7 2022,69501,58176
Florida,Jan  6 2022,76528,56135
Florida,Jan  5 2022,66147,55765
Florida,Jan  4 2022,58914,54545
Florida,Jan  3 2022,51198,53655
Florida,Jan  2 2022,39468,51113
Florida,Jan  1 2022,45480,49619
Florida,Dec 31 2021,55216,46116
Florida,Dec 30 2021,73937,42199
Florida,Dec 29 2021,57608,36222
Florida,Dec 28 2021,52680,32002
Florida,Dec 27 2021,33408,27474
Florida,Dec 26 2021,29005,24825
Florida,Dec 25 2021,20958,22241
Florida,Dec 24 2021,27797,20807
Florida,Dec 23 2021,32098,18285
Florida,Dec 22 2021,28068,15178
Florida,Dec 21 2021,20985,12320
Florida,Dec 20 2021,14868,9995
Florida,Dec 19 2021,10917,8350
Florida,Dec 18 2021,10917,7106
Florida,Dec 17 2021,10144,5908
Florida,Dec 16 2021,10348,4863
Florida,Dec 15 2021,8065,3762
Florida,Dec 14 2021,4707,3012
Florida,Dec 13 2021,3356,2621
Florida,Dec 12 2021,2209,2394
Florida,Dec 11 2021,2528,2270
Florida,Dec 10 2021,2833,2138
Florida,Dec  9 2021,2642,2038
Florida,Dec  8 2021,2815,1963
Florida,Dec  7 2021,1968,1897
Florida,Dec  6 2021,1765,1924
Florida,Dec  5 2021,1343,1923
Florida,Dec  4 2021,1601,1900
Florida,Dec  3 2021,2133,1829
Florida,Dec  2 2021,2122,1628
Florida,Dec  1 2021,2350,1477
Florida,Nov 30 2021,2157,1389
Florida,Nov 29 2021,1760,1316
Florida,Nov 28 2021,1177,1304
Florida,Nov 27 2021,1105,1272
Florida,Nov 26 2021,725,1286
Florida,Nov 25 2021,1067,1428
Florida,Nov 24 2021,1735,1528
Florida,Nov 23 2021,1644,1577
Florida,Nov 22 2021,1678,1598
Florida,Nov 21 2021,956,1614
Florida,Nov 20 2021,1199,1634
Florida,Nov 19 2021,1717,1626
Florida,Nov 18 2021,1773,1625
Florida,Nov 17 2021,2073,1593
Florida,Nov 16 2021,1793,1665
Florida,Nov 15 2021,1790,1630
Florida,Nov 14 2021,1094,1643
Florida,Nov 13 2021,1143,1529
Florida,Nov 12 2021,1713,1522
Florida,Nov 11 2021,1546,1523
Florida,Nov 10 2021,2576,1539
