Data Table for Daily Case Trends - Hawaii
Date generated: Mon Jul 25 2022 09:36:53 GMT-0400 (Eastern Daylight Time)
State,Date,New Cases,7-Day Moving Avg
Hawaii,Jul 21 2022,0,606
Hawaii,Jul 20 2022,4244,606
Hawaii,Jul 19 2022,0,601
Hawaii,Jul 18 2022,0,601
Hawaii,Jul 17 2022,0,601
Hawaii,Jul 16 2022,0,601
Hawaii,Jul 15 2022,0,601
Hawaii,Jul 14 2022,0,601
Hawaii,Jul 13 2022,4213,601
Hawaii,Jul 12 2022,0,586
Hawaii,Jul 11 2022,0,586
Hawaii,Jul 10 2022,0,586
Hawaii,Jul  9 2022,0,586
Hawaii,Jul  8 2022,0,586
Hawaii,Jul  7 2022,0,586
Hawaii,Jul  6 2022,4102,586
Hawaii,Jul  5 2022,0,748
Hawaii,Jul  4 2022,0,748
Hawaii,Jul  3 2022,0,748
Hawaii,Jul  2 2022,0,748
Hawaii,Jul  1 2022,0,748
Hawaii,Jun 30 2022,0,748
Hawaii,Jun 29 2022,5239,748
Hawaii,Jun 28 2022,0,765
Hawaii,Jun 27 2022,0,765
Hawaii,Jun 26 2022,0,765
Hawaii,Jun 25 2022,0,765
Hawaii,Jun 24 2022,0,765
Hawaii,Jun 23 2022,0,765
Hawaii,Jun 22 2022,5355,765
Hawaii,Jun 21 2022,0,1011
Hawaii,Jun 20 2022,0,1011
Hawaii,Jun 19 2022,0,1011
Hawaii,Jun 18 2022,0,1011
Hawaii,Jun 17 2022,0,1011
Hawaii,Jun 16 2022,0,1011
Hawaii,Jun 15 2022,7078,1011
Hawaii,Jun 14 2022,0,1134
Hawaii,Jun 13 2022,0,1134
Hawaii,Jun 12 2022,0,1134
Hawaii,Jun 11 2022,0,1134
Hawaii,Jun 10 2022,0,1134
Hawaii,Jun  9 2022,0,1134
Hawaii,Jun  8 2022,7943,1134
Hawaii,Jun  7 2022,0,1147
Hawaii,Jun  6 2022,0,1147
Hawaii,Jun  5 2022,0,1147
Hawaii,Jun  4 2022,0,1147
Hawaii,Jun  3 2022,0,1147
Hawaii,Jun  2 2022,0,1147
Hawaii,Jun  1 2022,8029,1147
Hawaii,May 31 2022,0,1260
Hawaii,May 30 2022,0,1260
Hawaii,May 29 2022,0,1260
Hawaii,May 28 2022,0,1260
Hawaii,May 27 2022,0,1260
Hawaii,May 26 2022,0,1260
Hawaii,May 25 2022,8821,1260
Hawaii,May 24 2022,0,1003
Hawaii,May 23 2022,0,1003
Hawaii,May 22 2022,0,1003
Hawaii,May 21 2022,0,1003
Hawaii,May 20 2022,0,1003
Hawaii,May 19 2022,0,1003
Hawaii,May 18 2022,7022,1003
Hawaii,May 17 2022,0,807
Hawaii,May 16 2022,0,807
Hawaii,May 15 2022,0,807
Hawaii,May 14 2022,0,807
Hawaii,May 13 2022,0,807
Hawaii,May 12 2022,0,807
Hawaii,May 11 2022,5649,807
Hawaii,May 10 2022,0,593
Hawaii,May  9 2022,0,593
Hawaii,May  8 2022,0,593
Hawaii,May  7 2022,0,593
Hawaii,May  6 2022,0,593
Hawaii,May  5 2022,0,593
Hawaii,May  4 2022,4155,593
Hawaii,May  3 2022,0,357
Hawaii,May  2 2022,0,357
Hawaii,May  1 2022,0,357
Hawaii,Apr 30 2022,0,357
Hawaii,Apr 29 2022,0,357
Hawaii,Apr 28 2022,0,357
Hawaii,Apr 27 2022,2501,357
Hawaii,Apr 26 2022,0,238
Hawaii,Apr 25 2022,0,238
Hawaii,Apr 24 2022,0,238
Hawaii,Apr 23 2022,0,238
Hawaii,Apr 22 2022,0,238
Hawaii,Apr 21 2022,0,238
Hawaii,Apr 20 2022,1666,238
Hawaii,Apr 19 2022,0,185
Hawaii,Apr 18 2022,0,185
Hawaii,Apr 17 2022,0,185
Hawaii,Apr 16 2022,0,185
Hawaii,Apr 15 2022,0,185
Hawaii,Apr 14 2022,0,185
Hawaii,Apr 13 2022,1300,185
Hawaii,Apr 12 2022,0,162
Hawaii,Apr 11 2022,0,162
Hawaii,Apr 10 2022,0,162
Hawaii,Apr  9 2022,0,162
Hawaii,Apr  8 2022,0,162
Hawaii,Apr  7 2022,0,162
Hawaii,Apr  6 2022,1138,162
Hawaii,Apr  5 2022,0,155
Hawaii,Apr  4 2022,0,155
Hawaii,Apr  3 2022,0,155
Hawaii,Apr  2 2022,0,155
Hawaii,Apr  1 2022,0,155
Hawaii,Mar 31 2022,0,155
Hawaii,Mar 30 2022,1090,155
Hawaii,Mar 29 2022,0,103
Hawaii,Mar 28 2022,0,103
Hawaii,Mar 27 2022,0,103
Hawaii,Mar 26 2022,0,103
Hawaii,Mar 25 2022,0,103
Hawaii,Mar 24 2022,0,103
Hawaii,Mar 23 2022,724,103
Hawaii,Mar 22 2022,0,143
Hawaii,Mar 21 2022,0,143
Hawaii,Mar 20 2022,0,143
Hawaii,Mar 19 2022,0,143
Hawaii,Mar 18 2022,0,143
Hawaii,Mar 17 2022,0,143
Hawaii,Mar 16 2022,1001,143
Hawaii,Mar 15 2022,0,17
Hawaii,Mar 14 2022,0,26
Hawaii,Mar 13 2022,0,88
Hawaii,Mar 12 2022,0,88
Hawaii,Mar 11 2022,0,88
Hawaii,Mar 10 2022,0,119
Hawaii,Mar  9 2022,122,161
Hawaii,Mar  8 2022,63,163
Hawaii,Mar  7 2022,437,171
Hawaii,Mar  6 2022,0,160
Hawaii,Mar  5 2022,0,160
Hawaii,Mar  4 2022,216,207
Hawaii,Mar  3 2022,292,218
Hawaii,Mar  2 2022,139,216
Hawaii,Mar  1 2022,117,213
Hawaii,Feb 28 2022,361,217
Hawaii,Feb 27 2022,0,194
Hawaii,Feb 26 2022,326,238
