Data Table for Daily Case Trends - Idaho
Date generated: Mon Jul 25 2022 09:37:05 GMT-0400 (Eastern Daylight Time)
State,Date,New Cases,7-Day Moving Avg
Idaho,Jul 21 2022,0,527
Idaho,Jul 20 2022,1529,527
Idaho,Jul 19 2022,0,521
Idaho,Jul 18 2022,998,521
Idaho,Jul 17 2022,0,550
Idaho,Jul 16 2022,0,550
Idaho,Jul 15 2022,1166,550
Idaho,Jul 14 2022,0,635
Idaho,Jul 13 2022,1484,635
Idaho,Jul 12 2022,0,697
Idaho,Jul 11 2022,1203,697
Idaho,Jul 10 2022,0,525
Idaho,Jul  9 2022,0,525
Idaho,Jul  8 2022,1763,525
Idaho,Jul  7 2022,0,432
Idaho,Jul  6 2022,1913,432
Idaho,Jul  5 2022,0,352
Idaho,Jul  4 2022,0,352
Idaho,Jul  3 2022,0,479
Idaho,Jul  2 2022,0,479
Idaho,Jul  1 2022,1116,479
Idaho,Jun 30 2022,0,493
Idaho,Jun 29 2022,1352,493
Idaho,Jun 28 2022,0,531
Idaho,Jun 27 2022,885,531
Idaho,Jun 26 2022,0,404
Idaho,Jun 25 2022,0,404
Idaho,Jun 24 2022,1216,404
Idaho,Jun 23 2022,0,357
Idaho,Jun 22 2022,1618,357
Idaho,Jun 21 2022,0,253
Idaho,Jun 20 2022,0,253
Idaho,Jun 19 2022,0,354
Idaho,Jun 18 2022,0,354
Idaho,Jun 17 2022,881,354
Idaho,Jun 16 2022,0,349
Idaho,Jun 15 2022,894,349
Idaho,Jun 14 2022,0,368
Idaho,Jun 13 2022,705,368
Idaho,Jun 12 2022,0,358
Idaho,Jun 11 2022,0,358
Idaho,Jun 10 2022,850,358
Idaho,Jun  9 2022,0,356
Idaho,Jun  8 2022,1027,356
Idaho,Jun  7 2022,0,370
Idaho,Jun  6 2022,632,370
Idaho,Jun  5 2022,0,280
Idaho,Jun  4 2022,0,280
Idaho,Jun  3 2022,833,280
Idaho,Jun  2 2022,0,249
Idaho,Jun  1 2022,1128,249
Idaho,May 31 2022,0,182
Idaho,May 30 2022,0,182
Idaho,May 29 2022,0,241
Idaho,May 28 2022,0,241
Idaho,May 27 2022,620,241
Idaho,May 26 2022,0,226
Idaho,May 25 2022,655,226
Idaho,May 24 2022,0,201
Idaho,May 23 2022,417,201
Idaho,May 22 2022,0,193
Idaho,May 21 2022,0,193
Idaho,May 20 2022,511,193
Idaho,May 19 2022,0,173
Idaho,May 18 2022,485,173
Idaho,May 17 2022,0,158
Idaho,May 16 2022,356,158
Idaho,May 15 2022,0,151
Idaho,May 14 2022,0,151
Idaho,May 13 2022,373,151
Idaho,May 12 2022,0,141
Idaho,May 11 2022,381,141
Idaho,May 10 2022,0,133
Idaho,May  9 2022,303,133
Idaho,May  8 2022,0,116
Idaho,May  7 2022,0,116
Idaho,May  6 2022,307,116
Idaho,May  5 2022,0,104
Idaho,May  4 2022,322,104
Idaho,May  3 2022,0,79
Idaho,May  2 2022,187,79
Idaho,May  1 2022,0,70
Idaho,Apr 30 2022,0,70
Idaho,Apr 29 2022,219,70
Idaho,Apr 28 2022,0,67
Idaho,Apr 27 2022,151,67
Idaho,Apr 26 2022,0,71
Idaho,Apr 25 2022,125,71
Idaho,Apr 24 2022,0,72
Idaho,Apr 23 2022,0,72
Idaho,Apr 22 2022,195,72
Idaho,Apr 21 2022,0,49
Idaho,Apr 20 2022,183,63
Idaho,Apr 19 2022,0,43
Idaho,Apr 18 2022,127,58
Idaho,Apr 17 2022,0,57
Idaho,Apr 16 2022,0,57
Idaho,Apr 15 2022,33,57
Idaho,Apr 14 2022,100,60
Idaho,Apr 13 2022,43,54
Idaho,Apr 12 2022,107,52
Idaho,Apr 11 2022,120,47
Idaho,Apr 10 2022,0,61
Idaho,Apr  9 2022,0,61
Idaho,Apr  8 2022,53,61
Idaho,Apr  7 2022,61,83
Idaho,Apr  6 2022,24,84
Idaho,Apr  5 2022,76,101
Idaho,Apr  4 2022,213,108
Idaho,Apr  3 2022,0,94
Idaho,Apr  2 2022,0,94
Idaho,Apr  1 2022,208,94
Idaho,Mar 31 2022,72,74
Idaho,Mar 30 2022,138,88
Idaho,Mar 29 2022,126,108
Idaho,Mar 28 2022,117,150
Idaho,Mar 27 2022,0,230
Idaho,Mar 26 2022,0,230
Idaho,Mar 25 2022,70,230
Idaho,Mar 24 2022,170,300
Idaho,Mar 23 2022,274,360
Idaho,Mar 22 2022,424,443
Idaho,Mar 21 2022,673,501
Idaho,Mar 20 2022,0,572
Idaho,Mar 19 2022,0,572
Idaho,Mar 18 2022,563,572
Idaho,Mar 17 2022,592,616
Idaho,Mar 16 2022,855,678
Idaho,Mar 15 2022,825,706
Idaho,Mar 14 2022,1172,706
Idaho,Mar 13 2022,0,778
Idaho,Mar 12 2022,0,778
Idaho,Mar 11 2022,870,778
Idaho,Mar 10 2022,1028,877
Idaho,Mar  9 2022,1052,936
Idaho,Mar  8 2022,824,1034
Idaho,Mar  7 2022,1674,1141
Idaho,Mar  6 2022,0,1263
Idaho,Mar  5 2022,0,1263
Idaho,Mar  4 2022,1565,1263
Idaho,Mar  3 2022,1442,1333
Idaho,Mar  2 2022,1738,1471
Idaho,Mar  1 2022,1574,1552
Idaho,Feb 28 2022,2526,1664
Idaho,Feb 27 2022,0,1303
Idaho,Feb 26 2022,0,1303
Idaho,Feb 25 2022,2051,1466
Idaho,Feb 24 2022,2409,1489
Idaho,Feb 23 2022,2310,1435
Idaho,Feb 22 2022,2355,1437
Idaho,Feb 21 2022,0,1412
Idaho,Feb 20 2022,0,1625
Idaho,Feb 19 2022,1141,1625
Idaho,Feb 18 2022,2214,1617
Idaho,Feb 17 2022,2029,1551
Idaho,Feb 16 2022,2323,1599
Idaho,Feb 15 2022,2177,1634
Idaho,Feb 14 2022,1492,1653
Idaho,Feb 13 2022,0,1724
Idaho,Feb 12 2022,1089,1724
Idaho,Feb 11 2022,1749,1761
