Data Table for Daily Case Trends - Illinois
Date generated: Mon Jul 25 2022 09:37:14 GMT-0400 (Eastern Daylight Time)
State,Date,New Cases,7-Day Moving Avg
Illinois,Jul 21 2022,6636,4514
Illinois,Jul 20 2022,5303,4325
Illinois,Jul 19 2022,3805,4300
Illinois,Jul 18 2022,11248,4624
Illinois,Jul 17 2022,0,4723
Illinois,Jul 16 2022,0,4723
Illinois,Jul 15 2022,4607,4723
Illinois,Jul 14 2022,5318,4837
Illinois,Jul 13 2022,5124,4905
Illinois,Jul 12 2022,6075,4956
Illinois,Jul 11 2022,11942,5640
Illinois,Jul 10 2022,0,3934
Illinois,Jul  9 2022,0,3934
Illinois,Jul  8 2022,5403,3934
Illinois,Jul  7 2022,5796,3814
Illinois,Jul  6 2022,5482,3681
Illinois,Jul  5 2022,10862,3561
Illinois,Jul  4 2022,0,2616
Illinois,Jul  3 2022,0,4030
Illinois,Jul  2 2022,0,4030
Illinois,Jul  1 2022,4562,4030
Illinois,Jun 30 2022,4864,4174
Illinois,Jun 29 2022,4645,3978
Illinois,Jun 28 2022,4241,3973
Illinois,Jun 27 2022,9904,5285
Illinois,Jun 26 2022,0,3870
Illinois,Jun 25 2022,0,3870
Illinois,Jun 24 2022,5568,3870
Illinois,Jun 23 2022,3493,3575
Illinois,Jun 22 2022,4609,3838
Illinois,Jun 21 2022,13424,3999
Illinois,Jun 20 2022,0,2635
Illinois,Jun 19 2022,0,3873
Illinois,Jun 18 2022,0,3873
Illinois,Jun 17 2022,3499,3873
Illinois,Jun 16 2022,5334,4251
Illinois,Jun 15 2022,5737,4102
Illinois,Jun 14 2022,3879,3983
Illinois,Jun 13 2022,8663,4123
Illinois,Jun 12 2022,0,4857
Illinois,Jun 11 2022,0,4857
Illinois,Jun 10 2022,6147,4857
Illinois,Jun  9 2022,4294,4810
Illinois,Jun  8 2022,4901,5111
Illinois,Jun  7 2022,4861,5032
Illinois,Jun  6 2022,13798,6629
Illinois,Jun  5 2022,0,4657
Illinois,Jun  4 2022,0,4657
Illinois,Jun  3 2022,5820,4657
Illinois,Jun  2 2022,6399,4634
Illinois,Jun  1 2022,4347,4629
Illinois,May 31 2022,16039,4923
Illinois,May 30 2022,0,3201
