Data Table for Daily Case Trends - Indiana
Date generated: Mon Jul 25 2022 09:37:22 GMT-0400 (Eastern Daylight Time)
State,Date,New Cases,7-Day Moving Avg
Indiana,Jul 21 2022,0,1833
Indiana,Jul 20 2022,1392,1833
Indiana,Jul 19 2022,3299,2215
Indiana,Jul 18 2022,4321,1743
Indiana,Jul 17 2022,0,1624
Indiana,Jul 16 2022,0,1624
Indiana,Jul 15 2022,3825,1624
Indiana,Jul 14 2022,0,1762
Indiana,Jul 13 2022,4061,1762
Indiana,Jul 12 2022,0,2094
Indiana,Jul 11 2022,3485,2094
Indiana,Jul 10 2022,0,1596
Indiana,Jul  9 2022,0,1596
Indiana,Jul  8 2022,4794,1596
Indiana,Jul  7 2022,0,1440
Indiana,Jul  6 2022,6379,1440
Indiana,Jul  5 2022,0,981
Indiana,Jul  4 2022,0,981
Indiana,Jul  3 2022,0,1572
Indiana,Jul  2 2022,0,1572
Indiana,Jul  1 2022,3703,1572
Indiana,Jun 30 2022,0,1446
Indiana,Jun 29 2022,3168,1446
Indiana,Jun 28 2022,0,1480
Indiana,Jun 27 2022,4139,1480
Indiana,Jun 26 2022,0,1273
Indiana,Jun 25 2022,0,1273
Indiana,Jun 24 2022,2820,1273
Indiana,Jun 23 2022,0,1276
Indiana,Jun 22 2022,3406,1276
Indiana,Jun 21 2022,0,1096
Indiana,Jun 20 2022,2691,1096
Indiana,Jun 19 2022,0,1210
Indiana,Jun 18 2022,0,1210
Indiana,Jun 17 2022,2840,1210
Indiana,Jun 16 2022,0,1142
Indiana,Jun 15 2022,2146,1142
Indiana,Jun 14 2022,0,1244
Indiana,Jun 13 2022,3487,1244
Indiana,Jun 12 2022,0,1234
Indiana,Jun 11 2022,0,1234
Indiana,Jun 10 2022,2366,1234
Indiana,Jun  9 2022,0,1362
Indiana,Jun  8 2022,2859,1362
Indiana,Jun  7 2022,0,1642
Indiana,Jun  6 2022,3418,1642
Indiana,Jun  5 2022,0,1154
Indiana,Jun  4 2022,0,1154
Indiana,Jun  3 2022,3262,1154
Indiana,Jun  2 2022,0,1109
Indiana,Jun  1 2022,4820,1109
Indiana,May 31 2022,0,847
Indiana,May 30 2022,0,847
Indiana,May 29 2022,0,1254
Indiana,May 28 2022,0,1254
Indiana,May 27 2022,2943,1254
Indiana,May 26 2022,0,1332
Indiana,May 25 2022,2989,1332
Indiana,May 24 2022,0,1214
Indiana,May 23 2022,2852,1214
Indiana,May 22 2022,0,1163
Indiana,May 21 2022,0,1163
Indiana,May 20 2022,3483,1163
Indiana,May 19 2022,0,1032
Indiana,May 18 2022,2167,1032
Indiana,May 17 2022,0,996
Indiana,May 16 2022,2493,996
Indiana,May 15 2022,0,964
Indiana,May 14 2022,0,964
Indiana,May 13 2022,2566,964
Indiana,May 12 2022,0,839
Indiana,May 11 2022,1918,839
Indiana,May 10 2022,0,824
Indiana,May  9 2022,2265,824
Indiana,May  8 2022,0,684
Indiana,May  7 2022,0,684
Indiana,May  6 2022,1691,684
Indiana,May  5 2022,0,660
Indiana,May  4 2022,1815,660
Indiana,May  3 2022,0,623
Indiana,May  2 2022,1287,623
Indiana,May  1 2022,0,604
Indiana,Apr 30 2022,0,604
Indiana,Apr 29 2022,1518,750
Indiana,Apr 28 2022,0,534
Indiana,Apr 27 2022,1561,534
Indiana,Apr 26 2022,0,422
Indiana,Apr 25 2022,1154,422
Indiana,Apr 24 2022,0,456
Indiana,Apr 23 2022,1023,456
Indiana,Apr 22 2022,0,310
Indiana,Apr 21 2022,0,310
Indiana,Apr 20 2022,781,310
Indiana,Apr 19 2022,0,268
Indiana,Apr 18 2022,1390,268
Indiana,Apr 17 2022,0,123
Indiana,Apr 16 2022,0,123
Indiana,Apr 15 2022,0,123
Indiana,Apr 14 2022,0,188
Indiana,Apr 13 2022,487,188
Indiana,Apr 12 2022,0,172
Indiana,Apr 11 2022,378,172
Indiana,Apr 10 2022,0,175
Indiana,Apr  9 2022,0,175
Indiana,Apr  8 2022,452,175
Indiana,Apr  7 2022,0,171
Indiana,Apr  6 2022,374,171
Indiana,Apr  5 2022,0,150
Indiana,Apr  4 2022,404,185
Indiana,Apr  3 2022,0,189
Indiana,Apr  2 2022,0,189
Indiana,Apr  1 2022,420,189
Indiana,Mar 31 2022,0,161
Indiana,Mar 30 2022,227,198
Indiana,Mar 29 2022,245,209
Indiana,Mar 28 2022,434,205
Indiana,Mar 27 2022,0,196
Indiana,Mar 26 2022,0,196
