Data Table for Daily Case Trends - Iowa
Date generated: Mon Jul 25 2022 09:37:33 GMT-0400 (Eastern Daylight Time)
State,Date,New Cases,7-Day Moving Avg
Iowa,Jul 21 2022,0,770
Iowa,Jul 20 2022,563,770
Iowa,Jul 19 2022,1590,757
Iowa,Jul 18 2022,1568,730
Iowa,Jul 17 2022,0,721
Iowa,Jul 16 2022,0,721
Iowa,Jul 15 2022,1670,721
Iowa,Jul 14 2022,0,741
Iowa,Jul 13 2022,473,741
Iowa,Jul 12 2022,1402,741
Iowa,Jul 11 2022,1506,682
Iowa,Jul 10 2022,0,611
Iowa,Jul  9 2022,0,611
Iowa,Jul  8 2022,1807,611
Iowa,Jul  7 2022,0,576
Iowa,Jul  6 2022,472,576
Iowa,Jul  5 2022,992,568
Iowa,Jul  4 2022,1010,582
Iowa,Jul  3 2022,0,612
Iowa,Jul  2 2022,0,612
Iowa,Jul  1 2022,1563,612
Iowa,Jun 30 2022,0,579
Iowa,Jun 29 2022,415,579
Iowa,Jun 28 2022,1091,569
Iowa,Jun 27 2022,1217,568
Iowa,Jun 26 2022,0,563
Iowa,Jun 25 2022,0,563
Iowa,Jun 24 2022,1334,563
Iowa,Jun 23 2022,0,558
Iowa,Jun 22 2022,346,558
Iowa,Jun 21 2022,1082,559
Iowa,Jun 20 2022,1182,547
Iowa,Jun 19 2022,0,575
Iowa,Jun 18 2022,0,575
Iowa,Jun 17 2022,1298,575
Iowa,Jun 16 2022,0,565
Iowa,Jun 15 2022,357,565
Iowa,Jun 14 2022,995,569
Iowa,Jun 13 2022,1376,576
Iowa,Jun 12 2022,0,565
Iowa,Jun 11 2022,0,565
Iowa,Jun 10 2022,1231,565
Iowa,Jun  9 2022,0,605
Iowa,Jun  8 2022,385,605
Iowa,Jun  7 2022,1043,611
Iowa,Jun  6 2022,1296,599
Iowa,Jun  5 2022,0,567
Iowa,Jun  4 2022,0,567
Iowa,Jun  3 2022,1516,567
Iowa,Jun  2 2022,0,561
Iowa,Jun  1 2022,428,561
