Data Table for Daily Case Trends - Kansas
Date generated: Mon Jul 25 2022 09:37:42 GMT-0400 (Eastern Daylight Time)
State,Date,New Cases,7-Day Moving Avg
Kansas,Jul 21 2022,0,1089
Kansas,Jul 20 2022,7626,1089
Kansas,Jul 19 2022,0,1049
Kansas,Jul 18 2022,0,1049
Kansas,Jul 17 2022,0,1049
Kansas,Jul 16 2022,0,1049
Kansas,Jul 15 2022,0,1049
Kansas,Jul 14 2022,0,1049
Kansas,Jul 13 2022,7346,1049
Kansas,Jul 12 2022,0,770
Kansas,Jul 11 2022,0,770
Kansas,Jul 10 2022,0,770
Kansas,Jul  9 2022,0,770
Kansas,Jul  8 2022,0,770
Kansas,Jul  7 2022,0,770
Kansas,Jul  6 2022,5395,770
Kansas,Jul  5 2022,0,712
Kansas,Jul  4 2022,0,712
Kansas,Jul  3 2022,0,712
Kansas,Jul  2 2022,0,712
Kansas,Jul  1 2022,0,712
Kansas,Jun 30 2022,0,712
Kansas,Jun 29 2022,4988,712
Kansas,Jun 28 2022,0,594
Kansas,Jun 27 2022,0,594
Kansas,Jun 26 2022,0,594
Kansas,Jun 25 2022,0,594
Kansas,Jun 24 2022,0,594
Kansas,Jun 23 2022,0,594
Kansas,Jun 22 2022,4164,594
Kansas,Jun 21 2022,0,564
Kansas,Jun 20 2022,0,564
Kansas,Jun 19 2022,0,564
Kansas,Jun 18 2022,0,564
Kansas,Jun 17 2022,0,564
Kansas,Jun 16 2022,0,564
Kansas,Jun 15 2022,3949,564
Kansas,Jun 14 2022,0,672
Kansas,Jun 13 2022,0,672
Kansas,Jun 12 2022,0,672
Kansas,Jun 11 2022,0,672
Kansas,Jun 10 2022,0,672
Kansas,Jun  9 2022,0,672
Kansas,Jun  8 2022,4706,672
Kansas,Jun  7 2022,0,458
Kansas,Jun  6 2022,0,458
Kansas,Jun  5 2022,0,458
Kansas,Jun  4 2022,0,458
Kansas,Jun  3 2022,0,458
Kansas,Jun  2 2022,0,458
Kansas,Jun  1 2022,3211,458
Kansas,May 31 2022,0,444
Kansas,May 30 2022,0,444
Kansas,May 29 2022,0,444
Kansas,May 28 2022,0,444
Kansas,May 27 2022,0,444
Kansas,May 26 2022,0,444
Kansas,May 25 2022,3114,444
Kansas,May 24 2022,0,272
Kansas,May 23 2022,0,272
Kansas,May 22 2022,0,272
Kansas,May 21 2022,0,272
Kansas,May 20 2022,0,272
Kansas,May 19 2022,0,679
Kansas,May 18 2022,1910,679
Kansas,May 17 2022,0,406
Kansas,May 16 2022,0,406
Kansas,May 15 2022,0,406
Kansas,May 14 2022,0,406
Kansas,May 13 2022,2847,406
Kansas,May 12 2022,0,318
Kansas,May 11 2022,0,318
Kansas,May 10 2022,0,318
Kansas,May  9 2022,0,318
Kansas,May  8 2022,0,318
Kansas,May  7 2022,0,318
Kansas,May  6 2022,2232,318
Kansas,May  5 2022,0,288
Kansas,May  4 2022,0,288
Kansas,May  3 2022,0,288
Kansas,May  2 2022,0,288
Kansas,May  1 2022,0,288
Kansas,Apr 30 2022,0,288
Kansas,Apr 29 2022,2017,288
Kansas,Apr 28 2022,0,224
Kansas,Apr 27 2022,0,224
Kansas,Apr 26 2022,0,224
Kansas,Apr 25 2022,0,224
Kansas,Apr 24 2022,0,224
Kansas,Apr 23 2022,0,224
Kansas,Apr 22 2022,1574,224
Kansas,Apr 21 2022,0,177
Kansas,Apr 20 2022,0,177
Kansas,Apr 19 2022,0,177
Kansas,Apr 18 2022,0,177
Kansas,Apr 17 2022,0,177
Kansas,Apr 16 2022,0,177
Kansas,Apr 15 2022,1245,177
Kansas,Apr 14 2022,0,100
Kansas,Apr 13 2022,0,100
Kansas,Apr 12 2022,0,100
Kansas,Apr 11 2022,0,100
Kansas,Apr 10 2022,0,100
Kansas,Apr  9 2022,0,100
Kansas,Apr  8 2022,702,100
Kansas,Apr  7 2022,0,27
Kansas,Apr  6 2022,0,27
Kansas,Apr  5 2022,0,60
Kansas,Apr  4 2022,0,60
Kansas,Apr  3 2022,0,82
Kansas,Apr  2 2022,0,82
Kansas,Apr  1 2022,193,82
Kansas,Mar 31 2022,0,69
Kansas,Mar 30 2022,232,69
Kansas,Mar 29 2022,0,73
Kansas,Mar 28 2022,150,73
Kansas,Mar 27 2022,0,68
Kansas,Mar 26 2022,0,68
Kansas,Mar 25 2022,102,68
Kansas,Mar 24 2022,0,78
Kansas,Mar 23 2022,265,78
Kansas,Mar 22 2022,0,73
Kansas,Mar 21 2022,115,73
Kansas,Mar 20 2022,0,70
Kansas,Mar 19 2022,0,70
Kansas,Mar 18 2022,172,70
Kansas,Mar 17 2022,0,89
Kansas,Mar 16 2022,226,89
Kansas,Mar 15 2022,0,135
Kansas,Mar 14 2022,95,135
Kansas,Mar 13 2022,0,177
Kansas,Mar 12 2022,0,177
Kansas,Mar 11 2022,303,177
Kansas,Mar 10 2022,0,207
Kansas,Mar  9 2022,552,207
Kansas,Mar  8 2022,0,260
Kansas,Mar  7 2022,388,260
Kansas,Mar  6 2022,0,273
Kansas,Mar  5 2022,0,273
Kansas,Mar  4 2022,513,273
Kansas,Mar  3 2022,0,390
Kansas,Mar  2 2022,924,390
Kansas,Mar  1 2022,0,423
Kansas,Feb 28 2022,479,423
Kansas,Feb 27 2022,0,497
Kansas,Feb 26 2022,0,497
Kansas,Feb 25 2022,1327,497
Kansas,Feb 24 2022,0,520
Kansas,Feb 23 2022,1161,520
Kansas,Feb 22 2022,0,691
Kansas,Feb 21 2022,997,691
Kansas,Feb 20 2022,0,834
Kansas,Feb 19 2022,0,834
Kansas,Feb 18 2022,1483,834
Kansas,Feb 17 2022,0,1089
Kansas,Feb 16 2022,2361,1089
Kansas,Feb 15 2022,0,1388
Kansas,Feb 14 2022,1997,1388
Kansas,Feb 13 2022,0,1678
Kansas,Feb 12 2022,0,1678
Kansas,Feb 11 2022,3266,1678
Kansas,Feb 10 2022,0,1907
Kansas,Feb  9 2022,4454,1907
Kansas,Feb  8 2022,0,2550
Kansas,Feb  7 2022,4027,2550
Kansas,Feb  6 2022,0,3095
Kansas,Feb  5 2022,0,3095
Kansas,Feb  4 2022,4871,3095
Kansas,Feb  3 2022,0,4254
Kansas,Feb  2 2022,8952,4254
Kansas,Feb  1 2022,0,4999
Kansas,Jan 31 2022,7846,4999
Kansas,Jan 30 2022,0,5917
Kansas,Jan 29 2022,0,5917
Kansas,Jan 28 2022,12986,5917
Kansas,Jan 27 2022,0,7034
Kansas,Jan 26 2022,14163,7034
Kansas,Jan 25 2022,0,10628
Kansas,Jan 24 2022,14270,10628
Kansas,Jan 23 2022,0,8590
Kansas,Jan 22 2022,0,8590
Kansas,Jan 21 2022,20806,8590
Kansas,Jan 20 2022,0,8391
Kansas,Jan 19 2022,39326,8391
Kansas,Jan 18 2022,0,5950
Kansas,Jan 17 2022,0,5950
Kansas,Jan 16 2022,0,7887
Kansas,Jan 15 2022,0,7887
Kansas,Jan 14 2022,19414,7887
Kansas,Jan 13 2022,0,7448
Kansas,Jan 12 2022,22240,7448
Kansas,Jan 11 2022,0,6460
Kansas,Jan 10 2022,13557,6460
Kansas,Jan  9 2022,0,6645
Kansas,Jan  8 2022,0,6645
Kansas,Jan  7 2022,16341,6645
Kansas,Jan  6 2022,0,4311
Kansas,Jan  5 2022,15322,4311
Kansas,Jan  4 2022,0,3134
Kansas,Jan  3 2022,14855,3134
Kansas,Jan  2 2022,0,2003
Kansas,Jan  1 2022,0,2003
