Data Table for Daily Case Trends - Kentucky
Date generated: Mon Jul 25 2022 09:37:54 GMT-0400 (Eastern Daylight Time)
State,Date,New Cases,7-Day Moving Avg
Kentucky,Jul 21 2022,3747,2220
Kentucky,Jul 20 2022,3925,1964
Kentucky,Jul 19 2022,1903,1706
Kentucky,Jul 18 2022,1088,1706
Kentucky,Jul 17 2022,1243,1704
Kentucky,Jul 16 2022,1647,1705
Kentucky,Jul 15 2022,1990,1713
Kentucky,Jul 14 2022,1952,1764
Kentucky,Jul 13 2022,2125,1846
Kentucky,Jul 12 2022,1897,1861
Kentucky,Jul 11 2022,1076,1755
Kentucky,Jul 10 2022,1254,1763
Kentucky,Jul  9 2022,1698,1738
Kentucky,Jul  8 2022,2352,1747
Kentucky,Jul  7 2022,2524,1684
Kentucky,Jul  6 2022,2228,1547
Kentucky,Jul  5 2022,1153,1497
Kentucky,Jul  4 2022,1138,1572
Kentucky,Jul  3 2022,1073,1525
Kentucky,Jul  2 2022,1767,1516
Kentucky,Jul  1 2022,1911,1449
Kentucky,Jun 30 2022,1564,1397
Kentucky,Jun 29 2022,1877,1379
Kentucky,Jun 28 2022,1677,1325
Kentucky,Jun 27 2022,812,1250
Kentucky,Jun 26 2022,1010,1233
Kentucky,Jun 25 2022,1294,1215
Kentucky,Jun 24 2022,1545,1242
Kentucky,Jun 23 2022,1443,1232
Kentucky,Jun 22 2022,1500,1234
Kentucky,Jun 21 2022,1148,1224
Kentucky,Jun 20 2022,692,1227
Kentucky,Jun 19 2022,885,1238
Kentucky,Jun 18 2022,1483,1209
Kentucky,Jun 17 2022,1476,1169
Kentucky,Jun 16 2022,1454,1134
Kentucky,Jun 15 2022,1431,1121
Kentucky,Jun 14 2022,1173,1130
Kentucky,Jun 13 2022,764,1150
Kentucky,Jun 12 2022,688,1145
Kentucky,Jun 11 2022,1200,1171
Kentucky,Jun 10 2022,1228,1232
Kentucky,Jun  9 2022,1366,1261
Kentucky,Jun  8 2022,1496,1277
Kentucky,Jun  7 2022,1311,1247
Kentucky,Jun  6 2022,730,1144
Kentucky,Jun  5 2022,868,1129
Kentucky,Jun  4 2022,1628,1093
Kentucky,Jun  3 2022,1433,1012
Kentucky,Jun  2 2022,1479,955
Kentucky,Jun  1 2022,1285,924
Kentucky,May 31 2022,586,948
Kentucky,May 30 2022,627,1032
Kentucky,May 29 2022,613,1034
Kentucky,May 28 2022,1067,1044
Kentucky,May 27 2022,1030,1025
Kentucky,May 26 2022,1262,1103
Kentucky,May 25 2022,1455,1070
Kentucky,May 24 2022,1175,1062
Kentucky,May 23 2022,642,1083
Kentucky,May 22 2022,677,1070
Kentucky,May 21 2022,939,1064
Kentucky,May 20 2022,1571,1062
Kentucky,May 19 2022,1032,990
Kentucky,May 18 2022,1398,1051
Kentucky,May 17 2022,1324,987
Kentucky,May 16 2022,550,917
Kentucky,May 15 2022,635,894
Kentucky,May 14 2022,928,859
Kentucky,May 13 2022,1067,809
Kentucky,May 12 2022,1456,767
Kentucky,May 11 2022,950,638
Kentucky,May 10 2022,839,617
Kentucky,May  9 2022,383,579
Kentucky,May  8 2022,396,564
Kentucky,May  7 2022,577,547
Kentucky,May  6 2022,768,534
Kentucky,May  5 2022,553,510
Kentucky,May  4 2022,807,493
Kentucky,May  3 2022,569,469
Kentucky,May  2 2022,280,455
Kentucky,May  1 2022,279,452
Kentucky,Apr 30 2022,486,443
Kentucky,Apr 29 2022,596,422
Kentucky,Apr 28 2022,437,388
Kentucky,Apr 27 2022,639,379
Kentucky,Apr 26 2022,469,345
Kentucky,Apr 25 2022,261,323
Kentucky,Apr 24 2022,216,307
Kentucky,Apr 23 2022,339,298
Kentucky,Apr 22 2022,357,282
