Data Table for Daily Case Trends - Louisiana
Date generated: Mon Jul 25 2022 09:38:04 GMT-0400 (Eastern Daylight Time)
State,Date,New Cases,7-Day Moving Avg
Louisiana,Jul 21 2022,2651,2005
Louisiana,Jul 20 2022,2332,2015
Louisiana,Jul 19 2022,2872,2082
Louisiana,Jul 18 2022,4215,2083
Louisiana,Jul 17 2022,0,2105
Louisiana,Jul 16 2022,0,2105
Louisiana,Jul 15 2022,1966,2105
Louisiana,Jul 14 2022,2723,2132
Louisiana,Jul 13 2022,2802,2348
Louisiana,Jul 12 2022,2876,2259
Louisiana,Jul 11 2022,4370,2351
Louisiana,Jul 10 2022,0,1726
Louisiana,Jul  9 2022,0,1726
Louisiana,Jul  8 2022,2158,1726
Louisiana,Jul  7 2022,4233,1673
Louisiana,Jul  6 2022,2182,1414
Louisiana,Jul  5 2022,3515,1442
Louisiana,Jul  4 2022,0,1213
Louisiana,Jul  3 2022,0,1589
Louisiana,Jul  2 2022,0,1589
Louisiana,Jul  1 2022,1784,1589
Louisiana,Jun 30 2022,2417,1582
Louisiana,Jun 29 2022,2383,1471
Louisiana,Jun 28 2022,1913,1399
Louisiana,Jun 27 2022,2628,1452
Louisiana,Jun 26 2022,0,1587
Louisiana,Jun 25 2022,0,1587
Louisiana,Jun 24 2022,1735,1587
Louisiana,Jun 23 2022,1641,1340
Louisiana,Jun 22 2022,1876,1329
Louisiana,Jun 21 2022,2286,1241
Louisiana,Jun 20 2022,3577,1188
Louisiana,Jun 19 2022,0,949
Louisiana,Jun 18 2022,0,949
Louisiana,Jun 17 2022,0,949
Louisiana,Jun 16 2022,1570,1185
Louisiana,Jun 15 2022,1255,1169
Louisiana,Jun 14 2022,1915,1174
Louisiana,Jun 13 2022,1909,1120
Louisiana,Jun 12 2022,0,1131
Louisiana,Jun 11 2022,0,1131
Louisiana,Jun 10 2022,1650,1131
Louisiana,Jun  9 2022,1456,1128
Louisiana,Jun  8 2022,1290,1082
Louisiana,Jun  7 2022,1541,1152
Louisiana,Jun  6 2022,1984,1239
Louisiana,Jun  5 2022,0,955
Louisiana,Jun  4 2022,0,955
Louisiana,Jun  3 2022,1628,955
Louisiana,Jun  2 2022,1137,872
Louisiana,Jun  1 2022,1775,856
Louisiana,May 31 2022,2150,790
Louisiana,May 30 2022,0,619
Louisiana,May 29 2022,0,801
Louisiana,May 28 2022,0,801
Louisiana,May 27 2022,1044,801
Louisiana,May 26 2022,1027,787
Louisiana,May 25 2022,1312,807
Louisiana,May 24 2022,952,774
Louisiana,May 23 2022,1276,744
Louisiana,May 22 2022,0,726
Louisiana,May 21 2022,0,726
Louisiana,May 20 2022,944,726
Louisiana,May 19 2022,1166,681
Louisiana,May 18 2022,1082,624
Louisiana,May 17 2022,741,556
Louisiana,May 16 2022,1150,523
