Data Table for Daily Case Trends - Maine
Date generated: Mon Jul 25 2022 09:38:13 GMT-0400 (Eastern Daylight Time)
State,Date,New Cases,7-Day Moving Avg
Maine,Jul 21 2022,311,196
Maine,Jul 20 2022,166,197
Maine,Jul 19 2022,247,212
Maine,Jul 18 2022,480,214
Maine,Jul 17 2022,0,217
Maine,Jul 16 2022,0,217
Maine,Jul 15 2022,170,217
Maine,Jul 14 2022,316,222
Maine,Jul 13 2022,274,207
Maine,Jul 12 2022,261,220
Maine,Jul 11 2022,504,248
Maine,Jul 10 2022,0,180
Maine,Jul  9 2022,0,180
Maine,Jul  8 2022,203,180
Maine,Jul  7 2022,212,176
Maine,Jul  6 2022,365,171
Maine,Jul  5 2022,454,156
Maine,Jul  4 2022,31,144
Maine,Jul  3 2022,0,213
Maine,Jul  2 2022,0,213
Maine,Jul  1 2022,174,213
Maine,Jun 30 2022,178,213
Maine,Jun 29 2022,261,227
Maine,Jun 28 2022,368,247
Maine,Jun 27 2022,510,234
Maine,Jun 26 2022,0,161
Maine,Jun 25 2022,0,161
Maine,Jun 24 2022,174,161
Maine,Jun 23 2022,282,181
Maine,Jun 22 2022,400,168
Maine,Jun 21 2022,276,145
Maine,Jun 20 2022,0,156
Maine,Jun 19 2022,0,229
Maine,Jun 18 2022,0,229
Maine,Jun 17 2022,310,229
Maine,Jun 16 2022,191,212
Maine,Jun 15 2022,240,229
Maine,Jun 14 2022,357,242
Maine,Jun 13 2022,507,234
Maine,Jun 12 2022,0,248
Maine,Jun 11 2022,0,248
Maine,Jun 10 2022,193,253
Maine,Jun  9 2022,311,259
Maine,Jun  8 2022,329,269
Maine,Jun  7 2022,299,256
Maine,Jun  6 2022,608,289
Maine,Jun  5 2022,0,256
Maine,Jun  4 2022,36,256
Maine,Jun  3 2022,234,274
Maine,Jun  2 2022,383,280
Maine,Jun  1 2022,236,297
Maine,May 31 2022,530,344
Maine,May 30 2022,375,346
Maine,May 29 2022,0,502
Maine,May 28 2022,161,502
Maine,May 27 2022,276,479
Maine,May 26 2022,506,552
Maine,May 25 2022,566,543
Maine,May 24 2022,540,586
Maine,May 23 2022,1465,620
