Data Table for Daily Case Trends - Massachusetts
Date generated: Mon Jul 25 2022 09:38:32 GMT-0400 (Eastern Daylight Time)
State,Date,New Cases,7-Day Moving Avg
Massachusetts,Jul 21 2022,11525,1646
Massachusetts,Jul 20 2022,0,1124
Massachusetts,Jul 19 2022,0,1124
Massachusetts,Jul 18 2022,0,1124
Massachusetts,Jul 17 2022,0,1124
Massachusetts,Jul 16 2022,0,1124
Massachusetts,Jul 15 2022,0,1124
Massachusetts,Jul 14 2022,7872,1419
Massachusetts,Jul 13 2022,0,585
Massachusetts,Jul 12 2022,0,774
Massachusetts,Jul 11 2022,0,1414
Massachusetts,Jul 10 2022,0,1414
Massachusetts,Jul  9 2022,0,1414
Massachusetts,Jul  8 2022,2063,1414
Massachusetts,Jul  7 2022,2038,1383
Massachusetts,Jul  6 2022,1317,1385
Massachusetts,Jul  5 2022,4486,1437
Massachusetts,Jul  4 2022,0,1012
Massachusetts,Jul  3 2022,0,1539
Massachusetts,Jul  2 2022,0,1539
Massachusetts,Jul  1 2022,1841,1539
Massachusetts,Jun 30 2022,2055,1552
Massachusetts,Jun 29 2022,1678,1520
Massachusetts,Jun 28 2022,1516,1551
Massachusetts,Jun 27 2022,3689,1962
Massachusetts,Jun 26 2022,0,1435
Massachusetts,Jun 25 2022,0,1435
Massachusetts,Jun 24 2022,1926,1435
Massachusetts,Jun 23 2022,1834,1415
Massachusetts,Jun 22 2022,1896,1419
Massachusetts,Jun 21 2022,4389,1390
Massachusetts,Jun 20 2022,0,1032
Massachusetts,Jun 19 2022,0,1650
Massachusetts,Jun 18 2022,0,1650
Massachusetts,Jun 17 2022,1787,1650
Massachusetts,Jun 16 2022,1865,1733
Massachusetts,Jun 15 2022,1691,1788
Massachusetts,Jun 14 2022,1881,1850
Massachusetts,Jun 13 2022,4326,1923
Massachusetts,Jun 12 2022,0,2093
Massachusetts,Jun 11 2022,0,2093
Massachusetts,Jun 10 2022,2371,2093
Massachusetts,Jun  9 2022,2250,2238
Massachusetts,Jun  8 2022,2124,2359
Massachusetts,Jun  7 2022,2390,2369
Massachusetts,Jun  6 2022,5517,3136
Massachusetts,Jun  5 2022,0,2348
Massachusetts,Jun  4 2022,0,2348
Massachusetts,Jun  3 2022,3387,2348
Massachusetts,Jun  2 2022,3096,2381
Massachusetts,Jun  1 2022,2198,2504
Massachusetts,May 31 2022,7759,2720
Massachusetts,May 30 2022,0,2060
Massachusetts,May 29 2022,0,3255
Massachusetts,May 28 2022,0,3255
Massachusetts,May 27 2022,3617,3255
Massachusetts,May 26 2022,3960,3399
Massachusetts,May 25 2022,3709,3638
Massachusetts,May 24 2022,3136,3792
Massachusetts,May 23 2022,8363,3940
Massachusetts,May 22 2022,0,4426
Massachusetts,May 21 2022,0,4426
Massachusetts,May 20 2022,4627,4426
Massachusetts,May 19 2022,5637,4547
Massachusetts,May 18 2022,4781,4674
Massachusetts,May 17 2022,4176,4646
Massachusetts,May 16 2022,11762,4565
Massachusetts,May 15 2022,0,4211
Massachusetts,May 14 2022,0,4211
Massachusetts,May 13 2022,5478,4211
Massachusetts,May 12 2022,6523,4074
Massachusetts,May 11 2022,4586,3858
Massachusetts,May 10 2022,3606,3700
Massachusetts,May  9 2022,9287,3608
Massachusetts,May  8 2022,0,3246
Massachusetts,May  7 2022,0,3246
Massachusetts,May  6 2022,4518,3246
Massachusetts,May  5 2022,5010,3113
Massachusetts,May  4 2022,3480,2932
Massachusetts,May  3 2022,2967,2889
Massachusetts,May  2 2022,6751,2839
Massachusetts,May  1 2022,0,2696
Massachusetts,Apr 30 2022,0,2696
Massachusetts,Apr 29 2022,3583,2696
Massachusetts,Apr 28 2022,3744,2537
Massachusetts,Apr 27 2022,3180,2374
