Data Table for Daily Case Trends - Minnesota
Date generated: Mon Jul 25 2022 09:38:57 GMT-0400 (Eastern Daylight Time)
State,Date,New Cases,7-Day Moving Avg
Minnesota,Jul 21 2022,9500,1357
Minnesota,Jul 20 2022,0,1360
Minnesota,Jul 19 2022,0,1360
Minnesota,Jul 18 2022,0,1360
Minnesota,Jul 17 2022,0,1360
Minnesota,Jul 16 2022,0,1360
Minnesota,Jul 15 2022,0,1360
Minnesota,Jul 14 2022,9521,1360
Minnesota,Jul 13 2022,0,1034
Minnesota,Jul 12 2022,0,1034
Minnesota,Jul 11 2022,0,1034
Minnesota,Jul 10 2022,0,1034
Minnesota,Jul  9 2022,0,1034
Minnesota,Jul  8 2022,0,1034
Minnesota,Jul  7 2022,7244,1235
Minnesota,Jul  6 2022,0,200
Minnesota,Jul  5 2022,0,383
Minnesota,Jul  4 2022,0,862
Minnesota,Jul  3 2022,0,1077
Minnesota,Jul  2 2022,0,1077
Minnesota,Jul  1 2022,1403,1077
Minnesota,Jun 30 2022,0,1119
Minnesota,Jun 29 2022,1281,1119
Minnesota,Jun 28 2022,3351,1591
Minnesota,Jun 27 2022,1510,1556
Minnesota,Jun 26 2022,0,1340
Minnesota,Jun 25 2022,0,1340
Minnesota,Jun 24 2022,1697,1340
Minnesota,Jun 23 2022,0,1367
Minnesota,Jun 22 2022,4584,1588
Minnesota,Jun 21 2022,3103,1127
Minnesota,Jun 20 2022,0,1231
Minnesota,Jun 19 2022,0,1452
Minnesota,Jun 18 2022,0,1452
Minnesota,Jun 17 2022,1887,1452
Minnesota,Jun 16 2022,1543,1472
Minnesota,Jun 15 2022,1356,1511
Minnesota,Jun 14 2022,3834,1513
Minnesota,Jun 13 2022,1549,1545
Minnesota,Jun 12 2022,0,1631
Minnesota,Jun 11 2022,0,1631
Minnesota,Jun 10 2022,2027,1631
Minnesota,Jun  9 2022,1811,1622
Minnesota,Jun  8 2022,1374,2051
Minnesota,Jun  7 2022,4057,2109
Minnesota,Jun  6 2022,2152,1842
Minnesota,Jun  5 2022,0,1534
Minnesota,Jun  4 2022,0,1534
Minnesota,Jun  3 2022,1964,1534
Minnesota,Jun  2 2022,4812,1577
Minnesota,Jun  1 2022,1780,1198
Minnesota,May 31 2022,2186,1161
Minnesota,May 30 2022,0,1424
Minnesota,May 29 2022,0,1731
Minnesota,May 28 2022,0,1731
Minnesota,May 27 2022,2264,1731
Minnesota,May 26 2022,2162,1753
Minnesota,May 25 2022,1518,1747
Minnesota,May 24 2022,4029,1832
Minnesota,May 23 2022,2146,1911
Minnesota,May 22 2022,0,1973
Minnesota,May 21 2022,0,1973
Minnesota,May 20 2022,2418,1973
Minnesota,May 19 2022,2120,2044
