Data Table for Daily Case Trends - Mississippi
Date generated: Mon Jul 25 2022 09:39:05 GMT-0400 (Eastern Daylight Time)
State,Date,New Cases,7-Day Moving Avg
Mississippi,Jul 21 2022,2001,1439
Mississippi,Jul 20 2022,1761,1443
Mississippi,Jul 19 2022,1415,1449
Mississippi,Jul 18 2022,3291,1495
Mississippi,Jul 17 2022,0,1550
Mississippi,Jul 16 2022,0,1550
Mississippi,Jul 15 2022,1611,1550
Mississippi,Jul 14 2022,2027,1608
Mississippi,Jul 13 2022,1805,1582
Mississippi,Jul 12 2022,1732,1517
Mississippi,Jul 11 2022,3681,1732
Mississippi,Jul 10 2022,0,1206
Mississippi,Jul  9 2022,0,1206
Mississippi,Jul  8 2022,2014,1206
Mississippi,Jul  7 2022,1844,1153
Mississippi,Jul  6 2022,1350,1305
Mississippi,Jul  5 2022,3240,1112
Mississippi,Jul  4 2022,0,813
Mississippi,Jul  3 2022,0,1195
Mississippi,Jul  2 2022,0,1195
Mississippi,Jul  1 2022,1637,1195
Mississippi,Jun 30 2022,2908,1158
Mississippi,Jun 29 2022,0,967
Mississippi,Jun 28 2022,1146,1155
Mississippi,Jun 27 2022,2677,1486
Mississippi,Jun 26 2022,0,1104
Mississippi,Jun 25 2022,0,1104
Mississippi,Jun 24 2022,1377,1104
Mississippi,Jun 23 2022,1572,1072
Mississippi,Jun 22 2022,1319,984
Mississippi,Jun 21 2022,3462,953
Mississippi,Jun 20 2022,0,583
Mississippi,Jun 19 2022,0,811
Mississippi,Jun 18 2022,0,811
Mississippi,Jun 17 2022,1156,811
Mississippi,Jun 16 2022,953,764
Mississippi,Jun 15 2022,1100,742
Mississippi,Jun 14 2022,878,706
Mississippi,Jun 13 2022,1593,677
Mississippi,Jun 12 2022,0,642
Mississippi,Jun 11 2022,0,642
Mississippi,Jun 10 2022,825,642
Mississippi,Jun  9 2022,804,620
Mississippi,Jun  8 2022,848,637
Mississippi,Jun  7 2022,669,594
Mississippi,Jun  6 2022,1349,713
Mississippi,Jun  5 2022,0,520
Mississippi,Jun  4 2022,0,520
Mississippi,Jun  3 2022,674,520
Mississippi,Jun  2 2022,922,500
Mississippi,Jun  1 2022,550,441
Mississippi,May 31 2022,1500,434
Mississippi,May 30 2022,0,256
Mississippi,May 29 2022,0,387
Mississippi,May 28 2022,0,387
Mississippi,May 27 2022,533,387
Mississippi,May 26 2022,505,363
Mississippi,May 25 2022,505,355
Mississippi,May 24 2022,255,357
Mississippi,May 23 2022,917,365
Mississippi,May 22 2022,0,370
Mississippi,May 21 2022,0,370
Mississippi,May 20 2022,360,370
Mississippi,May 19 2022,452,419
Mississippi,May 18 2022,517,438
Mississippi,May 17 2022,312,417
Mississippi,May 16 2022,955,410
Mississippi,May 15 2022,0,400
Mississippi,May 14 2022,0,400
Mississippi,May 13 2022,701,400
Mississippi,May 12 2022,585,337
Mississippi,May 11 2022,366,279
Mississippi,May 10 2022,267,258
Mississippi,May  9 2022,887,240
