Data Table for Daily Case Trends - Missouri
Date generated: Mon Jul 25 2022 09:39:15 GMT-0400 (Eastern Daylight Time)
State,Date,New Cases,7-Day Moving Avg
Missouri,Jul 21 2022,0,2155
Missouri,Jul 20 2022,0,2155
Missouri,Jul 19 2022,0,2155
Missouri,Jul 18 2022,0,2155
Missouri,Jul 17 2022,0,2155
Missouri,Jul 16 2022,0,2155
Missouri,Jul 15 2022,15088,2155
Missouri,Jul 14 2022,0,1815
Missouri,Jul 13 2022,0,1815
Missouri,Jul 12 2022,0,1815
Missouri,Jul 11 2022,0,1815
Missouri,Jul 10 2022,0,1815
Missouri,Jul  9 2022,0,1815
Missouri,Jul  8 2022,12708,1815
Missouri,Jul  7 2022,0,1938
Missouri,Jul  6 2022,0,1938
Missouri,Jul  5 2022,0,1938
Missouri,Jul  4 2022,0,1938
Missouri,Jul  3 2022,0,1938
Missouri,Jul  2 2022,0,1938
Missouri,Jul  1 2022,13566,1938
Missouri,Jun 30 2022,0,1644
Missouri,Jun 29 2022,0,1644
Missouri,Jun 28 2022,0,1644
Missouri,Jun 27 2022,0,1644
Missouri,Jun 26 2022,0,1644
Missouri,Jun 25 2022,0,1644
Missouri,Jun 24 2022,11513,1644
Missouri,Jun 23 2022,0,1575
Missouri,Jun 22 2022,0,1575
Missouri,Jun 21 2022,0,1575
Missouri,Jun 20 2022,0,1575
Missouri,Jun 19 2022,0,1575
Missouri,Jun 18 2022,0,1575
Missouri,Jun 17 2022,11031,1575
Missouri,Jun 16 2022,0,1543
Missouri,Jun 15 2022,0,1543
Missouri,Jun 14 2022,0,1543
Missouri,Jun 13 2022,0,1543
Missouri,Jun 12 2022,0,1543
Missouri,Jun 11 2022,0,1543
Missouri,Jun 10 2022,10802,2272
Missouri,Jun  9 2022,0,1340
Missouri,Jun  8 2022,0,1340
Missouri,Jun  7 2022,0,1340
Missouri,Jun  6 2022,0,1340
Missouri,Jun  5 2022,0,1340
Missouri,Jun  4 2022,5105,1340
Missouri,Jun  3 2022,4275,610
Missouri,Jun  2 2022,0,1822
Missouri,Jun  1 2022,0,1822
Missouri,May 31 2022,0,1822
Missouri,May 30 2022,0,1822
Missouri,May 29 2022,0,1822
Missouri,May 28 2022,0,1822
Missouri,May 27 2022,12756,1822
Missouri,May 26 2022,0,1047
Missouri,May 25 2022,0,1047
Missouri,May 24 2022,0,1047
Missouri,May 23 2022,0,1047
Missouri,May 22 2022,0,1047
Missouri,May 21 2022,0,1047
Missouri,May 20 2022,7332,1047
Missouri,May 19 2022,0,766
Missouri,May 18 2022,0,766
Missouri,May 17 2022,0,766
Missouri,May 16 2022,0,766
Missouri,May 15 2022,0,766
Missouri,May 14 2022,0,766
Missouri,May 13 2022,5365,766
Missouri,May 12 2022,0,355
Missouri,May 11 2022,0,355
Missouri,May 10 2022,0,355
Missouri,May  9 2022,0,355
Missouri,May  8 2022,0,355
Missouri,May  7 2022,0,355
Missouri,May  6 2022,2491,355
Missouri,May  5 2022,0,638
Missouri,May  4 2022,0,638
Missouri,May  3 2022,0,638
Missouri,May  2 2022,0,638
Missouri,May  1 2022,0,638
Missouri,Apr 30 2022,0,638
Missouri,Apr 29 2022,4467,638
Missouri,Apr 28 2022,0,464
Missouri,Apr 27 2022,0,464
Missouri,Apr 26 2022,0,464
Missouri,Apr 25 2022,0,464
Missouri,Apr 24 2022,0,464
Missouri,Apr 23 2022,0,464
Missouri,Apr 22 2022,3248,464
Missouri,Apr 21 2022,0,349
Missouri,Apr 20 2022,0,349
Missouri,Apr 19 2022,0,349
Missouri,Apr 18 2022,0,349
Missouri,Apr 17 2022,0,349
Missouri,Apr 16 2022,0,349
Missouri,Apr 15 2022,2444,349
Missouri,Apr 14 2022,0,535
Missouri,Apr 13 2022,0,535
Missouri,Apr 12 2022,0,535
Missouri,Apr 11 2022,0,535
Missouri,Apr 10 2022,0,535
Missouri,Apr  9 2022,0,535
Missouri,Apr  8 2022,3745,535
Missouri,Apr  7 2022,0,0
Missouri,Apr  6 2022,0,83
Missouri,Apr  5 2022,0,170
Missouri,Apr  4 2022,0,231
Missouri,Apr  3 2022,0,352
Missouri,Apr  2 2022,0,352
Missouri,Apr  1 2022,1,352
Missouri,Mar 31 2022,585,421
Missouri,Mar 30 2022,607,421
Missouri,Mar 29 2022,426,390
Missouri,Mar 28 2022,850,412
Missouri,Mar 27 2022,0,384
Missouri,Mar 26 2022,1,384
Missouri,Mar 25 2022,480,384
Missouri,Mar 24 2022,585,478
Missouri,Mar 23 2022,392,395
Missouri,Mar 22 2022,582,412
Missouri,Mar 21 2022,653,412
Missouri,Mar 20 2022,0,470
Missouri,Mar 19 2022,0,470
Missouri,Mar 18 2022,1140,470
Missouri,Mar 17 2022,0,374
Missouri,Mar 16 2022,510,459
Missouri,Mar 15 2022,587,467
Missouri,Mar 14 2022,1055,508
Missouri,Mar 13 2022,0,507
Missouri,Mar 12 2022,0,507
Missouri,Mar 11 2022,467,507
Missouri,Mar 10 2022,599,545
Missouri,Mar  9 2022,566,573
Missouri,Mar  8 2022,875,593
Missouri,Mar  7 2022,1042,573
Missouri,Mar  6 2022,0,656
Missouri,Mar  5 2022,0,656
Missouri,Mar  4 2022,734,656
Missouri,Mar  3 2022,794,710
Missouri,Mar  2 2022,709,778
Missouri,Mar  1 2022,737,855
Missouri,Feb 28 2022,1618,1269
Missouri,Feb 27 2022,0,1038
Missouri,Feb 26 2022,0,1038
Missouri,Feb 25 2022,1117,1038
