Data Table for Daily Case Trends - Montana
Date generated: Mon Jul 25 2022 09:39:25 GMT-0400 (Eastern Daylight Time)
State,Date,New Cases,7-Day Moving Avg
Montana,Jul 21 2022,0,383
Montana,Jul 20 2022,0,383
Montana,Jul 19 2022,0,383
Montana,Jul 18 2022,0,383
Montana,Jul 17 2022,0,383
Montana,Jul 16 2022,0,383
Montana,Jul 15 2022,2681,383
Montana,Jul 14 2022,0,314
Montana,Jul 13 2022,0,314
Montana,Jul 12 2022,0,314
Montana,Jul 11 2022,0,314
Montana,Jul 10 2022,0,314
Montana,Jul  9 2022,0,314
Montana,Jul  8 2022,2200,314
Montana,Jul  7 2022,0,304
Montana,Jul  6 2022,0,304
Montana,Jul  5 2022,0,304
Montana,Jul  4 2022,0,304
Montana,Jul  3 2022,0,304
Montana,Jul  2 2022,0,304
Montana,Jul  1 2022,2128,304
Montana,Jun 30 2022,0,280
Montana,Jun 29 2022,0,280
Montana,Jun 28 2022,0,280
Montana,Jun 27 2022,0,280
Montana,Jun 26 2022,0,280
Montana,Jun 25 2022,0,280
Montana,Jun 24 2022,1963,280
Montana,Jun 23 2022,0,298
Montana,Jun 22 2022,0,298
Montana,Jun 21 2022,0,298
Montana,Jun 20 2022,0,298
Montana,Jun 19 2022,0,298
Montana,Jun 18 2022,0,298
Montana,Jun 17 2022,2089,298
Montana,Jun 16 2022,0,281
Montana,Jun 15 2022,0,281
Montana,Jun 14 2022,0,281
Montana,Jun 13 2022,0,281
Montana,Jun 12 2022,0,281
Montana,Jun 11 2022,0,281
Montana,Jun 10 2022,1972,281
Montana,Jun  9 2022,0,213
Montana,Jun  8 2022,0,213
Montana,Jun  7 2022,0,213
Montana,Jun  6 2022,0,213
Montana,Jun  5 2022,0,213
Montana,Jun  4 2022,0,213
Montana,Jun  3 2022,1496,213
Montana,Jun  2 2022,0,186
Montana,Jun  1 2022,0,186
Montana,May 31 2022,0,186
Montana,May 30 2022,0,186
Montana,May 29 2022,0,186
Montana,May 28 2022,0,186
Montana,May 27 2022,1305,186
Montana,May 26 2022,0,154
Montana,May 25 2022,0,154
Montana,May 24 2022,0,154
Montana,May 23 2022,0,154
Montana,May 22 2022,0,154
Montana,May 21 2022,0,154
Montana,May 20 2022,1079,154
Montana,May 19 2022,0,73
Montana,May 18 2022,0,73
Montana,May 17 2022,0,73
Montana,May 16 2022,0,73
Montana,May 15 2022,0,73
Montana,May 14 2022,0,73
Montana,May 13 2022,515,73
Montana,May 12 2022,0,16
Montana,May 11 2022,0,30
Montana,May 10 2022,0,47
Montana,May  9 2022,0,66
Montana,May  8 2022,0,88
Montana,May  7 2022,0,88
Montana,May  6 2022,117,88
Montana,May  5 2022,93,82
Montana,May  4 2022,123,85
Montana,May  3 2022,131,83
Montana,May  2 2022,152,80
Montana,May  1 2022,0,70
Montana,Apr 30 2022,0,70
Montana,Apr 29 2022,78,70
Montana,Apr 28 2022,116,70
Montana,Apr 27 2022,108,59
Montana,Apr 26 2022,111,56
