Data Table for Daily Case Trends - Nebraska
Date generated: Mon Jul 25 2022 09:39:40 GMT-0400 (Eastern Daylight Time)
State,Date,New Cases,7-Day Moving Avg
Nebraska,Jul 21 2022,358,514
Nebraska,Jul 20 2022,645,553
Nebraska,Jul 19 2022,694,548
Nebraska,Jul 18 2022,1902,545
Nebraska,Jul 17 2022,0,575
Nebraska,Jul 16 2022,0,575
Nebraska,Jul 15 2022,0,575
Nebraska,Jul 14 2022,633,575
Nebraska,Jul 13 2022,607,588
Nebraska,Jul 12 2022,676,903
Nebraska,Jul 11 2022,2114,807
Nebraska,Jul 10 2022,0,505
Nebraska,Jul  9 2022,0,505
Nebraska,Jul  8 2022,0,505
Nebraska,Jul  7 2022,719,505
Nebraska,Jul  6 2022,2816,476
Nebraska,Jul  5 2022,0,496
Nebraska,Jul  4 2022,0,496
Nebraska,Jul  3 2022,0,496
Nebraska,Jul  2 2022,0,496
Nebraska,Jul  1 2022,0,496
Nebraska,Jun 30 2022,518,496
Nebraska,Jun 29 2022,2956,507
Nebraska,Jun 28 2022,0,172
Nebraska,Jun 27 2022,0,248
Nebraska,Jun 26 2022,0,393
Nebraska,Jun 25 2022,0,393
Nebraska,Jun 24 2022,0,393
Nebraska,Jun 23 2022,594,438
Nebraska,Jun 22 2022,610,421
Nebraska,Jun 21 2022,535,431
Nebraska,Jun 20 2022,1013,438
Nebraska,Jun 19 2022,0,428
Nebraska,Jun 18 2022,0,428
Nebraska,Jun 17 2022,317,428
Nebraska,Jun 16 2022,478,383
Nebraska,Jun 15 2022,680,374
Nebraska,Jun 14 2022,581,341
Nebraska,Jun 13 2022,942,328
Nebraska,Jun 12 2022,0,462
Nebraska,Jun 11 2022,0,462
Nebraska,Jun 10 2022,0,462
Nebraska,Jun  9 2022,421,462
Nebraska,Jun  8 2022,443,402
Nebraska,Jun  7 2022,496,412
Nebraska,Jun  6 2022,1880,412
Nebraska,Jun  5 2022,0,336
Nebraska,Jun  4 2022,0,336
Nebraska,Jun  3 2022,0,336
Nebraska,Jun  2 2022,0,336
Nebraska,Jun  1 2022,511,336
Nebraska,May 31 2022,495,317
Nebraska,May 30 2022,1348,431
Nebraska,May 29 2022,0,238
Nebraska,May 28 2022,0,238
Nebraska,May 27 2022,0,238
Nebraska,May 26 2022,0,238
Nebraska,May 25 2022,379,281
Nebraska,May 24 2022,1292,271
Nebraska,May 23 2022,0,136
Nebraska,May 22 2022,0,254
Nebraska,May 21 2022,0,254
Nebraska,May 20 2022,0,254
Nebraska,May 19 2022,302,254
Nebraska,May 18 2022,308,249
Nebraska,May 17 2022,342,250
Nebraska,May 16 2022,828,332
Nebraska,May 15 2022,0,214
Nebraska,May 14 2022,0,214
Nebraska,May 13 2022,0,214
Nebraska,May 12 2022,270,214
Nebraska,May 11 2022,310,175
Nebraska,May 10 2022,920,162
Nebraska,May  9 2022,0,54
Nebraska,May  8 2022,0,116
Nebraska,May  7 2022,0,116
Nebraska,May  6 2022,0,116
Nebraska,May  5 2022,0,139
Nebraska,May  4 2022,219,160
Nebraska,May  3 2022,164,148
Nebraska,May  2 2022,433,147
Nebraska,May  1 2022,0,115
Nebraska,Apr 30 2022,0,115
Nebraska,Apr 29 2022,162,115
Nebraska,Apr 28 2022,142,92
Nebraska,Apr 27 2022,140,124
Nebraska,Apr 26 2022,152,104
Nebraska,Apr 25 2022,212,96
Nebraska,Apr 24 2022,0,100
Nebraska,Apr 23 2022,0,100
Nebraska,Apr 22 2022,2,100
Nebraska,Apr 21 2022,367,100
Nebraska,Apr 20 2022,1,56
Nebraska,Apr 19 2022,96,68
Nebraska,Apr 18 2022,235,66
Nebraska,Apr 17 2022,0,62
Nebraska,Apr 16 2022,0,62
Nebraska,Apr 15 2022,1,62
Nebraska,Apr 14 2022,61,62
Nebraska,Apr 13 2022,85,63
Nebraska,Apr 12 2022,84,59
Nebraska,Apr 11 2022,205,57
Nebraska,Apr 10 2022,0,45
Nebraska,Apr  9 2022,0,45
Nebraska,Apr  8 2022,1,45
Nebraska,Apr  7 2022,67,45
Nebraska,Apr  6 2022,61,36
Nebraska,Apr  5 2022,69,27
Nebraska,Apr  4 2022,122,17
Nebraska,Apr  3 2022,0,92
Nebraska,Apr  2 2022,0,92
Nebraska,Apr  1 2022,1,92
Nebraska,Mar 31 2022,0,92
Nebraska,Mar 30 2022,0,92
Nebraska,Mar 29 2022,0,92
Nebraska,Mar 28 2022,647,92
Nebraska,Mar 27 2022,0,4
Nebraska,Mar 26 2022,0,4
Nebraska,Mar 25 2022,0,4
Nebraska,Mar 24 2022,1,4
Nebraska,Mar 23 2022,0,5
Nebraska,Mar 22 2022,0,16
Nebraska,Mar 21 2022,28,39
Nebraska,Mar 20 2022,0,50
Nebraska,Mar 19 2022,0,50
Nebraska,Mar 18 2022,1,50
Nebraska,Mar 17 2022,11,50
Nebraska,Mar 16 2022,78,54
Nebraska,Mar 15 2022,156,59
Nebraska,Mar 14 2022,108,54
Nebraska,Mar 13 2022,0,92
Nebraska,Mar 12 2022,0,93
Nebraska,Mar 11 2022,1,93
Nebraska,Mar 10 2022,37,92
Nebraska,Mar  9 2022,117,114
Nebraska,Mar  8 2022,118,114
Nebraska,Mar  7 2022,377,125
Nebraska,Mar  6 2022,1,110
Nebraska,Mar  5 2022,0,110
Nebraska,Mar  4 2022,0,110
Nebraska,Mar  3 2022,186,110
Nebraska,Mar  2 2022,120,90
Nebraska,Mar  1 2022,197,77
Nebraska,Feb 28 2022,269,133
Nebraska,Feb 27 2022,0,138
Nebraska,Feb 26 2022,0,138
Nebraska,Feb 25 2022,0,138
Nebraska,Feb 24 2022,47,138
Nebraska,Feb 23 2022,32,195
Nebraska,Feb 22 2022,589,220
Nebraska,Feb 21 2022,300,169
Nebraska,Feb 20 2022,0,277
Nebraska,Feb 19 2022,0,277
Nebraska,Feb 18 2022,0,277
