Data Table for Daily Case Trends - Nevada
Date generated: Mon Jul 25 2022 09:39:50 GMT-0400 (Eastern Daylight Time)
State,Date,New Cases,7-Day Moving Avg
Nevada,Jul 21 2022,1092,967
Nevada,Jul 20 2022,766,1033
Nevada,Jul 19 2022,2383,1055
Nevada,Jul 18 2022,1227,1186
Nevada,Jul 17 2022,0,1241
Nevada,Jul 16 2022,0,1241
Nevada,Jul 15 2022,1301,1241
Nevada,Jul 14 2022,1556,1199
Nevada,Jul 13 2022,922,1110
Nevada,Jul 12 2022,3298,1512
Nevada,Jul 11 2022,1615,1230
Nevada,Jul 10 2022,0,999
Nevada,Jul  9 2022,0,999
Nevada,Jul  8 2022,1008,999
Nevada,Jul  7 2022,932,1078
Nevada,Jul  6 2022,3734,1171
Nevada,Jul  5 2022,1322,803
Nevada,Jul  4 2022,0,1057
Nevada,Jul  3 2022,0,1244
Nevada,Jul  2 2022,0,1244
Nevada,Jul  1 2022,1563,1244
Nevada,Jun 30 2022,1580,1212
Nevada,Jun 29 2022,1160,1176
Nevada,Jun 28 2022,3100,1112
Nevada,Jun 27 2022,1310,1071
Nevada,Jun 26 2022,0,1050
Nevada,Jun 25 2022,0,1050
Nevada,Jun 24 2022,1336,1050
Nevada,Jun 23 2022,1332,1047
Nevada,Jun 22 2022,712,1032
Nevada,Jun 21 2022,2809,1056
Nevada,Jun 20 2022,1166,1154
Nevada,Jun 19 2022,0,1160
Nevada,Jun 18 2022,0,1160
Nevada,Jun 17 2022,1314,1160
Nevada,Jun 16 2022,1223,1245
Nevada,Jun 15 2022,882,1325
Nevada,Jun 14 2022,3496,1365
Nevada,Jun 13 2022,1211,1401
Nevada,Jun 12 2022,0,1228
Nevada,Jun 11 2022,0,1228
Nevada,Jun 10 2022,1907,1228
Nevada,Jun  9 2022,1780,1121
Nevada,Jun  8 2022,1162,977
Nevada,Jun  7 2022,3749,1311
Nevada,Jun  6 2022,0,974
Nevada,Jun  5 2022,0,974
Nevada,Jun  4 2022,0,974
Nevada,Jun  3 2022,1161,974
Nevada,Jun  2 2022,771,1144
Nevada,Jun  1 2022,3496,1034
Nevada,May 31 2022,1390,639
Nevada,May 30 2022,0,819
Nevada,May 29 2022,0,958
Nevada,May 28 2022,0,958
Nevada,May 27 2022,2353,958
Nevada,May 26 2022,0,893
Nevada,May 25 2022,731,893
Nevada,May 24 2022,2654,875
Nevada,May 23 2022,970,760
Nevada,May 22 2022,0,820
Nevada,May 21 2022,0,820
Nevada,May 20 2022,1902,820
Nevada,May 19 2022,0,548
Nevada,May 18 2022,605,628
Nevada,May 17 2022,1847,587
Nevada,May 16 2022,1390,527
Nevada,May 15 2022,0,398
Nevada,May 14 2022,0,398
Nevada,May 13 2022,0,398
Nevada,May 12 2022,558,481
Nevada,May 11 2022,320,466
Nevada,May 10 2022,1425,472
Nevada,May  9 2022,486,400
Nevada,May  8 2022,0,383
Nevada,May  7 2022,0,383
Nevada,May  6 2022,582,383
Nevada,May  5 2022,451,361
Nevada,May  4 2022,361,346
Nevada,May  3 2022,922,328
Nevada,May  2 2022,366,316
Nevada,May  1 2022,0,297
Nevada,Apr 30 2022,0,297
Nevada,Apr 29 2022,428,297
Nevada,Apr 28 2022,348,285
Nevada,Apr 27 2022,238,277
Nevada,Apr 26 2022,833,269
Nevada,Apr 25 2022,236,206
Nevada,Apr 24 2022,0,208
Nevada,Apr 23 2022,0,208
Nevada,Apr 22 2022,340,208
Nevada,Apr 21 2022,297,190
Nevada,Apr 20 2022,183,176
Nevada,Apr 19 2022,391,167
Nevada,Apr 18 2022,251,176
Nevada,Apr 17 2022,0,179
Nevada,Apr 16 2022,0,179
Nevada,Apr 15 2022,210,179
Nevada,Apr 14 2022,198,174
Nevada,Apr 13 2022,121,171
Nevada,Apr 12 2022,452,171
Nevada,Apr 11 2022,273,175
Nevada,Apr 10 2022,0,163
Nevada,Apr  9 2022,0,163
Nevada,Apr  8 2022,174,163
Nevada,Apr  7 2022,179,170
Nevada,Apr  6 2022,119,167
Nevada,Apr  5 2022,483,171
Nevada,Apr  4 2022,192,151
Nevada,Apr  3 2022,0,157
Nevada,Apr  2 2022,0,157
Nevada,Apr  1 2022,218,157
Nevada,Mar 31 2022,158,155
Nevada,Mar 30 2022,146,166
Nevada,Mar 29 2022,345,169
Nevada,Mar 28 2022,234,169
Nevada,Mar 27 2022,0,165
Nevada,Mar 26 2022,0,165
Nevada,Mar 25 2022,207,165
Nevada,Mar 24 2022,234,192
Nevada,Mar 23 2022,169,159
Nevada,Mar 22 2022,343,155
Nevada,Mar 21 2022,202,106
Nevada,Mar 20 2022,0,77
Nevada,Mar 19 2022,0,77
Nevada,Mar 18 2022,401,77
Nevada,Mar 17 2022,0,98
Nevada,Mar 16 2022,139,198
Nevada,Mar 15 2022,0,259
Nevada,Mar 14 2022,0,312
Nevada,Mar 13 2022,0,461
Nevada,Mar 12 2022,0,461
Nevada,Mar 11 2022,548,461
Nevada,Mar 10 2022,700,383
