Data Table for Daily Case Trends - New Hampshire
Date generated: Mon Jul 25 2022 09:39:59 GMT-0400 (Eastern Daylight Time)
State,Date,New Cases,7-Day Moving Avg
New Hampshire,Jul 21 2022,256,185
New Hampshire,Jul 20 2022,227,192
New Hampshire,Jul 19 2022,107,198
New Hampshire,Jul 18 2022,393,211
New Hampshire,Jul 17 2022,0,239
New Hampshire,Jul 16 2022,0,239
New Hampshire,Jul 15 2022,313,239
New Hampshire,Jul 14 2022,304,238
New Hampshire,Jul 13 2022,269,227
New Hampshire,Jul 12 2022,203,213
New Hampshire,Jul 11 2022,584,287
New Hampshire,Jul 10 2022,0,203
New Hampshire,Jul  9 2022,0,203
New Hampshire,Jul  8 2022,306,203
New Hampshire,Jul  7 2022,232,194
New Hampshire,Jul  6 2022,170,195
New Hampshire,Jul  5 2022,717,208
New Hampshire,Jul  4 2022,0,124
New Hampshire,Jul  3 2022,0,219
New Hampshire,Jul  2 2022,0,219
New Hampshire,Jul  1 2022,244,219
New Hampshire,Jun 30 2022,237,213
New Hampshire,Jun 29 2022,264,200
New Hampshire,Jun 28 2022,123,190
New Hampshire,Jun 27 2022,668,197
New Hampshire,Jun 26 2022,0,163
New Hampshire,Jun 25 2022,0,163
New Hampshire,Jun 24 2022,200,163
New Hampshire,Jun 23 2022,147,162
New Hampshire,Jun 22 2022,196,178
New Hampshire,Jun 21 2022,169,182
New Hampshire,Jun 20 2022,432,183
New Hampshire,Jun 19 2022,0,195
New Hampshire,Jun 18 2022,0,195
New Hampshire,Jun 17 2022,192,195
New Hampshire,Jun 16 2022,262,204
New Hampshire,Jun 15 2022,222,202
New Hampshire,Jun 14 2022,174,202
New Hampshire,Jun 13 2022,516,278
New Hampshire,Jun 12 2022,0,244
New Hampshire,Jun 11 2022,0,244
New Hampshire,Jun 10 2022,254,244
New Hampshire,Jun  9 2022,250,252
New Hampshire,Jun  8 2022,222,283
New Hampshire,Jun  7 2022,704,289
New Hampshire,Jun  6 2022,278,359
New Hampshire,Jun  5 2022,0,319
New Hampshire,Jun  4 2022,0,319
New Hampshire,Jun  3 2022,315,319
New Hampshire,Jun  2 2022,462,342
New Hampshire,Jun  1 2022,264,358
New Hampshire,May 31 2022,1196,380
New Hampshire,May 30 2022,0,266
New Hampshire,May 29 2022,0,475
New Hampshire,May 28 2022,0,475
New Hampshire,May 27 2022,476,475
New Hampshire,May 26 2022,571,493
New Hampshire,May 25 2022,422,499
New Hampshire,May 24 2022,393,532
New Hampshire,May 23 2022,1469,831
New Hampshire,May 22 2022,0,621
New Hampshire,May 21 2022,0,621
New Hampshire,May 20 2022,597,621
New Hampshire,May 19 2022,618,616
New Hampshire,May 18 2022,648,625
New Hampshire,May 17 2022,2488,617
New Hampshire,May 16 2022,0,308
New Hampshire,May 15 2022,0,486
New Hampshire,May 14 2022,0,486
New Hampshire,May 13 2022,564,486
New Hampshire,May 12 2022,680,492
New Hampshire,May 11 2022,587,469
New Hampshire,May 10 2022,327,462
New Hampshire,May  9 2022,1245,484
New Hampshire,May  8 2022,0,472
New Hampshire,May  7 2022,0,472
New Hampshire,May  6 2022,609,472
New Hampshire,May  5 2022,518,446
