Data Table for Daily Case Trends - New Jersey
Date generated: Mon Jul 25 2022 09:40:10 GMT-0400 (Eastern Daylight Time)
State,Date,New Cases,7-Day Moving Avg
New Jersey,Jul 21 2022,4538,3682
New Jersey,Jul 20 2022,3961,3643
New Jersey,Jul 19 2022,4327,3608
New Jersey,Jul 18 2022,2056,3623
New Jersey,Jul 17 2022,3133,3603
New Jersey,Jul 16 2022,3788,3570
New Jersey,Jul 15 2022,3971,3560
New Jersey,Jul 14 2022,4271,3635
New Jersey,Jul 13 2022,3710,3586
New Jersey,Jul 12 2022,4437,3495
New Jersey,Jul 11 2022,1913,3175
New Jersey,Jul 10 2022,2902,3547
New Jersey,Jul  9 2022,3719,3132
New Jersey,Jul  8 2022,4498,3107
New Jersey,Jul  7 2022,3925,2980
New Jersey,Jul  6 2022,3075,2978
New Jersey,Jul  5 2022,2199,2988
New Jersey,Jul  4 2022,4513,3193
New Jersey,Jul  3 2022,0,2763
New Jersey,Jul  2 2022,3539,3135
New Jersey,Jul  1 2022,3615,3089
New Jersey,Jun 30 2022,3911,3045
New Jersey,Jun 29 2022,3144,2947
New Jersey,Jun 28 2022,3629,3005
New Jersey,Jun 27 2022,1509,2895
New Jersey,Jun 26 2022,2602,2885
New Jersey,Jun 25 2022,3218,2853
New Jersey,Jun 24 2022,3306,2765
New Jersey,Jun 23 2022,3225,2789
New Jersey,Jun 22 2022,3552,2785
New Jersey,Jun 21 2022,2858,2716
New Jersey,Jun 20 2022,1438,2755
New Jersey,Jun 19 2022,2377,2689
New Jersey,Jun 18 2022,2605,2668
New Jersey,Jun 17 2022,3473,2764
New Jersey,Jun 16 2022,3197,2793
New Jersey,Jun 15 2022,3070,2871
New Jersey,Jun 14 2022,3127,2935
New Jersey,Jun 13 2022,979,3015
New Jersey,Jun 12 2022,2228,3218
New Jersey,Jun 11 2022,3280,3328
New Jersey,Jun 10 2022,3676,3482
New Jersey,Jun  9 2022,3741,3636
New Jersey,Jun  8 2022,3514,3778
New Jersey,Jun  7 2022,3691,3785
New Jersey,Jun  6 2022,2401,3604
New Jersey,Jun  5 2022,2995,4149
New Jersey,Jun  4 2022,4356,3722
New Jersey,Jun  3 2022,4757,3782
New Jersey,Jun  2 2022,4735,3844
New Jersey,Jun  1 2022,3562,3949
New Jersey,May 31 2022,2424,4134
New Jersey,May 30 2022,6220,4662
New Jersey,May 29 2022,0,4196
New Jersey,May 28 2022,4778,4757
New Jersey,May 27 2022,5194,4827
New Jersey,May 26 2022,5471,4961
New Jersey,May 25 2022,4852,5036
New Jersey,May 24 2022,6124,5073
New Jersey,May 23 2022,2955,4858
New Jersey,May 22 2022,3927,4910
New Jersey,May 21 2022,5268,4917
New Jersey,May 20 2022,6132,4902
New Jersey,May 19 2022,5995,4953
New Jersey,May 18 2022,5111,4978
New Jersey,May 17 2022,4619,4951
New Jersey,May 16 2022,3321,4919
New Jersey,May 15 2022,3975,4750
New Jersey,May 14 2022,5167,4655
New Jersey,May 13 2022,6488,4486
New Jersey,May 12 2022,6167,4169
New Jersey,May 11 2022,4925,3908
New Jersey,May 10 2022,4393,3690
New Jersey,May  9 2022,2139,3440
New Jersey,May  8 2022,3309,3565
New Jersey,May  7 2022,3986,3421
New Jersey,May  6 2022,4266,3316
New Jersey,May  5 2022,4339,3169
New Jersey,May  4 2022,3401,3000
New Jersey,May  3 2022,2643,2955
New Jersey,May  2 2022,3015,2967
New Jersey,May  1 2022,2297,2724
New Jersey,Apr 30 2022,3254,2637
New Jersey,Apr 29 2022,3235,2534
New Jersey,Apr 28 2022,3161,2482
New Jersey,Apr 27 2022,3085,2430
New Jersey,Apr 26 2022,2726,2310
New Jersey,Apr 25 2022,1315,2180
New Jersey,Apr 24 2022,1685,2134
New Jersey,Apr 23 2022,2532,2129
New Jersey,Apr 22 2022,2870,2076
New Jersey,Apr 21 2022,2797,2006
New Jersey,Apr 20 2022,2245,1996
New Jersey,Apr 19 2022,1817,2000
New Jersey,Apr 18 2022,996,2024
New Jersey,Apr 17 2022,1649,2041
New Jersey,Apr 16 2022,2163,2064
New Jersey,Apr 15 2022,2376,1988
New Jersey,Apr 14 2022,2730,1937
New Jersey,Apr 13 2022,2272,1848
New Jersey,Apr 12 2022,1982,1790
New Jersey,Apr 11 2022,1119,1737
New Jersey,Apr 10 2022,1811,1838
New Jersey,Apr  9 2022,1629,1579
New Jersey,Apr  8 2022,2018,1560
New Jersey,Apr  7 2022,2109,1488
New Jersey,Apr  6 2022,1863,1397
New Jersey,Apr  5 2022,1610,1326
New Jersey,Apr  4 2022,1828,1240
New Jersey,Apr  3 2022,0,1071
New Jersey,Apr  2 2022,1493,1205
New Jersey,Apr  1 2022,1517,1122
New Jersey,Mar 31 2022,1468,1073
New Jersey,Mar 30 2022,1369,1085
New Jersey,Mar 29 2022,1007,1047
New Jersey,Mar 28 2022,643,1026
New Jersey,Mar 27 2022,941,1013
New Jersey,Mar 26 2022,909,952
New Jersey,Mar 25 2022,1176,946
New Jersey,Mar 24 2022,1551,995
New Jersey,Mar 23 2022,1104,929
New Jersey,Mar 22 2022,859,1011
New Jersey,Mar 21 2022,552,993
New Jersey,Mar 20 2022,513,975
New Jersey,Mar 19 2022,869,969
New Jersey,Mar 18 2022,1523,947
New Jersey,Mar 17 2022,1083,906
New Jersey,Mar 16 2022,1683,948
New Jersey,Mar 15 2022,729,846
New Jersey,Mar 14 2022,430,912
New Jersey,Mar 13 2022,468,989
New Jersey,Mar 12 2022,714,1016
New Jersey,Mar 11 2022,1240,1063
New Jersey,Mar 10 2022,1378,1091
New Jersey,Mar  9 2022,965,1076
New Jersey,Mar  8 2022,1194,1143
New Jersey,Mar  7 2022,966,1132
New Jersey,Mar  6 2022,660,1102
New Jersey,Mar  5 2022,1042,1189
New Jersey,Mar  4 2022,1432,1200
New Jersey,Mar  3 2022,1278,1407
New Jersey,Mar  2 2022,1430,1267
New Jersey,Mar  1 2022,1116,1229
New Jersey,Feb 28 2022,757,1242
New Jersey,Feb 27 2022,1274,1208
New Jersey,Feb 26 2022,1116,1440
New Jersey,Feb 25 2022,2879,1281
New Jersey,Feb 24 2022,299,1199
New Jersey,Feb 23 2022,1167,1548
New Jersey,Feb 22 2022,1203,1738
New Jersey,Feb 21 2022,520,1790
New Jersey,Feb 20 2022,2900,1869
New Jersey,Feb 19 2022,0,1621
New Jersey,Feb 18 2022,2307,1891
New Jersey,Feb 17 2022,2742,1930
New Jersey,Feb 16 2022,2494,1994
New Jersey,Feb 15 2022,1572,1971
New Jersey,Feb 14 2022,1074,2018
New Jersey,Feb 13 2022,1161,2028
New Jersey,Feb 12 2022,1893,2122
New Jersey,Feb 11 2022,2578,2275
New Jersey,Feb 10 2022,3192,2338
New Jersey,Feb  9 2022,2329,2441
New Jersey,Feb  8 2022,1904,2679
New Jersey,Feb  7 2022,1139,2899
New Jersey,Feb  6 2022,1824,3033
New Jersey,Feb  5 2022,2961,3083
New Jersey,Feb  4 2022,3023,3429
New Jersey,Feb  3 2022,3909,4442
