Data Table for Daily Case Trends - New Mexico
Date generated: Mon Jul 25 2022 09:40:19 GMT-0400 (Eastern Daylight Time)
State,Date,New Cases,7-Day Moving Avg
New Mexico,Jul 21 2022,1305,1072
New Mexico,Jul 20 2022,1174,968
New Mexico,Jul 19 2022,894,967
New Mexico,Jul 18 2022,2410,950
New Mexico,Jul 17 2022,0,959
New Mexico,Jul 16 2022,0,959
New Mexico,Jul 15 2022,1721,959
New Mexico,Jul 14 2022,583,891
New Mexico,Jul 13 2022,1162,977
New Mexico,Jul 12 2022,778,900
New Mexico,Jul 11 2022,2473,1237
New Mexico,Jul 10 2022,0,884
New Mexico,Jul  9 2022,0,884
New Mexico,Jul  8 2022,1247,884
New Mexico,Jul  7 2022,1185,824
New Mexico,Jul  6 2022,618,806
New Mexico,Jul  5 2022,3138,878
New Mexico,Jul  4 2022,0,535
New Mexico,Jul  3 2022,0,917
New Mexico,Jul  2 2022,0,917
New Mexico,Jul  1 2022,830,917
New Mexico,Jun 30 2022,1057,977
New Mexico,Jun 29 2022,1126,1028
New Mexico,Jun 28 2022,736,999
New Mexico,Jun 27 2022,2670,1330
New Mexico,Jun 26 2022,0,949
New Mexico,Jun 25 2022,0,949
New Mexico,Jun 24 2022,1251,949
New Mexico,Jun 23 2022,1416,953
New Mexico,Jun 22 2022,921,906
New Mexico,Jun 21 2022,3057,936
New Mexico,Jun 20 2022,0,609
New Mexico,Jun 19 2022,0,963
New Mexico,Jun 18 2022,0,963
New Mexico,Jun 17 2022,1277,963
New Mexico,Jun 16 2022,1091,922
New Mexico,Jun 15 2022,1127,928
New Mexico,Jun 14 2022,768,924
New Mexico,Jun 13 2022,2484,917
New Mexico,Jun 12 2022,0,891
New Mexico,Jun 11 2022,0,891
New Mexico,Jun 10 2022,985,891
New Mexico,Jun  9 2022,1136,904
New Mexico,Jun  8 2022,1100,882
New Mexico,Jun  7 2022,715,804
New Mexico,Jun  6 2022,2302,1009
New Mexico,Jun  5 2022,0,680
New Mexico,Jun  4 2022,0,680
New Mexico,Jun  3 2022,1077,680
New Mexico,Jun  2 2022,981,639
New Mexico,Jun  1 2022,554,618
New Mexico,May 31 2022,2150,672
New Mexico,May 30 2022,0,442
New Mexico,May 29 2022,0,647
New Mexico,May 28 2022,0,647
New Mexico,May 27 2022,793,647
New Mexico,May 26 2022,834,625
New Mexico,May 25 2022,931,584
New Mexico,May 24 2022,537,539
New Mexico,May 23 2022,1436,515
New Mexico,May 22 2022,0,457
New Mexico,May 21 2022,0,457
New Mexico,May 20 2022,637,457
New Mexico,May 19 2022,553,421
New Mexico,May 18 2022,612,413
New Mexico,May 17 2022,373,377
New Mexico,May 16 2022,1024,359
New Mexico,May 15 2022,0,313
New Mexico,May 14 2022,0,313
New Mexico,May 13 2022,386,313
New Mexico,May 12 2022,502,304
New Mexico,May 11 2022,354,283
New Mexico,May 10 2022,251,267
New Mexico,May  9 2022,704,255
New Mexico,May  8 2022,0,230
New Mexico,May  7 2022,0,230
New Mexico,May  6 2022,319,230
New Mexico,May  5 2022,353,218
New Mexico,May  4 2022,245,206
New Mexico,May  3 2022,166,205
New Mexico,May  2 2022,528,203
New Mexico,May  1 2022,0,187
New Mexico,Apr 30 2022,0,187
New Mexico,Apr 29 2022,235,187
New Mexico,Apr 28 2022,271,180
New Mexico,Apr 27 2022,240,176
New Mexico,Apr 26 2022,151,168
New Mexico,Apr 25 2022,414,163
New Mexico,Apr 24 2022,0,169
New Mexico,Apr 23 2022,0,169
New Mexico,Apr 22 2022,190,169
New Mexico,Apr 21 2022,237,163
New Mexico,Apr 20 2022,189,154
New Mexico,Apr 19 2022,114,151
New Mexico,Apr 18 2022,455,146
New Mexico,Apr 17 2022,0,127
New Mexico,Apr 16 2022,0,127
New Mexico,Apr 15 2022,152,127
New Mexico,Apr 14 2022,171,123
New Mexico,Apr 13 2022,168,115
New Mexico,Apr 12 2022,80,112
New Mexico,Apr 11 2022,321,113
New Mexico,Apr 10 2022,0,141
New Mexico,Apr  9 2022,0,141
New Mexico,Apr  8 2022,121,141
New Mexico,Apr  7 2022,115,137
New Mexico,Apr  6 2022,148,137
New Mexico,Apr  5 2022,87,135
New Mexico,Apr  4 2022,519,135
New Mexico,Apr  3 2022,0,106
New Mexico,Apr  2 2022,0,106
New Mexico,Apr  1 2022,93,106
New Mexico,Mar 31 2022,116,114
