Data Table for Daily Case Trends - New York (excludes NYC)*
Date generated: Mon Jul 25 2022 09:40:28 GMT-0400 (Eastern Daylight Time)
State,Date,New Cases,7-Day Moving Avg
New York,Jul 21 2022,3651,2948
New York,Jul 20 2022,3674,2947
New York,Jul 19 2022,2248,2802
New York,Jul 18 2022,2087,2938
New York,Jul 17 2022,2647,2908
New York,Jul 16 2022,6333,2888
New York,Jul 15 2022,0,2430
New York,Jul 14 2022,3642,3375
New York,Jul 13 2022,2657,2854
New York,Jul 12 2022,3206,2746
New York,Jul 11 2022,1874,2525
New York,Jul 10 2022,2509,2519
New York,Jul  9 2022,3128,2474
New York,Jul  8 2022,6609,2446
New York,Jul  7 2022,0,1895
New York,Jul  6 2022,1896,2308
New York,Jul  5 2022,1662,2652
New York,Jul  4 2022,1829,2414
New York,Jul  3 2022,2197,2674
New York,Jul  2 2022,2935,2360
New York,Jul  1 2022,2749,2284
New York,Jun 30 2022,2889,2320
New York,Jun 29 2022,4304,2308
New York,Jun 28 2022,0,1979
New York,Jun 27 2022,3648,2191
New York,Jun 26 2022,0,1876
New York,Jun 25 2022,2403,2138
New York,Jun 24 2022,2998,2137
New York,Jun 23 2022,2808,2030
New York,Jun 22 2022,1998,1997
New York,Jun 21 2022,1483,2056
New York,Jun 20 2022,1447,2088
New York,Jun 19 2022,1833,2094
New York,Jun 18 2022,2392,2112
New York,Jun 17 2022,2251,2113
New York,Jun 16 2022,2578,2165
New York,Jun 15 2022,2414,2199
New York,Jun 14 2022,1706,2252
New York,Jun 13 2022,1489,2298
New York,Jun 12 2022,1954,2331
New York,Jun 11 2022,2403,2428
New York,Jun 10 2022,2615,2571
New York,Jun  9 2022,2813,2748
New York,Jun  8 2022,2785,2822
New York,Jun  7 2022,2027,2835
New York,Jun  6 2022,1720,4071
New York,Jun  5 2022,2637,3826
New York,Jun  4 2022,3401,3449
New York,Jun  3 2022,3858,2963
New York,Jun  2 2022,3328,3025
New York,Jun  1 2022,2879,3256
New York,May 31 2022,10680,3531
New York,May 30 2022,0,2464
New York,May 29 2022,0,2941
New York,May 28 2022,0,3515
New York,May 27 2022,4291,4271
New York,May 26 2022,4943,4547
New York,May 25 2022,4806,4766
New York,May 24 2022,3211,4900
New York,May 23 2022,3338,5056
New York,May 22 2022,4022,5956
New York,May 21 2022,5292,7306
New York,May 20 2022,6217,6550
New York,May 19 2022,6481,5662
New York,May 18 2022,5739,5809
New York,May 17 2022,4305,5885
New York,May 16 2022,9638,5892
New York,May 15 2022,13472,5071
New York,May 14 2022,0,3966
New York,May 13 2022,0,4886
New York,May 12 2022,7510,5834
New York,May 11 2022,6271,5729
New York,May 10 2022,4359,5688
New York,May  9 2022,3887,5587
New York,May  8 2022,5735,5479
New York,May  7 2022,6442,5306
New York,May  6 2022,6638,5144
New York,May  5 2022,6775,5008
New York,May  4 2022,5980,4959
New York,May  3 2022,3653,4884
New York,May  2 2022,3136,4811
New York,May  1 2022,4521,4825
New York,Apr 30 2022,5307,4780
New York,Apr 29 2022,5686,4606
New York,Apr 28 2022,6434,4543
New York,Apr 27 2022,5451,4294
New York,Apr 26 2022,3143,4138
New York,Apr 25 2022,3239,4093
New York,Apr 24 2022,4205,4029
New York,Apr 23 2022,4086,3909
New York,Apr 22 2022,5245,3935
New York,Apr 21 2022,4691,3788
New York,Apr 20 2022,4363,3758
New York,Apr 19 2022,2823,3706
New York,Apr 18 2022,2791,3631
New York,Apr 17 2022,3368,3583
New York,Apr 16 2022,4265,3589
New York,Apr 15 2022,4217,3446
New York,Apr 14 2022,4483,3333
New York,Apr 13 2022,4001,3184
New York,Apr 12 2022,2296,3000
New York,Apr 11 2022,2457,2899
New York,Apr 10 2022,3406,2749
New York,Apr  9 2022,3263,2550
New York,Apr  8 2022,3427,2423
New York,Apr  7 2022,3438,2275
New York,Apr  6 2022,2717,2151
New York,Apr  5 2022,1586,2043
New York,Apr  4 2022,1411,2022
New York,Apr  3 2022,2008,1987
New York,Apr  2 2022,2377,1925
New York,Apr  1 2022,2394,1839
New York,Mar 31 2022,2570,1692
New York,Mar 30 2022,1955,1669
New York,Mar 29 2022,1440,1732
New York,Mar 28 2022,1170,1648
New York,Mar 27 2022,1574,1564
New York,Mar 26 2022,1775,1501
New York,Mar 25 2022,1360,1476
New York,Mar 24 2022,2414,1466
New York,Mar 23 2022,2391,1329
New York,Mar 22 2022,857,1159
New York,Mar 21 2022,581,1188
New York,Mar 20 2022,1134,1180
New York,Mar 19 2022,1601,1172
New York,Mar 18 2022,1287,1086
New York,Mar 17 2022,1458,1108
New York,Mar 16 2022,1196,1038
New York,Mar 15 2022,1064,1033
New York,Mar 14 2022,521,976
New York,Mar 13 2022,1077,992
New York,Mar 12 2022,1004,989
New York,Mar 11 2022,1438,1028
New York,Mar 10 2022,967,1006
New York,Mar  9 2022,1161,1085
New York,Mar  8 2022,667,1110
New York,Mar  7 2022,632,1137
New York,Mar  6 2022,1059,1159
New York,Mar  5 2022,1275,1149
New York,Mar  4 2022,1284,1173
New York,Mar  3 2022,1518,1207
New York,Mar  2 2022,1336,1218
New York,Mar  1 2022,861,1250
New York,Feb 28 2022,782,1281
New York,Feb 27 2022,990,1309
New York,Feb 26 2022,1442,1402
New York,Feb 25 2022,1523,1494
New York,Feb 24 2022,1598,1660
New York,Feb 23 2022,1557,1791
New York,Feb 22 2022,1081,1887
New York,Feb 21 2022,978,1962
New York,Feb 20 2022,1641,2058
New York,Feb 19 2022,2086,2150
New York,Feb 18 2022,2681,2260
New York,Feb 17 2022,2517,2341
New York,Feb 16 2022,2230,2580
New York,Feb 15 2022,1605,2837
New York,Feb 14 2022,1648,2985
New York,Feb 13 2022,2287,3091
New York,Feb 12 2022,2858,3265
New York,Feb 11 2022,3244,3524
New York,Feb 10 2022,4188,3793
New York,Feb  9 2022,4034,4101
New York,Feb  8 2022,2639,4393
New York,Feb  7 2022,2390,4656
New York,Feb  6 2022,3506,4839
New York,Feb  5 2022,4668,5156
New York,Feb  4 2022,5127,5623
New York,Feb  3 2022,6346,6113
New York,Feb  2 2022,6076,6765
New York,Feb  1 2022,4480,7345
New York,Jan 31 2022,3670,7857
New York,Jan 30 2022,5731,8366
New York,Jan 29 2022,7932,9065
New York,Jan 28 2022,8558,9963
New York,Jan 27 2022,10913,11029
New York,Jan 26 2022,10134,11921
New York,Jan 25 2022,8067,12198
New York,Jan 24 2022,7227,12678
New York,Jan 23 2022,10625,13497
New York,Jan 22 2022,14221,15224
New York,Jan 21 2022,16021,16738
New York,Jan 20 2022,17157,18390
New York,Jan 19 2022,12074,20060
New York,Jan 18 2022,11424,22276
New York,Jan 17 2022,12961,23612
New York,Jan 16 2022,22716,24977
New York,Jan 15 2022,24816,27037
New York,Jan 14 2022,27587,29569
New York,Jan 13 2022,28844,31030
New York,Jan 12 2022,27587,32345
New York,Jan 11 2022,20778,33430
New York,Jan 10 2022,22513,33664
New York,Jan  9 2022,37136,33656
New York,Jan  8 2022,42541,32190
New York,Jan  7 2022,37816,31220
New York,Jan  6 2022,38044,30592
New York,Jan  5 2022,35182,29475
New York,Jan  4 2022,22422,28377
New York,Jan  3 2022,22452,27032
New York,Jan  2 2022,26876,25020
New York,Jan  1 2022,35752,25657
New York,Dec 31 2021,33420,20550
New York,Dec 30 2021,30222,18258
New York,Dec 29 2021,27499,16230
New York,Dec 28 2021,13006,13973
New York,Dec 27 2021,8369,13329
New York,Dec 26 2021,31334,13298
New York,Dec 25 2021,0,10260
New York,Dec 24 2021,17378,11735
New York,Dec 23 2021,16027,10786
New York,Dec 22 2021,11703,9919
