Data Table for Daily Case Trends - New York City*
Date generated: Mon Jul 25 2022 09:41:46 GMT-0400 (Eastern Daylight Time)
State,Date,New Cases,7-Day Moving Avg
New York City,Jul 21 2022,4901,4543
New York City,Jul 20 2022,5189,4587
New York City,Jul 19 2022,5757,4716
New York City,Jul 18 2022,3301,4437
New York City,Jul 17 2022,12658,4747
New York City,Jul 16 2022,0,4718
New York City,Jul 15 2022,0,4718
New York City,Jul 14 2022,5204,4718
New York City,Jul 13 2022,6097,4658
New York City,Jul 12 2022,3799,4552
New York City,Jul 11 2022,5476,4364
New York City,Jul 10 2022,12452,3968
New York City,Jul  9 2022,0,3740
New York City,Jul  8 2022,0,3740
New York City,Jul  7 2022,4785,3740
New York City,Jul  6 2022,5358,3759
New York City,Jul  5 2022,2483,3616
New York City,Jul  4 2022,2704,3786
New York City,Jul  3 2022,10854,3776
New York City,Jul  2 2022,0,3674
New York City,Jul  1 2022,0,3674
New York City,Jun 30 2022,4917,3674
New York City,Jun 29 2022,4356,3520
New York City,Jun 28 2022,3677,3458
New York City,Jun 27 2022,2630,3290
New York City,Jun 26 2022,10144,3236
New York City,Jun 25 2022,0,2980
New York City,Jun 24 2022,0,2980
New York City,Jun 23 2022,3834,2980
New York City,Jun 22 2022,3927,2930
New York City,Jun 21 2022,2501,2864
New York City,Jun 20 2022,2250,2970
New York City,Jun 19 2022,8354,2948
New York City,Jun 18 2022,0,2979
New York City,Jun 17 2022,0,2979
New York City,Jun 16 2022,3483,2979
New York City,Jun 15 2022,3460,2988
New York City,Jun 14 2022,3245,3018
New York City,Jun 13 2022,2099,3290
New York City,Jun 12 2022,8567,3400
New York City,Jun 11 2022,0,3594
New York City,Jun 10 2022,0,3594
New York City,Jun  9 2022,3545,3594
New York City,Jun  8 2022,3674,3728
New York City,Jun  7 2022,5147,3676
New York City,Jun  6 2022,2873,3389
New York City,Jun  5 2022,9924,3253
New York City,Jun  4 2022,0,3287
New York City,Jun  3 2022,0,3287
New York City,Jun  2 2022,4484,3287
New York City,Jun  1 2022,3304,3481
New York City,May 31 2022,3144,3666
