Data Table for Daily Case Trends - North Carolina
Date generated: Mon Jul 25 2022 09:41:56 GMT-0400 (Eastern Daylight Time)
State,Date,New Cases,7-Day Moving Avg
North Carolina,Jul 21 2022,0,2784
North Carolina,Jul 20 2022,0,3461
North Carolina,Jul 19 2022,3803,4186
North Carolina,Jul 18 2022,2595,4190
North Carolina,Jul 17 2022,3469,4173
North Carolina,Jul 16 2022,4753,4198
North Carolina,Jul 15 2022,4874,4185
North Carolina,Jul 14 2022,4733,4246
North Carolina,Jul 13 2022,5079,4251
North Carolina,Jul 12 2022,3827,3923
North Carolina,Jul 11 2022,2480,3659
North Carolina,Jul 10 2022,3641,3626
North Carolina,Jul  9 2022,4664,3555
North Carolina,Jul  8 2022,5301,3473
North Carolina,Jul  7 2022,4767,3354
North Carolina,Jul  6 2022,2781,3323
North Carolina,Jul  5 2022,1979,3582
North Carolina,Jul  4 2022,2252,3750
North Carolina,Jul  3 2022,3146,3747
North Carolina,Jul  2 2022,4089,3720
North Carolina,Jul  1 2022,4464,3706
North Carolina,Jun 30 2022,4550,3641
North Carolina,Jun 29 2022,4595,3620
North Carolina,Jun 28 2022,3160,3528
North Carolina,Jun 27 2022,2227,3449
North Carolina,Jun 26 2022,2956,3431
North Carolina,Jun 25 2022,3990,3403
North Carolina,Jun 24 2022,4009,3370
North Carolina,Jun 23 2022,4409,3341
North Carolina,Jun 22 2022,3947,3266
North Carolina,Jun 21 2022,2605,3240
North Carolina,Jun 20 2022,2105,3280
North Carolina,Jun 19 2022,2762,3286
North Carolina,Jun 18 2022,3758,3281
North Carolina,Jun 17 2022,3802,3306
North Carolina,Jun 16 2022,3888,3359
North Carolina,Jun 15 2022,3765,3429
North Carolina,Jun 14 2022,2880,3498
North Carolina,Jun 13 2022,2150,3528
North Carolina,Jun 12 2022,2728,3541
North Carolina,Jun 11 2022,3934,3617
North Carolina,Jun 10 2022,4171,3689
North Carolina,Jun  9 2022,4376,3844
North Carolina,Jun  8 2022,4248,3994
North Carolina,Jun  7 2022,3091,3820
North Carolina,Jun  6 2022,2245,3702
North Carolina,Jun  5 2022,3254,3741
North Carolina,Jun  4 2022,4439,3760
North Carolina,Jun  3 2022,5255,3723
North Carolina,Jun  2 2022,5429,3652
North Carolina,Jun  1 2022,3028,3588
North Carolina,May 31 2022,2265,3864
North Carolina,May 30 2022,2519,4027
North Carolina,May 29 2022,3386,4017
North Carolina,May 28 2022,4182,4043
North Carolina,May 27 2022,4756,4118
North Carolina,May 26 2022,4984,4128
North Carolina,May 25 2022,4958,4163
North Carolina,May 24 2022,3408,4146
North Carolina,May 23 2022,2449,4072
North Carolina,May 22 2022,3568,4084
North Carolina,May 21 2022,4708,4041
North Carolina,May 20 2022,4825,3919
North Carolina,May 19 2022,5230,3792
North Carolina,May 18 2022,4835,3619
North Carolina,May 17 2022,2892,3460
North Carolina,May 16 2022,2533,3402
North Carolina,May 15 2022,3268,3274
North Carolina,May 14 2022,3854,3150
North Carolina,May 13 2022,3935,2996
North Carolina,May 12 2022,4019,2863
North Carolina,May 11 2022,3724,2738
North Carolina,May 10 2022,2483,2629
North Carolina,May  9 2022,1640,2510
North Carolina,May  8 2022,2395,2456
North Carolina,May  7 2022,2781,2330
North Carolina,May  6 2022,3003,2241
North Carolina,May  5 2022,3140,2158
North Carolina,May  4 2022,2961,2002
North Carolina,May  3 2022,1655,1917
North Carolina,May  2 2022,1261,1902
North Carolina,May  1 2022,1510,1869
North Carolina,Apr 30 2022,2162,1832
North Carolina,Apr 29 2022,2418,1767
North Carolina,Apr 28 2022,2053,1688
North Carolina,Apr 27 2022,2360,1658
North Carolina,Apr 26 2022,1550,1538
North Carolina,Apr 25 2022,1035,1450
North Carolina,Apr 24 2022,1247,1400
North Carolina,Apr 23 2022,1709,1351
North Carolina,Apr 22 2022,1866,1284
North Carolina,Apr 21 2022,1844,1226
North Carolina,Apr 20 2022,1519,1165
North Carolina,Apr 19 2022,934,1124
North Carolina,Apr 18 2022,684,1107
North Carolina,Apr 17 2022,904,1082
North Carolina,Apr 16 2022,1241,1054
North Carolina,Apr 15 2022,1458,996
North Carolina,Apr 14 2022,1417,908
North Carolina,Apr 13 2022,1230,821
North Carolina,Apr 12 2022,821,743
North Carolina,Apr 11 2022,507,691
North Carolina,Apr 10 2022,706,657
North Carolina,Apr  9 2022,838,611
North Carolina,Apr  8 2022,841,573
North Carolina,Apr  7 2022,804,539
North Carolina,Apr  6 2022,690,532
North Carolina,Apr  5 2022,454,510
North Carolina,Apr  4 2022,269,523
North Carolina,Apr  3 2022,383,520
North Carolina,Apr  2 2022,571,511
North Carolina,Apr  1 2022,603,513
North Carolina,Mar 31 2022,757,556
North Carolina,Mar 30 2022,537,537
North Carolina,Mar 29 2022,541,562
North Carolina,Mar 28 2022,254,550
North Carolina,Mar 27 2022,314,545
North Carolina,Mar 26 2022,591,554
North Carolina,Mar 25 2022,898,541
North Carolina,Mar 24 2022,629,508
North Carolina,Mar 23 2022,713,510
North Carolina,Mar 22 2022,456,498
North Carolina,Mar 21 2022,217,505
North Carolina,Mar 20 2022,377,524
North Carolina,Mar 19 2022,501,526
North Carolina,Mar 18 2022,667,564
North Carolina,Mar 17 2022,641,590
North Carolina,Mar 16 2022,630,629
North Carolina,Mar 15 2022,507,674
North Carolina,Mar 14 2022,349,706
North Carolina,Mar 13 2022,389,715
North Carolina,Mar 12 2022,770,756
North Carolina,Mar 11 2022,846,806
North Carolina,Mar 10 2022,913,875
North Carolina,Mar  9 2022,950,950
North Carolina,Mar  8 2022,727,1032
North Carolina,Mar  7 2022,411,1097
North Carolina,Mar  6 2022,676,1135
North Carolina,Mar  5 2022,1124,1217
North Carolina,Mar  4 2022,1328,1336
North Carolina,Mar  3 2022,1439,1561
North Carolina,Mar  2 2022,1525,1719
North Carolina,Mar  1 2022,1177,1899
North Carolina,Feb 28 2022,681,2029
North Carolina,Feb 27 2022,1249,2147
North Carolina,Feb 26 2022,1957,2305
North Carolina,Feb 25 2022,2905,2495
North Carolina,Feb 24 2022,2539,2650
North Carolina,Feb 23 2022,2786,2976
North Carolina,Feb 22 2022,2088,3234
North Carolina,Feb 21 2022,1506,3408
North Carolina,Feb 20 2022,2355,3574
North Carolina,Feb 19 2022,3288,3815
North Carolina,Feb 18 2022,3992,4201
North Carolina,Feb 17 2022,4820,4569
North Carolina,Feb 16 2022,4595,4969
North Carolina,Feb 15 2022,3300,5441
North Carolina,Feb 14 2022,2672,6125
North Carolina,Feb 13 2022,4042,6370
North Carolina,Feb 12 2022,5986,6764
North Carolina,Feb 11 2022,6571,7328
North Carolina,Feb 10 2022,7622,8008
North Carolina,Feb  9 2022,7898,8887
North Carolina,Feb  8 2022,8084,9736
North Carolina,Feb  7 2022,4388,10002
North Carolina,Feb  6 2022,6801,10428
North Carolina,Feb  5 2022,9936,11136
North Carolina,Feb  4 2022,11327,12545
North Carolina,Feb  3 2022,13775,14001
North Carolina,Feb  2 2022,13845,15675
North Carolina,Feb  1 2022,9944,16964
North Carolina,Jan 31 2022,7374,18083
North Carolina,Jan 30 2022,11753,18689
North Carolina,Jan 29 2022,19797,19920
North Carolina,Jan 28 2022,21524,22222
North Carolina,Jan 27 2022,25493,24623
North Carolina,Jan 26 2022,22869,26159
North Carolina,Jan 25 2022,17776,26351
North Carolina,Jan 24 2022,11611,26480
North Carolina,Jan 23 2022,20371,28036
North Carolina,Jan 22 2022,35910,30259
North Carolina,Jan 21 2022,38333,30588
North Carolina,Jan 20 2022,36246,30516
North Carolina,Jan 19 2022,24214,30910
North Carolina,Jan 18 2022,18679,32149
North Carolina,Jan 17 2022,22503,33248
North Carolina,Jan 16 2022,35930,32574
North Carolina,Jan 15 2022,38216,30627
North Carolina,Jan 14 2022,37829,29808
North Carolina,Jan 13 2022,39000,28948
North Carolina,Jan 12 2022,32889,27550
North Carolina,Jan 11 2022,26374,26340
North Carolina,Jan 10 2022,17783,25049
North Carolina,Jan  9 2022,22302,24297
North Carolina,Jan  8 2022,32483,22822
North Carolina,Jan  7 2022,31811,21204
North Carolina,Jan  6 2022,29212,19774
North Carolina,Jan  5 2022,24420,18440
North Carolina,Jan  4 2022,17338,17103
North Carolina,Jan  3 2022,12515,15669
North Carolina,Jan  2 2022,11976,14490
North Carolina,Jan  1 2022,21161,13475
North Carolina,Dec 31 2021,21801,11437
North Carolina,Dec 30 2021,19875,9366
North Carolina,Dec 29 2021,15056,7522
North Carolina,Dec 28 2021,7305,6125
North Carolina,Dec 27 2021,4257,5635
North Carolina,Dec 26 2021,4871,5421
North Carolina,Dec 25 2021,6898,5212
North Carolina,Dec 24 2021,7302,4815
North Carolina,Dec 23 2021,6970,4350
North Carolina,Dec 22 2021,5277,3952
North Carolina,Dec 21 2021,3871,3744
North Carolina,Dec 20 2021,2761,3609
North Carolina,Dec 19 2021,3410,3497
North Carolina,Dec 18 2021,4117,3394
North Carolina,Dec 17 2021,4047,3286
North Carolina,Dec 16 2021,4186,3234
North Carolina,Dec 15 2021,3822,3232
North Carolina,Dec 14 2021,2926,3157
North Carolina,Dec 13 2021,1972,3120
North Carolina,Dec 12 2021,2690,3127
North Carolina,Dec 11 2021,3360,3100
North Carolina,Dec 10 2021,3682,3086
North Carolina,Dec  9 2021,4178,3102
North Carolina,Dec  8 2021,3295,3055
North Carolina,Dec  7 2021,2665,3070
North Carolina,Dec  6 2021,2020,3036
North Carolina,Dec  5 2021,2505,2977
North Carolina,Dec  4 2021,3261,2840
North Carolina,Dec  3 2021,3790,2527
North Carolina,Dec  2 2021,3855,2210
North Carolina,Dec  1 2021,3395,1980
North Carolina,Nov 30 2021,2428,1823
North Carolina,Nov 29 2021,1610,1725
North Carolina,Nov 28 2021,1542,1681
North Carolina,Nov 27 2021,1073,1694
North Carolina,Nov 26 2021,1567,1843
North Carolina,Nov 25 2021,2247,1968
North Carolina,Nov 24 2021,2295,1981
North Carolina,Nov 23 2021,1747,1975
North Carolina,Nov 22 2021,1296,1969
North Carolina,Nov 21 2021,1638,1956
North Carolina,Nov 20 2021,2115,1971
North Carolina,Nov 19 2021,2438,1904
North Carolina,Nov 18 2021,2341,1830
North Carolina,Nov 17 2021,2253,1788
North Carolina,Nov 16 2021,1703,1762
North Carolina,Nov 15 2021,1207,1732
North Carolina,Nov 14 2021,1746,1703
North Carolina,Nov 13 2021,1645,1648
North Carolina,Nov 12 2021,1915,1656
North Carolina,Nov 11 2021,2047,1642
North Carolina,Nov 10 2021,2074,1636
North Carolina,Nov  9 2021,1496,1608
North Carolina,Nov  8 2021,1003,1603
North Carolina,Nov  7 2021,1360,1595
North Carolina,Nov  6 2021,1697,1584
North Carolina,Nov  5 2021,1822,1601
North Carolina,Nov  4 2021,2006,1627
North Carolina,Nov  3 2021,1876,1654
North Carolina,Nov  2 2021,1460,1709
North Carolina,Nov  1 2021,946,1732
North Carolina,Oct 31 2021,1283,1764
North Carolina,Oct 30 2021,1819,1808
North Carolina,Oct 29 2021,1999,1824
North Carolina,Oct 28 2021,2199,1860
North Carolina,Oct 27 2021,2263,1895
North Carolina,Oct 26 2021,1619,1922
North Carolina,Oct 25 2021,1172,1956
North Carolina,Oct 24 2021,1587,1983
North Carolina,Oct 23 2021,1929,2036
North Carolina,Oct 22 2021,2251,2128
North Carolina,Oct 21 2021,2444,2242
North Carolina,Oct 20 2021,2453,2361
North Carolina,Oct 19 2021,1860,2457
North Carolina,Oct 18 2021,1363,2536
North Carolina,Oct 17 2021,1952,2566
North Carolina,Oct 16 2021,2577,2653
North Carolina,Oct 15 2021,3050,2773
North Carolina,Oct 14 2021,3275,2945
North Carolina,Oct 13 2021,3122,3029
North Carolina,Oct 12 2021,2414,3098
North Carolina,Oct 11 2021,1575,3160
North Carolina,Oct 10 2021,2562,3251
North Carolina,Oct  9 2021,3415,3309
North Carolina,Oct  8 2021,4252,3501
North Carolina,Oct  7 2021,3864,3508
North Carolina,Oct  6 2021,3606,3679
North Carolina,Oct  5 2021,2846,3797
North Carolina,Oct  4 2021,2216,3960
North Carolina,Oct  3 2021,2968,4028
North Carolina,Oct  2 2021,4759,4208
North Carolina,Oct  1 2021,4297,4285
North Carolina,Sep 30 2021,5061,4461
North Carolina,Sep 29 2021,4435,4637
North Carolina,Sep 28 2021,3989,4763
North Carolina,Sep 27 2021,2692,4992
North Carolina,Sep 26 2021,4226,5138
North Carolina,Sep 25 2021,5296,5239
North Carolina,Sep 24 2021,5533,5336
North Carolina,Sep 23 2021,6294,5576
North Carolina,Sep 22 2021,5312,5803
North Carolina,Sep 21 2021,5595,6032
North Carolina,Sep 20 2021,3710,6131
North Carolina,Sep 19 2021,4935,6290
North Carolina,Sep 18 2021,5974,6462
North Carolina,Sep 17 2021,7213,6764
North Carolina,Sep 16 2021,7884,6926
North Carolina,Sep 15 2021,6915,6918
North Carolina,Sep 14 2021,6287,6699
North Carolina,Sep 13 2021,4825,6349
North Carolina,Sep 12 2021,6142,6402
North Carolina,Sep 11 2021,8084,6421
North Carolina,Sep 10 2021,8347,6408
North Carolina,Sep  9 2021,7832,6452
North Carolina,Sep  8 2021,5381,6589
North Carolina,Sep  7 2021,3832,6894
North Carolina,Sep  6 2021,5196,7322
North Carolina,Sep  5 2021,6281,7250
North Carolina,Sep  4 2021,7989,7237
North Carolina,Sep  3 2021,8658,7248
North Carolina,Sep  2 2021,8787,7149
North Carolina,Sep  1 2021,7521,7069
North Carolina,Aug 31 2021,6826,7132
