Data Table for Daily Case Trends - North Dakota
Date generated: Mon Jul 25 2022 09:42:06 GMT-0400 (Eastern Daylight Time)
State,Date,New Cases,7-Day Moving Avg
North Dakota,Jul 21 2022,317,262
North Dakota,Jul 20 2022,402,266
North Dakota,Jul 19 2022,387,258
North Dakota,Jul 18 2022,402,254
North Dakota,Jul 17 2022,0,257
North Dakota,Jul 16 2022,0,257
North Dakota,Jul 15 2022,330,257
North Dakota,Jul 14 2022,342,253
North Dakota,Jul 13 2022,351,256
North Dakota,Jul 12 2022,358,267
North Dakota,Jul 11 2022,420,282
North Dakota,Jul 10 2022,0,222
North Dakota,Jul  9 2022,0,222
North Dakota,Jul  8 2022,304,222
North Dakota,Jul  7 2022,359,219
North Dakota,Jul  6 2022,432,206
North Dakota,Jul  5 2022,462,179
North Dakota,Jul  4 2022,0,154
North Dakota,Jul  3 2022,0,194
North Dakota,Jul  2 2022,0,194
North Dakota,Jul  1 2022,284,194
North Dakota,Jun 30 2022,265,211
North Dakota,Jun 29 2022,248,173
North Dakota,Jun 28 2022,285,168
North Dakota,Jun 27 2022,276,162
North Dakota,Jun 26 2022,0,166
North Dakota,Jun 25 2022,0,166
North Dakota,Jun 24 2022,406,166
North Dakota,Jun 23 2022,0,148
North Dakota,Jun 22 2022,209,178
North Dakota,Jun 21 2022,247,257
North Dakota,Jun 20 2022,303,222
North Dakota,Jun 19 2022,0,178
North Dakota,Jun 18 2022,0,178
North Dakota,Jun 17 2022,277,178
North Dakota,Jun 16 2022,216,139
North Dakota,Jun 15 2022,759,171
North Dakota,Jun 14 2022,0,63
North Dakota,Jun 13 2022,0,84
North Dakota,Jun 12 2022,0,152
North Dakota,Jun 11 2022,0,152
North Dakota,Jun 10 2022,0,152
North Dakota,Jun  9 2022,442,192
North Dakota,Jun  8 2022,0,166
North Dakota,Jun  7 2022,148,209
North Dakota,Jun  6 2022,478,197
North Dakota,Jun  5 2022,0,171
North Dakota,Jun  4 2022,0,171
North Dakota,Jun  3 2022,280,171
North Dakota,Jun  2 2022,258,156
North Dakota,Jun  1 2022,300,145
North Dakota,May 31 2022,67,124
North Dakota,May 30 2022,293,175
North Dakota,May 29 2022,0,133
North Dakota,May 28 2022,0,133
North Dakota,May 27 2022,180,133
North Dakota,May 26 2022,181,127
North Dakota,May 25 2022,148,123
North Dakota,May 24 2022,424,125
North Dakota,May 23 2022,0,98
North Dakota,May 22 2022,0,126
North Dakota,May 21 2022,0,126
North Dakota,May 20 2022,139,126
North Dakota,May 19 2022,151,127
North Dakota,May 18 2022,162,119
North Dakota,May 17 2022,239,118
North Dakota,May 16 2022,192,105
North Dakota,May 15 2022,0,103
North Dakota,May 14 2022,0,103
North Dakota,May 13 2022,146,103
North Dakota,May 12 2022,94,101
North Dakota,May 11 2022,157,104
North Dakota,May 10 2022,149,97
North Dakota,May  9 2022,177,92
North Dakota,May  8 2022,0,87
North Dakota,May  7 2022,0,87
North Dakota,May  6 2022,132,87
North Dakota,May  5 2022,119,91
North Dakota,May  4 2022,103,74
North Dakota,May  3 2022,114,67
North Dakota,May  2 2022,144,64
North Dakota,May  1 2022,0,59
North Dakota,Apr 30 2022,0,59
North Dakota,Apr 29 2022,159,59
North Dakota,Apr 28 2022,0,44
North Dakota,Apr 27 2022,54,53
North Dakota,Apr 26 2022,96,55
North Dakota,Apr 25 2022,105,54
North Dakota,Apr 24 2022,0,47
North Dakota,Apr 23 2022,0,47
North Dakota,Apr 22 2022,56,47
North Dakota,Apr 21 2022,62,43
North Dakota,Apr 20 2022,66,40
North Dakota,Apr 19 2022,95,41
North Dakota,Apr 18 2022,52,37
North Dakota,Apr 17 2022,0,39
North Dakota,Apr 16 2022,0,39
North Dakota,Apr 15 2022,29,39
North Dakota,Apr 14 2022,41,41
North Dakota,Apr 13 2022,76,41
North Dakota,Apr 12 2022,64,38
