Data Table for Daily Case Trends - Oklahoma
Date generated: Mon Jul 25 2022 09:42:24 GMT-0400 (Eastern Daylight Time)
State,Date,New Cases,7-Day Moving Avg
Oklahoma,Jul 21 2022,0,1663
Oklahoma,Jul 20 2022,4390,1663
Oklahoma,Jul 19 2022,0,1628
Oklahoma,Jul 18 2022,3532,1628
Oklahoma,Jul 17 2022,0,2245
Oklahoma,Jul 16 2022,0,2245
Oklahoma,Jul 15 2022,3721,2245
Oklahoma,Jul 14 2022,0,1713
Oklahoma,Jul 13 2022,4147,1713
Oklahoma,Jul 12 2022,0,1473
Oklahoma,Jul 11 2022,7849,1473
Oklahoma,Jul 10 2022,0,780
Oklahoma,Jul  9 2022,0,780
Oklahoma,Jul  8 2022,0,780
Oklahoma,Jul  7 2022,0,1223
Oklahoma,Jul  6 2022,2465,1223
Oklahoma,Jul  5 2022,0,1673
Oklahoma,Jul  4 2022,2995,1673
Oklahoma,Jul  3 2022,0,1245
Oklahoma,Jul  2 2022,0,1245
Oklahoma,Jul  1 2022,3104,1245
Oklahoma,Jun 30 2022,0,1168
Oklahoma,Jun 29 2022,5615,1168
Oklahoma,Jun 28 2022,0,992
Oklahoma,Jun 27 2022,0,992
Oklahoma,Jun 26 2022,0,992
Oklahoma,Jun 25 2022,0,992
Oklahoma,Jun 24 2022,2567,992
Oklahoma,Jun 23 2022,0,910
Oklahoma,Jun 22 2022,4382,910
Oklahoma,Jun 21 2022,0,558
Oklahoma,Jun 20 2022,0,558
Oklahoma,Jun 19 2022,0,784
Oklahoma,Jun 18 2022,0,784
Oklahoma,Jun 17 2022,1994,784
Oklahoma,Jun 16 2022,0,716
Oklahoma,Jun 15 2022,1915,716
Oklahoma,Jun 14 2022,0,701
Oklahoma,Jun 13 2022,1580,701
Oklahoma,Jun 12 2022,0,677
Oklahoma,Jun 11 2022,0,677
Oklahoma,Jun 10 2022,1519,677
Oklahoma,Jun  9 2022,0,669
Oklahoma,Jun  8 2022,1812,669
Oklahoma,Jun  7 2022,0,731
Oklahoma,Jun  6 2022,1408,731
Oklahoma,Jun  5 2022,0,529
Oklahoma,Jun  4 2022,0,529
Oklahoma,Jun  3 2022,1467,529
Oklahoma,Jun  2 2022,0,443
Oklahoma,Jun  1 2022,2242,443
Oklahoma,May 31 2022,0,259
Oklahoma,May 30 2022,0,259
Oklahoma,May 29 2022,0,376
Oklahoma,May 28 2022,0,376
Oklahoma,May 27 2022,861,376
Oklahoma,May 26 2022,0,375
Oklahoma,May 25 2022,955,375
Oklahoma,May 24 2022,0,452
Oklahoma,May 23 2022,817,452
Oklahoma,May 22 2022,0,335
Oklahoma,May 21 2022,0,335
Oklahoma,May 20 2022,857,335
Oklahoma,May 19 2022,0,311
Oklahoma,May 18 2022,1491,311
Oklahoma,May 17 2022,0,189
Oklahoma,May 16 2022,0,189
Oklahoma,May 15 2022,0,318
Oklahoma,May 14 2022,0,318
Oklahoma,May 13 2022,689,318
Oklahoma,May 12 2022,0,291
Oklahoma,May 11 2022,640,291
Oklahoma,May 10 2022,0,306
Oklahoma,May  9 2022,902,306
Oklahoma,May  8 2022,0,236
Oklahoma,May  7 2022,0,236
Oklahoma,May  6 2022,501,236
Oklahoma,May  5 2022,0,245
Oklahoma,May  4 2022,739,245
Oklahoma,May  3 2022,0,206
Oklahoma,May  2 2022,415,206
Oklahoma,May  1 2022,0,223
Oklahoma,Apr 30 2022,0,223
Oklahoma,Apr 29 2022,566,223
Oklahoma,Apr 28 2022,0,230
Oklahoma,Apr 27 2022,464,230
Oklahoma,Apr 26 2022,0,235
Oklahoma,Apr 25 2022,537,235
Oklahoma,Apr 24 2022,0,240
Oklahoma,Apr 23 2022,0,240
Oklahoma,Apr 22 2022,614,240
Oklahoma,Apr 21 2022,0,329
Oklahoma,Apr 20 2022,500,329
Oklahoma,Apr 19 2022,0,258
Oklahoma,Apr 18 2022,572,258
Oklahoma,Apr 17 2022,0,228
Oklahoma,Apr 16 2022,0,228
Oklahoma,Apr 15 2022,1234,228
Oklahoma,Apr 14 2022,0,170
Oklahoma,Apr 13 2022,0,170
Oklahoma,Apr 12 2022,0,170
Oklahoma,Apr 11 2022,362,170
Oklahoma,Apr 10 2022,0,242
Oklahoma,Apr  9 2022,0,242
Oklahoma,Apr  8 2022,832,242
Oklahoma,Apr  7 2022,0,207
Oklahoma,Apr  6 2022,0,207
Oklahoma,Apr  5 2022,0,292
Oklahoma,Apr  4 2022,862,292
