Data Table for Daily Case Trends - Pennsylvania
Date generated: Mon Jul 25 2022 09:42:42 GMT-0400 (Eastern Daylight Time)
State,Date,New Cases,7-Day Moving Avg
Pennsylvania,Jul 21 2022,2971,2919
Pennsylvania,Jul 20 2022,3749,2891
Pennsylvania,Jul 19 2022,3211,2825
Pennsylvania,Jul 18 2022,6437,2829
Pennsylvania,Jul 17 2022,0,2840
Pennsylvania,Jul 16 2022,0,2840
Pennsylvania,Jul 15 2022,4066,2840
Pennsylvania,Jul 14 2022,2777,2820
Pennsylvania,Jul 13 2022,3289,2849
Pennsylvania,Jul 12 2022,3237,2768
Pennsylvania,Jul 11 2022,6515,3204
Pennsylvania,Jul 10 2022,0,2273
Pennsylvania,Jul  9 2022,0,2273
Pennsylvania,Jul  8 2022,3925,2273
Pennsylvania,Jul  7 2022,2981,2121
Pennsylvania,Jul  6 2022,2722,2099
Pennsylvania,Jul  5 2022,6286,2051
Pennsylvania,Jul  4 2022,0,1612
Pennsylvania,Jul  3 2022,0,2290
Pennsylvania,Jul  2 2022,0,2290
Pennsylvania,Jul  1 2022,2864,2290
Pennsylvania,Jun 30 2022,2824,2337
Pennsylvania,Jun 29 2022,2385,2296
Pennsylvania,Jun 28 2022,3217,2316
Pennsylvania,Jun 27 2022,4742,2870
Pennsylvania,Jun 26 2022,0,2192
Pennsylvania,Jun 25 2022,0,2192
Pennsylvania,Jun 24 2022,3193,2192
Pennsylvania,Jun 23 2022,2539,2123
Pennsylvania,Jun 22 2022,2525,2143
Pennsylvania,Jun 21 2022,7093,2154
Pennsylvania,Jun 20 2022,0,1507
Pennsylvania,Jun 19 2022,0,2437
Pennsylvania,Jun 18 2022,0,2437
Pennsylvania,Jun 17 2022,2708,2437
Pennsylvania,Jun 16 2022,2675,2541
Pennsylvania,Jun 15 2022,2605,2515
Pennsylvania,Jun 14 2022,2561,2615
Pennsylvania,Jun 13 2022,6513,2849
Pennsylvania,Jun 12 2022,0,2778
Pennsylvania,Jun 11 2022,0,2778
Pennsylvania,Jun 10 2022,3433,2778
Pennsylvania,Jun  9 2022,2494,3017
Pennsylvania,Jun  8 2022,3310,3223
Pennsylvania,Jun  7 2022,4197,3684
Pennsylvania,Jun  6 2022,6012,3084
Pennsylvania,Jun  5 2022,0,3454
Pennsylvania,Jun  4 2022,0,3454
Pennsylvania,Jun  3 2022,5110,3454
Pennsylvania,Jun  2 2022,3935,3268
Pennsylvania,Jun  1 2022,6534,3551
Pennsylvania,May 31 2022,0,3122
Pennsylvania,May 30 2022,8605,3800
Pennsylvania,May 29 2022,0,4190
Pennsylvania,May 28 2022,0,4190
Pennsylvania,May 27 2022,3807,4190
Pennsylvania,May 26 2022,5916,4409
Pennsylvania,May 25 2022,3526,4237
Pennsylvania,May 24 2022,4751,4334
Pennsylvania,May 23 2022,11331,4364
Pennsylvania,May 22 2022,0,4146
Pennsylvania,May 21 2022,0,4146
Pennsylvania,May 20 2022,5342,4146
Pennsylvania,May 19 2022,4714,4055
Pennsylvania,May 18 2022,4203,3999
Pennsylvania,May 17 2022,4963,3911
Pennsylvania,May 16 2022,9802,3697
Pennsylvania,May 15 2022,0,3443
Pennsylvania,May 14 2022,0,3443
Pennsylvania,May 13 2022,4707,3443
Pennsylvania,May 12 2022,4322,3282
Pennsylvania,May 11 2022,3585,3111
Pennsylvania,May 10 2022,3466,2973
