Data Table for Daily Case Trends - Rhode Island
Date generated: Mon Jul 25 2022 09:42:51 GMT-0400 (Eastern Daylight Time)
State,Date,New Cases,7-Day Moving Avg
Rhode Island,Jul 21 2022,308,258
Rhode Island,Jul 20 2022,298,258
Rhode Island,Jul 19 2022,244,265
Rhode Island,Jul 18 2022,625,268
Rhode Island,Jul 17 2022,0,204
Rhode Island,Jul 16 2022,0,232
Rhode Island,Jul 15 2022,331,278
Rhode Island,Jul 14 2022,309,281
Rhode Island,Jul 13 2022,351,271
Rhode Island,Jul 12 2022,265,263
Rhode Island,Jul 11 2022,177,236
Rhode Island,Jul 10 2022,196,232
Rhode Island,Jul  9 2022,321,225
Rhode Island,Jul  8 2022,351,211
Rhode Island,Jul  7 2022,236,204
Rhode Island,Jul  6 2022,295,222
Rhode Island,Jul  5 2022,80,219
Rhode Island,Jul  4 2022,146,255
Rhode Island,Jul  3 2022,148,252
Rhode Island,Jul  2 2022,223,256
Rhode Island,Jul  1 2022,305,263
Rhode Island,Jun 30 2022,362,254
Rhode Island,Jun 29 2022,271,251
Rhode Island,Jun 28 2022,333,254
Rhode Island,Jun 27 2022,128,244
Rhode Island,Jun 26 2022,176,249
Rhode Island,Jun 25 2022,266,246
Rhode Island,Jun 24 2022,246,248
Rhode Island,Jun 23 2022,337,254
Rhode Island,Jun 22 2022,298,256
Rhode Island,Jun 21 2022,260,262
Rhode Island,Jun 20 2022,160,288
Rhode Island,Jun 19 2022,158,283
Rhode Island,Jun 18 2022,279,285
Rhode Island,Jun 17 2022,292,286
Rhode Island,Jun 16 2022,346,303
Rhode Island,Jun 15 2022,343,314
Rhode Island,Jun 14 2022,441,317
Rhode Island,Jun 13 2022,122,307
Rhode Island,Jun 12 2022,172,328
Rhode Island,Jun 11 2022,288,339
Rhode Island,Jun 10 2022,412,370
Rhode Island,Jun  9 2022,424,397
Rhode Island,Jun  8 2022,361,405
Rhode Island,Jun  7 2022,374,419
Rhode Island,Jun  6 2022,265,402
Rhode Island,Jun  5 2022,249,413
Rhode Island,Jun  4 2022,511,439
Rhode Island,Jun  3 2022,595,457
Rhode Island,Jun  2 2022,480,451
Rhode Island,Jun  1 2022,461,482
Rhode Island,May 31 2022,256,504
Rhode Island,May 30 2022,343,561
Rhode Island,May 29 2022,428,568
Rhode Island,May 28 2022,636,564
Rhode Island,May 27 2022,559,583
Rhode Island,May 26 2022,694,623
Rhode Island,May 25 2022,613,653
Rhode Island,May 24 2022,654,702
Rhode Island,May 23 2022,393,737
Rhode Island,May 22 2022,402,747
Rhode Island,May 21 2022,768,776
Rhode Island,May 20 2022,841,787
Rhode Island,May 19 2022,901,799
Rhode Island,May 18 2022,957,788
Rhode Island,May 17 2022,902,785
Rhode Island,May 16 2022,463,765
Rhode Island,May 15 2022,604,762
Rhode Island,May 14 2022,845,741
Rhode Island,May 13 2022,921,735
Rhode Island,May 12 2022,828,712
Rhode Island,May 11 2022,936,712
Rhode Island,May 10 2022,762,673
Rhode Island,May  9 2022,440,647
Rhode Island,May  8 2022,458,632
Rhode Island,May  7 2022,802,622
Rhode Island,May  6 2022,759,582
Rhode Island,May  5 2022,832,561
Rhode Island,May  4 2022,661,537
Rhode Island,May  3 2022,577,512
Rhode Island,May  2 2022,336,487
Rhode Island,May  1 2022,392,484
Rhode Island,Apr 30 2022,520,482
Rhode Island,Apr 29 2022,611,470
Rhode Island,Apr 28 2022,663,433
Rhode Island,Apr 27 2022,491,392
Rhode Island,Apr 26 2022,400,370
Rhode Island,Apr 25 2022,312,357
Rhode Island,Apr 24 2022,383,340
Rhode Island,Apr 23 2022,431,322
Rhode Island,Apr 22 2022,351,313
Rhode Island,Apr 21 2022,381,318
Rhode Island,Apr 20 2022,336,330
Rhode Island,Apr 19 2022,306,332
Rhode Island,Apr 18 2022,192,345
Rhode Island,Apr 17 2022,261,342
Rhode Island,Apr 16 2022,369,342
Rhode Island,Apr 15 2022,383,337
Rhode Island,Apr 14 2022,465,337
Rhode Island,Apr 13 2022,352,318
Rhode Island,Apr 12 2022,397,320
Rhode Island,Apr 11 2022,171,301
Rhode Island,Apr 10 2022,261,297
Rhode Island,Apr  9 2022,334,279
Rhode Island,Apr  8 2022,382,261
Rhode Island,Apr  7 2022,331,239
Rhode Island,Apr  6 2022,366,226
Rhode Island,Apr  5 2022,264,206
Rhode Island,Apr  4 2022,146,190
Rhode Island,Apr  3 2022,134,187
Rhode Island,Apr  2 2022,205,183
Rhode Island,Apr  1 2022,230,178
Rhode Island,Mar 31 2022,242,170
Rhode Island,Mar 30 2022,222,164
Rhode Island,Mar 29 2022,152,162
Rhode Island,Mar 28 2022,124,167
Rhode Island,Mar 27 2022,112,169
Rhode Island,Mar 26 2022,170,166
Rhode Island,Mar 25 2022,174,168
Rhode Island,Mar 24 2022,197,173
Rhode Island,Mar 23 2022,210,174
Rhode Island,Mar 22 2022,187,176
Rhode Island,Mar 21 2022,136,180
Rhode Island,Mar 20 2022,91,175
Rhode Island,Mar 19 2022,181,179
Rhode Island,Mar 18 2022,212,182
Rhode Island,Mar 17 2022,207,179
Rhode Island,Mar 16 2022,219,176
Rhode Island,Mar 15 2022,220,170
Rhode Island,Mar 14 2022,98,159
Rhode Island,Mar 13 2022,119,156
Rhode Island,Mar 12 2022,199,156
Rhode Island,Mar 11 2022,192,152
Rhode Island,Mar 10 2022,187,152
Rhode Island,Mar  9 2022,180,159
Rhode Island,Mar  8 2022,141,169
Rhode Island,Mar  7 2022,80,175
Rhode Island,Mar  6 2022,118,180
Rhode Island,Mar  5 2022,171,179
Rhode Island,Mar  4 2022,189,179
Rhode Island,Mar  3 2022,236,186
Rhode Island,Mar  2 2022,248,189
Rhode Island,Mar  1 2022,187,183
Rhode Island,Feb 28 2022,117,185
Rhode Island,Feb 27 2022,105,187
Rhode Island,Feb 26 2022,174,193
Rhode Island,Feb 25 2022,237,209
Rhode Island,Feb 24 2022,259,224
Rhode Island,Feb 23 2022,208,228
Rhode Island,Feb 22 2022,196,244
Rhode Island,Feb 21 2022,136,253
Rhode Island,Feb 20 2022,141,265
Rhode Island,Feb 19 2022,287,281
Rhode Island,Feb 18 2022,341,298
Rhode Island,Feb 17 2022,291,314
Rhode Island,Feb 16 2022,319,355
Rhode Island,Feb 15 2022,262,395
Rhode Island,Feb 14 2022,214,442
Rhode Island,Feb 13 2022,256,464
Rhode Island,Feb 12 2022,404,483
Rhode Island,Feb 11 2022,457,534
Rhode Island,Feb 10 2022,574,594
Rhode Island,Feb  9 2022,602,670
Rhode Island,Feb  8 2022,593,729
Rhode Island,Feb  7 2022,365,787
Rhode Island,Feb  6 2022,390,823
Rhode Island,Feb  5 2022,763,816
Rhode Island,Feb  4 2022,876,922
Rhode Island,Feb  3 2022,1105,1045
Rhode Island,Feb  2 2022,1012,1148
Rhode Island,Feb  1 2022,998,1434
Rhode Island,Jan 31 2022,623,1525
Rhode Island,Jan 30 2022,341,1610
Rhode Island,Jan 29 2022,1501,1832
Rhode Island,Jan 28 2022,1738,1972
Rhode Island,Jan 27 2022,1824,2128
Rhode Island,Jan 26 2022,3014,2347
Rhode Island,Jan 25 2022,1638,2354
Rhode Island,Jan 24 2022,1220,2515
Rhode Island,Jan 23 2022,1889,2767
Rhode Island,Jan 22 2022,2481,3078
Rhode Island,Jan 21 2022,2835,3401
Rhode Island,Jan 20 2022,3354,3784
Rhode Island,Jan 19 2022,3063,4127
Rhode Island,Jan 18 2022,2766,4438
Rhode Island,Jan 17 2022,2983,4687
Rhode Island,Jan 16 2022,4065,4778
Rhode Island,Jan 15 2022,4741,4903
Rhode Island,Jan 14 2022,5520,4912
Rhode Island,Jan 13 2022,5752,4953
Rhode Island,Jan 12 2022,5243,5039
Rhode Island,Jan 11 2022,4509,5070
Rhode Island,Jan 10 2022,3616,5054
Rhode Island,Jan  9 2022,4942,4838
Rhode Island,Jan  8 2022,4808,4484
Rhode Island,Jan  7 2022,5804,4141
Rhode Island,Jan  6 2022,6356,3865
Rhode Island,Jan  5 2022,5460,3494
Rhode Island,Jan  4 2022,4392,3147
Rhode Island,Jan  3 2022,2107,2873
Rhode Island,Jan  2 2022,2465,2721
Rhode Island,Jan  1 2022,2408,2421
Rhode Island,Dec 31 2021,3869,2246
Rhode Island,Dec 30 2021,3761,1898
Rhode Island,Dec 29 2021,3027,1567
Rhode Island,Dec 28 2021,2477,1356
Rhode Island,Dec 27 2021,1044,1139
Rhode Island,Dec 26 2021,366,1094
Rhode Island,Dec 25 2021,1180,1155
Rhode Island,Dec 24 2021,1433,1127
Rhode Island,Dec 23 2021,1443,1089
Rhode Island,Dec 22 2021,1549,1046
Rhode Island,Dec 21 2021,962,999
Rhode Island,Dec 20 2021,727,1042
Rhode Island,Dec 19 2021,795,1016
Rhode Island,Dec 18 2021,985,1041
Rhode Island,Dec 17 2021,1164,1037
Rhode Island,Dec 16 2021,1146,1022
Rhode Island,Dec 15 2021,1214,1015
Rhode Island,Dec 14 2021,1265,955
Rhode Island,Dec 13 2021,548,916
Rhode Island,Dec 12 2021,967,911
Rhode Island,Dec 11 2021,960,872
Rhode Island,Dec 10 2021,1060,865
Rhode Island,Dec  9 2021,1091,853
Rhode Island,Dec  8 2021,796,846
Rhode Island,Dec  7 2021,991,864
Rhode Island,Dec  6 2021,517,834
Rhode Island,Dec  5 2021,693,827
Rhode Island,Dec  4 2021,911,790
Rhode Island,Dec  3 2021,975,732
Rhode Island,Dec  2 2021,1045,627
Rhode Island,Dec  1 2021,921,573
Rhode Island,Nov 30 2021,780,515
Rhode Island,Nov 29 2021,467,479
Rhode Island,Nov 28 2021,437,460
Rhode Island,Nov 27 2021,499,444
Rhode Island,Nov 26 2021,240,450
Rhode Island,Nov 25 2021,670,496
Rhode Island,Nov 24 2021,515,471
Rhode Island,Nov 23 2021,530,466
Rhode Island,Nov 22 2021,334,467
Rhode Island,Nov 21 2021,324,466
Rhode Island,Nov 20 2021,539,464
Rhode Island,Nov 19 2021,561,451
Rhode Island,Nov 18 2021,500,412
Rhode Island,Nov 17 2021,475,392
Rhode Island,Nov 16 2021,540,360
Rhode Island,Nov 15 2021,326,327
Rhode Island,Nov 14 2021,308,313
Rhode Island,Nov 13 2021,450,296
Rhode Island,Nov 12 2021,289,275
Rhode Island,Nov 11 2021,357,276
Rhode Island,Nov 10 2021,253,267
Rhode Island,Nov  9 2021,307,270
Rhode Island,Nov  8 2021,231,257
Rhode Island,Nov  7 2021,186,244
Rhode Island,Nov  6 2021,304,242
Rhode Island,Nov  5 2021,295,233
Rhode Island,Nov  4 2021,298,228
Rhode Island,Nov  3 2021,275,215
Rhode Island,Nov  2 2021,210,208
Rhode Island,Nov  1 2021,142,208
Rhode Island,Oct 31 2021,171,201
Rhode Island,Oct 30 2021,246,198
Rhode Island,Oct 29 2021,254,191
Rhode Island,Oct 28 2021,208,186
Rhode Island,Oct 27 2021,228,194
Rhode Island,Oct 26 2021,212,195
Rhode Island,Oct 25 2021,93,197
