Data Table for Daily Case Trends - South Carolina
Date generated: Mon Jul 25 2022 09:43:00 GMT-0400 (Eastern Daylight Time)
State,Date,New Cases,7-Day Moving Avg
South Carolina,Jul 21 2022,0,1180
South Carolina,Jul 20 2022,0,1507
South Carolina,Jul 19 2022,0,1797
South Carolina,Jul 18 2022,1225,1967
South Carolina,Jul 17 2022,2408,2046
South Carolina,Jul 16 2022,2058,2066
South Carolina,Jul 15 2022,2570,2115
South Carolina,Jul 14 2022,2291,2076
South Carolina,Jul 13 2022,2032,2006
South Carolina,Jul 12 2022,1188,1873
South Carolina,Jul 11 2022,1781,1894
South Carolina,Jul 10 2022,2545,1807
South Carolina,Jul  9 2022,2401,1738
South Carolina,Jul  8 2022,2298,1696
South Carolina,Jul  7 2022,1799,1648
South Carolina,Jul  6 2022,1099,1723
South Carolina,Jul  5 2022,1336,1778
South Carolina,Jul  4 2022,1175,1725
South Carolina,Jul  3 2022,2060,1738
South Carolina,Jul  2 2022,2109,1680
South Carolina,Jul  1 2022,1961,1629
South Carolina,Jun 30 2022,2321,1633
South Carolina,Jun 29 2022,1484,1569
South Carolina,Jun 28 2022,970,1591
South Carolina,Jun 27 2022,1262,1572
South Carolina,Jun 26 2022,1659,1538
South Carolina,Jun 25 2022,1748,1550
South Carolina,Jun 24 2022,1993,1564
South Carolina,Jun 23 2022,1871,1534
South Carolina,Jun 22 2022,1634,1528
South Carolina,Jun 21 2022,843,1464
South Carolina,Jun 20 2022,1024,1460
South Carolina,Jun 19 2022,1738,1477
South Carolina,Jun 18 2022,1848,1528
South Carolina,Jun 17 2022,1786,1454
South Carolina,Jun 16 2022,1828,1456
South Carolina,Jun 15 2022,1183,1441
South Carolina,Jun 14 2022,813,1486
South Carolina,Jun 13 2022,1143,1508
South Carolina,Jun 12 2022,2101,1521
South Carolina,Jun 11 2022,1328,1469
South Carolina,Jun 10 2022,1797,1551
South Carolina,Jun  9 2022,1724,1539
South Carolina,Jun  8 2022,1502,1456
South Carolina,Jun  7 2022,961,1366
South Carolina,Jun  6 2022,1238,1343
South Carolina,Jun  5 2022,1733,1312
South Carolina,Jun  4 2022,1904,1281
South Carolina,Jun  3 2022,1717,1218
South Carolina,Jun  2 2022,1142,1194
South Carolina,Jun  1 2022,873,1290
South Carolina,May 31 2022,797,1358
South Carolina,May 30 2022,1018,1340
South Carolina,May 29 2022,1516,1316
South Carolina,May 28 2022,1468,1292
South Carolina,May 27 2022,1546,1281
South Carolina,May 26 2022,1816,1277
South Carolina,May 25 2022,1348,1219
South Carolina,May 24 2022,672,1162
South Carolina,May 23 2022,848,1150
South Carolina,May 22 2022,1350,1131
South Carolina,May 21 2022,1389,1097
South Carolina,May 20 2022,1516,1053
South Carolina,May 19 2022,1411,978
South Carolina,May 18 2022,951,892
South Carolina,May 17 2022,587,867
South Carolina,May 16 2022,715,843
South Carolina,May 15 2022,1110,837
South Carolina,May 14 2022,1087,796
South Carolina,May 13 2022,986,754
South Carolina,May 12 2022,810,735
South Carolina,May 11 2022,774,715
South Carolina,May 10 2022,425,693
South Carolina,May  9 2022,673,676
South Carolina,May  8 2022,817,630
South Carolina,May  7 2022,796,597
South Carolina,May  6 2022,852,568
South Carolina,May  5 2022,671,520
South Carolina,May  4 2022,617,501
South Carolina,May  3 2022,311,453
South Carolina,May  2 2022,346,458
South Carolina,May  1 2022,592,429
South Carolina,Apr 30 2022,590,397
South Carolina,Apr 29 2022,516,383
South Carolina,Apr 28 2022,536,377
South Carolina,Apr 27 2022,284,364
South Carolina,Apr 26 2022,342,351
South Carolina,Apr 25 2022,146,326
South Carolina,Apr 24 2022,370,334
South Carolina,Apr 23 2022,492,318
South Carolina,Apr 22 2022,469,298
South Carolina,Apr 21 2022,448,273
South Carolina,Apr 20 2022,190,240
South Carolina,Apr 19 2022,167,239
South Carolina,Apr 18 2022,205,229
South Carolina,Apr 17 2022,260,217
South Carolina,Apr 16 2022,350,206
South Carolina,Apr 15 2022,295,183
South Carolina,Apr 14 2022,218,170
South Carolina,Apr 13 2022,183,163
South Carolina,Apr 12 2022,93,158
South Carolina,Apr 11 2022,121,155
South Carolina,Apr 10 2022,183,150
South Carolina,Apr  9 2022,192,148
South Carolina,Apr  8 2022,200,147
South Carolina,Apr  7 2022,171,140
South Carolina,Apr  6 2022,149,140
South Carolina,Apr  5 2022,73,139
South Carolina,Apr  4 2022,82,140
South Carolina,Apr  3 2022,174,144
South Carolina,Apr  2 2022,181,144
South Carolina,Apr  1 2022,151,147
South Carolina,Mar 31 2022,175,150
South Carolina,Mar 30 2022,140,150
South Carolina,Mar 29 2022,78,157
South Carolina,Mar 28 2022,115,157
South Carolina,Mar 27 2022,172,157
South Carolina,Mar 26 2022,202,152
South Carolina,Mar 25 2022,171,143
South Carolina,Mar 24 2022,176,151
South Carolina,Mar 23 2022,186,149
South Carolina,Mar 22 2022,82,142
South Carolina,Mar 21 2022,116,144
South Carolina,Mar 20 2022,132,145
South Carolina,Mar 19 2022,139,153
South Carolina,Mar 18 2022,229,163
South Carolina,Mar 17 2022,159,167
South Carolina,Mar 16 2022,138,195
South Carolina,Mar 15 2022,97,204
South Carolina,Mar 14 2022,126,208
South Carolina,Mar 13 2022,184,221
South Carolina,Mar 12 2022,211,239
South Carolina,Mar 11 2022,256,257
South Carolina,Mar 10 2022,354,280
South Carolina,Mar  9 2022,201,286
South Carolina,Mar  8 2022,130,315
South Carolina,Mar  7 2022,217,339
South Carolina,Mar  6 2022,310,377
South Carolina,Mar  5 2022,331,408
South Carolina,Mar  4 2022,418,491
South Carolina,Mar  3 2022,400,581
South Carolina,Mar  2 2022,401,669
South Carolina,Mar  1 2022,300,748
South Carolina,Feb 28 2022,483,808
South Carolina,Feb 27 2022,527,880
South Carolina,Feb 26 2022,910,1013
South Carolina,Feb 25 2022,1047,1094
South Carolina,Feb 24 2022,1017,1219
South Carolina,Feb 23 2022,958,1360
South Carolina,Feb 22 2022,715,1455
South Carolina,Feb 21 2022,991,1529
South Carolina,Feb 20 2022,1456,1623
South Carolina,Feb 19 2022,1480,1763
South Carolina,Feb 18 2022,1916,2020
South Carolina,Feb 17 2022,2007,2287
South Carolina,Feb 16 2022,1624,2431
South Carolina,Feb 15 2022,1232,2656
South Carolina,Feb 14 2022,1650,2830
South Carolina,Feb 13 2022,2438,3087
South Carolina,Feb 12 2022,3274,3481
South Carolina,Feb 11 2022,3790,3826
South Carolina,Feb 10 2022,3014,4178
South Carolina,Feb  9 2022,3196,4508
South Carolina,Feb  8 2022,2454,4775
South Carolina,Feb  7 2022,3449,5040
South Carolina,Feb  6 2022,5190,5401
South Carolina,Feb  5 2022,5691,5850
South Carolina,Feb  4 2022,6254,6707
South Carolina,Feb  3 2022,5328,7545
South Carolina,Feb  2 2022,5061,8706
South Carolina,Feb  1 2022,4311,8702
South Carolina,Jan 31 2022,5976,9344
South Carolina,Jan 30 2022,8331,10084
South Carolina,Jan 29 2022,11688,11675
South Carolina,Jan 28 2022,12122,13273
South Carolina,Jan 27 2022,13456,13624
South Carolina,Jan 26 2022,5031,13571
South Carolina,Jan 25 2022,8806,14476
South Carolina,Jan 24 2022,11158,15133
South Carolina,Jan 23 2022,19465,15928
South Carolina,Jan 22 2022,22876,16235
South Carolina,Jan 21 2022,14577,15966
South Carolina,Jan 20 2022,13085,16884
South Carolina,Jan 19 2022,11365,17348
South Carolina,Jan 18 2022,13410,17591
South Carolina,Jan 17 2022,16721,16935
South Carolina,Jan 16 2022,21614,16587
South Carolina,Jan 15 2022,20995,15909
South Carolina,Jan 14 2022,21003,15526
South Carolina,Jan 13 2022,16332,14600
South Carolina,Jan 12 2022,13064,14271
South Carolina,Jan 11 2022,8818,13628
South Carolina,Jan 10 2022,14283,13235
South Carolina,Jan  9 2022,16868,12566
South Carolina,Jan  8 2022,18314,11723
South Carolina,Jan  7 2022,14525,10718
South Carolina,Jan  6 2022,14031,9965
South Carolina,Jan  5 2022,8558,8861
South Carolina,Jan  4 2022,6067,8170
South Carolina,Jan  3 2022,9605,7528
South Carolina,Jan  2 2022,10966,6487
South Carolina,Jan  1 2022,11280,5314
South Carolina,Dec 31 2021,9248,4157
South Carolina,Dec 30 2021,6306,3210
South Carolina,Dec 29 2021,3720,2623
South Carolina,Dec 28 2021,1572,2287
South Carolina,Dec 27 2021,2317,2196
South Carolina,Dec 26 2021,2758,2022
South Carolina,Dec 25 2021,3180,1819
South Carolina,Dec 24 2021,2619,1599
South Carolina,Dec 23 2021,2201,1407
South Carolina,Dec 22 2021,1366,1255
South Carolina,Dec 21 2021,934,1183
South Carolina,Dec 20 2021,1102,1152
South Carolina,Dec 19 2021,1336,1113
