Data Table for Daily Case Trends - South Dakota
Date generated: Mon Jul 25 2022 09:43:10 GMT-0400 (Eastern Daylight Time)
State,Date,New Cases,7-Day Moving Avg
South Dakota,Jul 21 2022,0,216
South Dakota,Jul 20 2022,1514,216
South Dakota,Jul 19 2022,0,224
South Dakota,Jul 18 2022,0,224
South Dakota,Jul 17 2022,0,224
South Dakota,Jul 16 2022,0,224
South Dakota,Jul 15 2022,0,224
South Dakota,Jul 14 2022,0,224
South Dakota,Jul 13 2022,1569,224
South Dakota,Jul 12 2022,0,168
South Dakota,Jul 11 2022,0,168
South Dakota,Jul 10 2022,0,168
South Dakota,Jul  9 2022,0,168
South Dakota,Jul  8 2022,0,168
South Dakota,Jul  7 2022,0,168
South Dakota,Jul  6 2022,1182,168
South Dakota,Jul  5 2022,0,179
South Dakota,Jul  4 2022,0,179
South Dakota,Jul  3 2022,0,179
South Dakota,Jul  2 2022,0,179
South Dakota,Jul  1 2022,0,179
South Dakota,Jun 30 2022,0,179
South Dakota,Jun 29 2022,1254,179
South Dakota,Jun 28 2022,0,138
South Dakota,Jun 27 2022,0,138
South Dakota,Jun 26 2022,0,138
South Dakota,Jun 25 2022,0,138
South Dakota,Jun 24 2022,0,138
South Dakota,Jun 23 2022,0,138
South Dakota,Jun 22 2022,971,138
South Dakota,Jun 21 2022,0,138
South Dakota,Jun 20 2022,0,138
South Dakota,Jun 19 2022,0,138
South Dakota,Jun 18 2022,0,138
South Dakota,Jun 17 2022,0,138
South Dakota,Jun 16 2022,0,138
South Dakota,Jun 15 2022,972,138
South Dakota,Jun 14 2022,0,138
South Dakota,Jun 13 2022,0,138
South Dakota,Jun 12 2022,0,138
South Dakota,Jun 11 2022,0,138
South Dakota,Jun 10 2022,0,138
South Dakota,Jun  9 2022,0,138
South Dakota,Jun  8 2022,969,138
South Dakota,Jun  7 2022,0,93
South Dakota,Jun  6 2022,0,93
South Dakota,Jun  5 2022,0,93
South Dakota,Jun  4 2022,0,93
