Data Table for Daily Case Trends - Tennessee
Date generated: Mon Jul 25 2022 09:43:19 GMT-0400 (Eastern Daylight Time)
State,Date,New Cases,7-Day Moving Avg
Tennessee,Jul 21 2022,3422,2812
Tennessee,Jul 20 2022,3747,2839
Tennessee,Jul 19 2022,3701,2811
Tennessee,Jul 18 2022,878,2762
Tennessee,Jul 17 2022,1684,2842
Tennessee,Jul 16 2022,3323,2876
Tennessee,Jul 15 2022,2931,2847
Tennessee,Jul 14 2022,3613,2915
Tennessee,Jul 13 2022,3550,2889
Tennessee,Jul 12 2022,3359,2722
Tennessee,Jul 11 2022,1435,2416
Tennessee,Jul 10 2022,1922,2442
Tennessee,Jul  9 2022,3121,2393
Tennessee,Jul  8 2022,3405,2306
Tennessee,Jul  7 2022,3437,2227
Tennessee,Jul  6 2022,2378,2185
Tennessee,Jul  5 2022,1219,2283
Tennessee,Jul  4 2022,1616,2420
Tennessee,Jul  3 2022,1580,2387
Tennessee,Jul  2 2022,2511,2383
Tennessee,Jul  1 2022,2848,2402
Tennessee,Jun 30 2022,3146,2380
Tennessee,Jun 29 2022,3064,2308
Tennessee,Jun 28 2022,2180,2261
Tennessee,Jun 27 2022,1385,2255
Tennessee,Jun 26 2022,1549,2227
Tennessee,Jun 25 2022,2643,2192
Tennessee,Jun 24 2022,2697,2118
Tennessee,Jun 23 2022,2644,2042
Tennessee,Jun 22 2022,2734,1983
Tennessee,Jun 21 2022,2135,1984
Tennessee,Jun 20 2022,1193,1927
Tennessee,Jun 19 2022,1299,1907
Tennessee,Jun 18 2022,2129,1889
Tennessee,Jun 17 2022,2164,1888
Tennessee,Jun 16 2022,2228,1901
Tennessee,Jun 15 2022,2743,1882
Tennessee,Jun 14 2022,1735,1838
Tennessee,Jun 13 2022,1051,1846
Tennessee,Jun 12 2022,1179,1851
Tennessee,Jun 11 2022,2122,1859
Tennessee,Jun 10 2022,2252,1876
Tennessee,Jun  9 2022,2095,1842
Tennessee,Jun  8 2022,2432,1878
Tennessee,Jun  7 2022,1792,1767
Tennessee,Jun  6 2022,1087,1623
Tennessee,Jun  5 2022,1235,1608
Tennessee,Jun  4 2022,2244,1591
Tennessee,Jun  3 2022,2014,1524
Tennessee,Jun  2 2022,2342,1495
Tennessee,Jun  1 2022,1658,1407
Tennessee,May 31 2022,781,1476
Tennessee,May 30 2022,988,1533
Tennessee,May 29 2022,1110,1496
Tennessee,May 28 2022,1778,1480
Tennessee,May 27 2022,1812,1456
Tennessee,May 26 2022,1728,1435
Tennessee,May 25 2022,2137,1359
Tennessee,May 24 2022,1184,1295
Tennessee,May 23 2022,723,1283
Tennessee,May 22 2022,1001,1284
Tennessee,May 21 2022,1612,1219
Tennessee,May 20 2022,1662,1164
Tennessee,May 19 2022,1198,1092
Tennessee,May 18 2022,1686,1079
Tennessee,May 17 2022,1100,1007
Tennessee,May 16 2022,733,978
Tennessee,May 15 2022,544,931
Tennessee,May 14 2022,1231,933
Tennessee,May 13 2022,1157,890
Tennessee,May 12 2022,1108,843
Tennessee,May 11 2022,1181,816
Tennessee,May 10 2022,896,756
Tennessee,May  9 2022,405,718
Tennessee,May  8 2022,558,690
Tennessee,May  7 2022,930,657
Tennessee,May  6 2022,829,607
Tennessee,May  5 2022,918,580
Tennessee,May  4 2022,757,547
Tennessee,May  3 2022,633,526
Tennessee,May  2 2022,205,506
Tennessee,May  1 2022,329,512
Tennessee,Apr 30 2022,584,506
Tennessee,Apr 29 2022,638,492
Tennessee,Apr 28 2022,689,466
Tennessee,Apr 27 2022,604,438
Tennessee,Apr 26 2022,496,422
Tennessee,Apr 25 2022,250,411
Tennessee,Apr 24 2022,281,400
Tennessee,Apr 23 2022,489,389
Tennessee,Apr 22 2022,456,365
Tennessee,Apr 21 2022,495,361
Tennessee,Apr 20 2022,492,358
Tennessee,Apr 19 2022,415,332
Tennessee,Apr 18 2022,172,316
Tennessee,Apr 17 2022,209,310
Tennessee,Apr 16 2022,322,304
Tennessee,Apr 15 2022,426,299
Tennessee,Apr 14 2022,473,306
Tennessee,Apr 13 2022,313,293
Tennessee,Apr 12 2022,300,294
Tennessee,Apr 11 2022,129,286
Tennessee,Apr 10 2022,169,281
Tennessee,Apr  9 2022,289,282
Tennessee,Apr  8 2022,474,278
Tennessee,Apr  7 2022,382,251
Tennessee,Apr  6 2022,320,241
Tennessee,Apr  5 2022,243,232
Tennessee,Apr  4 2022,90,242
Tennessee,Apr  3 2022,179,240
Tennessee,Apr  2 2022,264,235
Tennessee,Apr  1 2022,280,228
Tennessee,Mar 31 2022,312,223
Tennessee,Mar 30 2022,260,224
Tennessee,Mar 29 2022,313,235
Tennessee,Mar 28 2022,78,233
Tennessee,Mar 27 2022,139,244
Tennessee,Mar 26 2022,214,247
Tennessee,Mar 25 2022,249,264
Tennessee,Mar 24 2022,318,273
Tennessee,Mar 23 2022,338,279
Tennessee,Mar 22 2022,295,287
Tennessee,Mar 21 2022,156,297
Tennessee,Mar 20 2022,164,299
Tennessee,Mar 19 2022,332,296
Tennessee,Mar 18 2022,308,315
Tennessee,Mar 17 2022,362,333
Tennessee,Mar 16 2022,392,372
Tennessee,Mar 15 2022,366,416
Tennessee,Mar 14 2022,173,449
Tennessee,Mar 13 2022,139,464
Tennessee,Mar 12 2022,470,492
Tennessee,Mar 11 2022,434,532
Tennessee,Mar 10 2022,631,582
Tennessee,Mar  9 2022,701,666
Tennessee,Mar  8 2022,599,805
Tennessee,Mar  7 2022,278,988
Tennessee,Mar  6 2022,337,960
Tennessee,Mar  5 2022,749,1006
Tennessee,Mar  4 2022,784,1137
Tennessee,Mar  3 2022,1217,1307
Tennessee,Mar  2 2022,1676,1453
Tennessee,Mar  1 2022,1881,1594
Tennessee,Feb 28 2022,78,1537
Tennessee,Feb 27 2022,663,1647
Tennessee,Feb 26 2022,1664,1739
Tennessee,Feb 25 2022,1974,1897
Tennessee,Feb 24 2022,2241,2125
Tennessee,Feb 23 2022,2659,2356
Tennessee,Feb 22 2022,1485,2539
Tennessee,Feb 21 2022,845,3070
Tennessee,Feb 20 2022,1305,3138
Tennessee,Feb 19 2022,2774,3284
Tennessee,Feb 18 2022,3567,3600
Tennessee,Feb 17 2022,3857,3900
Tennessee,Feb 16 2022,3942,4229
Tennessee,Feb 15 2022,5203,4551
Tennessee,Feb 14 2022,1324,4732
Tennessee,Feb 13 2022,2321,4966
Tennessee,Feb 12 2022,4992,5182
Tennessee,Feb 11 2022,5666,5554
Tennessee,Feb 10 2022,6160,5905
Tennessee,Feb  9 2022,6191,6630
Tennessee,Feb  8 2022,6473,7498
Tennessee,Feb  7 2022,2959,7952
Tennessee,Feb  6 2022,3835,8285
Tennessee,Feb  5 2022,7595,9135
Tennessee,Feb  4 2022,8128,9883
Tennessee,Feb  3 2022,11230,11266
Tennessee,Feb  2 2022,12268,11724
Tennessee,Feb  1 2022,9653,12247
Tennessee,Jan 31 2022,5290,13193
Tennessee,Jan 30 2022,9785,13717
Tennessee,Jan 29 2022,12827,14761
Tennessee,Jan 28 2022,17813,15508
Tennessee,Jan 27 2022,14438,16041
Tennessee,Jan 26 2022,15925,17132
Tennessee,Jan 25 2022,16277,17174
Tennessee,Jan 24 2022,8954,16421
Tennessee,Jan 23 2022,17096,16789
Tennessee,Jan 22 2022,18053,16472
