Data Table for Daily Case Trends - Texas
Date generated: Mon Jul 25 2022 09:43:28 GMT-0400 (Eastern Daylight Time)
State,Date,New Cases,7-Day Moving Avg
Texas,Jul 21 2022,12716,11983
Texas,Jul 20 2022,12341,12172
Texas,Jul 19 2022,9145,11955
Texas,Jul 18 2022,9881,12281
Texas,Jul 17 2022,12089,12537
Texas,Jul 16 2022,14032,12719
Texas,Jul 15 2022,13680,12825
Texas,Jul 14 2022,14042,12530
Texas,Jul 13 2022,10822,11957
Texas,Jul 12 2022,11422,11674
Texas,Jul 11 2022,11675,11155
Texas,Jul 10 2022,13364,10754
Texas,Jul  9 2022,14775,10405
Texas,Jul  8 2022,11616,9994
Texas,Jul  7 2022,10025,10145
Texas,Jul  6 2022,8844,10622
Texas,Jul  5 2022,7791,10705
Texas,Jul  4 2022,8868,10988
Texas,Jul  3 2022,10918,10867
Texas,Jul  2 2022,11896,10809
Texas,Jul  1 2022,12673,10660
Texas,Jun 30 2022,13365,10426
Texas,Jun 29 2022,9426,10045
Texas,Jun 28 2022,9770,9756
Texas,Jun 27 2022,8025,11041
Texas,Jun 26 2022,10514,10375
Texas,Jun 25 2022,10853,9459
Texas,Jun 24 2022,11034,8735
Texas,Jun 23 2022,10694,7972
Texas,Jun 22 2022,7407,7614
Texas,Jun 21 2022,18761,7455
Texas,Jun 20 2022,3367,5755
Texas,Jun 19 2022,4098,6316
Texas,Jun 18 2022,5788,6659
Texas,Jun 17 2022,5694,6994
Texas,Jun 16 2022,8185,6876
Texas,Jun 15 2022,6297,6895
Texas,Jun 14 2022,6862,6975
Texas,Jun 13 2022,7291,6790
Texas,Jun 12 2022,6502,6553
Texas,Jun 11 2022,8132,6585
Texas,Jun 10 2022,4868,6600
Texas,Jun  9 2022,8313,6979
Texas,Jun  8 2022,6861,6692
Texas,Jun  7 2022,5565,6408
Texas,Jun  6 2022,5634,6165
Texas,Jun  5 2022,6723,5967
Texas,Jun  4 2022,8238,5856
Texas,Jun  3 2022,7519,5661
Texas,Jun  2 2022,6305,5403
Texas,Jun  1 2022,4876,5311
Texas,May 31 2022,3860,5221
Texas,May 30 2022,4252,5193
Texas,May 29 2022,5946,5086
Texas,May 28 2022,6874,4896
Texas,May 27 2022,5713,4627
Texas,May 26 2022,5656,4511
Texas,May 25 2022,4247,4405
Texas,May 24 2022,3663,4474
Texas,May 23 2022,3503,4410
Texas,May 22 2022,4621,4139
Texas,May 21 2022,4988,3826
Texas,May 20 2022,4905,3613
Texas,May 19 2022,4909,3440
Texas,May 18 2022,4730,3342
Texas,May 17 2022,3215,3107
Texas,May 16 2022,1606,3060
Texas,May 15 2022,2430,3138
Texas,May 14 2022,3496,3103
Texas,May 13 2022,3699,3057
Texas,May 12 2022,4224,2948
Texas,May 11 2022,3084,2998
Texas,May 10 2022,2885,2949
Texas,May  9 2022,2153,2852
Texas,May  8 2022,2183,2721
