Data Table for Daily Case Trends - Utah
Date generated: Mon Jul 25 2022 09:43:37 GMT-0400 (Eastern Daylight Time)
State,Date,New Cases,7-Day Moving Avg
Utah,Jul 21 2022,6870,981
Utah,Jul 20 2022,0,1112
Utah,Jul 19 2022,0,1112
Utah,Jul 18 2022,0,1112
Utah,Jul 17 2022,0,1112
Utah,Jul 16 2022,0,1112
Utah,Jul 15 2022,0,1112
Utah,Jul 14 2022,7789,1112
Utah,Jul 13 2022,0,981
Utah,Jul 12 2022,0,981
Utah,Jul 11 2022,0,981
Utah,Jul 10 2022,0,981
Utah,Jul  9 2022,0,981
Utah,Jul  8 2022,0,981
Utah,Jul  7 2022,6872,981
Utah,Jul  6 2022,0,1055
Utah,Jul  5 2022,0,1055
Utah,Jul  4 2022,0,1055
Utah,Jul  3 2022,0,1055
Utah,Jul  2 2022,0,1055
Utah,Jul  1 2022,0,1055
Utah,Jun 30 2022,7388,1055
Utah,Jun 29 2022,0,968
Utah,Jun 28 2022,0,968
Utah,Jun 27 2022,0,968
Utah,Jun 26 2022,0,968
Utah,Jun 25 2022,0,968
Utah,Jun 24 2022,0,968
Utah,Jun 23 2022,6776,968
Utah,Jun 22 2022,0,931
Utah,Jun 21 2022,0,931
Utah,Jun 20 2022,0,931
Utah,Jun 19 2022,0,931
Utah,Jun 18 2022,0,931
Utah,Jun 17 2022,0,931
Utah,Jun 16 2022,6522,931
Utah,Jun 15 2022,0,1071
Utah,Jun 14 2022,0,1071
Utah,Jun 13 2022,0,1071
Utah,Jun 12 2022,0,1071
Utah,Jun 11 2022,0,1071
Utah,Jun 10 2022,0,1071
Utah,Jun  9 2022,7502,1071
Utah,Jun  8 2022,0,818
Utah,Jun  7 2022,0,818
Utah,Jun  6 2022,0,818
Utah,Jun  5 2022,0,818
Utah,Jun  4 2022,0,818
Utah,Jun  3 2022,0,818
Utah,Jun  2 2022,5728,818
Utah,Jun  1 2022,0,801
Utah,May 31 2022,0,801
Utah,May 30 2022,0,801
Utah,May 29 2022,0,801
Utah,May 28 2022,0,801
Utah,May 27 2022,0,801
Utah,May 26 2022,5611,801
Utah,May 25 2022,0,643
Utah,May 24 2022,0,643
Utah,May 23 2022,0,643
Utah,May 22 2022,0,643
Utah,May 21 2022,0,643
Utah,May 20 2022,0,643
Utah,May 19 2022,4504,643
Utah,May 18 2022,0,483
Utah,May 17 2022,0,483
Utah,May 16 2022,0,483
Utah,May 15 2022,0,483
Utah,May 14 2022,0,483
Utah,May 13 2022,0,483
Utah,May 12 2022,3385,483
Utah,May 11 2022,0,460
Utah,May 10 2022,0,460
Utah,May  9 2022,0,460
Utah,May  8 2022,0,460
Utah,May  7 2022,0,460
Utah,May  6 2022,0,460
Utah,May  5 2022,3226,460
Utah,May  4 2022,0,242
Utah,May  3 2022,0,242
Utah,May  2 2022,0,242
Utah,May  1 2022,0,242
Utah,Apr 30 2022,0,242
Utah,Apr 29 2022,0,242
Utah,Apr 28 2022,1695,242
Utah,Apr 27 2022,0,171
Utah,Apr 26 2022,0,171
Utah,Apr 25 2022,0,171
Utah,Apr 24 2022,0,171
Utah,Apr 23 2022,0,171
Utah,Apr 22 2022,0,171
Utah,Apr 21 2022,1197,171
Utah,Apr 20 2022,0,105
Utah,Apr 19 2022,0,105
Utah,Apr 18 2022,0,105
Utah,Apr 17 2022,0,105
Utah,Apr 16 2022,0,105
Utah,Apr 15 2022,0,105
Utah,Apr 14 2022,740,105
Utah,Apr 13 2022,0,99
Utah,Apr 12 2022,0,99
Utah,Apr 11 2022,0,99
Utah,Apr 10 2022,0,99
Utah,Apr  9 2022,0,99
Utah,Apr  8 2022,0,99
Utah,Apr  7 2022,699,99
Utah,Apr  6 2022,0,20
Utah,Apr  5 2022,0,39
Utah,Apr  4 2022,0,53
Utah,Apr  3 2022,0,89
Utah,Apr  2 2022,0,89
Utah,Apr  1 2022,0,89
Utah,Mar 31 2022,140,108
Utah,Mar 30 2022,133,109
Utah,Mar 29 2022,98,107
Utah,Mar 28 2022,255,109
Utah,Mar 27 2022,0,122
Utah,Mar 26 2022,0,122
Utah,Mar 25 2022,131,122
Utah,Mar 24 2022,152,120
Utah,Mar 23 2022,119,123
Utah,Mar 22 2022,109,132
Utah,Mar 21 2022,343,130
Utah,Mar 20 2022,0,131
Utah,Mar 19 2022,0,131
Utah,Mar 18 2022,120,131
Utah,Mar 17 2022,173,149
Utah,Mar 16 2022,183,151
Utah,Mar 15 2022,94,153
Utah,Mar 14 2022,353,154
Utah,Mar 13 2022,0,181
Utah,Mar 12 2022,0,181
Utah,Mar 11 2022,244,181
Utah,Mar 10 2022,186,184
Utah,Mar  9 2022,198,214
Utah,Mar  8 2022,100,251
Utah,Mar  7 2022,543,277
Utah,Mar  6 2022,0,327
Utah,Mar  5 2022,0,327
Utah,Mar  4 2022,261,327
Utah,Mar  3 2022,396,350
Utah,Mar  2 2022,461,383
Utah,Mar  1 2022,278,405
Utah,Feb 28 2022,896,661
Utah,Feb 27 2022,0,533
Utah,Feb 26 2022,0,533
Utah,Feb 25 2022,425,533
Utah,Feb 24 2022,627,615
Utah,Feb 23 2022,614,673
Utah,Feb 22 2022,2068,784
Utah,Feb 21 2022,0,599
Utah,Feb 20 2022,0,1046
Utah,Feb 19 2022,0,1046
Utah,Feb 18 2022,999,1046
Utah,Feb 17 2022,1032,1159
Utah,Feb 16 2022,1392,1288
Utah,Feb 15 2022,771,1383
Utah,Feb 14 2022,3128,1465
Utah,Feb 13 2022,0,1804
Utah,Feb 12 2022,0,1804
Utah,Feb 11 2022,1791,1804
Utah,Feb 10 2022,1935,1950
Utah,Feb  9 2022,2062,2171
Utah,Feb  8 2022,1341,2392
Utah,Feb  7 2022,5504,2606
Utah,Feb  6 2022,0,3288
Utah,Feb  5 2022,0,3288
Utah,Feb  4 2022,2808,3288
Utah,Feb  3 2022,3482,3767
Utah,Feb  2 2022,3609,4275
Utah,Feb  1 2022,2845,4829
Utah,Jan 31 2022,10272,5366
Utah,Jan 30 2022,0,7037
Utah,Jan 29 2022,0,7037
Utah,Jan 28 2022,6166,7037
Utah,Jan 27 2022,7033,7813
Utah,Jan 26 2022,7493,8467
Utah,Jan 25 2022,6600,9191
Utah,Jan 24 2022,21970,13946
Utah,Jan 23 2022,0,10807
Utah,Jan 22 2022,0,10807
Utah,Jan 21 2022,11601,10807
Utah,Jan 20 2022,11608,10740
Utah,Jan 19 2022,12564,10937
Utah,Jan 18 2022,39882,10602
Utah,Jan 17 2022,0,6307
Utah,Jan 16 2022,0,9756
Utah,Jan 15 2022,0,9756
Utah,Jan 14 2022,11128,9756
Utah,Jan 13 2022,12990,9519
Utah,Jan 12 2022,10220,8937
Utah,Jan 11 2022,9813,8512
Utah,Jan 10 2022,24147,7776
Utah,Jan  9 2022,0,6434
Utah,Jan  8 2022,0,6434
Utah,Jan  7 2022,9469,6434
Utah,Jan  6 2022,8913,5082
Utah,Jan  5 2022,7247,4317
Utah,Jan  4 2022,4661,3754
Utah,Jan  3 2022,14754,3348
Utah,Jan  2 2022,0,1898
Utah,Jan  1 2022,0,1898
Utah,Dec 31 2021,0,1898
Utah,Dec 30 2021,3563,1898
Utah,Dec 29 2021,3303,1573
Utah,Dec 28 2021,1816,1302
Utah,Dec 27 2021,4607,1159
Utah,Dec 26 2021,0,858
