Data Table for Daily Case Trends - Vermont
Date generated: Mon Jul 25 2022 09:43:45 GMT-0400 (Eastern Daylight Time)
State,Date,New Cases,7-Day Moving Avg
Vermont,Jul 21 2022,68,70
Vermont,Jul 20 2022,87,71
Vermont,Jul 19 2022,62,77
Vermont,Jul 18 2022,151,75
Vermont,Jul 17 2022,0,74
Vermont,Jul 16 2022,0,74
Vermont,Jul 15 2022,126,74
Vermont,Jul 14 2022,76,67
Vermont,Jul 13 2022,125,67
Vermont,Jul 12 2022,49,59
Vermont,Jul 11 2022,148,55
Vermont,Jul 10 2022,0,54
Vermont,Jul  9 2022,0,54
Vermont,Jul  8 2022,72,54
Vermont,Jul  7 2022,78,55
Vermont,Jul  6 2022,70,58
Vermont,Jul  5 2022,23,58
Vermont,Jul  4 2022,141,62
Vermont,Jul  3 2022,0,74
Vermont,Jul  2 2022,0,74
Vermont,Jul  1 2022,78,74
Vermont,Jun 30 2022,99,79
Vermont,Jun 29 2022,69,82
Vermont,Jun 28 2022,47,86
Vermont,Jun 27 2022,231,89
Vermont,Jun 26 2022,0,82
Vermont,Jun 25 2022,0,82
Vermont,Jun 24 2022,111,82
Vermont,Jun 23 2022,120,80
Vermont,Jun 22 2022,98,79
Vermont,Jun 21 2022,68,81
Vermont,Jun 20 2022,177,84
Vermont,Jun 19 2022,0,96
Vermont,Jun 18 2022,0,96
Vermont,Jun 17 2022,102,96
Vermont,Jun 16 2022,113,97
Vermont,Jun 15 2022,110,100
Vermont,Jun 14 2022,90,102
Vermont,Jun 13 2022,260,105
Vermont,Jun 12 2022,0,103
Vermont,Jun 11 2022,0,103
Vermont,Jun 10 2022,107,103
Vermont,Jun  9 2022,137,118
Vermont,Jun  8 2022,124,152
Vermont,Jun  7 2022,108,134
Vermont,Jun  6 2022,247,128
Vermont,Jun  5 2022,0,187
Vermont,Jun  4 2022,0,187
Vermont,Jun  3 2022,216,187
Vermont,Jun  2 2022,372,156
Vermont,Jun  1 2022,0,137
