Data Table for Daily Case Trends - Washington
Date generated: Mon Jul 25 2022 09:44:03 GMT-0400 (Eastern Daylight Time)
State,Date,New Cases,7-Day Moving Avg
Washington,Jul 21 2022,3203,2596
Washington,Jul 20 2022,2722,2588
Washington,Jul 19 2022,2169,2616
Washington,Jul 18 2022,1748,2590
Washington,Jul 17 2022,2047,2603
Washington,Jul 16 2022,3412,2657
Washington,Jul 15 2022,2876,2608
Washington,Jul 14 2022,3147,2703
Washington,Jul 13 2022,2916,2726
Washington,Jul 12 2022,1990,2595
Washington,Jul 11 2022,1835,2513
Washington,Jul 10 2022,2427,2507
Washington,Jul  9 2022,3068,2471
Washington,Jul  8 2022,3542,2456
Washington,Jul  7 2022,3308,2484
Washington,Jul  6 2022,2001,2511
Washington,Jul  5 2022,1416,2738
Washington,Jul  4 2022,1788,2760
Washington,Jul  3 2022,2176,2774
Washington,Jul  2 2022,2962,2801
Washington,Jul  1 2022,3738,2814
Washington,Jun 30 2022,3496,2760
Washington,Jun 29 2022,3592,2742
Washington,Jun 28 2022,1573,2647
Washington,Jun 27 2022,1883,2656
Washington,Jun 26 2022,2365,2664
Washington,Jun 25 2022,3052,2629
Washington,Jun 24 2022,3364,2611
Washington,Jun 23 2022,3365,2571
Washington,Jun 22 2022,2933,2530
Washington,Jun 21 2022,1632,2552
Washington,Jun 20 2022,1941,2655
Washington,Jun 19 2022,2121,2624
Washington,Jun 18 2022,2924,2605
Washington,Jun 17 2022,3087,2552
Washington,Jun 16 2022,3075,2540
Washington,Jun 15 2022,3086,2566
Washington,Jun 14 2022,2353,2566
Washington,Jun 13 2022,1725,2558
Washington,Jun 12 2022,1991,2586
Washington,Jun 11 2022,2550,2643
Washington,Jun 10 2022,3000,2827
Washington,Jun  9 2022,3260,2953
Washington,Jun  8 2022,3086,3032
Washington,Jun  7 2022,2300,2819
Washington,Jun  6 2022,1915,2652
Washington,Jun  5 2022,2394,2639
Washington,Jun  4 2022,3837,2609
Washington,Jun  3 2022,3884,2503
Washington,Jun  2 2022,3813,2512
Washington,Jun  1 2022,1595,2575
Washington,May 31 2022,1128,2990
Washington,May 30 2022,1825,3116
Washington,May 29 2022,2181,3021
Washington,May 28 2022,3097,3236
Washington,May 27 2022,3945,2967
Washington,May 26 2022,4257,3170
Washington,May 25 2022,4497,3047
Washington,May 24 2022,2014,2925
Washington,May 23 2022,1160,2962
Washington,May 22 2022,3683,3070
Washington,May 21 2022,1214,2828
Washington,May 20 2022,5368,3168
Washington,May 19 2022,3398,2824
Washington,May 18 2022,3643,2822
Washington,May 17 2022,2269,2674
Washington,May 16 2022,1915,2657
Washington,May 15 2022,1989,2624
Washington,May 14 2022,3597,2588
Washington,May 13 2022,2959,2666
Washington,May 12 2022,3386,2403
Washington,May 11 2022,2606,2291
Washington,May 10 2022,2150,2300
Washington,May  9 2022,1683,2272
Washington,May  8 2022,1738,2244
Washington,May  7 2022,4141,2215
Washington,May  6 2022,1122,1955
Washington,May  5 2022,2601,2163
Washington,May  4 2022,2665,2125
Washington,May  3 2022,1956,2087
Washington,May  2 2022,1488,2026
Washington,May  1 2022,1532,1997
Washington,Apr 30 2022,2325,1959
Washington,Apr 29 2022,2578,2116
Washington,Apr 28 2022,2332,2073
Washington,Apr 27 2022,2399,1953
Washington,Apr 26 2022,1528,1773
Washington,Apr 25 2022,1288,1636
Washington,Apr 24 2022,1269,1584
Washington,Apr 23 2022,3422,1540
Washington,Apr 22 2022,2279,1262
Washington,Apr 21 2022,1492,1120
Washington,Apr 20 2022,1138,1122
Washington,Apr 19 2022,564,1121
Washington,Apr 18 2022,926,1148
Washington,Apr 17 2022,963,1107
Washington,Apr 16 2022,1472,1096
Washington,Apr 15 2022,1286,1053
Washington,Apr 14 2022,1507,1073
Washington,Apr 13 2022,1130,1015
Washington,Apr 12 2022,754,1598
Washington,Apr 11 2022,640,1593
Washington,Apr 10 2022,889,1590
Washington,Apr  9 2022,1169,1542
Washington,Apr  8 2022,1427,1483
Washington,Apr  7 2022,1101,1404
Washington,Apr  6 2022,5212,1366
Washington,Apr  5 2022,716,755
Washington,Apr  4 2022,619,742
Washington,Apr  3 2022,552,734
Washington,Apr  2 2022,758,738
Washington,Apr  1 2022,876,762
Washington,Mar 31 2022,831,828
Washington,Mar 30 2022,935,861
Washington,Mar 29 2022,626,880
Washington,Mar 28 2022,563,912
Washington,Mar 27 2022,578,862
Washington,Mar 26 2022,931,844
Washington,Mar 25 2022,1334,852
Washington,Mar 24 2022,1066,826
Washington,Mar 23 2022,1062,823
Washington,Mar 22 2022,854,842
Washington,Mar 21 2022,213,884
Washington,Mar 20 2022,451,897
Washington,Mar 19 2022,985,969
Washington,Mar 18 2022,1154,1044
Washington,Mar 17 2022,1045,1093
Washington,Mar 16 2022,1198,1180
Washington,Mar 15 2022,1147,1233
Washington,Mar 14 2022,303,1218
Washington,Mar 13 2022,957,1193
Washington,Mar 12 2022,1508,1156
Washington,Mar 11 2022,1499,1141
Washington,Mar 10 2022,1649,1160
Washington,Mar  9 2022,1573,1174
Washington,Mar  8 2022,1040,1214
Washington,Mar  7 2022,131,1270
Washington,Mar  6 2022,697,1357
Washington,Mar  5 2022,1401,1913
Washington,Mar  4 2022,1633,2062
Washington,Mar  3 2022,1744,2269
Washington,Mar  2 2022,1857,2517
Washington,Mar  1 2022,1433,2687
Washington,Feb 28 2022,736,2587
Washington,Feb 27 2022,4589,2622
Washington,Feb 26 2022,2442,2619
Washington,Feb 25 2022,3085,2725
Washington,Feb 24 2022,3480,2659
Washington,Feb 23 2022,3049,2639
Washington,Feb 22 2022,732,2704
Washington,Feb 21 2022,982,2954
Washington,Feb 20 2022,4565,3099
Washington,Feb 19 2022,3184,2767
Washington,Feb 18 2022,2621,3041
Washington,Feb 17 2022,3342,3251
Washington,Feb 16 2022,3508,3598
Washington,Feb 15 2022,2476,4120
Washington,Feb 14 2022,1998,4351
Washington,Feb 13 2022,2243,4526
Washington,Feb 12 2022,5103,4889
Washington,Feb 11 2022,4091,5436
Washington,Feb 10 2022,5769,5916
Washington,Feb  9 2022,7161,6387
Washington,Feb  8 2022,4098,6738
Washington,Feb  7 2022,3219,7178
Washington,Feb  6 2022,4788,7966
Washington,Feb  5 2022,8926,9623
Washington,Feb  4 2022,7453,11057
Washington,Feb  3 2022,9066,11956
Washington,Feb  2 2022,9617,13927
Washington,Feb  1 2022,7182,14597
Washington,Jan 31 2022,8734,14784
Washington,Jan 30 2022,16389,15819
Washington,Jan 29 2022,18958,15956
Washington,Jan 28 2022,13746,15868
Washington,Jan 27 2022,22863,16428
Washington,Jan 26 2022,14309,15798
Washington,Jan 25 2022,8489,15752
Washington,Jan 24 2022,15981,15598
Washington,Jan 23 2022,17348,15687
Washington,Jan 22 2022,18343,15625
Washington,Jan 21 2022,17663,15358
Washington,Jan 20 2022,18456,15172
Washington,Jan 19 2022,13990,14858
Washington,Jan 18 2022,7408,15337
Washington,Jan 17 2022,16607,16279
Washington,Jan 16 2022,16911,15788
Washington,Jan 15 2022,16473,16030
Washington,Jan 14 2022,16364,15794
Washington,Jan 13 2022,16254,15888
Washington,Jan 12 2022,17345,15713
Washington,Jan 11 2022,14001,14805
Washington,Jan 10 2022,13171,13773
Washington,Jan  9 2022,18605,12690
Washington,Jan  8 2022,14819,11133
Washington,Jan  7 2022,17022,10178
Washington,Jan  6 2022,15031,9227
Washington,Jan  5 2022,10986,8060
Washington,Jan  4 2022,6780,7173
Washington,Jan  3 2022,5590,6668
Washington,Jan  2 2022,7703,6418
Washington,Jan  1 2022,8136,6038
Washington,Dec 31 2021,10365,5753
Washington,Dec 30 2021,6864,5036
Washington,Dec 29 2021,4774,4656
Washington,Dec 28 2021,3246,4272
Washington,Dec 27 2021,3840,4054
Washington,Dec 26 2021,5046,3714
Washington,Dec 25 2021,6141,3238
Washington,Dec 24 2021,5345,2684
Washington,Dec 23 2021,4200,2220
Washington,Dec 22 2021,2090,1888
Washington,Dec 21 2021,1721,1801
Washington,Dec 20 2021,1456,1711
Washington,Dec 19 2021,1718,1616
Washington,Dec 18 2021,2262,1543
Washington,Dec 17 2021,2097,1423
Washington,Dec 16 2021,1877,1343
Washington,Dec 15 2021,1482,1307
Washington,Dec 14 2021,1087,1271
Washington,Dec 13 2021,792,1393
Washington,Dec 12 2021,1205,1315
Washington,Dec 11 2021,1423,1315
Washington,Dec 10 2021,1538,1371
Washington,Dec  9 2021,1624,1443
Washington,Dec  8 2021,1234,1514
Washington,Dec  7 2021,1937,1658
Washington,Dec  6 2021,248,1579
Washington,Dec  5 2021,1203,1654
Washington,Dec  4 2021,1815,1578
Washington,Dec  3 2021,2041,1399
Washington,Dec  2 2021,2125,1360
Washington,Dec  1 2021,2241,1217
Washington,Nov 30 2021,1380,1057
Washington,Nov 29 2021,773,1010
Washington,Nov 28 2021,677,1098
Washington,Nov 27 2021,558,1127
Washington,Nov 26 2021,1768,1266
Washington,Nov 25 2021,1125,1258
Washington,Nov 24 2021,1119,1386
Washington,Nov 23 2021,1052,1536
Washington,Nov 22 2021,1387,1572
Washington,Nov 21 2021,883,1590
Washington,Nov 20 2021,1530,1656
Washington,Nov 19 2021,1710,1679
Washington,Nov 18 2021,2025,1755
Washington,Nov 17 2021,2170,1733
Washington,Nov 16 2021,1305,1708
Washington,Nov 15 2021,1511,1732
Washington,Nov 14 2021,1346,1690
Washington,Nov 13 2021,1690,1747
Washington,Nov 12 2021,2240,1829
Washington,Nov 11 2021,1875,1771
Washington,Nov 10 2021,1991,1839
Washington,Nov  9 2021,1476,1794
Washington,Nov  8 2021,1218,1847
Washington,Nov  7 2021,1740,1842
Washington,Nov  6 2021,2267,1830
Washington,Nov  5 2021,1831,1769
Washington,Nov  4 2021,2355,1874
Washington,Nov  3 2021,1674,2016
Washington,Nov  2 2021,1848,2005
Washington,Nov  1 2021,1179,1974
Washington,Oct 31 2021,1661,2056
Washington,Oct 30 2021,1840,2086
Washington,Oct 29 2021,2562,2129
Washington,Oct 28 2021,3351,2117
Washington,Oct 27 2021,1595,2086
Washington,Oct 26 2021,1632,2206
Washington,Oct 25 2021,1751,2202
Washington,Oct 24 2021,1875,2146
Washington,Oct 23 2021,2142,2148
Washington,Oct 22 2021,2479,2196
Washington,Oct 21 2021,3129,2213
Washington,Oct 20 2021,2438,2173
Washington,Oct 19 2021,1602,2206
Washington,Oct 18 2021,1357,2232
Washington,Oct 17 2021,1889,2269
Washington,Oct 16 2021,2480,2291
Washington,Oct 15 2021,2602,2289
Washington,Oct 14 2021,2843,2248
Washington,Oct 13 2021,2670,2262
Washington,Oct 12 2021,1789,2251
Washington,Oct 11 2021,1612,2338
Washington,Oct 10 2021,2047,2377
Washington,Oct  9 2021,2462,2367
Washington,Oct  8 2021,2317,2462
Washington,Oct  7 2021,2941,2603
Washington,Oct  6 2021,2593,2602
Washington,Oct  5 2021,2394,2624
Washington,Oct  4 2021,1885,2671
Washington,Oct  3 2021,1983,2750
Washington,Oct  2 2021,3125,2910
Washington,Oct  1 2021,3301,2943
Washington,Sep 30 2021,2934,2916
Washington,Sep 29 2021,2749,3092
Washington,Sep 28 2021,2722,3033
Washington,Sep 27 2021,2438,3006
Washington,Sep 26 2021,3102,2940
Washington,Sep 25 2021,3360,2838
Washington,Sep 24 2021,3110,2867
Washington,Sep 23 2021,4169,3001
Washington,Sep 22 2021,2331,2861
Washington,Sep 21 2021,2532,3062
Washington,Sep 20 2021,1977,3107
Washington,Sep 19 2021,2390,3223
Washington,Sep 18 2021,3561,3299
Washington,Sep 17 2021,4052,3331
Washington,Sep 16 2021,3186,3373
Washington,Sep 15 2021,3737,3470
Washington,Sep 14 2021,2846,3355
Washington,Sep 13 2021,2793,3254
Washington,Sep 12 2021,2920,3221
Washington,Sep 11 2021,3784,3227
Washington,Sep 10 2021,4347,3254
Washington,Sep  9 2021,3865,3253
Washington,Sep  8 2021,2930,3302
Washington,Sep  7 2021,2141,3418
Washington,Sep  6 2021,2562,3586
Washington,Sep  5 2021,2962,3567
Washington,Sep  4 2021,3975,3571
Washington,Sep  3 2021,4336,3511
Washington,Sep  2 2021,4208,3494
Washington,Sep  1 2021,3744,3439
Washington,Aug 31 2021,3320,3333
Washington,Aug 30 2021,2426,3255
Washington,Aug 29 2021,2991,3249
Washington,Aug 28 2021,3558,3231
Washington,Aug 27 2021,4217,3233
Washington,Aug 26 2021,3818,3176
Washington,Aug 25 2021,3007,3246
Washington,Aug 24 2021,2773,3204
Washington,Aug 23 2021,2381,3118
Washington,Aug 22 2021,2863,3076
Washington,Aug 21 2021,3572,3048
Washington,Aug 20 2021,3824,2997
Washington,Aug 19 2021,4305,2956
Washington,Aug 18 2021,2712,2903
Washington,Aug 17 2021,2172,2933
Washington,Aug 16 2021,2086,2846
Washington,Aug 15 2021,2665,2830
Washington,Aug 14 2021,3220,2758
Washington,Aug 13 2021,3536,2633
Washington,Aug 12 2021,3936,2510
Washington,Aug 11 2021,2920,2301
Washington,Aug 10 2021,1562,2655
Washington,Aug  9 2021,1974,2734
Washington,Aug  8 2021,2159,2598
Washington,Aug  7 2021,2347,2383
Washington,Aug  6 2021,2674,2207
Washington,Aug  5 2021,2474,1925
Washington,Aug  4 2021,5395,1709
Washington,Aug  3 2021,2119,1091
Washington,Aug  2 2021,1020,927
Washington,Aug  1 2021,655,904
Washington,Jul 31 2021,1116,956
Washington,Jul 30 2021,701,990
Washington,Jul 29 2021,962,1073
Washington,Jul 28 2021,1065,1125
Washington,Jul 27 2021,973,1091
Washington,Jul 26 2021,862,1056
Washington,Jul 25 2021,1014,1008
Washington,Jul 24 2021,1355,964
Washington,Jul 23 2021,1286,859
Washington,Jul 22 2021,1322,782
Washington,Jul 21 2021,830,706
Washington,Jul 20 2021,723,688
Washington,Jul 19 2021,529,774
Washington,Jul 18 2021,709,765
Washington,Jul 17 2021,620,730
Washington,Jul 16 2021,747,745
Washington,Jul 15 2021,790,713
Washington,Jul 14 2021,702,675
Washington,Jul 13 2021,1324,628
Washington,Jul 12 2021,463,458
Washington,Jul 11 2021,467,438
Washington,Jul 10 2021,726,423
Washington,Jul  9 2021,520,374
Washington,Jul  8 2021,527,367
Washington,Jul  7 2021,371,357
Washington,Jul  6 2021,134,355
Washington,Jul  5 2021,327,373
Washington,Jul  4 2021,359,358
Washington,Jul  3 2021,384,355
Washington,Jul  2 2021,468,364
Washington,Jul  1 2021,460,365
Washington,Jun 30 2021,354,381
Washington,Jun 29 2021,264,445
Washington,Jun 28 2021,222,456
Washington,Jun 27 2021,333,461
Washington,Jun 26 2021,451,469
Washington,Jun 25 2021,471,467
Washington,Jun 24 2021,575,473
Washington,Jun 23 2021,800,488
Washington,Jun 22 2021,346,440
Washington,Jun 21 2021,254,451
Washington,Jun 20 2021,386,455
Washington,Jun 19 2021,442,465
Washington,Jun 18 2021,512,489
Washington,Jun 17 2021,678,515
Washington,Jun 16 2021,465,506
Washington,Jun 15 2021,424,537
Washington,Jun 14 2021,283,551
Washington,Jun 13 2021,456,563
Washington,Jun 12 2021,607,579
Washington,Jun 11 2021,695,590
Washington,Jun 10 2021,616,606
Washington,Jun  9 2021,679,625
Washington,Jun  8 2021,522,629
Washington,Jun  7 2021,366,611
Washington,Jun  6 2021,571,637
Washington,Jun  5 2021,681,676
Washington,Jun  4 2021,812,655
Washington,Jun  3 2021,744,740
Washington,Jun  2 2021,709,807
Washington,Jun  1 2021,399,963
Washington,May 31 2021,547,1122
Washington,May 30 2021,840,1056
Washington,May 29 2021,536,983
Washington,May 28 2021,1405,1082
Washington,May 27 2021,1216,1066
Washington,May 26 2021,1801,1028
Washington,May 25 2021,1514,889
Washington,May 24 2021,82,756
Washington,May 23 2021,329,835
Washington,May 22 2021,1227,986
Washington,May 21 2021,1296,952
Washington,May 20 2021,949,987
Washington,May 19 2021,831,1009
Washington,May 18 2021,578,1092
Washington,May 17 2021,635,1117
Washington,May 16 2021,1389,1137
Washington,May 15 2021,992,1103
Washington,May 14 2021,1540,1162
Washington,May 13 2021,1101,1168
Washington,May 12 2021,1413,1227
Washington,May 11 2021,753,1186
Washington,May 10 2021,772,1209
Washington,May  9 2021,1155,1267
Washington,May  8 2021,1401,1307
Washington,May  7 2021,1583,1413
Washington,May  6 2021,1516,1420
Washington,May  5 2021,1126,1339
Washington,May  4 2021,915,1391
Washington,May  3 2021,1173,1392
Washington,May  2 2021,1439,1405
Washington,May  1 2021,2144,1392
Washington,Apr 30 2021,1630,1335
Washington,Apr 29 2021,946,1301
Washington,Apr 28 2021,1496,1398
Washington,Apr 27 2021,916,1434
Washington,Apr 26 2021,1265,1471
Washington,Apr 25 2021,1347,1365
Washington,Apr 24 2021,1746,1426
Washington,Apr 23 2021,1396,1414
Washington,Apr 22 2021,1620,1459
Washington,Apr 21 2021,1749,1419
Washington,Apr 20 2021,1180,1327
Washington,Apr 19 2021,523,1363
Washington,Apr 18 2021,1768,1344
Washington,Apr 17 2021,1664,1302
Washington,Apr 16 2021,1712,1279
Washington,Apr 15 2021,1340,1230
Washington,Apr 14 2021,1108,1187
Washington,Apr 13 2021,1432,1184
Washington,Apr 12 2021,385,1081
Washington,Apr 11 2021,1473,1135
Washington,Apr 10 2021,1503,1105
Washington,Apr  9 2021,1375,1050
Washington,Apr  8 2021,1033,1063
Washington,Apr  7 2021,1088,1058
Washington,Apr  6 2021,715,1055
Washington,Apr  5 2021,758,1061
Washington,Apr  4 2021,1263,1083
Washington,Apr  3 2021,1121,1042
Washington,Apr  2 2021,1465,1072
Washington,Apr  1 2021,996,1008
Washington,Mar 31 2021,1073,979
Washington,Mar 30 2021,752,942
Washington,Mar 29 2021,912,925
Washington,Mar 28 2021,977,870
Washington,Mar 27 2021,1331,827
Washington,Mar 26 2021,1016,779
Washington,Mar 25 2021,794,766
Washington,Mar 24 2021,812,788
Washington,Mar 23 2021,635,783
Washington,Mar 22 2021,526,779
Washington,Mar 21 2021,681,790
Washington,Mar 20 2021,995,789
Washington,Mar 19 2021,921,746
Washington,Mar 18 2021,947,758
Washington,Mar 17 2021,779,719
Washington,Mar 16 2021,609,707
Washington,Mar 15 2021,602,671
Washington,Mar 14 2021,670,672
Washington,Mar 13 2021,694,679
Washington,Mar 12 2021,1011,689
Washington,Mar 11 2021,674,665
Washington,Mar 10 2021,692,675
Washington,Mar  9 2021,355,721
Washington,Mar  8 2021,611,723
Washington,Mar  7 2021,720,704
Washington,Mar  6 2021,765,720
Washington,Mar  5 2021,841,738
Washington,Mar  4 2021,746,786
Washington,Mar  3 2021,1013,821
Washington,Mar  2 2021,371,804
Washington,Mar  1 2021,475,824
Washington,Feb 28 2021,832,836
Washington,Feb 27 2021,894,830
Washington,Feb 26 2021,1172,821
Washington,Feb 25 2021,995,835
Washington,Feb 24 2021,889,837
Washington,Feb 23 2021,514,817
Washington,Feb 22 2021,561,817
Washington,Feb 21 2021,787,851
Washington,Feb 20 2021,829,840
Washington,Feb 19 2021,1272,850
Washington,Feb 18 2021,1011,819
Washington,Feb 17 2021,750,872
Washington,Feb 16 2021,510,932
Washington,Feb 15 2021,799,957
Washington,Feb 14 2021,710,968
Washington,Feb 13 2021,898,1124
Washington,Feb 12 2021,1059,1136
Washington,Feb 11 2021,1378,1166
Washington,Feb 10 2021,1170,1265
Washington,Feb  9 2021,689,1222
Washington,Feb  8 2021,873,1261
Washington,Feb  7 2021,1805,1280
Washington,Feb  6 2021,981,1261
Washington,Feb  5 2021,1272,1367
Washington,Feb  4 2021,2071,1589
Washington,Feb  3 2021,867,1504
Washington,Feb  2 2021,960,1607
Washington,Feb  1 2021,1004,1608
Washington,Jan 31 2021,1678,1592
Washington,Jan 30 2021,1720,1621
Washington,Jan 29 2021,2823,1625
Washington,Jan 28 2021,1478,1593
