Data Table for Daily Case Trends - West Virginia
Date generated: Mon Jul 25 2022 09:44:12 GMT-0400 (Eastern Daylight Time)
State,Date,New Cases,7-Day Moving Avg
West Virginia,Jul 21 2022,1013,813
West Virginia,Jul 20 2022,1027,815
West Virginia,Jul 19 2022,834,793
West Virginia,Jul 18 2022,2024,782
West Virginia,Jul 17 2022,0,777
West Virginia,Jul 16 2022,0,777
West Virginia,Jul 15 2022,795,777
West Virginia,Jul 14 2022,1030,788
West Virginia,Jul 13 2022,870,755
West Virginia,Jul 12 2022,761,712
West Virginia,Jul 11 2022,1988,888
West Virginia,Jul 10 2022,0,604
West Virginia,Jul  9 2022,0,604
West Virginia,Jul  8 2022,870,604
West Virginia,Jul  7 2022,797,581
West Virginia,Jul  6 2022,568,561
West Virginia,Jul  5 2022,1995,576
West Virginia,Jul  4 2022,0,371
West Virginia,Jul  3 2022,0,564
West Virginia,Jul  2 2022,0,564
West Virginia,Jul  1 2022,710,564
West Virginia,Jun 30 2022,660,550
West Virginia,Jun 29 2022,667,542
West Virginia,Jun 28 2022,564,534
West Virginia,Jun 27 2022,1350,789
West Virginia,Jun 26 2022,0,596
West Virginia,Jun 25 2022,0,596
West Virginia,Jun 24 2022,611,596
West Virginia,Jun 23 2022,602,509
West Virginia,Jun 22 2022,612,516
West Virginia,Jun 21 2022,2351,508
West Virginia,Jun 20 2022,0,245
West Virginia,Jun 19 2022,0,432
West Virginia,Jun 18 2022,0,432
West Virginia,Jun 17 2022,0,432
West Virginia,Jun 16 2022,654,506
West Virginia,Jun 15 2022,556,505
West Virginia,Jun 14 2022,509,516
West Virginia,Jun 13 2022,1306,515
West Virginia,Jun 12 2022,0,571
West Virginia,Jun 11 2022,0,571
West Virginia,Jun 10 2022,518,571
West Virginia,Jun  9 2022,647,613
West Virginia,Jun  8 2022,632,620
West Virginia,Jun  7 2022,502,619
West Virginia,Jun  6 2022,1701,829
West Virginia,Jun  5 2022,0,586
West Virginia,Jun  4 2022,0,586
West Virginia,Jun  3 2022,812,586
West Virginia,Jun  2 2022,696,563
