Data Table for Daily Case Trends - Wisconsin
Date generated: Mon Jul 25 2022 09:44:22 GMT-0400 (Eastern Daylight Time)
State,Date,New Cases,7-Day Moving Avg
Wisconsin,Jul 21 2022,2359,1860
Wisconsin,Jul 20 2022,2442,1811
Wisconsin,Jul 19 2022,1935,1781
Wisconsin,Jul 18 2022,4321,1776
Wisconsin,Jul 17 2022,0,1729
Wisconsin,Jul 16 2022,0,1729
Wisconsin,Jul 15 2022,1964,1729
Wisconsin,Jul 14 2022,2017,1754
Wisconsin,Jul 13 2022,2236,1747
Wisconsin,Jul 12 2022,1894,1631
Wisconsin,Jul 11 2022,3995,1473
Wisconsin,Jul 10 2022,0,1410
Wisconsin,Jul  9 2022,0,1410
Wisconsin,Jul  8 2022,2141,1410
Wisconsin,Jul  7 2022,1966,1348
Wisconsin,Jul  6 2022,1423,1333
Wisconsin,Jul  5 2022,791,1422
Wisconsin,Jul  4 2022,3554,1496
Wisconsin,Jul  3 2022,0,1497
Wisconsin,Jul  2 2022,0,1497
Wisconsin,Jul  1 2022,1704,1497
Wisconsin,Jun 30 2022,1863,1515
Wisconsin,Jun 29 2022,2045,1531
Wisconsin,Jun 28 2022,1311,1505
Wisconsin,Jun 27 2022,3560,1549
Wisconsin,Jun 26 2022,0,1602
Wisconsin,Jun 25 2022,0,1602
Wisconsin,Jun 24 2022,1826,1602
Wisconsin,Jun 23 2022,1975,1564
Wisconsin,Jun 22 2022,1869,1551
Wisconsin,Jun 21 2022,1615,1552
Wisconsin,Jun 20 2022,3933,1529
Wisconsin,Jun 19 2022,0,1538
Wisconsin,Jun 18 2022,0,1538
Wisconsin,Jun 17 2022,1559,1538
Wisconsin,Jun 16 2022,1887,1579
Wisconsin,Jun 15 2022,1870,1602
Wisconsin,Jun 14 2022,1458,1611
Wisconsin,Jun 13 2022,3992,1694
Wisconsin,Jun 12 2022,0,1801
Wisconsin,Jun 11 2022,0,1801
Wisconsin,Jun 10 2022,1851,1801
Wisconsin,Jun  9 2022,2049,1947
Wisconsin,Jun  8 2022,1930,2088
