Data Table for Daily Death Trends - Alabama
Date generated: Mon Jul 25 2022 09:22:26 GMT-0400 (Eastern Daylight Time)
State,Date,New Deaths,7-Day Moving Avg
Alabama,Jul 21 2022,13,2
Alabama,Jul 20 2022,0,0
Alabama,Jul 19 2022,0,0
Alabama,Jul 18 2022,0,1
Alabama,Jul 17 2022,0,1
Alabama,Jul 16 2022,1,1
Alabama,Jul 15 2022,3,1
Alabama,Jul 14 2022,0,1
Alabama,Jul 13 2022,0,2
Alabama,Jul 12 2022,3,2
Alabama,Jul 11 2022,3,3
Alabama,Jul 10 2022,0,3
Alabama,Jul  9 2022,3,4
Alabama,Jul  8 2022,4,4
Alabama,Jul  7 2022,4,4
Alabama,Jul  6 2022,3,4
Alabama,Jul  5 2022,7,5
Alabama,Jul  4 2022,4,4
Alabama,Jul  3 2022,3,4
Alabama,Jul  2 2022,5,4
Alabama,Jul  1 2022,5,4
Alabama,Jun 30 2022,6,4
Alabama,Jun 29 2022,7,4
Alabama,Jun 28 2022,4,3
Alabama,Jun 27 2022,4,3
Alabama,Jun 26 2022,3,3
Alabama,Jun 25 2022,4,3
Alabama,Jun 24 2022,3,3
Alabama,Jun 23 2022,3,3
Alabama,Jun 22 2022,5,3
Alabama,Jun 21 2022,2,3
Alabama,Jun 20 2022,3,3
Alabama,Jun 19 2022,3,3
Alabama,Jun 18 2022,6,2
Alabama,Jun 17 2022,3,3
Alabama,Jun 16 2022,3,3
Alabama,Jun 15 2022,1,3
Alabama,Jun 14 2022,4,3
Alabama,Jun 13 2022,2,3
Alabama,Jun 12 2022,1,3
Alabama,Jun 11 2022,8,3
Alabama,Jun 10 2022,4,2
Alabama,Jun  9 2022,3,2
Alabama,Jun  8 2022,5,2
Alabama,Jun  7 2022,4,1
Alabama,Jun  6 2022,1,1
Alabama,Jun  5 2022,1,2
Alabama,Jun  4 2022,1,2
Alabama,Jun  3 2022,5,2
Alabama,Jun  2 2022,1,1
Alabama,Jun  1 2022,0,1
Alabama,May 31 2022,3,1
Alabama,May 30 2022,3,1
Alabama,May 29 2022,2,1
Alabama,May 28 2022,2,1
Alabama,May 27 2022,0,1
Alabama,May 26 2022,1,1
Alabama,May 25 2022,2,1
Alabama,May 24 2022,1,1
Alabama,May 23 2022,1,2
Alabama,May 22 2022,2,2
Alabama,May 21 2022,3,2
Alabama,May 20 2022,1,2
Alabama,May 19 2022,1,2
Alabama,May 18 2022,4,2
Alabama,May 17 2022,2,2
Alabama,May 16 2022,2,1
Alabama,May 15 2022,3,2
Alabama,May 14 2022,1,1
Alabama,May 13 2022,3,1
Alabama,May 12 2022,2,1
Alabama,May 11 2022,1,1
Alabama,May 10 2022,1,2
Alabama,May  9 2022,4,2
Alabama,May  8 2022,0,1
Alabama,May  7 2022,1,2
Alabama,May  6 2022,2,3
Alabama,May  5 2022,2,3
Alabama,May  4 2022,4,3
Alabama,May  3 2022,3,2
Alabama,May  2 2022,1,2
Alabama,May  1 2022,5,2
Alabama,Apr 30 2022,5,2
Alabama,Apr 29 2022,2,1
Alabama,Apr 28 2022,2,1
Alabama,Apr 27 2022,0,1
Alabama,Apr 26 2022,1,2
Alabama,Apr 25 2022,2,2
Alabama,Apr 24 2022,3,2
Alabama,Apr 23 2022,3,2
Alabama,Apr 22 2022,2,2
Alabama,Apr 21 2022,2,2
Alabama,Apr 20 2022,4,2
Alabama,Apr 19 2022,2,2
Alabama,Apr 18 2022,4,2
Alabama,Apr 17 2022,3,2
Alabama,Apr 16 2022,2,2
Alabama,Apr 15 2022,1,2
Alabama,Apr 14 2022,3,2
Alabama,Apr 13 2022,4,2
Alabama,Apr 12 2022,2,3
Alabama,Apr 11 2022,3,4
Alabama,Apr 10 2022,3,4
Alabama,Apr  9 2022,1,4
Alabama,Apr  8 2022,4,4
Alabama,Apr  7 2022,3,4
Alabama,Apr  6 2022,10,4
Alabama,Apr  5 2022,5,3
Alabama,Apr  4 2022,5,3
Alabama,Apr  3 2022,1,4
Alabama,Apr  2 2022,4,5
Alabama,Apr  1 2022,2,5
Alabama,Mar 31 2022,3,7
Alabama,Mar 30 2022,5,7
Alabama,Mar 29 2022,4,7
Alabama,Mar 28 2022,11,7
Alabama,Mar 27 2022,7,7
Alabama,Mar 26 2022,8,7
Alabama,Mar 25 2022,11,8
Alabama,Mar 24 2022,4,8
Alabama,Mar 23 2022,8,9
Alabama,Mar 22 2022,6,9
Alabama,Mar 21 2022,9,10
Alabama,Mar 20 2022,9,11
Alabama,Mar 19 2022,10,10
Alabama,Mar 18 2022,11,10
Alabama,Mar 17 2022,10,11
Alabama,Mar 16 2022,14,11
Alabama,Mar 15 2022,10,12
Alabama,Mar 14 2022,13,13
Alabama,Mar 13 2022,8,13
Alabama,Mar 12 2022,8,15
Alabama,Mar 11 2022,14,17
Alabama,Mar 10 2022,14,19
Alabama,Mar  9 2022,17,20
Alabama,Mar  8 2022,20,20
Alabama,Mar  7 2022,14,21
Alabama,Mar  6 2022,18,22
Alabama,Mar  5 2022,27,22
Alabama,Mar  4 2022,26,22
Alabama,Mar  3 2022,18,21
Alabama,Mar  2 2022,23,23
Alabama,Mar  1 2022,22,24
Alabama,Feb 28 2022,23,27
Alabama,Feb 27 2022,18,29
Alabama,Feb 26 2022,25,32
Alabama,Feb 25 2022,22,34
Alabama,Feb 24 2022,33,37
Alabama,Feb 23 2022,30,38
Alabama,Feb 22 2022,44,41
Alabama,Feb 21 2022,34,41
Alabama,Feb 20 2022,41,42
Alabama,Feb 19 2022,38,43
Alabama,Feb 18 2022,44,44
Alabama,Feb 17 2022,37,46
Alabama,Feb 16 2022,50,48
Alabama,Feb 15 2022,44,48
Alabama,Feb 14 2022,46,49
Alabama,Feb 13 2022,42,52
Alabama,Feb 12 2022,48,53
Alabama,Feb 11 2022,58,56
Alabama,Feb 10 2022,52,54
Alabama,Feb  9 2022,49,55
Alabama,Feb  8 2022,51,56
Alabama,Feb  7 2022,70,57
Alabama,Feb  6 2022,49,55
Alabama,Feb  5 2022,63,55
Alabama,Feb  4 2022,48,56
Alabama,Feb  3 2022,59,57
Alabama,Feb  2 2022,52,58
Alabama,Feb  1 2022,58,58
Alabama,Jan 31 2022,57,61
Alabama,Jan 30 2022,53,58
Alabama,Jan 29 2022,69,58
Alabama,Jan 28 2022,54,54
Alabama,Jan 27 2022,63,52
Alabama,Jan 26 2022,53,49
Alabama,Jan 25 2022,78,47
Alabama,Jan 24 2022,41,42
Alabama,Jan 23 2022,54,41
Alabama,Jan 22 2022,41,40
Alabama,Jan 21 2022,38,42
Alabama,Jan 20 2022,44,41
Alabama,Jan 19 2022,37,40
Alabama,Jan 18 2022,41,39
Alabama,Jan 17 2022,36,39
Alabama,Jan 16 2022,45,37
Alabama,Jan 15 2022,53,34
Alabama,Jan 14 2022,31,30
Alabama,Jan 13 2022,37,28
Alabama,Jan 12 2022,35,27
Alabama,Jan 11 2022,40,26
Alabama,Jan 10 2022,20,23
Alabama,Jan  9 2022,24,21
Alabama,Jan  8 2022,27,20
Alabama,Jan  7 2022,19,18
Alabama,Jan  6 2022,27,17
Alabama,Jan  5 2022,26,15
Alabama,Jan  4 2022,19,13
Alabama,Jan  3 2022,11,12
Alabama,Jan  2 2022,17,12
Alabama,Jan  1 2022,10,11
Alabama,Dec 31 2021,11,11
Alabama,Dec 30 2021,12,12
Alabama,Dec 29 2021,13,11
Alabama,Dec 28 2021,16,11
Alabama,Dec 27 2021,9,10
Alabama,Dec 26 2021,12,10
Alabama,Dec 25 2021,6,10
Alabama,Dec 24 2021,17,11
Alabama,Dec 23 2021,10,10
Alabama,Dec 22 2021,9,10
Alabama,Dec 21 2021,8,10
Alabama,Dec 20 2021,12,9
Alabama,Dec 19 2021,11,9
Alabama,Dec 18 2021,12,9
Alabama,Dec 17 2021,10,9
Alabama,Dec 16 2021,8,8
Alabama,Dec 15 2021,9,8
