Data Table for Daily Death Trends - Arizona
Date generated: Mon Jul 25 2022 09:22:50 GMT-0400 (Eastern Daylight Time)
State,Date,New Deaths,7-Day Moving Avg
Arizona,Jul 21 2022,0,9
Arizona,Jul 20 2022,66,9
Arizona,Jul 19 2022,0,8
Arizona,Jul 18 2022,0,8
Arizona,Jul 17 2022,0,8
Arizona,Jul 16 2022,0,8
Arizona,Jul 15 2022,0,8
Arizona,Jul 14 2022,0,8
Arizona,Jul 13 2022,60,8
Arizona,Jul 12 2022,0,8
Arizona,Jul 11 2022,0,8
Arizona,Jul 10 2022,0,8
Arizona,Jul  9 2022,0,8
Arizona,Jul  8 2022,0,8
Arizona,Jul  7 2022,0,8
Arizona,Jul  6 2022,57,8
Arizona,Jul  5 2022,0,9
Arizona,Jul  4 2022,0,9
Arizona,Jul  3 2022,0,9
Arizona,Jul  2 2022,0,9
Arizona,Jul  1 2022,0,9
Arizona,Jun 30 2022,0,9
Arizona,Jun 29 2022,63,9
Arizona,Jun 28 2022,0,7
Arizona,Jun 27 2022,0,7
Arizona,Jun 26 2022,0,7
Arizona,Jun 25 2022,0,7
Arizona,Jun 24 2022,0,7
Arizona,Jun 23 2022,0,7
Arizona,Jun 22 2022,52,7
Arizona,Jun 21 2022,0,4
Arizona,Jun 20 2022,0,4
Arizona,Jun 19 2022,0,4
Arizona,Jun 18 2022,0,4
Arizona,Jun 17 2022,0,4
Arizona,Jun 16 2022,0,4
Arizona,Jun 15 2022,28,4
Arizona,Jun 14 2022,0,5
Arizona,Jun 13 2022,0,5
Arizona,Jun 12 2022,0,5
Arizona,Jun 11 2022,0,5
Arizona,Jun 10 2022,0,5
Arizona,Jun  9 2022,0,5
Arizona,Jun  8 2022,40,5
Arizona,Jun  7 2022,0,4
Arizona,Jun  6 2022,0,4
Arizona,Jun  5 2022,0,4
Arizona,Jun  4 2022,0,4
Arizona,Jun  3 2022,0,4
Arizona,Jun  2 2022,0,4
Arizona,Jun  1 2022,33,4
Arizona,May 31 2022,0,5
Arizona,May 30 2022,0,5
Arizona,May 29 2022,0,5
Arizona,May 28 2022,0,5
Arizona,May 27 2022,0,5
Arizona,May 26 2022,0,5
Arizona,May 25 2022,40,5
Arizona,May 24 2022,0,4
Arizona,May 23 2022,0,4
Arizona,May 22 2022,0,4
Arizona,May 21 2022,0,4
Arizona,May 20 2022,0,4
Arizona,May 19 2022,0,4
Arizona,May 18 2022,29,4
Arizona,May 17 2022,0,5
Arizona,May 16 2022,0,5
Arizona,May 15 2022,0,5
Arizona,May 14 2022,0,5
Arizona,May 13 2022,0,5
Arizona,May 12 2022,0,5
Arizona,May 11 2022,41,5
Arizona,May 10 2022,0,34
Arizona,May  9 2022,0,34
Arizona,May  8 2022,0,34
Arizona,May  7 2022,0,34
Arizona,May  6 2022,0,34
Arizona,May  5 2022,0,34
Arizona,May  4 2022,238,34
Arizona,May  3 2022,0,14
Arizona,May  2 2022,0,14
Arizona,May  1 2022,0,14
Arizona,Apr 30 2022,0,14
Arizona,Apr 29 2022,0,14
Arizona,Apr 28 2022,0,14
Arizona,Apr 27 2022,99,14
Arizona,Apr 26 2022,0,4
Arizona,Apr 25 2022,0,4
Arizona,Apr 24 2022,0,4
