Data Table for Daily Death Trends - Arkansas
Date generated: Mon Jul 25 2022 09:23:01 GMT-0400 (Eastern Daylight Time)
State,Date,New Deaths,7-Day Moving Avg
Arkansas,Jul 21 2022,6,5
Arkansas,Jul 20 2022,11,4
Arkansas,Jul 19 2022,8,4
Arkansas,Jul 18 2022,2,3
Arkansas,Jul 17 2022,0,3
Arkansas,Jul 16 2022,4,3
Arkansas,Jul 15 2022,5,3
Arkansas,Jul 14 2022,4,3
Arkansas,Jul 13 2022,10,3
Arkansas,Jul 12 2022,2,3
Arkansas,Jul 11 2022,0,2
Arkansas,Jul 10 2022,0,2
Arkansas,Jul  9 2022,0,2
Arkansas,Jul  8 2022,8,3
Arkansas,Jul  7 2022,4,2
Arkansas,Jul  6 2022,7,2
Arkansas,Jul  5 2022,0,2
Arkansas,Jul  4 2022,0,3
Arkansas,Jul  3 2022,0,3
Arkansas,Jul  2 2022,4,3
Arkansas,Jul  1 2022,4,3
Arkansas,Jun 30 2022,1,3
Arkansas,Jun 29 2022,6,4
Arkansas,Jun 28 2022,6,3
Arkansas,Jun 27 2022,0,4
Arkansas,Jun 26 2022,0,4
Arkansas,Jun 25 2022,4,5
Arkansas,Jun 24 2022,5,4
Arkansas,Jun 23 2022,7,3
Arkansas,Jun 22 2022,2,3
Arkansas,Jun 21 2022,10,3
Arkansas,Jun 20 2022,0,2
Arkansas,Jun 19 2022,7,2
Arkansas,Jun 18 2022,0,2
Arkansas,Jun 17 2022,0,3
Arkansas,Jun 16 2022,5,3
Arkansas,Jun 15 2022,1,2
Arkansas,Jun 14 2022,1,2
Arkansas,Jun 13 2022,0,3
Arkansas,Jun 12 2022,9,4
Arkansas,Jun 11 2022,5,2
Arkansas,Jun 10 2022,0,2
Arkansas,Jun  9 2022,1,2
Arkansas,Jun  8 2022,3,3
Arkansas,Jun  7 2022,3,3
Arkansas,Jun  6 2022,7,3
Arkansas,Jun  5 2022,0,2
Arkansas,Jun  4 2022,0,2
Arkansas,Jun  3 2022,6,3
Arkansas,Jun  2 2022,4,3
Arkansas,Jun  1 2022,4,3
Arkansas,May 31 2022,0,4
Arkansas,May 30 2022,3,5
Arkansas,May 29 2022,3,5
Arkansas,May 28 2022,7,5
Arkansas,May 27 2022,3,5
Arkansas,May 26 2022,7,6
Arkansas,May 25 2022,10,5
Arkansas,May 24 2022,5,4
Arkansas,May 23 2022,1,4
Arkansas,May 22 2022,7,4
Arkansas,May 21 2022,6,3
Arkansas,May 20 2022,6,2
Arkansas,May 19 2022,0,1
Arkansas,May 18 2022,8,2
Arkansas,May 17 2022,0,1
Arkansas,May 16 2022,2,1
Arkansas,May 15 2022,1,1
Arkansas,May 14 2022,0,1
Arkansas,May 13 2022,0,1
Arkansas,May 12 2022,5,1
Arkansas,May 11 2022,1,1
Arkansas,May 10 2022,0,1
Arkansas,May  9 2022,1,2
Arkansas,May  8 2022,1,2
Arkansas,May  7 2022,3,2
Arkansas,May  6 2022,1,2
Arkansas,May  5 2022,0,3
Arkansas,May  4 2022,5,3
Arkansas,May  3 2022,4,3
Arkansas,May  2 2022,2,3
Arkansas,May  1 2022,3,3
Arkansas,Apr 30 2022,4,2
Arkansas,Apr 29 2022,4,2
Arkansas,Apr 28 2022,4,2
Arkansas,Apr 27 2022,2,2
Arkansas,Apr 26 2022,2,3
Arkansas,Apr 25 2022,2,2
Arkansas,Apr 24 2022,2,3
Arkansas,Apr 23 2022,0,4
Arkansas,Apr 22 2022,3,4
Arkansas,Apr 21 2022,6,4
Arkansas,Apr 20 2022,6,5
Arkansas,Apr 19 2022,0,5
Arkansas,Apr 18 2022,6,5
Arkansas,Apr 17 2022,9,5
Arkansas,Apr 16 2022,3,4
Arkansas,Apr 15 2022,4,5
Arkansas,Apr 14 2022,7,4
Arkansas,Apr 13 2022,9,4
Arkansas,Apr 12 2022,3,3
Arkansas,Apr 11 2022,5,4
Arkansas,Apr 10 2022,3,6
Arkansas,Apr  9 2022,4,7
Arkansas,Apr  8 2022,0,9
Arkansas,Apr  7 2022,5,10
Arkansas,Apr  6 2022,6,11
Arkansas,Apr  5 2022,10,11
Arkansas,Apr  4 2022,15,9
Arkansas,Apr  3 2022,14,7
Arkansas,Apr  2 2022,14,6
Arkansas,Apr  1 2022,7,4
Arkansas,Mar 31 2022,12,9
Arkansas,Mar 30 2022,7,9
Arkansas,Mar 29 2022,0,12
Arkansas,Mar 28 2022,1,13
Arkansas,Mar 27 2022,1,15
Arkansas,Mar 26 2022,6,18
Arkansas,Mar 25 2022,38,21
Arkansas,Mar 24 2022,13,19
Arkansas,Mar 23 2022,25,21
Arkansas,Mar 22 2022,13,22
Arkansas,Mar 21 2022,14,23
Arkansas,Mar 20 2022,22,25
