Data Table for Daily Death Trends - California
Date generated: Mon Jul 25 2022 09:23:11 GMT-0400 (Eastern Daylight Time)
State,Date,New Deaths,7-Day Moving Avg
California,Jul 21 2022,0,33
California,Jul 20 2022,0,33
California,Jul 19 2022,107,33
California,Jul 18 2022,0,36
California,Jul 17 2022,0,36
California,Jul 16 2022,0,36
California,Jul 15 2022,130,36
California,Jul 14 2022,0,37
California,Jul 13 2022,0,37
California,Jul 12 2022,125,37
California,Jul 11 2022,0,32
California,Jul 10 2022,0,32
California,Jul  9 2022,0,32
California,Jul  8 2022,135,32
California,Jul  7 2022,0,39
California,Jul  6 2022,0,39
California,Jul  5 2022,94,39
California,Jul  4 2022,0,40
California,Jul  3 2022,0,40
California,Jul  2 2022,0,40
California,Jul  1 2022,185,40
California,Jun 30 2022,0,28
California,Jun 29 2022,0,28
California,Jun 28 2022,96,28
California,Jun 27 2022,0,25
California,Jun 26 2022,0,25
California,Jun 25 2022,0,25
California,Jun 24 2022,106,25
California,Jun 23 2022,0,29
California,Jun 22 2022,0,29
California,Jun 21 2022,74,29
California,Jun 20 2022,0,33
California,Jun 19 2022,0,33
California,Jun 18 2022,0,33
California,Jun 17 2022,133,33
California,Jun 16 2022,0,30
California,Jun 15 2022,0,30
California,Jun 14 2022,101,30
California,Jun 13 2022,0,27
California,Jun 12 2022,0,27
California,Jun 11 2022,0,27
California,Jun 10 2022,114,27
California,Jun  9 2022,0,24
California,Jun  8 2022,0,24
California,Jun  7 2022,77,24
California,Jun  6 2022,0,29
California,Jun  5 2022,0,29
California,Jun  4 2022,0,29
California,Jun  3 2022,96,29
California,Jun  2 2022,0,33
California,Jun  1 2022,0,33
California,May 31 2022,107,33
California,May 30 2022,0,32
California,May 29 2022,0,32
California,May 28 2022,0,32
California,May 27 2022,124,32
California,May 26 2022,0,38
California,May 25 2022,0,38
California,May 24 2022,106,38
California,May 23 2022,0,37
California,May 22 2022,0,37
California,May 21 2022,0,37
California,May 20 2022,163,37
California,May 19 2022,0,37
California,May 18 2022,0,37
California,May 17 2022,102,37
California,May 16 2022,0,38
California,May 15 2022,0,38
California,May 14 2022,0,38
California,May 13 2022,160,38
California,May 12 2022,0,37
California,May 11 2022,0,37
California,May 10 2022,106,37
California,May  9 2022,0,38
California,May  8 2022,0,38
California,May  7 2022,0,38
California,May  6 2022,157,38
California,May  5 2022,0,43
California,May  4 2022,0,43
California,May  3 2022,112,43
California,May  2 2022,0,46
California,May  1 2022,0,46
California,Apr 30 2022,0,46
California,Apr 29 2022,191,46
California,Apr 28 2022,0,48
California,Apr 27 2022,0,48
California,Apr 26 2022,136,48
California,Apr 25 2022,0,49
California,Apr 24 2022,0,49
California,Apr 23 2022,0,49
California,Apr 22 2022,201,49
California,Apr 21 2022,0,43
California,Apr 20 2022,0,71
California,Apr 19 2022,147,71
California,Apr 18 2022,0,50
California,Apr 17 2022,0,50
California,Apr 16 2022,0,50
California,Apr 15 2022,159,50
California,Apr 14 2022,191,56
California,Apr 13 2022,0,28
California,Apr 12 2022,0,28
California,Apr 11 2022,0,50
California,Apr 10 2022,0,50
California,Apr  9 2022,0,50
California,Apr  8 2022,202,50
California,Apr  7 2022,0,34
California,Apr  6 2022,0,44
California,Apr  5 2022,148,57
California,Apr  4 2022,0,36
California,Apr  3 2022,0,56
California,Apr  2 2022,0,56
California,Apr  1 2022,92,56
California,Mar 31 2022,72,59
California,Mar 30 2022,87,64
California,Mar 29 2022,2,65
California,Mar 28 2022,145,67
California,Mar 27 2022,0,87
California,Mar 26 2022,0,87
California,Mar 25 2022,107,87
California,Mar 24 2022,112,93
California,Mar 23 2022,92,94
California,Mar 22 2022,13,100
California,Mar 21 2022,291,99
California,Mar 20 2022,0,115
California,Mar 19 2022,0,115
California,Mar 18 2022,149,115
California,Mar 17 2022,118,123
California,Mar 16 2022,135,129
California,Mar 15 2022,0,134
