Data Table for Daily Death Trends - Colorado
Date generated: Mon Jul 25 2022 09:23:21 GMT-0400 (Eastern Daylight Time)
State,Date,New Deaths,7-Day Moving Avg
Colorado,Jul 21 2022,15,8
Colorado,Jul 20 2022,5,7
Colorado,Jul 19 2022,8,9
Colorado,Jul 18 2022,22,9
Colorado,Jul 17 2022,0,6
Colorado,Jul 16 2022,0,6
Colorado,Jul 15 2022,10,6
Colorado,Jul 14 2022,9,7
Colorado,Jul 13 2022,14,12
Colorado,Jul 12 2022,12,11
Colorado,Jul 11 2022,3,9
Colorado,Jul 10 2022,0,9
Colorado,Jul  9 2022,0,9
Colorado,Jul  8 2022,14,9
Colorado,Jul  7 2022,42,7
Colorado,Jul  6 2022,6,2
Colorado,Jul  5 2022,0,3
Colorado,Jul  4 2022,4,4
Colorado,Jul  3 2022,0,5
Colorado,Jul  2 2022,0,5
Colorado,Jul  1 2022,2,5
Colorado,Jun 30 2022,5,6
Colorado,Jun 29 2022,13,8
Colorado,Jun 28 2022,8,9
Colorado,Jun 27 2022,9,9
Colorado,Jun 26 2022,0,8
Colorado,Jun 25 2022,0,8
Colorado,Jun 24 2022,11,8
Colorado,Jun 23 2022,21,9
Colorado,Jun 22 2022,20,8
Colorado,Jun 21 2022,2,6
Colorado,Jun 20 2022,4,7
Colorado,Jun 19 2022,0,7
Colorado,Jun 18 2022,0,7
Colorado,Jun 17 2022,17,7
Colorado,Jun 16 2022,14,7
Colorado,Jun 15 2022,7,6
Colorado,Jun 14 2022,8,7
Colorado,Jun 13 2022,7,8
Colorado,Jun 12 2022,0,8
Colorado,Jun 11 2022,0,8
Colorado,Jun 10 2022,14,8
Colorado,Jun  9 2022,12,7
Colorado,Jun  8 2022,11,7
Colorado,Jun  7 2022,16,5
Colorado,Jun  6 2022,5,3
Colorado,Jun  5 2022,0,3
Colorado,Jun  4 2022,0,3
Colorado,Jun  3 2022,10,3
Colorado,Jun  2 2022,9,6
Colorado,Jun  1 2022,0,5
Colorado,May 31 2022,2,5
Colorado,May 30 2022,0,6
Colorado,May 29 2022,0,6
Colorado,May 28 2022,0,6
Colorado,May 27 2022,34,6
Colorado,May 26 2022,0,1
Colorado,May 25 2022,0,1
Colorado,May 24 2022,8,2
Colorado,May 23 2022,0,1
Colorado,May 22 2022,0,1
Colorado,May 21 2022,0,1
Colorado,May 20 2022,4,1
Colorado,May 19 2022,0,2
Colorado,May 18 2022,4,2
Colorado,May 17 2022,0,3
Colorado,May 16 2022,5,4
Colorado,May 15 2022,0,4
Colorado,May 14 2022,0,4
Colorado,May 13 2022,5,4
Colorado,May 12 2022,5,3
Colorado,May 11 2022,6,5
Colorado,May 10 2022,8,5
Colorado,May  9 2022,8,48
Colorado,May  8 2022,0,47
Colorado,May  7 2022,0,47
Colorado,May  6 2022,0,47
Colorado,May  5 2022,18,48
Colorado,May  4 2022,3,45
Colorado,May  3 2022,307,45
Colorado,May  2 2022,3,3
Colorado,May  1 2022,0,7
Colorado,Apr 30 2022,0,7
Colorado,Apr 29 2022,7,7
Colorado,Apr 28 2022,1,11
Colorado,Apr 27 2022,1,16
Colorado,Apr 26 2022,13,15
Colorado,Apr 25 2022,28,15
Colorado,Apr 24 2022,0,11
Colorado,Apr 23 2022,0,11
Colorado,Apr 22 2022,39,11
Colorado,Apr 21 2022,31,9
Colorado,Apr 20 2022,0,5
Colorado,Apr 19 2022,7,6
Colorado,Apr 18 2022,6,9
Colorado,Apr 17 2022,0,9
Colorado,Apr 16 2022,0,9
Colorado,Apr 15 2022,22,9
Colorado,Apr 14 2022,0,7
Colorado,Apr 13 2022,12,7
Colorado,Apr 12 2022,24,5
Colorado,Apr 11 2022,11,3
Colorado,Apr 10 2022,0,1
Colorado,Apr  9 2022,0,1
Colorado,Apr  8 2022,4,1
Colorado,Apr  7 2022,0,1
Colorado,Apr  6 2022,2,2
Colorado,Apr  5 2022,4,2
Colorado,Apr  4 2022,0,1
Colorado,Apr  3 2022,0,3
Colorado,Apr  2 2022,0,3
Colorado,Apr  1 2022,3,3
Colorado,Mar 31 2022,6,4
Colorado,Mar 30 2022,2,3
Colorado,Mar 29 2022,0,4
Colorado,Mar 28 2022,15,11
Colorado,Mar 27 2022,0,9
Colorado,Mar 26 2022,0,9
Colorado,Mar 25 2022,5,9
Colorado,Mar 24 2022,4,8
Colorado,Mar 23 2022,9,10
Colorado,Mar 22 2022,46,9
Colorado,Mar 21 2022,0,3
Colorado,Mar 20 2022,0,6
Colorado,Mar 19 2022,0,6
Colorado,Mar 18 2022,0,6
Colorado,Mar 17 2022,15,6
Colorado,Mar 16 2022,2,5
Colorado,Mar 15 2022,10,6
Colorado,Mar 14 2022,21,5
Colorado,Mar 13 2022,0,4
Colorado,Mar 12 2022,0,4
Colorado,Mar 11 2022,0,4
Colorado,Mar 10 2022,5,4
Colorado,Mar  9 2022,6,4
Colorado,Mar  8 2022,3,5
Colorado,Mar  7 2022,16,7
Colorado,Mar  6 2022,0,8
Colorado,Mar  5 2022,0,8
Colorado,Mar  4 2022,1,8
Colorado,Mar  3 2022,8,8
Colorado,Mar  2 2022,7,10
Colorado,Mar  1 2022,22,12
Colorado,Feb 28 2022,20,13
Colorado,Feb 27 2022,0,10
Colorado,Feb 26 2022,0,10
Colorado,Feb 25 2022,2,10
Colorado,Feb 24 2022,21,13
Colorado,Feb 23 2022,24,10
Colorado,Feb 22 2022,24,7
Colorado,Feb 21 2022,0,6
Colorado,Feb 20 2022,0,11
Colorado,Feb 19 2022,0,11
Colorado,Feb 18 2022,22,11
Colorado,Feb 17 2022,0,10
Colorado,Feb 16 2022,9,17
Colorado,Feb 15 2022,16,33
Colorado,Feb 14 2022,33,32
Colorado,Feb 13 2022,0,57
Colorado,Feb 12 2022,0,57
Colorado,Feb 11 2022,18,57
Colorado,Feb 10 2022,45,55
Colorado,Feb  9 2022,122,51
Colorado,Feb  8 2022,12,36
Colorado,Feb  7 2022,202,41
Colorado,Feb  6 2022,0,20
Colorado,Feb  5 2022,0,20
Colorado,Feb  4 2022,8,20
Colorado,Feb  3 2022,16,27
Colorado,Feb  2 2022,14,32
Colorado,Feb  1 2022,49,33
Colorado,Jan 31 2022,54,38
Colorado,Jan 30 2022,0,37
Colorado,Jan 29 2022,0,37
Colorado,Jan 28 2022,56,37
Colorado,Jan 27 2022,52,33
Colorado,Jan 26 2022,20,32
Colorado,Jan 25 2022,86,38
Colorado,Jan 24 2022,48,26
Colorado,Jan 23 2022,0,26
Colorado,Jan 22 2022,0,26
Colorado,Jan 21 2022,31,26
Colorado,Jan 20 2022,42,26
Colorado,Jan 19 2022,64,24
Colorado,Jan 18 2022,3,19
Colorado,Jan 17 2022,43,27
Colorado,Jan 16 2022,0,27
Colorado,Jan 15 2022,0,27
Colorado,Jan 14 2022,34,27
Colorado,Jan 13 2022,30,25
Colorado,Jan 12 2022,24,28
Colorado,Jan 11 2022,62,27
Colorado,Jan 10 2022,41,24
Colorado,Jan  9 2022,0,22
Colorado,Jan  8 2022,0,22
Colorado,Jan  7 2022,23,22
Colorado,Jan  6 2022,48,23
Colorado,Jan  5 2022,19,22
Colorado,Jan  4 2022,42,23
Colorado,Jan  3 2022,22,30
Colorado,Jan  2 2022,0,28
Colorado,Jan  1 2022,0,28
Colorado,Dec 31 2021,31,28
Colorado,Dec 30 2021,42,26
Colorado,Dec 29 2021,29,22
Colorado,Dec 28 2021,92,23
Colorado,Dec 27 2021,3,22
Colorado,Dec 26 2021,0,30
Colorado,Dec 25 2021,0,30
Colorado,Dec 24 2021,22,30
Colorado,Dec 23 2021,14,30
Colorado,Dec 22 2021,34,37
Colorado,Dec 21 2021,86,37
Colorado,Dec 20 2021,56,35
Colorado,Dec 19 2021,0,33
Colorado,Dec 18 2021,0,33
Colorado,Dec 17 2021,21,33
Colorado,Dec 16 2021,62,41
Colorado,Dec 15 2021,39,40
Colorado,Dec 14 2021,70,39
Colorado,Dec 13 2021,43,41
Colorado,Dec 12 2021,0,40
Colorado,Dec 11 2021,0,40
Colorado,Dec 10 2021,73,40
Colorado,Dec  9 2021,59,31
Colorado,Dec  8 2021,30,31
Colorado,Dec  7 2021,85,38
Colorado,Dec  6 2021,36,32
Colorado,Dec  5 2021,0,34
Colorado,Dec  4 2021,0,34
Colorado,Dec  3 2021,7,34
Colorado,Dec  2 2021,61,36
Colorado,Dec  1 2021,83,30
Colorado,Nov 30 2021,42,25
Colorado,Nov 29 2021,51,28
Colorado,Nov 28 2021,0,31
Colorado,Nov 27 2021,0,31
Colorado,Nov 26 2021,19,31
Colorado,Nov 25 2021,17,35
Colorado,Nov 24 2021,52,40
Colorado,Nov 23 2021,61,36
Colorado,Nov 22 2021,73,35
Colorado,Nov 21 2021,0,36
Colorado,Nov 20 2021,0,36
Colorado,Nov 19 2021,44,36
Colorado,Nov 18 2021,51,35
Colorado,Nov 17 2021,26,33
Colorado,Nov 16 2021,56,33
Colorado,Nov 15 2021,81,28
Colorado,Nov 14 2021,0,30
Colorado,Nov 13 2021,0,30
Colorado,Nov 12 2021,36,30
Colorado,Nov 11 2021,33,32
Colorado,Nov 10 2021,31,34
Colorado,Nov  9 2021,21,32
Colorado,Nov  8 2021,92,34
Colorado,Nov  7 2021,0,31
Colorado,Nov  6 2021,0,31
Colorado,Nov  5 2021,48,31
Colorado,Nov  4 2021,51,28
Colorado,Nov  3 2021,16,25
Colorado,Nov  2 2021,34,26
Colorado,Nov  1 2021,72,24
Colorado,Oct 31 2021,0,22
Colorado,Oct 30 2021,0,22
Colorado,Oct 29 2021,23,22
Colorado,Oct 28 2021,32,24
Colorado,Oct 27 2021,23,22
Colorado,Oct 26 2021,22,22
Colorado,Oct 25 2021,57,24
Colorado,Oct 24 2021,0,18
Colorado,Oct 23 2021,0,21
Colorado,Oct 22 2021,35,23
Colorado,Oct 21 2021,23,22
Colorado,Oct 20 2021,22,20
Colorado,Oct 19 2021,32,22
Colorado,Oct 18 2021,19,21
Colorado,Oct 17 2021,17,20
Colorado,Oct 16 2021,17,19
