Data Table for Daily Death Trends - Connecticut
Date generated: Mon Jul 25 2022 09:23:34 GMT-0400 (Eastern Daylight Time)
State,Date,New Deaths,7-Day Moving Avg
Connecticut,Jul 21 2022,1,1
Connecticut,Jul 20 2022,1,1
Connecticut,Jul 19 2022,7,2
Connecticut,Jul 18 2022,0,4
Connecticut,Jul 17 2022,0,4
Connecticut,Jul 16 2022,0,4
Connecticut,Jul 15 2022,0,4
Connecticut,Jul 14 2022,2,4
Connecticut,Jul 13 2022,5,4
Connecticut,Jul 12 2022,23,4
Connecticut,Jul 11 2022,1,1
Connecticut,Jul 10 2022,0,1
Connecticut,Jul  9 2022,0,1
Connecticut,Jul  8 2022,0,1
Connecticut,Jul  7 2022,4,1
Connecticut,Jul  6 2022,6,0
Connecticut,Jul  5 2022,0,1
Connecticut,Jul  4 2022,0,1
Connecticut,Jul  3 2022,0,1
Connecticut,Jul  2 2022,0,1
Connecticut,Jul  1 2022,0,1
Connecticut,Jun 30 2022,0,1
Connecticut,Jun 29 2022,11,1
Connecticut,Jun 28 2022,0,0
Connecticut,Jun 27 2022,0,2
Connecticut,Jun 26 2022,0,2
Connecticut,Jun 25 2022,0,2
Connecticut,Jun 24 2022,0,2
Connecticut,Jun 23 2022,1,2
Connecticut,Jun 22 2022,1,2
Connecticut,Jun 21 2022,17,2
Connecticut,Jun 20 2022,0,2
Connecticut,Jun 19 2022,0,2
Connecticut,Jun 18 2022,0,2
Connecticut,Jun 17 2022,0,2
Connecticut,Jun 16 2022,0,2
Connecticut,Jun 15 2022,0,2
Connecticut,Jun 14 2022,15,2
Connecticut,Jun 13 2022,0,4
Connecticut,Jun 12 2022,0,4
Connecticut,Jun 11 2022,0,4
Connecticut,Jun 10 2022,1,4
Connecticut,Jun  9 2022,0,4
Connecticut,Jun  8 2022,2,4
Connecticut,Jun  7 2022,27,8
Connecticut,Jun  6 2022,0,4
Connecticut,Jun  5 2022,0,4
Connecticut,Jun  4 2022,0,4
Connecticut,Jun  3 2022,1,4
Connecticut,Jun  2 2022,0,4
Connecticut,Jun  1 2022,32,5
Connecticut,May 31 2022,0,0
Connecticut,May 30 2022,0,2
Connecticut,May 29 2022,0,2
Connecticut,May 28 2022,0,2
Connecticut,May 27 2022,0,2
Connecticut,May 26 2022,5,2
Connecticut,May 25 2022,0,2
Connecticut,May 24 2022,11,2
Connecticut,May 23 2022,0,1
Connecticut,May 22 2022,0,1
Connecticut,May 21 2022,0,1
Connecticut,May 20 2022,4,1
Connecticut,May 19 2022,0,5
Connecticut,May 18 2022,0,5
Connecticut,May 17 2022,8,5
Connecticut,May 16 2022,0,5
Connecticut,May 15 2022,0,5
Connecticut,May 14 2022,0,5
Connecticut,May 13 2022,31,5
Connecticut,May 12 2022,0,3
Connecticut,May 11 2022,0,3
Connecticut,May 10 2022,8,4
Connecticut,May  9 2022,1,3
Connecticut,May  8 2022,0,3
Connecticut,May  7 2022,0,3
Connecticut,May  6 2022,16,3
Connecticut,May  5 2022,0,2
Connecticut,May  4 2022,3,2
Connecticut,May  3 2022,4,2
Connecticut,May  2 2022,1,2
Connecticut,May  1 2022,0,2
Connecticut,Apr 30 2022,0,2
Connecticut,Apr 29 2022,10,2
Connecticut,Apr 28 2022,2,2
Connecticut,Apr 27 2022,0,1
Connecticut,Apr 26 2022,4,3
Connecticut,Apr 25 2022,0,3
Connecticut,Apr 24 2022,0,3
Connecticut,Apr 23 2022,0,3
Connecticut,Apr 22 2022,8,3
Connecticut,Apr 21 2022,1,2
Connecticut,Apr 20 2022,12,2
Connecticut,Apr 19 2022,0,0
Connecticut,Apr 18 2022,0,1
Connecticut,Apr 17 2022,0,1
Connecticut,Apr 16 2022,0,1
Connecticut,Apr 15 2022,4,1
Connecticut,Apr 14 2022,0,2
Connecticut,Apr 13 2022,1,2
Connecticut,Apr 12 2022,6,2
Connecticut,Apr 11 2022,1,3
Connecticut,Apr 10 2022,0,3
Connecticut,Apr  9 2022,0,3
Connecticut,Apr  8 2022,6,3
Connecticut,Apr  7 2022,0,2
Connecticut,Apr  6 2022,2,2
Connecticut,Apr  5 2022,14,2
Connecticut,Apr  4 2022,0,3
Connecticut,Apr  3 2022,0,3
Connecticut,Apr  2 2022,0,3
Connecticut,Apr  1 2022,3,3
Connecticut,Mar 31 2022,0,5
Connecticut,Mar 30 2022,0,5
Connecticut,Mar 29 2022,20,5
Connecticut,Mar 28 2022,0,5
Connecticut,Mar 27 2022,0,6
Connecticut,Mar 26 2022,0,6
Connecticut,Mar 25 2022,15,6
Connecticut,Mar 24 2022,4,9
Connecticut,Mar 23 2022,0,9
Connecticut,Mar 22 2022,19,9
Connecticut,Mar 21 2022,6,9
Connecticut,Mar 20 2022,0,9
Connecticut,Mar 19 2022,0,9
Connecticut,Mar 18 2022,40,9
Connecticut,Mar 17 2022,0,8
Connecticut,Mar 16 2022,2,9
Connecticut,Mar 15 2022,20,12
Connecticut,Mar 14 2022,7,16
Connecticut,Mar 13 2022,0,15
Connecticut,Mar 12 2022,0,15
Connecticut,Mar 11 2022,33,15
Connecticut,Mar 10 2022,6,14
Connecticut,Mar  9 2022,18,14
Connecticut,Mar  8 2022,49,17
Connecticut,Mar  7 2022,0,10
Connecticut,Mar  6 2022,0,11
Connecticut,Mar  5 2022,0,11
Connecticut,Mar  4 2022,28,11
Connecticut,Mar  3 2022,3,10
Connecticut,Mar  2 2022,41,10
Connecticut,Mar  1 2022,1,13
Connecticut,Feb 28 2022,5,13
Connecticut,Feb 27 2022,0,15
Connecticut,Feb 26 2022,0,15
Connecticut,Feb 25 2022,22,15
Connecticut,Feb 24 2022,5,17
Connecticut,Feb 23 2022,64,17
Connecticut,Feb 22 2022,0,8
Connecticut,Feb 21 2022,17,16
Connecticut,Feb 20 2022,0,14
Connecticut,Feb 19 2022,0,14
Connecticut,Feb 18 2022,33,14
Connecticut,Feb 17 2022,6,15
Connecticut,Feb 16 2022,0,15
Connecticut,Feb 15 2022,60,23
Connecticut,Feb 14 2022,0,14
Connecticut,Feb 13 2022,0,14
Connecticut,Feb 12 2022,0,14
Connecticut,Feb 11 2022,41,14
Connecticut,Feb 10 2022,5,19
Connecticut,Feb  9 2022,56,18
Connecticut,Feb  8 2022,0,11
Connecticut,Feb  7 2022,0,21
Connecticut,Feb  6 2022,0,24
Connecticut,Feb  5 2022,0,24
Connecticut,Feb  4 2022,76,24
Connecticut,Feb  3 2022,0,25
Connecticut,Feb  2 2022,7,26
Connecticut,Feb  1 2022,66,43
Connecticut,Jan 31 2022,25,33
Connecticut,Jan 30 2022,0,31
Connecticut,Jan 29 2022,0,31
Connecticut,Jan 28 2022,77,31
Connecticut,Jan 27 2022,7,32
Connecticut,Jan 26 2022,128,33
Connecticut,Jan 25 2022,0,30
Connecticut,Jan 24 2022,5,31
Connecticut,Jan 23 2022,0,30
Connecticut,Jan 22 2022,0,30
Connecticut,Jan 21 2022,86,30
Connecticut,Jan 20 2022,13,34
Connecticut,Jan 19 2022,106,32
Connecticut,Jan 18 2022,10,18
Connecticut,Jan 17 2022,0,25
Connecticut,Jan 16 2022,0,25
Connecticut,Jan 15 2022,0,25
Connecticut,Jan 14 2022,114,25
Connecticut,Jan 13 2022,0,23
Connecticut,Jan 12 2022,7,23
Connecticut,Jan 11 2022,58,23
Connecticut,Jan 10 2022,0,23
Connecticut,Jan  9 2022,0,31
Connecticut,Jan  8 2022,0,31
Connecticut,Jan  7 2022,96,31
Connecticut,Jan  6 2022,0,17
Connecticut,Jan  5 2022,7,17
Connecticut,Jan  4 2022,64,17
Connecticut,Jan  3 2022,50,15
Connecticut,Jan  2 2022,0,12
Connecticut,Jan  1 2022,0,12
Connecticut,Dec 31 2021,0,12
Connecticut,Dec 30 2021,0,12
Connecticut,Dec 29 2021,5,12
Connecticut,Dec 28 2021,53,11
Connecticut,Dec 27 2021,26,8
Connecticut,Dec 26 2021,0,10
Connecticut,Dec 25 2021,0,10
Connecticut,Dec 24 2021,0,10
Connecticut,Dec 23 2021,0,10
Connecticut,Dec 22 2021,2,10
Connecticut,Dec 21 2021,34,10
Connecticut,Dec 20 2021,40,10
Connecticut,Dec 19 2021,0,4
Connecticut,Dec 18 2021,0,4
Connecticut,Dec 17 2021,0,4
Connecticut,Dec 16 2021,0,8
Connecticut,Dec 15 2021,2,8
Connecticut,Dec 14 2021,28,7
Connecticut,Dec 13 2021,0,6
Connecticut,Dec 12 2021,0,6
Connecticut,Dec 11 2021,0,6
Connecticut,Dec 10 2021,26,6
Connecticut,Dec  9 2021,0,5
Connecticut,Dec  8 2021,1,5
Connecticut,Dec  7 2021,20,5
Connecticut,Dec  6 2021,0,8
Connecticut,Dec  5 2021,0,8
Connecticut,Dec  4 2021,0,8
Connecticut,Dec  3 2021,16,8
Connecticut,Dec  2 2021,0,6
Connecticut,Dec  1 2021,4,6
Connecticut,Nov 30 2021,41,7
Connecticut,Nov 29 2021,0,1
Connecticut,Nov 28 2021,0,2
Connecticut,Nov 27 2021,0,2
Connecticut,Nov 26 2021,0,2
Connecticut,Nov 25 2021,0,4
Connecticut,Nov 24 2021,12,4
Connecticut,Nov 23 2021,0,3
Connecticut,Nov 22 2021,3,3
Connecticut,Nov 21 2021,0,5
Connecticut,Nov 20 2021,0,5
Connecticut,Nov 19 2021,16,5
Connecticut,Nov 18 2021,0,3
Connecticut,Nov 17 2021,8,3
Connecticut,Nov 16 2021,0,2
Connecticut,Nov 15 2021,17,5
Connecticut,Nov 14 2021,0,2
Connecticut,Nov 13 2021,0,2
Connecticut,Nov 12 2021,0,2
Connecticut,Nov 11 2021,0,4
Connecticut,Nov 10 2021,3,4
Connecticut,Nov  9 2021,16,4
Connecticut,Nov  8 2021,0,3
Connecticut,Nov  7 2021,0,3
Connecticut,Nov  6 2021,0,3
Connecticut,Nov  5 2021,14,3
Connecticut,Nov  4 2021,0,3
Connecticut,Nov  3 2021,0,3
Connecticut,Nov  2 2021,10,3
Connecticut,Nov  1 2021,2,4
Connecticut,Oct 31 2021,0,3
Connecticut,Oct 30 2021,0,3
Connecticut,Oct 29 2021,13,3
Connecticut,Oct 28 2021,0,4
Connecticut,Oct 27 2021,0,4
Connecticut,Oct 26 2021,13,4
Connecticut,Oct 25 2021,0,3
Connecticut,Oct 24 2021,0,3
Connecticut,Oct 23 2021,0,3
Connecticut,Oct 22 2021,18,3
Connecticut,Oct 21 2021,0,2
Connecticut,Oct 20 2021,0,2
Connecticut,Oct 19 2021,3,7
Connecticut,Oct 18 2021,0,7
Connecticut,Oct 17 2021,0,7
Connecticut,Oct 16 2021,0,7
Connecticut,Oct 15 2021,11,7
Connecticut,Oct 14 2021,2,5
Connecticut,Oct 13 2021,38,5
Connecticut,Oct 12 2021,0,0
Connecticut,Oct 11 2021,0,2
Connecticut,Oct 10 2021,0,2
Connecticut,Oct  9 2021,0,2
Connecticut,Oct  8 2021,0,2
Connecticut,Oct  7 2021,0,5
Connecticut,Oct  6 2021,1,5
Connecticut,Oct  5 2021,16,5
Connecticut,Oct  4 2021,0,8
Connecticut,Oct  3 2021,0,12
Connecticut,Oct  2 2021,0,17
Connecticut,Oct  1 2021,21,21
Connecticut,Sep 30 2021,0,20
Connecticut,Sep 29 2021,3,20
Connecticut,Sep 28 2021,33,21
