Data Table for Daily Death Trends - District of Columbia
Date generated: Mon Jul 25 2022 09:23:55 GMT-0400 (Eastern Daylight Time)
State,Date,New Deaths,7-Day Moving Avg
District of Columbia,Jul 21 2022,0,1
District of Columbia,Jul 20 2022,0,1
District of Columbia,Jul 19 2022,7,1
District of Columbia,Jul 18 2022,1,0
District of Columbia,Jul 17 2022,0,0
District of Columbia,Jul 16 2022,0,0
District of Columbia,Jul 15 2022,1,0
District of Columbia,Jul 14 2022,0,0
District of Columbia,Jul 13 2022,0,0
District of Columbia,Jul 12 2022,0,0
District of Columbia,Jul 11 2022,0,0
District of Columbia,Jul 10 2022,0,0
District of Columbia,Jul  9 2022,0,0
District of Columbia,Jul  8 2022,3,0
District of Columbia,Jul  7 2022,1,0
District of Columbia,Jul  6 2022,0,0
District of Columbia,Jul  5 2022,0,0
District of Columbia,Jul  4 2022,0,0
District of Columbia,Jul  3 2022,0,0
District of Columbia,Jul  2 2022,0,0
District of Columbia,Jul  1 2022,0,0
District of Columbia,Jun 30 2022,2,0
District of Columbia,Jun 29 2022,0,0
District of Columbia,Jun 28 2022,0,0
District of Columbia,Jun 27 2022,0,0
District of Columbia,Jun 26 2022,0,0
District of Columbia,Jun 25 2022,0,0
District of Columbia,Jun 24 2022,0,0
District of Columbia,Jun 23 2022,0,0
District of Columbia,Jun 22 2022,0,0
District of Columbia,Jun 21 2022,0,0
District of Columbia,Jun 20 2022,0,0
District of Columbia,Jun 19 2022,0,0
District of Columbia,Jun 18 2022,0,0
District of Columbia,Jun 17 2022,0,0
District of Columbia,Jun 16 2022,1,0
District of Columbia,Jun 15 2022,0,0
District of Columbia,Jun 14 2022,0,0
District of Columbia,Jun 13 2022,0,0
District of Columbia,Jun 12 2022,0,0
District of Columbia,Jun 11 2022,0,0
District of Columbia,Jun 10 2022,0,0
District of Columbia,Jun  9 2022,0,0
District of Columbia,Jun  8 2022,0,0
District of Columbia,Jun  7 2022,1,0
District of Columbia,Jun  6 2022,0,0
District of Columbia,Jun  5 2022,0,0
District of Columbia,Jun  4 2022,0,0
District of Columbia,Jun  3 2022,1,0
District of Columbia,Jun  2 2022,0,0
District of Columbia,Jun  1 2022,3,0
District of Columbia,May 31 2022,1,0
District of Columbia,May 30 2022,0,0
District of Columbia,May 29 2022,0,0
District of Columbia,May 28 2022,0,0
District of Columbia,May 27 2022,0,0
District of Columbia,May 26 2022,0,0
District of Columbia,May 25 2022,0,0
District of Columbia,May 24 2022,0,0
District of Columbia,May 23 2022,0,0
District of Columbia,May 22 2022,0,0
District of Columbia,May 21 2022,0,0
District of Columbia,May 20 2022,0,0
District of Columbia,May 19 2022,0,0
District of Columbia,May 18 2022,0,0
District of Columbia,May 17 2022,0,0
District of Columbia,May 16 2022,1,0
District of Columbia,May 15 2022,0,0
District of Columbia,May 14 2022,0,0
District of Columbia,May 13 2022,1,0
District of Columbia,May 12 2022,0,0
District of Columbia,May 11 2022,0,0
District of Columbia,May 10 2022,0,0
District of Columbia,May  9 2022,0,0
District of Columbia,May  8 2022,0,0
District of Columbia,May  7 2022,0,0
District of Columbia,May  6 2022,0,0
District of Columbia,May  5 2022,0,0
District of Columbia,May  4 2022,0,0
District of Columbia,May  3 2022,0,0
District of Columbia,May  2 2022,0,0
District of Columbia,May  1 2022,0,0
District of Columbia,Apr 30 2022,0,0
District of Columbia,Apr 29 2022,0,0
District of Columbia,Apr 28 2022,0,1
District of Columbia,Apr 27 2022,0,1
District of Columbia,Apr 26 2022,5,1
District of Columbia,Apr 25 2022,0,0
District of Columbia,Apr 24 2022,0,0
District of Columbia,Apr 23 2022,0,0
District of Columbia,Apr 22 2022,2,0
District of Columbia,Apr 21 2022,0,0
District of Columbia,Apr 20 2022,0,0
District of Columbia,Apr 19 2022,0,0
District of Columbia,Apr 18 2022,0,0
District of Columbia,Apr 17 2022,0,0
District of Columbia,Apr 16 2022,0,0
District of Columbia,Apr 15 2022,0,0
District of Columbia,Apr 14 2022,0,0
District of Columbia,Apr 13 2022,0,0
District of Columbia,Apr 12 2022,0,0
District of Columbia,Apr 11 2022,1,0
District of Columbia,Apr 10 2022,0,0
District of Columbia,Apr  9 2022,0,0
District of Columbia,Apr  8 2022,0,0
District of Columbia,Apr  7 2022,0,0
District of Columbia,Apr  6 2022,0,0
District of Columbia,Apr  5 2022,0,0
District of Columbia,Apr  4 2022,0,0
District of Columbia,Apr  3 2022,0,0
District of Columbia,Apr  2 2022,0,0
District of Columbia,Apr  1 2022,0,0
District of Columbia,Mar 31 2022,2,0
District of Columbia,Mar 30 2022,0,0
District of Columbia,Mar 29 2022,0,0
District of Columbia,Mar 28 2022,0,0
District of Columbia,Mar 27 2022,0,0
District of Columbia,Mar 26 2022,0,0
District of Columbia,Mar 25 2022,0,0
District of Columbia,Mar 24 2022,2,0
District of Columbia,Mar 23 2022,0,0
