Data Table for Daily Death Trends - Florida
Date generated: Mon Jul 25 2022 09:24:05 GMT-0400 (Eastern Daylight Time)
State,Date,New Deaths,7-Day Moving Avg
Florida,Jul 21 2022,0,9
Florida,Jul 20 2022,1,15
Florida,Jul 19 2022,3,20
Florida,Jul 18 2022,9,26
Florida,Jul 17 2022,21,30
Florida,Jul 16 2022,20,32
Florida,Jul 15 2022,14,35
Florida,Jul 14 2022,40,41
Florida,Jul 13 2022,34,42
Florida,Jul 12 2022,45,45
Florida,Jul 11 2022,41,48
Florida,Jul 10 2022,35,51
Florida,Jul  9 2022,36,52
Florida,Jul  8 2022,59,56
Florida,Jul  7 2022,49,56
Florida,Jul  6 2022,52,57
Florida,Jul  5 2022,68,56
Florida,Jul  4 2022,59,54
Florida,Jul  3 2022,45,52
Florida,Jul  2 2022,62,52
Florida,Jul  1 2022,58,50
Florida,Jun 30 2022,56,50
Florida,Jun 29 2022,44,50
Florida,Jun 28 2022,58,52
Florida,Jun 27 2022,47,51
Florida,Jun 26 2022,45,52
Florida,Jun 25 2022,42,54
Florida,Jun 24 2022,60,53
Florida,Jun 23 2022,55,52
Florida,Jun 22 2022,59,54
Florida,Jun 21 2022,54,51
Florida,Jun 20 2022,55,50
Florida,Jun 19 2022,55,49
Florida,Jun 18 2022,38,48
Florida,Jun 17 2022,53,50
Florida,Jun 16 2022,64,46
Florida,Jun 15 2022,38,42
Florida,Jun 14 2022,50,44
Florida,Jun 13 2022,48,43
Florida,Jun 12 2022,48,41
Florida,Jun 11 2022,49,40
Florida,Jun 10 2022,28,38
Florida,Jun  9 2022,35,39
Florida,Jun  8 2022,51,39
Florida,Jun  7 2022,46,37
Florida,Jun  6 2022,36,36
Florida,Jun  5 2022,35,36
Florida,Jun  4 2022,36,35
Florida,Jun  3 2022,36,35
Florida,Jun  2 2022,39,33
Florida,Jun  1 2022,35,31
Florida,May 31 2022,38,29
Florida,May 30 2022,33,28
Florida,May 29 2022,28,27
Florida,May 28 2022,36,27
Florida,May 27 2022,27,26
Florida,May 26 2022,25,25
Florida,May 25 2022,22,24
Florida,May 24 2022,26,24
Florida,May 23 2022,30,24
Florida,May 22 2022,26,22
Florida,May 21 2022,31,21
Florida,May 20 2022,19,20
Florida,May 19 2022,19,19
Florida,May 18 2022,19,18
Florida,May 17 2022,26,18
Florida,May 16 2022,20,17
Florida,May 15 2022,14,17
Florida,May 14 2022,26,18
Florida,May 13 2022,13,16
Florida,May 12 2022,11,18
Florida,May 11 2022,22,20
Florida,May 10 2022,18,19
Florida,May  9 2022,15,19
Florida,May  8 2022,24,18
Florida,May  7 2022,14,17
Florida,May  6 2022,26,17
Florida,May  5 2022,23,16
Florida,May  4 2022,15,15
Florida,May  3 2022,16,16
Florida,May  2 2022,11,16
Florida,May  1 2022,14,16
Florida,Apr 30 2022,17,16
Florida,Apr 29 2022,20,15
Florida,Apr 28 2022,15,15
Florida,Apr 27 2022,22,14
Florida,Apr 26 2022,17,13
Florida,Apr 25 2022,11,12
Florida,Apr 24 2022,14,13
Florida,Apr 23 2022,8,15
Florida,Apr 22 2022,19,15
Florida,Apr 21 2022,12,14
Florida,Apr 20 2022,13,15
Florida,Apr 19 2022,13,15
Florida,Apr 18 2022,17,16
Florida,Apr 17 2022,24,16
Florida,Apr 16 2022,7,14
Florida,Apr 15 2022,17,15
Florida,Apr 14 2022,16,15
Florida,Apr 13 2022,16,16
Florida,Apr 12 2022,15,16
Florida,Apr 11 2022,19,16
Florida,Apr 10 2022,14,15
Florida,Apr  9 2022,14,17
Florida,Apr  8 2022,17,18
Florida,Apr  7 2022,19,18
Florida,Apr  6 2022,17,17
Florida,Apr  5 2022,13,18
Florida,Apr  4 2022,15,21
Florida,Apr  3 2022,27,22
Florida,Apr  2 2022,19,22
Florida,Apr  1 2022,17,22
Florida,Mar 31 2022,14,23
Florida,Mar 30 2022,26,25
Florida,Mar 29 2022,35,25
Florida,Mar 28 2022,20,24
Florida,Mar 27 2022,25,25
Florida,Mar 26 2022,21,26
Florida,Mar 25 2022,26,27
Florida,Mar 24 2022,28,28
Florida,Mar 23 2022,24,30
Florida,Mar 22 2022,27,31
Florida,Mar 21 2022,25,32
Florida,Mar 20 2022,33,35
Florida,Mar 19 2022,31,36
Florida,Mar 18 2022,31,37
Florida,Mar 17 2022,39,38
Florida,Mar 16 2022,36,40
Florida,Mar 15 2022,35,42
Florida,Mar 14 2022,42,44
Florida,Mar 13 2022,40,47
Florida,Mar 12 2022,38,49
Florida,Mar 11 2022,37,51
Florida,Mar 10 2022,52,57
Florida,Mar  9 2022,50,59
Florida,Mar  8 2022,52,62
Florida,Mar  7 2022,61,65
Florida,Mar  6 2022,58,67
Florida,Mar  5 2022,49,70
Florida,Mar  4 2022,80,73
Florida,Mar  3 2022,68,76
Florida,Mar  2 2022,69,78
Florida,Mar  1 2022,70,85
Florida,Feb 28 2022,77,90
Florida,Feb 27 2022,83,95
Florida,Feb 26 2022,70,96
Florida,Feb 25 2022,100,100
Florida,Feb 24 2022,83,104
Florida,Feb 23 2022,117,114
Florida,Feb 22 2022,101,116
Florida,Feb 21 2022,115,122
Florida,Feb 20 2022,91,125
Florida,Feb 19 2022,99,132
Florida,Feb 18 2022,125,143
Florida,Feb 17 2022,156,151
Florida,Feb 16 2022,125,154
Florida,Feb 15 2022,147,157
Florida,Feb 14 2022,136,163
Florida,Feb 13 2022,140,168
Florida,Feb 12 2022,175,171
Florida,Feb 11 2022,180,174
Florida,Feb 10 2022,175,174
Florida,Feb  9 2022,147,182
Florida,Feb  8 2022,193,192
Florida,Feb  7 2022,166,199
Florida,Feb  6 2022,165,203
Florida,Feb  5 2022,198,209
Florida,Feb  4 2022,180,216
Florida,Feb  3 2022,226,223
Florida,Feb  2 2022,216,221
