Data Table for Daily Death Trends - Georgia
Date generated: Mon Jul 25 2022 09:24:14 GMT-0400 (Eastern Daylight Time)
State,Date,New Deaths,7-Day Moving Avg
Georgia,Jul 21 2022,0,16
Georgia,Jul 20 2022,112,16
Georgia,Jul 19 2022,0,19
Georgia,Jul 18 2022,0,19
Georgia,Jul 17 2022,0,19
Georgia,Jul 16 2022,0,19
Georgia,Jul 15 2022,0,19
Georgia,Jul 14 2022,0,19
Georgia,Jul 13 2022,136,19
Georgia,Jul 12 2022,0,15
Georgia,Jul 11 2022,0,15
Georgia,Jul 10 2022,0,15
Georgia,Jul  9 2022,0,15
Georgia,Jul  8 2022,0,15
Georgia,Jul  7 2022,0,15
Georgia,Jul  6 2022,106,15
Georgia,Jul  5 2022,0,18
Georgia,Jul  4 2022,0,18
Georgia,Jul  3 2022,0,18
Georgia,Jul  2 2022,0,18
Georgia,Jul  1 2022,0,18
Georgia,Jun 30 2022,0,18
Georgia,Jun 29 2022,132,18
Georgia,Jun 28 2022,0,12
Georgia,Jun 27 2022,0,12
Georgia,Jun 26 2022,0,12
Georgia,Jun 25 2022,0,12
Georgia,Jun 24 2022,0,12
Georgia,Jun 23 2022,0,12
Georgia,Jun 22 2022,87,12
Georgia,Jun 21 2022,0,10
Georgia,Jun 20 2022,0,10
Georgia,Jun 19 2022,0,10
Georgia,Jun 18 2022,0,10
Georgia,Jun 17 2022,0,10
Georgia,Jun 16 2022,0,10
Georgia,Jun 15 2022,70,10
Georgia,Jun 14 2022,0,6
Georgia,Jun 13 2022,0,6
Georgia,Jun 12 2022,0,6
Georgia,Jun 11 2022,0,6
Georgia,Jun 10 2022,0,6
Georgia,Jun  9 2022,0,6
Georgia,Jun  8 2022,48,6
Georgia,Jun  7 2022,0,6
Georgia,Jun  6 2022,0,6
Georgia,Jun  5 2022,0,6
Georgia,Jun  4 2022,0,6
Georgia,Jun  3 2022,0,6
Georgia,Jun  2 2022,0,6
Georgia,Jun  1 2022,44,6
Georgia,May 31 2022,0,5
Georgia,May 30 2022,0,5
Georgia,May 29 2022,0,5
Georgia,May 28 2022,0,5
Georgia,May 27 2022,0,5
Georgia,May 26 2022,0,5
Georgia,May 25 2022,41,5
Georgia,May 24 2022,0,10
Georgia,May 23 2022,0,10
Georgia,May 22 2022,0,10
Georgia,May 21 2022,0,10
Georgia,May 20 2022,0,10
Georgia,May 19 2022,0,10
Georgia,May 18 2022,71,10
Georgia,May 17 2022,0,16
Georgia,May 16 2022,0,16
Georgia,May 15 2022,0,16
Georgia,May 14 2022,0,16
Georgia,May 13 2022,0,16
Georgia,May 12 2022,0,16
Georgia,May 11 2022,117,16
Georgia,May 10 2022,0,23
Georgia,May  9 2022,0,23
Georgia,May  8 2022,0,23
Georgia,May  7 2022,0,23
Georgia,May  6 2022,0,23
Georgia,May  5 2022,0,23
Georgia,May  4 2022,163,23
Georgia,May  3 2022,0,21
Georgia,May  2 2022,0,21
Georgia,May  1 2022,0,21
Georgia,Apr 30 2022,0,21
Georgia,Apr 29 2022,0,21
Georgia,Apr 28 2022,0,21
Georgia,Apr 27 2022,147,21
Georgia,Apr 26 2022,0,19
Georgia,Apr 25 2022,0,19
Georgia,Apr 24 2022,0,19
Georgia,Apr 23 2022,0,19
Georgia,Apr 22 2022,0,19
Georgia,Apr 21 2022,0,26
Georgia,Apr 20 2022,136,33
Georgia,Apr 19 2022,0,18
Georgia,Apr 18 2022,0,22
Georgia,Apr 17 2022,0,27
Georgia,Apr 16 2022,0,27
Georgia,Apr 15 2022,47,27
Georgia,Apr 14 2022,48,29
Georgia,Apr 13 2022,31,29
Georgia,Apr 12 2022,28,31
Georgia,Apr 11 2022,37,34
Georgia,Apr 10 2022,0,39
Georgia,Apr  9 2022,0,39
Georgia,Apr  8 2022,62,39
Georgia,Apr  7 2022,45,40
Georgia,Apr  6 2022,48,43
Georgia,Apr  5 2022,50,44
Georgia,Apr  4 2022,70,43
Georgia,Apr  3 2022,0,40
Georgia,Apr  2 2022,0,40
Georgia,Apr  1 2022,70,40
Georgia,Mar 31 2022,64,40
Georgia,Mar 30 2022,55,37
Georgia,Mar 29 2022,43,36
Georgia,Mar 28 2022,54,35
Georgia,Mar 27 2022,0,37
Georgia,Mar 26 2022,0,37
Georgia,Mar 25 2022,65,37
Georgia,Mar 24 2022,48,37
Georgia,Mar 23 2022,43,41
Georgia,Mar 22 2022,39,45
Georgia,Mar 21 2022,69,47
Georgia,Mar 20 2022,0,44
Georgia,Mar 19 2022,0,44
Georgia,Mar 18 2022,63,44
Georgia,Mar 17 2022,77,45
Georgia,Mar 16 2022,73,48
Georgia,Mar 15 2022,47,49
Georgia,Mar 14 2022,54,57
Georgia,Mar 13 2022,0,58
Georgia,Mar 12 2022,0,58
Georgia,Mar 11 2022,64,58
Georgia,Mar 10 2022,103,60
Georgia,Mar  9 2022,80,60
Georgia,Mar  8 2022,98,59
Georgia,Mar  7 2022,66,61
Georgia,Mar  6 2022,0,66
Georgia,Mar  5 2022,0,66
Georgia,Mar  4 2022,74,66
Georgia,Mar  3 2022,107,73
Georgia,Mar  2 2022,72,72
Georgia,Mar  1 2022,114,77
Georgia,Feb 28 2022,99,74
Georgia,Feb 27 2022,0,79
Georgia,Feb 26 2022,0,79
Georgia,Feb 25 2022,122,79
Georgia,Feb 24 2022,99,83
Georgia,Feb 23 2022,110,90
Georgia,Feb 22 2022,89,92
Georgia,Feb 21 2022,139,96
Georgia,Feb 20 2022,0,97
Georgia,Feb 19 2022,0,97
Georgia,Feb 18 2022,149,97
Georgia,Feb 17 2022,144,92
Georgia,Feb 16 2022,129,87
Georgia,Feb 15 2022,117,95
Georgia,Feb 14 2022,142,96
Georgia,Feb 13 2022,0,96
Georgia,Feb 12 2022,0,96
Georgia,Feb 11 2022,117,96
Georgia,Feb 10 2022,109,95
Georgia,Feb  9 2022,185,98
Georgia,Feb  8 2022,120,87
Georgia,Feb  7 2022,143,81
Georgia,Feb  6 2022,0,76
Georgia,Feb  5 2022,0,76
Georgia,Feb  4 2022,108,76
Georgia,Feb  3 2022,131,82
Georgia,Feb  2 2022,110,80
Georgia,Feb  1 2022,77,80
Georgia,Jan 31 2022,108,83
Georgia,Jan 30 2022,0,82
Georgia,Jan 29 2022,0,82
Georgia,Jan 28 2022,150,82
Georgia,Jan 27 2022,115,73
Georgia,Jan 26 2022,115,75
Georgia,Jan 25 2022,99,65
Georgia,Jan 24 2022,95,56
Georgia,Jan 23 2022,0,52
Georgia,Jan 22 2022,0,52
Georgia,Jan 21 2022,88,52
Georgia,Jan 20 2022,134,47
Georgia,Jan 19 2022,42,38
Georgia,Jan 18 2022,33,40
Georgia,Jan 17 2022,69,43
Georgia,Jan 16 2022,0,40
Georgia,Jan 15 2022,0,40
Georgia,Jan 14 2022,53,40
Georgia,Jan 13 2022,74,40
Georgia,Jan 12 2022,57,40
Georgia,Jan 11 2022,50,35
Georgia,Jan 10 2022,48,35
Georgia,Jan  9 2022,0,29
Georgia,Jan  8 2022,0,29
Georgia,Jan  7 2022,53,29
Georgia,Jan  6 2022,72,25
Georgia,Jan  5 2022,27,23
Georgia,Jan  4 2022,51,28
Georgia,Jan  3 2022,0,28
Georgia,Jan  2 2022,0,33
Georgia,Jan  1 2022,0,33
Georgia,Dec 31 2021,25,33
Georgia,Dec 30 2021,64,35
