Data Table for Daily Death Trends - Hawaii
Date generated: Mon Jul 25 2022 09:24:23 GMT-0400 (Eastern Daylight Time)
State,Date,New Deaths,7-Day Moving Avg
Hawaii,Jul 21 2022,0,1
Hawaii,Jul 20 2022,13,1
Hawaii,Jul 19 2022,0,1
Hawaii,Jul 18 2022,0,1
Hawaii,Jul 17 2022,0,1
Hawaii,Jul 16 2022,0,1
Hawaii,Jul 15 2022,0,1
Hawaii,Jul 14 2022,0,1
Hawaii,Jul 13 2022,11,1
Hawaii,Jul 12 2022,0,2
Hawaii,Jul 11 2022,0,2
Hawaii,Jul 10 2022,0,2
Hawaii,Jul  9 2022,0,2
Hawaii,Jul  8 2022,0,2
Hawaii,Jul  7 2022,0,2
Hawaii,Jul  6 2022,20,2
Hawaii,Jul  5 2022,0,2
Hawaii,Jul  4 2022,0,2
Hawaii,Jul  3 2022,0,2
Hawaii,Jul  2 2022,0,2
Hawaii,Jul  1 2022,0,2
Hawaii,Jun 30 2022,0,2
Hawaii,Jun 29 2022,15,2
Hawaii,Jun 28 2022,0,2
Hawaii,Jun 27 2022,0,2
Hawaii,Jun 26 2022,0,2
Hawaii,Jun 25 2022,0,2
Hawaii,Jun 24 2022,0,2
Hawaii,Jun 23 2022,0,2
Hawaii,Jun 22 2022,15,2
Hawaii,Jun 21 2022,0,1
Hawaii,Jun 20 2022,0,1
Hawaii,Jun 19 2022,0,1
Hawaii,Jun 18 2022,0,1
Hawaii,Jun 17 2022,0,1
Hawaii,Jun 16 2022,0,1
Hawaii,Jun 15 2022,9,1
Hawaii,Jun 14 2022,0,1
Hawaii,Jun 13 2022,0,1
Hawaii,Jun 12 2022,0,1
Hawaii,Jun 11 2022,0,1
Hawaii,Jun 10 2022,0,1
Hawaii,Jun  9 2022,0,1
Hawaii,Jun  8 2022,8,1
Hawaii,Jun  7 2022,0,0
Hawaii,Jun  6 2022,0,0
Hawaii,Jun  5 2022,0,0
Hawaii,Jun  4 2022,0,0
Hawaii,Jun  3 2022,0,0
Hawaii,Jun  2 2022,0,0
Hawaii,Jun  1 2022,6,0
Hawaii,May 31 2022,0,0
Hawaii,May 30 2022,0,0
Hawaii,May 29 2022,0,0
Hawaii,May 28 2022,0,0
Hawaii,May 27 2022,0,0
Hawaii,May 26 2022,0,0
Hawaii,May 25 2022,5,0
Hawaii,May 24 2022,0,1
