Data Table for Daily Death Trends - Idaho
Date generated: Mon Jul 25 2022 09:24:32 GMT-0400 (Eastern Daylight Time)
State,Date,New Deaths,7-Day Moving Avg
Idaho,Jul 21 2022,0,2
Idaho,Jul 20 2022,5,2
Idaho,Jul 19 2022,0,1
Idaho,Jul 18 2022,4,1
Idaho,Jul 17 2022,0,1
Idaho,Jul 16 2022,0,1
Idaho,Jul 15 2022,7,1
Idaho,Jul 14 2022,0,0
Idaho,Jul 13 2022,1,0
Idaho,Jul 12 2022,0,1
Idaho,Jul 11 2022,0,1
Idaho,Jul 10 2022,0,1
Idaho,Jul  9 2022,0,1
Idaho,Jul  8 2022,5,1
Idaho,Jul  7 2022,0,2
Idaho,Jul  6 2022,7,2
Idaho,Jul  5 2022,0,2
Idaho,Jul  4 2022,0,2
Idaho,Jul  3 2022,0,2
Idaho,Jul  2 2022,0,2
Idaho,Jul  1 2022,8,2
Idaho,Jun 30 2022,0,1
Idaho,Jun 29 2022,6,1
Idaho,Jun 28 2022,0,1
Idaho,Jun 27 2022,1,1
Idaho,Jun 26 2022,0,1
Idaho,Jun 25 2022,0,1
Idaho,Jun 24 2022,5,1
Idaho,Jun 23 2022,0,1
Idaho,Jun 22 2022,7,1
Idaho,Jun 21 2022,0,0
Idaho,Jun 20 2022,0,0
Idaho,Jun 19 2022,0,0
Idaho,Jun 18 2022,0,0
Idaho,Jun 17 2022,0,0
Idaho,Jun 16 2022,0,1
Idaho,Jun 15 2022,3,1
Idaho,Jun 14 2022,0,1
Idaho,Jun 13 2022,0,1
Idaho,Jun 12 2022,0,1
Idaho,Jun 11 2022,0,1
Idaho,Jun 10 2022,5,1
Idaho,Jun  9 2022,0,0
Idaho,Jun  8 2022,3,0
Idaho,Jun  7 2022,0,0
Idaho,Jun  6 2022,1,0
Idaho,Jun  5 2022,0,0
Idaho,Jun  4 2022,0,0
Idaho,Jun  3 2022,0,0
Idaho,Jun  2 2022,0,0
Idaho,Jun  1 2022,2,0
Idaho,May 31 2022,0,0
Idaho,May 30 2022,0,0
Idaho,May 29 2022,0,0
Idaho,May 28 2022,0,0
Idaho,May 27 2022,1,0
Idaho,May 26 2022,0,0
Idaho,May 25 2022,0,0
Idaho,May 24 2022,0,0
Idaho,May 23 2022,3,0
Idaho,May 22 2022,0,0
Idaho,May 21 2022,0,0
Idaho,May 20 2022,0,0
Idaho,May 19 2022,0,0
Idaho,May 18 2022,2,0
Idaho,May 17 2022,0,0
Idaho,May 16 2022,1,0
Idaho,May 15 2022,0,0
Idaho,May 14 2022,0,0
Idaho,May 13 2022,3,0
Idaho,May 12 2022,0,0
Idaho,May 11 2022,0,0
Idaho,May 10 2022,0,0
Idaho,May  9 2022,2,0
Idaho,May  8 2022,0,0
Idaho,May  7 2022,0,0
Idaho,May  6 2022,0,0
Idaho,May  5 2022,0,0
Idaho,May  4 2022,1,0
Idaho,May  3 2022,0,0
Idaho,May  2 2022,0,0
Idaho,May  1 2022,0,0
Idaho,Apr 30 2022,0,0
Idaho,Apr 29 2022,4,0
Idaho,Apr 28 2022,0,0
Idaho,Apr 27 2022,1,0
Idaho,Apr 26 2022,0,1
Idaho,Apr 25 2022,0,1
Idaho,Apr 24 2022,0,1
Idaho,Apr 23 2022,0,1
Idaho,Apr 22 2022,4,1
Idaho,Apr 21 2022,0,1
Idaho,Apr 20 2022,4,1
Idaho,Apr 19 2022,0,1
Idaho,Apr 18 2022,1,2
Idaho,Apr 17 2022,0,2
Idaho,Apr 16 2022,0,2
Idaho,Apr 15 2022,2,2
Idaho,Apr 14 2022,6,2
Idaho,Apr 13 2022,0,1
Idaho,Apr 12 2022,8,2
Idaho,Apr 11 2022,2,2
Idaho,Apr 10 2022,0,2
Idaho,Apr  9 2022,0,2
Idaho,Apr  8 2022,3,2
Idaho,Apr  7 2022,0,2
Idaho,Apr  6 2022,5,2
Idaho,Apr  5 2022,4,2
Idaho,Apr  4 2022,7,2
