Data Table for Daily Death Trends - Illinois
Date generated: Mon Jul 25 2022 09:24:41 GMT-0400 (Eastern Daylight Time)
State,Date,New Deaths,7-Day Moving Avg
Illinois,Jul 21 2022,14,11
Illinois,Jul 20 2022,19,11
Illinois,Jul 19 2022,11,11
Illinois,Jul 18 2022,18,12
Illinois,Jul 17 2022,0,11
Illinois,Jul 16 2022,0,11
Illinois,Jul 15 2022,16,11
Illinois,Jul 14 2022,14,11
Illinois,Jul 13 2022,21,10
Illinois,Jul 12 2022,15,10
Illinois,Jul 11 2022,11,10
Illinois,Jul 10 2022,0,8
Illinois,Jul  9 2022,0,8
Illinois,Jul  8 2022,19,8
Illinois,Jul  7 2022,8,7
Illinois,Jul  6 2022,17,9
Illinois,Jul  5 2022,15,8
Illinois,Jul  4 2022,0,9
Illinois,Jul  3 2022,0,13
Illinois,Jul  2 2022,0,13
Illinois,Jul  1 2022,13,13
Illinois,Jun 30 2022,19,15
Illinois,Jun 29 2022,10,15
Illinois,Jun 28 2022,24,19
Illinois,Jun 27 2022,25,17
Illinois,Jun 26 2022,0,14
Illinois,Jun 25 2022,0,14
Illinois,Jun 24 2022,27,14
Illinois,Jun 23 2022,20,13
Illinois,Jun 22 2022,41,13
Illinois,Jun 21 2022,12,11
Illinois,Jun 20 2022,0,12
Illinois,Jun 19 2022,0,14
Illinois,Jun 18 2022,0,14
Illinois,Jun 17 2022,18,14
Illinois,Jun 16 2022,24,13
Illinois,Jun 15 2022,24,12
Illinois,Jun 14 2022,24,13
Illinois,Jun 13 2022,9,14
Illinois,Jun 12 2022,0,17
Illinois,Jun 11 2022,0,17
Illinois,Jun 10 2022,13,17
Illinois,Jun  9 2022,16,18
Illinois,Jun  8 2022,30,17
Illinois,Jun  7 2022,30,16
Illinois,Jun  6 2022,34,13
Illinois,Jun  5 2022,0,8
Illinois,Jun  4 2022,0,8
Illinois,Jun  3 2022,17,8
Illinois,Jun  2 2022,10,7
Illinois,Jun  1 2022,26,6
Illinois,May 31 2022,8,4
Illinois,May 30 2022,0,5
Illinois,May 29 2022,0,8
Illinois,May 28 2022,0,8
Illinois,May 27 2022,6,8
Illinois,May 26 2022,7,9
Illinois,May 25 2022,11,10
Illinois,May 24 2022,13,10
Illinois,May 23 2022,22,11
Illinois,May 22 2022,0,9
Illinois,May 21 2022,0,9
Illinois,May 20 2022,12,9
Illinois,May 19 2022,15,8
Illinois,May 18 2022,13,6
Illinois,May 17 2022,15,6
Illinois,May 16 2022,8,6
Illinois,May 15 2022,0,7
Illinois,May 14 2022,0,7
Illinois,May 13 2022,8,7
Illinois,May 12 2022,3,6
Illinois,May 11 2022,12,8
Illinois,May 10 2022,16,9
Illinois,May  9 2022,10,8
