Data Table for Daily Death Trends - Indiana
Date generated: Mon Jul 25 2022 09:24:50 GMT-0400 (Eastern Daylight Time)
State,Date,New Deaths,7-Day Moving Avg
Indiana,Jul 21 2022,0,6
Indiana,Jul 20 2022,16,6
Indiana,Jul 19 2022,11,7
Indiana,Jul 18 2022,3,5
Indiana,Jul 17 2022,0,7
Indiana,Jul 16 2022,0,7
Indiana,Jul 15 2022,18,7
Indiana,Jul 14 2022,0,11
Indiana,Jul 13 2022,20,11
Indiana,Jul 12 2022,0,11
Indiana,Jul 11 2022,14,11
Indiana,Jul 10 2022,0,9
Indiana,Jul  9 2022,0,9
Indiana,Jul  8 2022,49,9
Indiana,Jul  7 2022,0,3
Indiana,Jul  6 2022,17,3
Indiana,Jul  5 2022,0,3
Indiana,Jul  4 2022,0,3
Indiana,Jul  3 2022,0,3
Indiana,Jul  2 2022,0,3
Indiana,Jul  1 2022,5,3
Indiana,Jun 30 2022,0,5
Indiana,Jun 29 2022,21,5
Indiana,Jun 28 2022,0,3
Indiana,Jun 27 2022,1,3
Indiana,Jun 26 2022,0,7
Indiana,Jun 25 2022,0,7
Indiana,Jun 24 2022,14,7
Indiana,Jun 23 2022,0,5
Indiana,Jun 22 2022,12,5
Indiana,Jun 21 2022,0,4
Indiana,Jun 20 2022,23,4
Indiana,Jun 19 2022,0,4
Indiana,Jun 18 2022,0,4
Indiana,Jun 17 2022,2,4
Indiana,Jun 16 2022,0,4
Indiana,Jun 15 2022,6,4
Indiana,Jun 14 2022,0,7
Indiana,Jun 13 2022,20,7
Indiana,Jun 12 2022,0,5
Indiana,Jun 11 2022,0,5
Indiana,Jun 10 2022,8,5
Indiana,Jun  9 2022,0,8
Indiana,Jun  8 2022,24,8
Indiana,Jun  7 2022,0,6
Indiana,Jun  6 2022,6,6
Indiana,Jun  5 2022,0,5
Indiana,Jun  4 2022,0,5
Indiana,Jun  3 2022,28,5
Indiana,Jun  2 2022,0,2
Indiana,Jun  1 2022,12,2
Indiana,May 31 2022,0,2
Indiana,May 30 2022,0,2
Indiana,May 29 2022,0,2
Indiana,May 28 2022,0,2
Indiana,May 27 2022,8,2
Indiana,May 26 2022,0,4
Indiana,May 25 2022,10,4
Indiana,May 24 2022,0,6
Indiana,May 23 2022,1,6
Indiana,May 22 2022,0,6
Indiana,May 21 2022,0,6
Indiana,May 20 2022,19,6
Indiana,May 19 2022,0,4
Indiana,May 18 2022,22,4
Indiana,May 17 2022,0,3
Indiana,May 16 2022,4,3
Indiana,May 15 2022,0,3
Indiana,May 14 2022,0,3
Indiana,May 13 2022,6,3
Indiana,May 12 2022,0,5
Indiana,May 11 2022,11,5
Indiana,May 10 2022,0,4
Indiana,May  9 2022,5,4
Indiana,May  8 2022,0,3
Indiana,May  7 2022,0,3
Indiana,May  6 2022,23,3
Indiana,May  5 2022,0,3
Indiana,May  4 2022,0,3
Indiana,May  3 2022,0,5
Indiana,May  2 2022,4,5
Indiana,May  1 2022,0,5
Indiana,Apr 30 2022,0,5
Indiana,Apr 29 2022,17,7
Indiana,Apr 28 2022,0,5
Indiana,Apr 27 2022,18,5
Indiana,Apr 26 2022,0,4
Indiana,Apr 25 2022,3,4
Indiana,Apr 24 2022,0,5
Indiana,Apr 23 2022,14,5
Indiana,Apr 22 2022,0,3
Indiana,Apr 21 2022,0,3
Indiana,Apr 20 2022,12,3
Indiana,Apr 19 2022,0,4
Indiana,Apr 18 2022,14,4
Indiana,Apr 17 2022,0,3
Indiana,Apr 16 2022,0,3
Indiana,Apr 15 2022,0,3
Indiana,Apr 14 2022,0,7
Indiana,Apr 13 2022,16,7
Indiana,Apr 12 2022,0,7
Indiana,Apr 11 2022,9,7
Indiana,Apr 10 2022,0,7
Indiana,Apr  9 2022,0,7
Indiana,Apr  8 2022,24,7
Indiana,Apr  7 2022,0,8
Indiana,Apr  6 2022,22,8
Indiana,Apr  5 2022,0,9
Indiana,Apr  4 2022,7,11
Indiana,Apr  3 2022,0,10
Indiana,Apr  2 2022,0,10
Indiana,Apr  1 2022,27,10
Indiana,Mar 31 2022,0,9
Indiana,Mar 30 2022,31,10
Indiana,Mar 29 2022,13,9
Indiana,Mar 28 2022,4,8
Indiana,Mar 27 2022,0,9
Indiana,Mar 26 2022,0,9
Indiana,Mar 25 2022,16,9
Indiana,Mar 24 2022,6,12
Indiana,Mar 23 2022,25,15
Indiana,Mar 22 2022,9,16
Indiana,Mar 21 2022,10,17
Indiana,Mar 20 2022,0,18
Indiana,Mar 19 2022,0,18
Indiana,Mar 18 2022,40,18
Indiana,Mar 17 2022,21,17
Indiana,Mar 16 2022,36,16
Indiana,Mar 15 2022,15,22
Indiana,Mar 14 2022,14,23
Indiana,Mar 13 2022,0,23
Indiana,Mar 12 2022,0,23
Indiana,Mar 11 2022,38,23
Indiana,Mar 10 2022,11,23
Indiana,Mar  9 2022,77,26
Indiana,Mar  8 2022,21,22
Indiana,Mar  7 2022,15,24
Indiana,Mar  6 2022,0,28
Indiana,Mar  5 2022,0,28
Indiana,Mar  4 2022,39,28
Indiana,Mar  3 2022,35,32
Indiana,Mar  2 2022,48,33
Indiana,Mar  1 2022,37,35
Indiana,Feb 28 2022,43,38
Indiana,Feb 27 2022,0,38
Indiana,Feb 26 2022,0,38
Indiana,Feb 25 2022,64,38
Indiana,Feb 24 2022,43,44
Indiana,Feb 23 2022,64,45
Indiana,Feb 22 2022,54,54
Indiana,Feb 21 2022,46,55
Indiana,Feb 20 2022,0,56
Indiana,Feb 19 2022,0,56
Indiana,Feb 18 2022,103,56
Indiana,Feb 17 2022,49,56
Indiana,Feb 16 2022,126,66
Indiana,Feb 15 2022,65,48
Indiana,Feb 14 2022,50,53
Indiana,Feb 13 2022,0,60
Indiana,Feb 12 2022,0,60
Indiana,Feb 11 2022,108,60
Indiana,Feb 10 2022,117,51
Indiana,Feb  9 2022,0,44
Indiana,Feb  8 2022,99,60
Indiana,Feb  7 2022,100,65
Indiana,Feb  6 2022,0,58
Indiana,Feb  5 2022,0,58
Indiana,Feb  4 2022,46,58
Indiana,Feb  3 2022,68,71
Indiana,Feb  2 2022,111,77
Indiana,Feb  1 2022,131,79
Indiana,Jan 31 2022,55,80
Indiana,Jan 30 2022,0,78
Indiana,Jan 29 2022,0,78
Indiana,Jan 28 2022,136,78
Indiana,Jan 27 2022,109,75
Indiana,Jan 26 2022,128,79
