Data Table for Daily Death Trends - Iowa
Date generated: Mon Jul 25 2022 09:25:00 GMT-0400 (Eastern Daylight Time)
State,Date,New Deaths,7-Day Moving Avg
Iowa,Jul 21 2022,0,5
Iowa,Jul 20 2022,0,5
Iowa,Jul 19 2022,40,5
Iowa,Jul 18 2022,0,2
Iowa,Jul 17 2022,0,2
Iowa,Jul 16 2022,0,2
Iowa,Jul 15 2022,1,2
Iowa,Jul 14 2022,0,2
Iowa,Jul 13 2022,0,2
Iowa,Jul 12 2022,15,2
Iowa,Jul 11 2022,0,2
Iowa,Jul 10 2022,0,2
Iowa,Jul  9 2022,0,2
Iowa,Jul  8 2022,0,2
Iowa,Jul  7 2022,0,2
Iowa,Jul  6 2022,0,2
Iowa,Jul  5 2022,15,2
Iowa,Jul  4 2022,0,1
Iowa,Jul  3 2022,0,1
Iowa,Jul  2 2022,0,1
Iowa,Jul  1 2022,0,1
Iowa,Jun 30 2022,0,1
Iowa,Jun 29 2022,0,1
Iowa,Jun 28 2022,8,1
Iowa,Jun 27 2022,0,9
Iowa,Jun 26 2022,0,9
Iowa,Jun 25 2022,0,9
Iowa,Jun 24 2022,0,9
Iowa,Jun 23 2022,0,9
Iowa,Jun 22 2022,0,9
Iowa,Jun 21 2022,65,9
Iowa,Jun 20 2022,0,0
Iowa,Jun 19 2022,0,0
Iowa,Jun 18 2022,0,0
Iowa,Jun 17 2022,0,0
Iowa,Jun 16 2022,0,0
Iowa,Jun 15 2022,0,0
Iowa,Jun 14 2022,0,0
Iowa,Jun 13 2022,0,1
Iowa,Jun 12 2022,0,1
Iowa,Jun 11 2022,0,1
Iowa,Jun 10 2022,0,1
Iowa,Jun  9 2022,0,1
Iowa,Jun  8 2022,0,1
Iowa,Jun  7 2022,12,1
Iowa,Jun  6 2022,0,2
Iowa,Jun  5 2022,0,2
Iowa,Jun  4 2022,0,2
Iowa,Jun  3 2022,0,2
Iowa,Jun  2 2022,0,2
Iowa,Jun  1 2022,0,2
Iowa,May 31 2022,15,2
Iowa,May 30 2022,0,2
Iowa,May 29 2022,0,2
Iowa,May 28 2022,0,2
Iowa,May 27 2022,0,2
