Data Table for Daily Death Trends - Kansas
Date generated: Mon Jul 25 2022 09:25:09 GMT-0400 (Eastern Daylight Time)
State,Date,New Deaths,7-Day Moving Avg
Kansas,Jul 21 2022,0,1
Kansas,Jul 20 2022,9,1
Kansas,Jul 19 2022,0,0
Kansas,Jul 18 2022,0,0
Kansas,Jul 17 2022,0,0
Kansas,Jul 16 2022,0,0
Kansas,Jul 15 2022,0,0
Kansas,Jul 14 2022,0,0
Kansas,Jul 13 2022,0,0
Kansas,Jul 12 2022,0,1
Kansas,Jul 11 2022,0,1
Kansas,Jul 10 2022,0,1
Kansas,Jul  9 2022,0,1
Kansas,Jul  8 2022,0,1
Kansas,Jul  7 2022,0,1
Kansas,Jul  6 2022,9,1
Kansas,Jul  5 2022,0,1
Kansas,Jul  4 2022,0,1
Kansas,Jul  3 2022,0,1
Kansas,Jul  2 2022,0,1
Kansas,Jul  1 2022,0,1
Kansas,Jun 30 2022,0,1
Kansas,Jun 29 2022,7,1
Kansas,Jun 28 2022,0,0
Kansas,Jun 27 2022,0,0
Kansas,Jun 26 2022,0,0
Kansas,Jun 25 2022,0,0
Kansas,Jun 24 2022,0,0
Kansas,Jun 23 2022,0,0
Kansas,Jun 22 2022,2,0
Kansas,Jun 21 2022,0,0
Kansas,Jun 20 2022,0,0
Kansas,Jun 19 2022,0,0
Kansas,Jun 18 2022,0,0
Kansas,Jun 17 2022,0,0
Kansas,Jun 16 2022,0,0
Kansas,Jun 15 2022,0,0
Kansas,Jun 14 2022,0,0
Kansas,Jun 13 2022,0,0
Kansas,Jun 12 2022,0,0
Kansas,Jun 11 2022,0,0
Kansas,Jun 10 2022,0,0
Kansas,Jun  9 2022,0,0
Kansas,Jun  8 2022,3,0
Kansas,Jun  7 2022,0,0
Kansas,Jun  6 2022,0,0
Kansas,Jun  5 2022,0,0
Kansas,Jun  4 2022,0,0
Kansas,Jun  3 2022,0,0
Kansas,Jun  2 2022,0,0
Kansas,Jun  1 2022,4,0
Kansas,May 31 2022,0,19
Kansas,May 30 2022,0,19
Kansas,May 29 2022,0,19
Kansas,May 28 2022,0,19
Kansas,May 27 2022,0,19
Kansas,May 26 2022,0,19
Kansas,May 25 2022,137,19
Kansas,May 24 2022,0,11
Kansas,May 23 2022,0,11
Kansas,May 22 2022,0,11
Kansas,May 21 2022,0,11
Kansas,May 20 2022,0,11
Kansas,May 19 2022,0,15
Kansas,May 18 2022,82,15
Kansas,May 17 2022,0,4
Kansas,May 16 2022,0,4
Kansas,May 15 2022,0,4
Kansas,May 14 2022,0,4
Kansas,May 13 2022,29,4
Kansas,May 12 2022,0,8
Kansas,May 11 2022,0,8
Kansas,May 10 2022,0,8
Kansas,May  9 2022,0,8
Kansas,May  8 2022,0,8
Kansas,May  7 2022,0,8
Kansas,May  6 2022,56,8
Kansas,May  5 2022,0,5
Kansas,May  4 2022,0,5
Kansas,May  3 2022,0,5
Kansas,May  2 2022,0,5
Kansas,May  1 2022,0,5
Kansas,Apr 30 2022,0,5
Kansas,Apr 29 2022,38,5
Kansas,Apr 28 2022,0,10
Kansas,Apr 27 2022,0,10
Kansas,Apr 26 2022,0,10
Kansas,Apr 25 2022,0,10
Kansas,Apr 24 2022,0,10
Kansas,Apr 23 2022,0,10
Kansas,Apr 22 2022,73,10
Kansas,Apr 21 2022,0,3
Kansas,Apr 20 2022,0,3
Kansas,Apr 19 2022,0,3
Kansas,Apr 18 2022,0,3
Kansas,Apr 17 2022,0,3
Kansas,Apr 16 2022,0,3
Kansas,Apr 15 2022,23,3
Kansas,Apr 14 2022,0,14
Kansas,Apr 13 2022,0,14
Kansas,Apr 12 2022,0,14
Kansas,Apr 11 2022,0,14
Kansas,Apr 10 2022,0,14
Kansas,Apr  9 2022,0,14
Kansas,Apr  8 2022,104,14
Kansas,Apr  7 2022,0,14
Kansas,Apr  6 2022,0,14
Kansas,Apr  5 2022,0,25
Kansas,Apr  4 2022,0,25
Kansas,Apr  3 2022,0,25
Kansas,Apr  2 2022,0,25
Kansas,Apr  1 2022,103,25
Kansas,Mar 31 2022,0,13
Kansas,Mar 30 2022,72,13
Kansas,Mar 29 2022,0,10
Kansas,Mar 28 2022,1,10
Kansas,Mar 27 2022,0,10
Kansas,Mar 26 2022,0,10
Kansas,Mar 25 2022,23,10
Kansas,Mar 24 2022,0,15
Kansas,Mar 23 2022,48,15
Kansas,Mar 22 2022,0,17
Kansas,Mar 21 2022,4,17
Kansas,Mar 20 2022,0,20
Kansas,Mar 19 2022,0,20
Kansas,Mar 18 2022,58,20
Kansas,Mar 17 2022,0,12
Kansas,Mar 16 2022,60,12
Kansas,Mar 15 2022,0,5
Kansas,Mar 14 2022,22,5
Kansas,Mar 13 2022,0,3
Kansas,Mar 12 2022,0,3
Kansas,Mar 11 2022,3,3
Kansas,Mar 10 2022,0,4
Kansas,Mar  9 2022,15,4
Kansas,Mar  8 2022,0,6
Kansas,Mar  7 2022,5,6
Kansas,Mar  6 2022,0,6
Kansas,Mar  5 2022,0,6
Kansas,Mar  4 2022,8,6
Kansas,Mar  3 2022,0,6
Kansas,Mar  2 2022,29,6
Kansas,Mar  1 2022,0,4
Kansas,Feb 28 2022,9,4
Kansas,Feb 27 2022,0,4
Kansas,Feb 26 2022,0,4
Kansas,Feb 25 2022,7,4
Kansas,Feb 24 2022,0,5
Kansas,Feb 23 2022,13,5
Kansas,Feb 22 2022,0,8
Kansas,Feb 21 2022,10,8
Kansas,Feb 20 2022,0,8
Kansas,Feb 19 2022,0,8
Kansas,Feb 18 2022,17,8
Kansas,Feb 17 2022,0,10
Kansas,Feb 16 2022,30,10
Kansas,Feb 15 2022,0,19
Kansas,Feb 14 2022,14,19
Kansas,Feb 13 2022,0,18
Kansas,Feb 12 2022,0,18
Kansas,Feb 11 2022,26,18
Kansas,Feb 10 2022,0,34
Kansas,Feb  9 2022,95,34
Kansas,Feb  8 2022,0,27
Kansas,Feb  7 2022,9,27
Kansas,Feb  6 2022,0,27
Kansas,Feb  5 2022,0,27
Kansas,Feb  4 2022,139,27
Kansas,Feb  3 2022,0,27
Kansas,Feb  2 2022,41,27
Kansas,Feb  1 2022,0,28
Kansas,Jan 31 2022,14,28
Kansas,Jan 30 2022,0,29
Kansas,Jan 29 2022,0,29
Kansas,Jan 28 2022,134,29
Kansas,Jan 27 2022,0,14
Kansas,Jan 26 2022,52,14
Kansas,Jan 25 2022,0,24
Kansas,Jan 24 2022,17,24
Kansas,Jan 23 2022,0,22
Kansas,Jan 22 2022,0,22
Kansas,Jan 21 2022,29,22
Kansas,Jan 20 2022,0,21
Kansas,Jan 19 2022,128,21
Kansas,Jan 18 2022,0,6
Kansas,Jan 17 2022,0,6
Kansas,Jan 16 2022,0,9
Kansas,Jan 15 2022,0,9
Kansas,Jan 14 2022,21,9
Kansas,Jan 13 2022,0,11
Kansas,Jan 12 2022,27,11
Kansas,Jan 11 2022,0,10
Kansas,Jan 10 2022,18,10
Kansas,Jan  9 2022,0,13
Kansas,Jan  8 2022,0,13
Kansas,Jan  7 2022,37,13
Kansas,Jan  6 2022,0,8
Kansas,Jan  5 2022,15,8
Kansas,Jan  4 2022,0,11
Kansas,Jan  3 2022,43,11
Kansas,Jan  2 2022,0,7
Kansas,Jan  1 2022,0,7
Kansas,Dec 31 2021,0,7
Kansas,Dec 30 2021,0,7
Kansas,Dec 29 2021,37,7
Kansas,Dec 28 2021,0,6
Kansas,Dec 27 2021,14,6
Kansas,Dec 26 2021,0,5
Kansas,Dec 25 2021,0,5
Kansas,Dec 24 2021,0,5
Kansas,Dec 23 2021,0,7
Kansas,Dec 22 2021,34,7
Kansas,Dec 21 2021,0,5
Kansas,Dec 20 2021,7,5
Kansas,Dec 19 2021,0,11
Kansas,Dec 18 2021,0,11
Kansas,Dec 17 2021,14,11
Kansas,Dec 16 2021,0,18
Kansas,Dec 15 2021,20,18
Kansas,Dec 14 2021,0,18
Kansas,Dec 13 2021,45,18
Kansas,Dec 12 2021,0,14
Kansas,Dec 11 2021,0,14
Kansas,Dec 10 2021,62,14
Kansas,Dec  9 2021,0,9
Kansas,Dec  8 2021,25,9
Kansas,Dec  7 2021,0,8
Kansas,Dec  6 2021,13,8
Kansas,Dec  5 2021,0,8
Kansas,Dec  4 2021,0,8
Kansas,Dec  3 2021,25,8
Kansas,Dec  2 2021,0,4
Kansas,Dec  1 2021,19,4
Kansas,Nov 30 2021,0,6
Kansas,Nov 29 2021,13,6
Kansas,Nov 28 2021,0,5
Kansas,Nov 27 2021,0,5
Kansas,Nov 26 2021,0,5
Kansas,Nov 25 2021,0,5
Kansas,Nov 24 2021,30,5
Kansas,Nov 23 2021,0,4
Kansas,Nov 22 2021,9,4
Kansas,Nov 21 2021,0,2
Kansas,Nov 20 2021,0,2
Kansas,Nov 19 2021,0,2
Kansas,Nov 18 2021,0,3
Kansas,Nov 17 2021,20,3
Kansas,Nov 16 2021,0,12
Kansas,Nov 15 2021,0,12
Kansas,Nov 14 2021,0,17
Kansas,Nov 13 2021,0,17
Kansas,Nov 12 2021,5,17
Kansas,Nov 11 2021,0,23
Kansas,Nov 10 2021,79,23
Kansas,Nov  9 2021,0,16
Kansas,Nov  8 2021,39,16
Kansas,Nov  7 2021,0,11
Kansas,Nov  6 2021,0,11
Kansas,Nov  5 2021,47,11
Kansas,Nov  4 2021,0,14
Kansas,Nov  3 2021,26,14
Kansas,Nov  2 2021,0,25
Kansas,Nov  1 2021,7,25
Kansas,Oct 31 2021,0,29
Kansas,Oct 30 2021,0,29
Kansas,Oct 29 2021,70,29
Kansas,Oct 28 2021,0,22
Kansas,Oct 27 2021,103,22
Kansas,Oct 26 2021,0,10
Kansas,Oct 25 2021,31,10
Kansas,Oct 24 2021,0,6
Kansas,Oct 23 2021,0,6
Kansas,Oct 22 2021,26,6
Kansas,Oct 21 2021,0,4
Kansas,Oct 20 2021,15,4
Kansas,Oct 19 2021,0,4
Kansas,Oct 18 2021,3,4
Kansas,Oct 17 2021,1,4
Kansas,Oct 16 2021,1,5
Kansas,Oct 15 2021,14,5
Kansas,Oct 14 2021,0,6
Kansas,Oct 13 2021,9,6
Kansas,Oct 12 2021,0,10
Kansas,Oct 11 2021,7,10
Kansas,Oct 10 2021,4,9
Kansas,Oct  9 2021,4,8
Kansas,Oct  8 2021,21,8
Kansas,Oct  7 2021,0,7
Kansas,Oct  6 2021,35,7
Kansas,Oct  5 2021,0,6
Kansas,Oct  4 2021,1,6
Kansas,Oct  3 2021,1,8
Kansas,Oct  2 2021,1,10
Kansas,Oct  1 2021,17,12
Kansas,Sep 30 2021,0,18
Kansas,Sep 29 2021,27,18
Kansas,Sep 28 2021,0,15
Kansas,Sep 27 2021,15,15
Kansas,Sep 26 2021,14,16
Kansas,Sep 25 2021,14,16
Kansas,Sep 24 2021,62,16
Kansas,Sep 23 2021,0,16
Kansas,Sep 22 2021,3,16
Kansas,Sep 21 2021,0,20
Kansas,Sep 20 2021,19,20
Kansas,Sep 19 2021,16,18
Kansas,Sep 18 2021,16,16
Kansas,Sep 17 2021,64,14
Kansas,Sep 16 2021,0,15
Kansas,Sep 15 2021,28,15
Kansas,Sep 14 2021,0,13
Kansas,Sep 13 2021,3,15
Kansas,Sep 12 2021,2,16
Kansas,Sep 11 2021,2,18
Kansas,Sep 10 2021,73,19
Kansas,Sep  9 2021,0,16
Kansas,Sep  8 2021,15,16
Kansas,Sep  7 2021,12,17
Kansas,Sep  6 2021,12,15
Kansas,Sep  5 2021,12,14
Kansas,Sep  4 2021,12,13
Kansas,Sep  3 2021,49,11
Kansas,Sep  2 2021,0,6
Kansas,Sep  1 2021,24,6
Kansas,Aug 31 2021,0,8
Kansas,Aug 30 2021,4,8
Kansas,Aug 29 2021,3,8
Kansas,Aug 28 2021,3,8
Kansas,Aug 27 2021,12,7
Kansas,Aug 26 2021,0,11
Kansas,Aug 25 2021,37,11
Kansas,Aug 24 2021,0,14
Kansas,Aug 23 2021,4,14
Kansas,Aug 22 2021,0,14
Kansas,Aug 21 2021,0,15
Kansas,Aug 20 2021,38,15
Kansas,Aug 19 2021,0,14
Kansas,Aug 18 2021,62,14
Kansas,Aug 17 2021,0,10
Kansas,Aug 16 2021,3,10
Kansas,Aug 15 2021,3,11
Kansas,Aug 14 2021,3,11
Kansas,Aug 13 2021,28,12
Kansas,Aug 12 2021,0,10
Kansas,Aug 11 2021,35,10
Kansas,Aug 10 2021,0,8
Kansas,Aug  9 2021,9,8
Kansas,Aug  8 2021,7,7
Kansas,Aug  7 2021,7,6
Kansas,Aug  6 2021,13,6
Kansas,Aug  5 2021,0,5
Kansas,Aug  4 2021,20,5
Kansas,Aug  3 2021,0,3
Kansas,Aug  2 2021,5,3
Kansas,Aug  1 2021,3,2
Kansas,Jul 31 2021,3,2
Kansas,Jul 30 2021,8,2
Kansas,Jul 29 2021,0,4
Kansas,Jul 28 2021,4,4
Kansas,Jul 27 2021,0,6
Kansas,Jul 26 2021,2,6
Kansas,Jul 25 2021,1,6
Kansas,Jul 24 2021,1,6
Kansas,Jul 23 2021,21,6
Kansas,Jul 22 2021,0,3
Kansas,Jul 21 2021,20,3
Kansas,Jul 20 2021,0,1
Kansas,Jul 19 2021,1,1
Kansas,Jul 18 2021,0,2
Kansas,Jul 17 2021,0,2
Kansas,Jul 16 2021,1,3
Kansas,Jul 15 2021,0,3
Kansas,Jul 14 2021,8,4
Kansas,Jul 13 2021,0,3
Kansas,Jul 12 2021,6,3
Kansas,Jul 11 2021,3,3
Kansas,Jul 10 2021,3,2
Kansas,Jul  9 2021,5,2
Kansas,Jul  8 2021,5,2
Kansas,Jul  7 2021,3,1
Kansas,Jul  6 2021,1,1
Kansas,Jul  5 2021,1,1
Kansas,Jul  4 2021,1,2
Kansas,Jul  3 2021,1,1
Kansas,Jul  2 2021,3,1
