Data Table for Daily Death Trends - Kentucky
Date generated: Mon Jul 25 2022 09:25:19 GMT-0400 (Eastern Daylight Time)
State,Date,New Deaths,7-Day Moving Avg
Kentucky,Jul 21 2022,8,2
Kentucky,Jul 20 2022,10,1
Kentucky,Jul 19 2022,0,0
Kentucky,Jul 18 2022,0,0
Kentucky,Jul 17 2022,0,0
Kentucky,Jul 16 2022,0,0
Kentucky,Jul 15 2022,0,0
Kentucky,Jul 14 2022,0,1
Kentucky,Jul 13 2022,0,1
Kentucky,Jul 12 2022,0,1
Kentucky,Jul 11 2022,3,1
Kentucky,Jul 10 2022,0,1
Kentucky,Jul  9 2022,1,1
Kentucky,Jul  8 2022,3,1
Kentucky,Jul  7 2022,0,1
Kentucky,Jul  6 2022,1,1
Kentucky,Jul  5 2022,4,1
Kentucky,Jul  4 2022,2,1
Kentucky,Jul  3 2022,0,2
Kentucky,Jul  2 2022,0,2
Kentucky,Jul  1 2022,1,3
Kentucky,Jun 30 2022,3,3
Kentucky,Jun 29 2022,1,3
Kentucky,Jun 28 2022,4,3
Kentucky,Jun 27 2022,6,4
Kentucky,Jun 26 2022,4,3
Kentucky,Jun 25 2022,3,3
Kentucky,Jun 24 2022,3,3
Kentucky,Jun 23 2022,5,3
Kentucky,Jun 22 2022,1,3
Kentucky,Jun 21 2022,6,3
Kentucky,Jun 20 2022,2,2
Kentucky,Jun 19 2022,5,3
Kentucky,Jun 18 2022,4,3
Kentucky,Jun 17 2022,1,3
Kentucky,Jun 16 2022,4,3
Kentucky,Jun 15 2022,2,4
Kentucky,Jun 14 2022,2,4
Kentucky,Jun 13 2022,7,4
Kentucky,Jun 12 2022,3,4
Kentucky,Jun 11 2022,2,4
Kentucky,Jun 10 2022,7,5
Kentucky,Jun  9 2022,6,4
Kentucky,Jun  8 2022,2,4
Kentucky,Jun  7 2022,4,5
Kentucky,Jun  6 2022,6,4
Kentucky,Jun  5 2022,5,5
Kentucky,Jun  4 2022,6,4
Kentucky,Jun  3 2022,5,4
Kentucky,Jun  2 2022,4,4
Kentucky,Jun  1 2022,5,4
Kentucky,May 31 2022,2,4
Kentucky,May 30 2022,8,4
Kentucky,May 29 2022,2,3
Kentucky,May 28 2022,4,4
Kentucky,May 27 2022,5,4
Kentucky,May 26 2022,5,4
Kentucky,May 25 2022,2,4
Kentucky,May 24 2022,4,4
Kentucky,May 23 2022,5,4
Kentucky,May 22 2022,5,3
Kentucky,May 21 2022,7,3
Kentucky,May 20 2022,1,3
Kentucky,May 19 2022,5,4
Kentucky,May 18 2022,4,3
Kentucky,May 17 2022,2,3
Kentucky,May 16 2022,3,3
Kentucky,May 15 2022,5,3
Kentucky,May 14 2022,6,2
Kentucky,May 13 2022,3,2
Kentucky,May 12 2022,3,2
Kentucky,May 11 2022,3,2
Kentucky,May 10 2022,1,2
Kentucky,May  9 2022,2,2
Kentucky,May  8 2022,0,2
Kentucky,May  7 2022,4,3
Kentucky,May  6 2022,4,3
Kentucky,May  5 2022,4,3
Kentucky,May  4 2022,2,3
Kentucky,May  3 2022,3,3
Kentucky,May  2 2022,3,3
Kentucky,May  1 2022,4,3
Kentucky,Apr 30 2022,4,3
Kentucky,Apr 29 2022,1,2
Kentucky,Apr 28 2022,5,2
Kentucky,Apr 27 2022,5,3
Kentucky,Apr 26 2022,3,2
Kentucky,Apr 25 2022,3,2
Kentucky,Apr 24 2022,0,3
