Data Table for Daily Death Trends - Louisiana
Date generated: Mon Jul 25 2022 09:25:29 GMT-0400 (Eastern Daylight Time)
State,Date,New Deaths,7-Day Moving Avg
Louisiana,Jul 21 2022,11,4
Louisiana,Jul 20 2022,2,4
Louisiana,Jul 19 2022,9,5
Louisiana,Jul 18 2022,8,6
Louisiana,Jul 17 2022,0,6
Louisiana,Jul 16 2022,0,6
Louisiana,Jul 15 2022,2,6
Louisiana,Jul 14 2022,10,6
Louisiana,Jul 13 2022,12,5
Louisiana,Jul 12 2022,13,4
Louisiana,Jul 11 2022,6,2
Louisiana,Jul 10 2022,0,1
Louisiana,Jul  9 2022,0,1
Louisiana,Jul  8 2022,5,1
Louisiana,Jul  7 2022,2,2
Louisiana,Jul  6 2022,3,2
Louisiana,Jul  5 2022,3,2
Louisiana,Jul  4 2022,0,2
Louisiana,Jul  3 2022,0,3
Louisiana,Jul  2 2022,0,3
Louisiana,Jul  1 2022,6,3
Louisiana,Jun 30 2022,3,3
Louisiana,Jun 29 2022,5,3
Louisiana,Jun 28 2022,5,3
Louisiana,Jun 27 2022,7,3
Louisiana,Jun 26 2022,0,2
Louisiana,Jun 25 2022,0,2
Louisiana,Jun 24 2022,4,2
Louisiana,Jun 23 2022,5,2
Louisiana,Jun 22 2022,3,2
Louisiana,Jun 21 2022,5,2
Louisiana,Jun 20 2022,2,2
Louisiana,Jun 19 2022,0,2
Louisiana,Jun 18 2022,0,2
Louisiana,Jun 17 2022,0,2
Louisiana,Jun 16 2022,4,2
Louisiana,Jun 15 2022,7,2
Louisiana,Jun 14 2022,1,1
Louisiana,Jun 13 2022,5,2
Louisiana,Jun 12 2022,0,2
Louisiana,Jun 11 2022,0,2
Louisiana,Jun 10 2022,1,2
Louisiana,Jun  9 2022,4,2
Louisiana,Jun  8 2022,1,2
Louisiana,Jun  7 2022,5,3
Louisiana,Jun  6 2022,4,2
Louisiana,Jun  5 2022,0,2
Louisiana,Jun  4 2022,0,2
Louisiana,Jun  3 2022,4,2
Louisiana,Jun  2 2022,5,2
Louisiana,Jun  1 2022,6,1
Louisiana,May 31 2022,1,1
Louisiana,May 30 2022,0,1
Louisiana,May 29 2022,0,1
Louisiana,May 28 2022,0,1
Louisiana,May 27 2022,4,1
Louisiana,May 26 2022,2,1
Louisiana,May 25 2022,1,1
Louisiana,May 24 2022,3,2
Louisiana,May 23 2022,2,2
Louisiana,May 22 2022,0,2
Louisiana,May 21 2022,0,2
Louisiana,May 20 2022,4,2
Louisiana,May 19 2022,2,2
Louisiana,May 18 2022,6,2
Louisiana,May 17 2022,4,2
Louisiana,May 16 2022,2,1
Louisiana,May 15 2022,0,2
Louisiana,May 14 2022,0,2
Louisiana,May 13 2022,4,2
Louisiana,May 12 2022,1,2
Louisiana,May 11 2022,4,2
Louisiana,May 10 2022,1,2
Louisiana,May  9 2022,9,3
Louisiana,May  8 2022,0,4
Louisiana,May  7 2022,0,4
Louisiana,May  6 2022,3,4
Louisiana,May  5 2022,3,4
Louisiana,May  4 2022,2,4
Louisiana,May  3 2022,6,4
Louisiana,May  2 2022,14,4
Louisiana,May  1 2022,0,3
Louisiana,Apr 30 2022,0,3
Louisiana,Apr 29 2022,4,3
Louisiana,Apr 28 2022,4,3
Louisiana,Apr 27 2022,5,3
Louisiana,Apr 26 2022,6,4
Louisiana,Apr 25 2022,6,4
Louisiana,Apr 24 2022,0,4
Louisiana,Apr 23 2022,0,4
Louisiana,Apr 22 2022,3,4
Louisiana,Apr 21 2022,7,3
Louisiana,Apr 20 2022,6,3
Louisiana,Apr 19 2022,10,3
Louisiana,Apr 18 2022,3,2
Louisiana,Apr 17 2022,0,2
Louisiana,Apr 16 2022,0,2
Louisiana,Apr 15 2022,0,2
Louisiana,Apr 14 2022,3,2
Louisiana,Apr 13 2022,6,4
Louisiana,Apr 12 2022,3,4
Louisiana,Apr 11 2022,5,5
Louisiana,Apr 10 2022,0,5
Louisiana,Apr  9 2022,0,5
Louisiana,Apr  8 2022,2,5
Louisiana,Apr  7 2022,13,6
Louisiana,Apr  6 2022,8,6
Louisiana,Apr  5 2022,8,7
Louisiana,Apr  4 2022,8,8
Louisiana,Apr  3 2022,0,8
Louisiana,Apr  2 2022,0,8
Louisiana,Apr  1 2022,11,8
Louisiana,Mar 31 2022,10,8
Louisiana,Mar 30 2022,13,10
Louisiana,Mar 29 2022,18,10
Louisiana,Mar 28 2022,10,10
Louisiana,Mar 27 2022,0,11
Louisiana,Mar 26 2022,0,11
Louisiana,Mar 25 2022,11,11
Louisiana,Mar 24 2022,20,12
Louisiana,Mar 23 2022,11,12
