Data Table for Daily Death Trends - Michigan
Date generated: Mon Jul 25 2022 09:26:13 GMT-0400 (Eastern Daylight Time)
State,Date,New Deaths,7-Day Moving Avg
Michigan,Jul 21 2022,0,21
Michigan,Jul 20 2022,0,21
Michigan,Jul 19 2022,149,21
Michigan,Jul 18 2022,0,22
Michigan,Jul 17 2022,0,22
Michigan,Jul 16 2022,0,22
Michigan,Jul 15 2022,0,22
Michigan,Jul 14 2022,0,22
Michigan,Jul 13 2022,0,22
Michigan,Jul 12 2022,160,22
Michigan,Jul 11 2022,0,9
Michigan,Jul 10 2022,0,9
Michigan,Jul  9 2022,0,9
Michigan,Jul  8 2022,0,9
Michigan,Jul  7 2022,0,9
Michigan,Jul  6 2022,0,9
Michigan,Jul  5 2022,64,9
Michigan,Jul  4 2022,0,24
Michigan,Jul  3 2022,0,24
Michigan,Jul  2 2022,0,24
Michigan,Jul  1 2022,0,24
Michigan,Jun 30 2022,0,24
Michigan,Jun 29 2022,0,24
Michigan,Jun 28 2022,174,24
Michigan,Jun 27 2022,0,9
Michigan,Jun 26 2022,0,9
Michigan,Jun 25 2022,0,9
Michigan,Jun 24 2022,0,9
Michigan,Jun 23 2022,0,9
Michigan,Jun 22 2022,0,9
Michigan,Jun 21 2022,69,29
Michigan,Jun 20 2022,0,19
Michigan,Jun 19 2022,0,19
Michigan,Jun 18 2022,0,19
Michigan,Jun 17 2022,0,19
Michigan,Jun 16 2022,0,19
Michigan,Jun 15 2022,137,19
Michigan,Jun 14 2022,0,18
Michigan,Jun 13 2022,0,18
Michigan,Jun 12 2022,0,18
Michigan,Jun 11 2022,0,18
Michigan,Jun 10 2022,0,18
Michigan,Jun  9 2022,0,18
Michigan,Jun  8 2022,131,18
Michigan,Jun  7 2022,0,7
Michigan,Jun  6 2022,0,7
Michigan,Jun  5 2022,0,7
Michigan,Jun  4 2022,0,7
Michigan,Jun  3 2022,0,7
Michigan,Jun  2 2022,0,7
Michigan,Jun  1 2022,50,7
Michigan,May 31 2022,0,19
Michigan,May 30 2022,0,19
Michigan,May 29 2022,0,19
Michigan,May 28 2022,0,19
Michigan,May 27 2022,0,19
Michigan,May 26 2022,0,19
Michigan,May 25 2022,139,19
Michigan,May 24 2022,0,11
Michigan,May 23 2022,0,11
Michigan,May 22 2022,0,11
Michigan,May 21 2022,0,11
Michigan,May 20 2022,0,11
Michigan,May 19 2022,0,11
Michigan,May 18 2022,78,11
Michigan,May 17 2022,0,10
Michigan,May 16 2022,0,10
Michigan,May 15 2022,0,10
Michigan,May 14 2022,0,10
Michigan,May 13 2022,0,10
Michigan,May 12 2022,0,10
Michigan,May 11 2022,76,10
Michigan,May 10 2022,0,8
Michigan,May  9 2022,0,8
Michigan,May  8 2022,0,8
Michigan,May  7 2022,0,8
Michigan,May  6 2022,0,8
Michigan,May  5 2022,0,8
Michigan,May  4 2022,62,8
Michigan,May  3 2022,0,9
Michigan,May  2 2022,0,9
Michigan,May  1 2022,0,9
Michigan,Apr 30 2022,0,9
Michigan,Apr 29 2022,0,9
Michigan,Apr 28 2022,0,9
Michigan,Apr 27 2022,67,9
Michigan,Apr 26 2022,0,11
Michigan,Apr 25 2022,0,11
Michigan,Apr 24 2022,0,11
Michigan,Apr 23 2022,0,11
Michigan,Apr 22 2022,0,11
Michigan,Apr 21 2022,0,11
Michigan,Apr 20 2022,78,11
Michigan,Apr 19 2022,0,11
Michigan,Apr 18 2022,0,11
Michigan,Apr 17 2022,0,11
Michigan,Apr 16 2022,0,11
Michigan,Apr 15 2022,0,11
Michigan,Apr 14 2022,0,11
Michigan,Apr 13 2022,81,11
Michigan,Apr 12 2022,0,10
Michigan,Apr 11 2022,0,10
Michigan,Apr 10 2022,0,10
Michigan,Apr  9 2022,0,10
Michigan,Apr  8 2022,0,10
Michigan,Apr  7 2022,0,12
Michigan,Apr  6 2022,70,16
Michigan,Apr  5 2022,0,12
Michigan,Apr  4 2022,0,18
Michigan,Apr  3 2022,0,19
Michigan,Apr  2 2022,0,19
Michigan,Apr  1 2022,15,19
Michigan,Mar 31 2022,29,21
Michigan,Mar 30 2022,40,18
Michigan,Mar 29 2022,44,19
Michigan,Mar 28 2022,6,21
Michigan,Mar 27 2022,0,22
Michigan,Mar 26 2022,0,22
Michigan,Mar 25 2022,29,22
Michigan,Mar 24 2022,10,22
Michigan,Mar 23 2022,49,25
Michigan,Mar 22 2022,59,26
Michigan,Mar 21 2022,7,30
Michigan,Mar 20 2022,0,32
Michigan,Mar 19 2022,0,32
Michigan,Mar 18 2022,34,32
Michigan,Mar 17 2022,31,31
Michigan,Mar 16 2022,52,31
Michigan,Mar 15 2022,91,42
Michigan,Mar 14 2022,22,50
Michigan,Mar 13 2022,0,49
Michigan,Mar 12 2022,0,49
Michigan,Mar 11 2022,26,49
Michigan,Mar 10 2022,27,51
Michigan,Mar  9 2022,128,52
Michigan,Mar  8 2022,149,60
Michigan,Mar  7 2022,17,50
Michigan,Mar  6 2022,0,52
Michigan,Mar  5 2022,0,52
Michigan,Mar  4 2022,36,52
Michigan,Mar  3 2022,39,52
Michigan,Mar  2 2022,179,56
Michigan,Mar  1 2022,82,65
Michigan,Feb 28 2022,28,72
Michigan,Feb 27 2022,0,68
Michigan,Feb 26 2022,0,68
Michigan,Feb 25 2022,38,68
Michigan,Feb 24 2022,69,74
Michigan,Feb 23 2022,244,71
Michigan,Feb 22 2022,128,70
Michigan,Feb 21 2022,0,68
Michigan,Feb 20 2022,0,76
Michigan,Feb 19 2022,0,76
Michigan,Feb 18 2022,81,76
Michigan,Feb 17 2022,47,82
Michigan,Feb 16 2022,236,83
Michigan,Feb 15 2022,116,79
Michigan,Feb 14 2022,55,86
Michigan,Feb 13 2022,0,84
Michigan,Feb 12 2022,0,84
Michigan,Feb 11 2022,123,84
Michigan,Feb 10 2022,54,88
Michigan,Feb  9 2022,206,92
Michigan,Feb  8 2022,169,92
Michigan,Feb  7 2022,38,92
Michigan,Feb  6 2022,0,96
Michigan,Feb  5 2022,0,96
Michigan,Feb  4 2022,149,96
Michigan,Feb  3 2022,86,78
Michigan,Feb  2 2022,203,76
Michigan,Feb  1 2022,172,48
Michigan,Jan 31 2022,66,47
Michigan,Jan 30 2022,0,43
Michigan,Jan 29 2022,0,43
Michigan,Jan 28 2022,25,43
Michigan,Jan 27 2022,66,47
Michigan,Jan 26 2022,13,51
Michigan,Jan 25 2022,165,58
Michigan,Jan 24 2022,37,57
Michigan,Jan 23 2022,0,52
Michigan,Jan 22 2022,0,52
Michigan,Jan 21 2022,50,52
Michigan,Jan 20 2022,98,52
Michigan,Jan 19 2022,60,53
Michigan,Jan 18 2022,160,45
Michigan,Jan 17 2022,0,39
Michigan,Jan 16 2022,0,47
Michigan,Jan 15 2022,0,47
Michigan,Jan 14 2022,47,47
Michigan,Jan 13 2022,110,42
Michigan,Jan 12 2022,0,48
Michigan,Jan 11 2022,118,53
