Data Table for Daily Death Trends - Minnesota
Date generated: Mon Jul 25 2022 09:26:21 GMT-0400 (Eastern Daylight Time)
State,Date,New Deaths,7-Day Moving Avg
Minnesota,Jul 21 2022,37,5
Minnesota,Jul 20 2022,0,6
Minnesota,Jul 19 2022,0,6
Minnesota,Jul 18 2022,0,6
Minnesota,Jul 17 2022,0,6
Minnesota,Jul 16 2022,0,6
Minnesota,Jul 15 2022,0,6
Minnesota,Jul 14 2022,44,6
Minnesota,Jul 13 2022,0,4
Minnesota,Jul 12 2022,0,4
Minnesota,Jul 11 2022,0,4
Minnesota,Jul 10 2022,0,4
Minnesota,Jul  9 2022,0,4
Minnesota,Jul  8 2022,0,4
Minnesota,Jul  7 2022,29,4
Minnesota,Jul  6 2022,0,0
Minnesota,Jul  5 2022,0,2
Minnesota,Jul  4 2022,0,3
Minnesota,Jul  3 2022,0,4
Minnesota,Jul  2 2022,0,4
Minnesota,Jul  1 2022,5,4
Minnesota,Jun 30 2022,0,4
Minnesota,Jun 29 2022,14,4
Minnesota,Jun 28 2022,8,5
Minnesota,Jun 27 2022,4,6
Minnesota,Jun 26 2022,0,5
Minnesota,Jun 25 2022,0,5
Minnesota,Jun 24 2022,5,5
Minnesota,Jun 23 2022,0,5
Minnesota,Jun 22 2022,24,7
Minnesota,Jun 21 2022,12,4
Minnesota,Jun 20 2022,0,3
Minnesota,Jun 19 2022,0,4
Minnesota,Jun 18 2022,0,4
Minnesota,Jun 17 2022,4,4
Minnesota,Jun 16 2022,9,5
Minnesota,Jun 15 2022,8,5
Minnesota,Jun 14 2022,5,6
Minnesota,Jun 13 2022,5,7
Minnesota,Jun 12 2022,0,7
Minnesota,Jun 11 2022,0,7
Minnesota,Jun 10 2022,12,7
Minnesota,Jun  9 2022,9,8
Minnesota,Jun  8 2022,16,8
Minnesota,Jun  7 2022,8,7
Minnesota,Jun  6 2022,10,6
Minnesota,Jun  5 2022,0,5
Minnesota,Jun  4 2022,0,5
