Data Table for Daily Death Trends - Mississippi
Date generated: Mon Jul 25 2022 09:26:30 GMT-0400 (Eastern Daylight Time)
State,Date,New Deaths,7-Day Moving Avg
Mississippi,Jul 21 2022,0,3
Mississippi,Jul 20 2022,13,4
Mississippi,Jul 19 2022,3,2
Mississippi,Jul 18 2022,5,3
Mississippi,Jul 17 2022,0,3
Mississippi,Jul 16 2022,0,3
Mississippi,Jul 15 2022,5,3
Mississippi,Jul 14 2022,3,2
Mississippi,Jul 13 2022,0,2
Mississippi,Jul 12 2022,14,4
Mississippi,Jul 11 2022,1,2
Mississippi,Jul 10 2022,0,2
Mississippi,Jul  9 2022,0,2
Mississippi,Jul  8 2022,2,2
Mississippi,Jul  7 2022,0,2
Mississippi,Jul  6 2022,16,3
Mississippi,Jul  5 2022,1,1
Mississippi,Jul  4 2022,0,2
Mississippi,Jul  3 2022,0,2
Mississippi,Jul  2 2022,0,2
Mississippi,Jul  1 2022,1,2
Mississippi,Jun 30 2022,9,2
Mississippi,Jun 29 2022,0,2
Mississippi,Jun 28 2022,4,3
Mississippi,Jun 27 2022,5,2
Mississippi,Jun 26 2022,0,2
Mississippi,Jun 25 2022,0,2
Mississippi,Jun 24 2022,2,2
Mississippi,Jun 23 2022,3,2
Mississippi,Jun 22 2022,7,1
Mississippi,Jun 21 2022,3,0
Mississippi,Jun 20 2022,0,1
Mississippi,Jun 19 2022,0,1
Mississippi,Jun 18 2022,0,1
Mississippi,Jun 17 2022,3,1
Mississippi,Jun 16 2022,0,1
Mississippi,Jun 15 2022,0,1
Mississippi,Jun 14 2022,8,1
Mississippi,Jun 13 2022,1,1
Mississippi,Jun 12 2022,0,1
Mississippi,Jun 11 2022,0,1
Mississippi,Jun 10 2022,1,1
Mississippi,Jun  9 2022,0,1
Mississippi,Jun  8 2022,2,1
Mississippi,Jun  7 2022,6,1
Mississippi,Jun  6 2022,1,0
Mississippi,Jun  5 2022,0,0
Mississippi,Jun  4 2022,0,0
Mississippi,Jun  3 2022,0,0
Mississippi,Jun  2 2022,0,0
Mississippi,Jun  1 2022,3,0
Mississippi,May 31 2022,1,0
Mississippi,May 30 2022,0,0
Mississippi,May 29 2022,0,0
Mississippi,May 28 2022,0,0
Mississippi,May 27 2022,0,0
Mississippi,May 26 2022,0,0
Mississippi,May 25 2022,1,0
Mississippi,May 24 2022,0,0
Mississippi,May 23 2022,0,0
Mississippi,May 22 2022,0,1
Mississippi,May 21 2022,0,1
Mississippi,May 20 2022,3,1
Mississippi,May 19 2022,1,0
Mississippi,May 18 2022,0,0
Mississippi,May 17 2022,1,0
Mississippi,May 16 2022,3,0
Mississippi,May 15 2022,0,0
Mississippi,May 14 2022,0,0
Mississippi,May 13 2022,0,0
Mississippi,May 12 2022,1,0
Mississippi,May 11 2022,0,0
Mississippi,May 10 2022,2,0
Mississippi,May  9 2022,0,1
Mississippi,May  8 2022,0,1
Mississippi,May  7 2022,0,1
Mississippi,May  6 2022,3,1
Mississippi,May  5 2022,1,1
Mississippi,May  4 2022,0,1
Mississippi,May  3 2022,4,2
Mississippi,May  2 2022,2,1
Mississippi,May  1 2022,0,1
Mississippi,Apr 30 2022,0,1
Mississippi,Apr 29 2022,1,1
Mississippi,Apr 28 2022,4,1
Mississippi,Apr 27 2022,3,1
Mississippi,Apr 26 2022,0,1
Mississippi,Apr 25 2022,0,1
Mississippi,Apr 24 2022,0,2
Mississippi,Apr 23 2022,0,2
Mississippi,Apr 22 2022,4,2
Mississippi,Apr 21 2022,0,1
Mississippi,Apr 20 2022,3,1
Mississippi,Apr 19 2022,5,2
Mississippi,Apr 18 2022,2,1
Mississippi,Apr 17 2022,0,1
Mississippi,Apr 16 2022,0,1
Mississippi,Apr 15 2022,1,1
Mississippi,Apr 14 2022,1,1
Mississippi,Apr 13 2022,6,1
Mississippi,Apr 12 2022,1,1
Mississippi,Apr 11 2022,0,1
Mississippi,Apr 10 2022,0,2
Mississippi,Apr  9 2022,0,2
Mississippi,Apr  8 2022,3,2
Mississippi,Apr  7 2022,0,1
Mississippi,Apr  6 2022,3,2
Mississippi,Apr  5 2022,5,1
Mississippi,Apr  4 2022,3,2
Mississippi,Apr  3 2022,0,3
Mississippi,Apr  2 2022,0,3
Mississippi,Apr  1 2022,2,3
Mississippi,Mar 31 2022,1,4
Mississippi,Mar 30 2022,0,3
Mississippi,Mar 29 2022,13,4
Mississippi,Mar 28 2022,5,6
Mississippi,Mar 27 2022,0,6
Mississippi,Mar 26 2022,0,6
Mississippi,Mar 25 2022,9,6
Mississippi,Mar 24 2022,0,7
Mississippi,Mar 23 2022,1,8
Mississippi,Mar 22 2022,32,11
Mississippi,Mar 21 2022,6,8
Mississippi,Mar 20 2022,0,10
Mississippi,Mar 19 2022,0,10
Mississippi,Mar 18 2022,11,10
Mississippi,Mar 17 2022,11,10
Mississippi,Mar 16 2022,20,11
Mississippi,Mar 15 2022,13,11
Mississippi,Mar 14 2022,20,14
Mississippi,Mar 13 2022,0,14
Mississippi,Mar 12 2022,0,14
Mississippi,Mar 11 2022,8,14
Mississippi,Mar 10 2022,19,17
Mississippi,Mar  9 2022,22,16
Mississippi,Mar  8 2022,35,15
Mississippi,Mar  7 2022,20,18
Mississippi,Mar  6 2022,0,20
Mississippi,Mar  5 2022,0,20
Mississippi,Mar  4 2022,27,20
Mississippi,Mar  3 2022,9,20
Mississippi,Mar  2 2022,15,23
Mississippi,Mar  1 2022,61,34
Mississippi,Feb 28 2022,31,29
Mississippi,Feb 27 2022,0,24
Mississippi,Feb 26 2022,0,24
Mississippi,Feb 25 2022,24,24
Mississippi,Feb 24 2022,30,27
Mississippi,Feb 23 2022,96,26
Mississippi,Feb 22 2022,22,23
Mississippi,Feb 21 2022,0,26
Mississippi,Feb 20 2022,0,39
Mississippi,Feb 19 2022,0,39
Mississippi,Feb 18 2022,46,39
Mississippi,Feb 17 2022,18,40
Mississippi,Feb 16 2022,75,45
Mississippi,Feb 15 2022,45,45
Mississippi,Feb 14 2022,94,52
Mississippi,Feb 13 2022,0,44
Mississippi,Feb 12 2022,0,44
Mississippi,Feb 11 2022,50,44
Mississippi,Feb 10 2022,53,43
Mississippi,Feb  9 2022,77,40
Mississippi,Feb  8 2022,93,47
Mississippi,Feb  7 2022,35,50
Mississippi,Feb  6 2022,0,49
Mississippi,Feb  5 2022,0,49
Mississippi,Feb  4 2022,48,49
Mississippi,Feb  3 2022,32,46
Mississippi,Feb  2 2022,126,46
Mississippi,Feb  1 2022,109,31
Mississippi,Jan 31 2022,33,18
Mississippi,Jan 30 2022,0,15
Mississippi,Jan 29 2022,0,15
Mississippi,Jan 28 2022,25,15
Mississippi,Jan 27 2022,32,14
Mississippi,Jan 26 2022,19,12
Mississippi,Jan 25 2022,21,16
Mississippi,Jan 24 2022,13,15
Mississippi,Jan 23 2022,0,13
Mississippi,Jan 22 2022,0,13
Mississippi,Jan 21 2022,14,13
Mississippi,Jan 20 2022,17,14
Mississippi,Jan 19 2022,48,14
Mississippi,Jan 18 2022,17,11
Mississippi,Jan 17 2022,0,11
Mississippi,Jan 16 2022,0,14
Mississippi,Jan 15 2022,0,14
Mississippi,Jan 14 2022,19,14
Mississippi,Jan 13 2022,17,13
Mississippi,Jan 12 2022,26,12
Mississippi,Jan 11 2022,20,10
Mississippi,Jan 10 2022,16,12
Mississippi,Jan  9 2022,0,11
Mississippi,Jan  8 2022,0,11
Mississippi,Jan  7 2022,16,11
Mississippi,Jan  6 2022,8,8
Mississippi,Jan  5 2022,11,9
Mississippi,Jan  4 2022,37,10
Mississippi,Jan  3 2022,5,8
Mississippi,Jan  2 2022,0,8
Mississippi,Jan  1 2022,0,8
Mississippi,Dec 31 2021,0,8
Mississippi,Dec 30 2021,11,8
Mississippi,Dec 29 2021,19,6
Mississippi,Dec 28 2021,22,4
Mississippi,Dec 27 2021,4,2
Mississippi,Dec 26 2021,0,2
Mississippi,Dec 25 2021,0,2
Mississippi,Dec 24 2021,0,2
Mississippi,Dec 23 2021,0,3
Mississippi,Dec 22 2021,6,3
Mississippi,Dec 21 2021,8,3
Mississippi,Dec 20 2021,5,3
Mississippi,Dec 19 2021,0,3
Mississippi,Dec 18 2021,0,3
Mississippi,Dec 17 2021,3,3
Mississippi,Dec 16 2021,3,4
Mississippi,Dec 15 2021,7,5
Mississippi,Dec 14 2021,9,4
Mississippi,Dec 13 2021,5,4
Mississippi,Dec 12 2021,0,4
Mississippi,Dec 11 2021,0,4
Mississippi,Dec 10 2021,9,4
Mississippi,Dec  9 2021,5,3
Mississippi,Dec  8 2021,6,2
Mississippi,Dec  7 2021,7,2
Mississippi,Dec  6 2021,3,2
Mississippi,Dec  5 2021,0,2
Mississippi,Dec  4 2021,0,2
Mississippi,Dec  3 2021,0,2
Mississippi,Dec  2 2021,3,2
Mississippi,Dec  1 2021,2,1
Mississippi,Nov 30 2021,9,2
Mississippi,Nov 29 2021,1,1
Mississippi,Nov 28 2021,0,1
Mississippi,Nov 27 2021,0,1
Mississippi,Nov 26 2021,0,1
Mississippi,Nov 25 2021,0,2
Mississippi,Nov 24 2021,5,2
Mississippi,Nov 23 2021,4,2
Mississippi,Nov 22 2021,1,3
Mississippi,Nov 21 2021,0,3
Mississippi,Nov 20 2021,0,3
Mississippi,Nov 19 2021,7,3
Mississippi,Nov 18 2021,2,3
Mississippi,Nov 17 2021,1,3
Mississippi,Nov 16 2021,12,3
Mississippi,Nov 15 2021,4,5
Mississippi,Nov 14 2021,0,5
Mississippi,Nov 13 2021,0,5
Mississippi,Nov 12 2021,5,5
Mississippi,Nov 11 2021,0,5
Mississippi,Nov 10 2021,4,5
Mississippi,Nov  9 2021,25,5
Mississippi,Nov  8 2021,2,4
Mississippi,Nov  7 2021,0,4
Mississippi,Nov  6 2021,0,4
Mississippi,Nov  5 2021,7,4
Mississippi,Nov  4 2021,0,4
Mississippi,Nov  3 2021,5,4
Mississippi,Nov  2 2021,14,4
Mississippi,Nov  1 2021,5,3
Mississippi,Oct 31 2021,0,3
Mississippi,Oct 30 2021,0,3
Mississippi,Oct 29 2021,4,3
Mississippi,Oct 28 2021,4,3
Mississippi,Oct 27 2021,2,4
Mississippi,Oct 26 2021,8,4
Mississippi,Oct 25 2021,7,4
Mississippi,Oct 24 2021,0,6
Mississippi,Oct 23 2021,0,6
Mississippi,Oct 22 2021,5,7
Mississippi,Oct 21 2021,9,6
