Data Table for Daily Death Trends - Missouri
Date generated: Mon Jul 25 2022 09:26:40 GMT-0400 (Eastern Daylight Time)
State,Date,New Deaths,7-Day Moving Avg
Missouri,Jul 21 2022,0,3
Missouri,Jul 20 2022,0,3
Missouri,Jul 19 2022,0,3
Missouri,Jul 18 2022,0,3
Missouri,Jul 17 2022,0,3
Missouri,Jul 16 2022,0,3
Missouri,Jul 15 2022,24,3
Missouri,Jul 14 2022,0,5
Missouri,Jul 13 2022,0,5
Missouri,Jul 12 2022,0,5
Missouri,Jul 11 2022,0,5
Missouri,Jul 10 2022,0,5
Missouri,Jul  9 2022,0,5
Missouri,Jul  8 2022,35,5
Missouri,Jul  7 2022,0,8
Missouri,Jul  6 2022,0,8
Missouri,Jul  5 2022,0,8
Missouri,Jul  4 2022,0,8
Missouri,Jul  3 2022,0,8
Missouri,Jul  2 2022,0,8
Missouri,Jul  1 2022,59,8
Missouri,Jun 30 2022,0,4
Missouri,Jun 29 2022,0,4
Missouri,Jun 28 2022,0,4
Missouri,Jun 27 2022,0,4
Missouri,Jun 26 2022,0,4
Missouri,Jun 25 2022,0,4
Missouri,Jun 24 2022,32,4
Missouri,Jun 23 2022,0,0
Missouri,Jun 22 2022,0,0
Missouri,Jun 21 2022,0,0
Missouri,Jun 20 2022,0,0
Missouri,Jun 19 2022,0,0
Missouri,Jun 18 2022,0,0
Missouri,Jun 17 2022,4,0
Missouri,Jun 16 2022,0,2
Missouri,Jun 15 2022,0,2
Missouri,Jun 14 2022,0,2
Missouri,Jun 13 2022,0,2
Missouri,Jun 12 2022,0,2
Missouri,Jun 11 2022,0,2
Missouri,Jun 10 2022,15,2
Missouri,Jun  9 2022,0,3
Missouri,Jun  8 2022,0,3
Missouri,Jun  7 2022,0,3
Missouri,Jun  6 2022,0,3
Missouri,Jun  5 2022,0,3
Missouri,Jun  4 2022,0,3
Missouri,Jun  3 2022,26,3
Missouri,Jun  2 2022,0,2
Missouri,Jun  1 2022,0,2
Missouri,May 31 2022,0,2
Missouri,May 30 2022,0,2
Missouri,May 29 2022,0,2
Missouri,May 28 2022,0,2
Missouri,May 27 2022,15,2
Missouri,May 26 2022,0,5
Missouri,May 25 2022,0,5
Missouri,May 24 2022,0,5
Missouri,May 23 2022,0,5
Missouri,May 22 2022,0,5
Missouri,May 21 2022,0,5
Missouri,May 20 2022,37,5
Missouri,May 19 2022,0,5
Missouri,May 18 2022,0,5
Missouri,May 17 2022,0,5
Missouri,May 16 2022,0,5
Missouri,May 15 2022,0,5
Missouri,May 14 2022,0,5
Missouri,May 13 2022,35,5
Missouri,May 12 2022,0,3
Missouri,May 11 2022,0,3
Missouri,May 10 2022,0,3
Missouri,May  9 2022,0,3
Missouri,May  8 2022,0,3
Missouri,May  7 2022,0,3
Missouri,May  6 2022,22,3
Missouri,May  5 2022,0,6
Missouri,May  4 2022,0,6
Missouri,May  3 2022,0,6
Missouri,May  2 2022,0,6
Missouri,May  1 2022,0,6
Missouri,Apr 30 2022,0,6
Missouri,Apr 29 2022,46,6
Missouri,Apr 28 2022,0,10
Missouri,Apr 27 2022,0,10
Missouri,Apr 26 2022,0,10
Missouri,Apr 25 2022,0,10
Missouri,Apr 24 2022,0,10
Missouri,Apr 23 2022,0,10
Missouri,Apr 22 2022,73,10
Missouri,Apr 21 2022,0,14
Missouri,Apr 20 2022,0,14
Missouri,Apr 19 2022,0,14
Missouri,Apr 18 2022,0,14
Missouri,Apr 17 2022,0,14
Missouri,Apr 16 2022,0,14
Missouri,Apr 15 2022,100,14
Missouri,Apr 14 2022,0,21
Missouri,Apr 13 2022,0,21
Missouri,Apr 12 2022,0,21
Missouri,Apr 11 2022,0,21
Missouri,Apr 10 2022,0,21
Missouri,Apr  9 2022,0,21
Missouri,Apr  8 2022,148,21
Missouri,Apr  7 2022,0,0
Missouri,Apr  6 2022,0,0
Missouri,Apr  5 2022,0,1
Missouri,Apr  4 2022,0,16
Missouri,Apr  3 2022,0,17
Missouri,Apr  2 2022,0,17
Missouri,Apr  1 2022,0,17
Missouri,Mar 31 2022,3,17
Missouri,Mar 30 2022,4,17
Missouri,Mar 29 2022,107,17
Missouri,Mar 28 2022,5,19
Missouri,Mar 27 2022,0,19
Missouri,Mar 26 2022,0,19
Missouri,Mar 25 2022,3,19
Missouri,Mar 24 2022,2,20
Missouri,Mar 23 2022,5,19
Missouri,Mar 22 2022,123,19
Missouri,Mar 21 2022,5,54
Missouri,Mar 20 2022,0,54
Missouri,Mar 19 2022,0,54
Missouri,Mar 18 2022,5,54
Missouri,Mar 17 2022,0,54
Missouri,Mar 16 2022,5,55
Missouri,Mar 15 2022,363,55
Missouri,Mar 14 2022,8,39
Missouri,Mar 13 2022,0,38
Missouri,Mar 12 2022,0,38
Missouri,Mar 11 2022,8,38
Missouri,Mar 10 2022,3,37
Missouri,Mar  9 2022,7,37
Missouri,Mar  8 2022,249,38
Missouri,Mar  7 2022,0,33
Missouri,Mar  6 2022,0,34
Missouri,Mar  5 2022,0,34
Missouri,Mar  4 2022,1,34
Missouri,Mar  3 2022,5,36
Missouri,Mar  2 2022,14,100
Missouri,Mar  1 2022,211,100
Missouri,Feb 28 2022,12,72
Missouri,Feb 27 2022,0,70
Missouri,Feb 26 2022,0,70
Missouri,Feb 25 2022,11,70
Missouri,Feb 24 2022,453,70
Missouri,Feb 23 2022,19,7
Missouri,Feb 22 2022,12,5
Missouri,Feb 21 2022,0,48
Missouri,Feb 20 2022,0,52
Missouri,Feb 19 2022,0,52
Missouri,Feb 18 2022,11,52
Missouri,Feb 17 2022,8,50
Missouri,Feb 16 2022,8,51
Missouri,Feb 15 2022,314,53
Missouri,Feb 14 2022,23,58
Missouri,Feb 13 2022,0,55
Missouri,Feb 12 2022,0,56
Missouri,Feb 11 2022,0,57
Missouri,Feb 10 2022,16,58
Missouri,Feb  9 2022,21,56
Missouri,Feb  8 2022,347,63
Missouri,Feb  7 2022,2,68
Missouri,Feb  6 2022,10,68
Missouri,Feb  5 2022,5,67
Missouri,Feb  4 2022,5,67
Missouri,Feb  3 2022,5,68
Missouri,Feb  2 2022,68,69
Missouri,Feb  1 2022,384,62
Missouri,Jan 31 2022,2,12
Missouri,Jan 30 2022,0,13
Missouri,Jan 29 2022,11,14
Missouri,Jan 28 2022,9,12
Missouri,Jan 27 2022,10,46
Missouri,Jan 26 2022,22,46
Missouri,Jan 25 2022,32,64
Missouri,Jan 24 2022,13,60
Missouri,Jan 23 2022,1,58
Missouri,Jan 22 2022,3,58
Missouri,Jan 21 2022,246,58
Missouri,Jan 20 2022,7,26
Missouri,Jan 19 2022,151,27
Missouri,Jan 18 2022,3,7
Missouri,Jan 17 2022,0,38
Missouri,Jan 16 2022,0,38
Missouri,Jan 15 2022,5,39
Missouri,Jan 14 2022,22,39
Missouri,Jan 13 2022,11,38
Missouri,Jan 12 2022,12,39
Missouri,Jan 11 2022,222,40
Missouri,Jan 10 2022,0,36
Missouri,Jan  9 2022,1,38
Missouri,Jan  8 2022,11,38
Missouri,Jan  7 2022,12,36
Missouri,Jan  6 2022,18,34
Missouri,Jan  5 2022,21,32
Missouri,Jan  4 2022,193,31
Missouri,Jan  3 2022,12,28
Missouri,Jan  2 2022,0,27
Missouri,Jan  1 2022,0,27
Missouri,Dec 31 2021,0,27
Missouri,Dec 30 2021,4,27
Missouri,Dec 29 2021,14,28
Missouri,Dec 28 2021,169,28
Missouri,Dec 27 2021,7,21
Missouri,Dec 26 2021,0,20
Missouri,Dec 25 2021,0,20
Missouri,Dec 24 2021,0,21
Missouri,Dec 23 2021,11,23
Missouri,Dec 22 2021,12,23
Missouri,Dec 21 2021,118,24
Missouri,Dec 20 2021,0,22
Missouri,Dec 19 2021,0,22
Missouri,Dec 18 2021,9,22
Missouri,Dec 17 2021,15,21
Missouri,Dec 16 2021,8,21
Missouri,Dec 15 2021,18,22
Missouri,Dec 14 2021,105,22
Missouri,Dec 13 2021,0,17
Missouri,Dec 12 2021,1,17
Missouri,Dec 11 2021,6,17
Missouri,Dec 10 2021,15,16
Missouri,Dec  9 2021,15,15
Missouri,Dec  8 2021,12,13
Missouri,Dec  7 2021,73,13
Missouri,Dec  6 2021,0,4
Missouri,Dec  5 2021,3,17
Missouri,Dec  4 2021,0,17
Missouri,Dec  3 2021,7,17
Missouri,Dec  2 2021,0,16
Missouri,Dec  1 2021,8,16
Missouri,Nov 30 2021,10,15
Missouri,Nov 29 2021,91,15
Missouri,Nov 28 2021,9,2
